passenger_count,tip_amount,total_amount
1.0,11.33,69.23
2.0,2.44,14.64
1.0,13.28,80.93
1.0,1.92,21.12
1.0,3.4,26.1
1.0,3.0,18.0
2.0,0.0,12.2
1.0,5.13,22.23
2.0,6.81,29.51
1.0,2.0,28.2
1.0,3.28,19.68
1.0,2.3,13.8
1.0,0.0,24.8
1.0,0.0,16.4
1.0,2.02,12.12
1.0,3.7,22.2
4.0,7.48,44.88
1.0,8.04,48.24
2.0,3.56,21.36
1.0,3.84,23.04
2.0,2.3,13.8
2.0,1.0,13.9
1.0,3.4,17.0
2.0,13.26,66.31
6.0,3.42,20.52
0.0,5.15,25.75
1.0,0.0,10.1
1.0,3.96,25.96
1.0,3.84,23.04
1.0,2.0,17.7
1.0,2.3,13.8
1.0,1.92,21.12
1.0,3.4,17.0
1.0,3.56,21.36
1.0,4.62,23.12
1.0,2.02,12.12
2.0,2.15,12.95
1.0,4.6,50.65
1.0,15.39,78.19
1.0,2.44,14.64
1.0,3.2,16.1
1.0,0.0,10.1
1.0,1.5,15.8
1.0,6.18,26.78
1.0,4.96,29.76
1.0,1.0,11.8
1.0,3.0,59.3
2.0,2.72,16.32
3.0,2.72,16.32
4.0,0.0,15.0
1.0,4.4,26.4
2.0,1.62,34.12
2.0,2.58,15.48
1.0,3.42,20.52
1.0,0.0,12.2
1.0,2.06,22.66
5.0,3.7,22.2
5.0,3.28,19.68
5.0,3.0,18.0
5.0,0.0,17.8
1.0,1.0,41.2
1.0,4.26,25.56
1.0,1.0,19.5
1.0,0.0,21.3
1.0,2.86,17.16
1.0,3.23,16.13
1.0,0.0,11.5
1.0,3.15,18.85
1.0,2.0,19.8
4.0,2.0,25.4
1.0,6.78,40.68
1.0,1.0,13.9
1.0,6.64,39.84
1.0,2.0,15.6
1.0,1.0,12.5
1.0,5.38,32.28
2.0,2.0,12.1
1.0,2.0,12.1
2.0,0.0,19.9
3.0,3.95,23.85
1.0,3.95,23.85
1.0,2.72,16.32
1.0,3.42,20.52
1.0,3.95,23.85
1.0,1.01,11.11
1.0,3.1,18.8
1.0,2.3,13.8
1.0,2.7,13.5
1.0,3.93,30.13
1.0,3.2,24.5
1.0,0.0,10.8
1.0,0.0,17.1
1.0,3.2,16.1
1.0,2.7,16.3
1.0,2.0,22.6
1.0,0.0,54.4
1.0,4.82,28.92
2.0,2.0,26.1
1.0,5.66,33.96
1.0,3.84,23.04
1.0,0.0,16.4
4.0,2.44,14.64
4.0,3.7,22.2
3.0,0.0,31.1
1.0,5.35,32.25
1.0,11.16,55.81
1.0,2.3,13.8
2.0,0.0,14.3
2.0,3.56,21.36
1.0,0.0,65.9
1.0,4.28,21.38
1.0,3.84,23.04
0.0,2.55,15.45
1.0,1.0,11.8
1.0,5.72,43.82
1.0,10.0,89.3
1.0,1.0,18.1
1.0,0.0,30.4
1.0,1.0,37.0
3.0,3.2,16.1
2.0,4.75,23.95
1.0,0.0,36.15
3.0,3.7,22.2
1.0,2.0,19.8
2.0,10.0,60.0
2.0,0.0,12.9
1.0,1.0,18.8
1.0,1.0,11.8
1.0,3.84,23.04
2.0,2.58,15.48
1.0,17.5,87.5
1.0,0.0,41.85
2.0,4.1,20.5
2.0,2.52,12.62
4.0,2.44,14.64
1.0,0.0,13.6
1.0,1.88,11.28
1.0,0.0,25.5
0.0,9.8,49.1
1.0,11.02,66.12
1.0,2.44,14.64
1.0,1.0,11.8
1.0,0.0,19.2
2.0,3.0,28.5
2.0,5.5,27.5
1.0,1.5,13.0
2.0,3.0,18.0
1.0,2.72,16.32
1.0,2.0,21.2
1.0,3.2,14.0
2.0,0.0,44.4
1.0,10.69,65.39
1.0,5.69,34.14
2.0,0.0,-8.7
2.0,0.0,8.7
1.0,0.0,81.25
