passenger_count,tip_amount,total_amount
1.0,0.0,0.0
1.0,8.9,53.4
1.0,0.0,23.7
1.0,0.0,20.7
1.0,0.0,60.55
1.0,0.0,-60.5
1.0,0.0,60.5
1.0,4.75,28.55
1.0,0.0,11.9
1.0,2.0,18.1
1.0,2.0,21.6
1.0,3.22,19.32
1.0,0.0,43.55
1.0,0.0,30.75
1.0,0.0,11.9
1.0,0.0,14.0
1.0,2.0,31.4
1.0,16.45,98.75
1.0,2.66,15.96
1.0,0.98,10.78
1.0,0.0,10.5
1.0,2.5,15.1
1.0,2.52,15.12
2.0,0.0,14.7
1.0,15.0,81.8
0.0,5.0,57.45
1.0,0.0,12.9
1.0,4.62,27.72
1.0,5.1,32.35
0.0,0.0,7.0
1.0,16.11,98.41
1.0,0.0,54.55
1.0,2.8,16.8
1.0,3.14,18.84
1.0,2.8,16.8
1.0,3.67,18.37
1.0,6.16,36.96
1.0,1.0,9.4
1.0,2.45,12.25
1.0,0.0,10.5
1.0,2.8,16.8
2.0,0.0,52.85
1.0,4.05,24.35
1.0,5.75,28.85
1.0,10.0,79.25
1.0,0.0,23.8
1.0,0.0,9.8
1.0,1.82,10.92
1.0,11.97,71.82
1.0,3.0,12.1
1.0,2.1,12.6
1.0,1.96,11.76
1.0,2.24,13.44
1.0,2.0,23.7
3.0,5.18,31.08
3.0,3.36,20.16
1.0,0.0,39.0
1.0,5.0,87.3
1.0,0.0,24.5
1.0,2.83,21.73
1.0,5.32,31.92
1.0,0.0,13.3
1.0,0.0,13.3
1.0,2.0,77.75
1.0,2.7,13.5
1.0,3.08,18.48
1.0,3.22,19.32
1.0,2.1,12.6
1.0,0.0,41.95
1.0,1.0,10.1
1.0,2.0,12.5
1.0,1.95,11.75
1.0,4.4,19.1
1.0,4.38,21.88
1.0,0.0,27.3
2.0,14.8,90.55
1.0,8.0,40.15
1.0,0.0,33.6
1.0,3.2,19.3
1.0,3.15,24.15
1.0,15.0,101.75
1.0,0.0,21.0
1.0,1.5,15.5
1.0,2.1,12.6
