passenger_count,tip_amount,total_amount
1.0,3.95,19.75
1.0,3.02,18.12
2.0,0.0,12.6
1.0,2.7,16.4
1.0,13.15,67.0
1.0,6.24,37.44
1.0,4.0,24.0
1.0,0.0,20.0
1.0,4.14,24.84
1.0,4.7,28.2
1.0,3.3,19.8
1.0,1.3,14.3
1.0,0.0,13.0
1.0,2.5,18.3
1.0,5.0,59.3
1.0,4.84,29.04
1.0,2.88,17.28
1.0,1.5,27.8
1.0,5.18,25.88
1.0,4.84,29.04
1.0,1.5,13.8
1.0,2.6,15.6
2.0,5.35,26.75
1.0,8.0,49.7
1.0,3.6,18.0
1.0,1.85,14.15
1.0,0.0,39.75
1.0,0.0,16.5
1.0,0.0,17.9
1.0,2.7,16.4
1.0,2.7,16.4
1.0,5.9,35.6
1.0,2.0,18.1
1.0,17.2,74.55
2.0,4.42,26.52
2.0,2.0,18.5
1.0,2.58,19.78
1.0,2.0,19.9
2.0,0.0,17.9
2.0,2.0,23.4
1.0,5.26,31.56
3.0,2.3,20.2
1.0,3.16,18.96
2.0,3.16,18.96
1.0,1.23,13.53
1.0,3.02,18.12
4.0,3.86,23.16
1.0,4.14,24.84
1.0,0.0,21.4
1.0,2.0,18.5
1.0,2.21,14.51
1.0,2.0,17.8
1.0,6.84,29.64
1.0,10.15,44.15
1.0,3.26,35.86
1.0,3.16,18.96
2.0,2.45,14.75
1.0,17.13,74.23
1.0,4.84,29.04
1.0,0.0,15.8
1.0,3.95,19.75
1.0,1.84,14.14
1.0,1.0,19.6
1.0,0.0,15.8
1.0,2.6,15.6
2.0,2.0,22.0
1.0,5.96,35.76
1.0,7.83,46.98
1.0,6.38,38.28
1.0,3.68,40.48
1.0,5.4,32.4
2.0,10.0,96.8
1.0,3.58,21.48
1.0,9.6,57.6
1.0,0.0,12.3
1.0,3.45,20.65
1.0,3.16,18.96
1.0,3.85,23.15
1.0,0.0,13.0
1.0,4.0,45.7
1.0,16.05,96.3
1.0,6.1,36.6
1.0,0.0,15.8
1.0,2.6,15.6
1.0,2.85,17.25
5.0,3.58,21.48
5.0,1.0,13.3
5.0,1.0,21.7
1.0,2.32,13.92
1.0,2.0,21.3
1.0,3.58,21.48
2.0,2.74,16.44
2.0,4.12,20.62
1.0,2.42,26.62
1.0,3.44,20.64
1.0,1.5,20.1
1.0,3.77,18.87
1.0,0.0,14.4
1.0,3.58,21.48
1.0,4.32,18.72
1.0,1.0,17.5
4.0,5.55,31.15
1.0,3.74,28.64
1.0,10.6,53.0
1.0,6.05,30.25
1.0,5.95,35.75
1.0,1.23,13.53
1.0,0.0,15.1
1.0,2.55,15.45
1.0,0.0,17.2
1.0,0.0,13.7
2.0,3.3,19.8
4.0,3.21,24.61
4.0,3.42,17.12
3.0,2.32,13.92
1.0,0.0,53.85
0.0,9.75,58.7
1.0,0.0,12.6
1.0,6.24,37.44
1.0,2.0,19.2
1.0,3.0,18.1
3.0,0.0,15.1
1.0,4.14,24.84
1.0,2.46,14.76
1.0,3.58,21.48
2.0,0.0,80.25
6.0,0.0,20.0
6.0,3.58,21.48
6.0,3.3,19.8
6.0,7.36,44.16
1.0,11.63,71.03
1.0,8.61,51.66
1.0,9.93,59.58
1.0,3.55,21.45
1.0,3.16,18.96
1.0,1.5,15.9
2.0,0.0,15.8
1.0,3.02,18.12
1.0,8.73,37.83
1.0,4.98,29.88
1.0,0.0,12.3
2.0,4.0,24.0
2.0,3.86,23.16
1.0,3.3,19.8
1.0,2.42,26.62
1.0,17.11,103.91
2.0,0.0,22.1
1.0,3.0,29.3
0.0,0.0,29.8
1.0,2.07,22.77
1.0,1.2,20.5
1.0,6.66,39.96
1.0,16.61,100.91
1.0,5.58,24.18
1.0,3.0,18.1
2.0,6.2,37.4
2.0,20.06,100.31
1.0,1.0,19.6
1.0,15.56,77.81
1.0,0.0,28.4
1.0,6.0,51.2
1.0,0.0,7.0
1.0,2.6,15.6
2.0,0.0,18.6
1.0,2.5,26.0
1.0,4.95,21.45
1.0,0.0,13.0
1.0,2.74,16.44
1.0,4.28,25.68
1.0,3.44,20.64
1.0,5.68,34.08
1.0,16.85,101.15
1.0,12.58,75.48
1.0,2.32,13.92
1.0,7.1,35.5
1.0,5.37,23.27
1.0,12.33,73.98
1.0,0.0,15.1
1.0,0.0,31.9
1.0,1.72,18.92
2.0,3.25,16.25
2.0,5.4,32.4
2.0,4.0,24.0
1.0,0.0,11.6
1.0,7.05,30.55
1.0,6.1,36.6
1.0,1.09,11.99
1.0,3.15,18.95
2.0,0.0,27.3
2.0,5.17,25.87
1.0,1.5,21.5
1.0,0.0,26.3
1.0,3.85,23.15
1.0,2.0,23.4
1.0,1.0,15.4
1.0,3.4,20.6
1.0,4.0,24.0
1.0,4.0,28.9
1.0,0.0,20.0
2.0,4.28,25.68
1.0,4.12,20.62
1.0,3.16,18.96
1.0,3.86,23.16
1.0,3.85,23.15
1.0,0.0,87.6
1.0,4.7,28.2
1.0,0.0,17.2
1.0,0.0,15.1
1.0,2.46,14.76
1.0,3.78,18.88
1.0,4.14,24.84
1.0,0.0,13.7
1.0,4.28,25.68
1.0,0.0,12.3
1.0,1.0,26.6
1.0,7.36,44.16
1.0,10.0,24.4
2.0,3.42,17.12
2.0,2.74,16.44
2.0,2.46,14.76
2.0,0.0,38.2
2.0,5.0,25.0
1.0,2.32,13.92
1.0,3.78,18.88
1.0,4.83,24.13
1.0,2.27,11.37
1.0,2.0,19.9
1.0,4.48,22.38
1.0,3.69,15.99
1.0,2.6,15.6
2.0,0.0,20.7
1.0,3.3,19.8
1.0,0.0,20.0
1.0,2.26,17.36
1.0,10.0,24.4
1.0,6.0,49.1
1.0,2.9,17.3
1.0,2.58,19.78
1.0,4.95,29.85
1.0,1.5,18.0
1.0,6.24,37.44
1.0,0.0,51.55
1.0,0.15,58.15
2.0,2.6,15.6
1.0,2.0,18.5
1.0,3.72,22.32
1.0,4.0,24.0
1.0,0.0,10.5
1.0,2.0,29.7
3.0,2.85,17.25
1.0,2.6,15.6
1.0,0.0,68.45
1.0,4.3,18.7
1.0,5.85,29.35
1.0,3.86,23.16
2.0,4.98,29.88
4.0,0.0,13.7
1.0,4.14,24.84
1.0,2.74,16.44
2.0,3.16,18.96
1.0,5.54,33.24
1.0,5.0,32.7
