passenger_count,tip_amount,total_amount
1.0,3.05,33.55
2.0,15.0,99.8
1.0,0.0,41.7
2.0,3.02,18.12
4.0,0.0,17.9
1.0,2.0,20.2
1.0,0.0,17.5
3.0,3.72,22.32
2.0,0.0,55.25
0.0,2.7,19.5
0.0,0.0,14.4
0.0,1.0,14.0
0.0,3.3,19.8
0.0,1.51,16.61
1.0,2.5,21.8
1.0,5.0,32.7
1.0,0.0,64.1
5.0,1.21,25.41
2.0,1.0,17.0
1.0,2.16,16.56
1.0,0.0,-43.1
1.0,0.0,43.1
1.0,2.5,18.3
4.0,4.56,27.36
4.0,0.0,19.3
4.0,4.14,24.84
1.0,4.7,28.2
1.0,7.97,39.87
1.0,3.44,20.64
1.0,2.66,15.96
1.0,0.0,36.1
3.0,0.0,-85.55
3.0,0.0,85.55
1.0,0.0,22.1
1.0,3.3,19.8
2.0,6.8,40.8
1.0,0.0,19.3
1.0,3.86,23.16
1.0,0.0,28.4
1.0,0.0,36.1
0.0,2.0,12.9
1.0,3.3,19.8
1.0,5.2,25.9
2.0,0.0,15.1
1.0,2.74,16.44
1.0,0.0,10.9
3.0,6.26,47.96
2.0,0.5,14.9
2.0,3.63,27.83
1.0,2.6,15.6
3.0,0.0,16.5
1.0,2.6,15.6
1.0,0.0,10.9
2.0,0.0,12.3
1.0,3.0,23.7
1.0,2.88,17.28
1.0,3.02,18.12
2.0,11.63,71.53
1.0,6.16,36.96
1.0,3.0,24.4
0.0,3.0,18.1
0.0,3.02,18.12
2.0,0.0,20.0
1.0,1.0,14.7
1.0,2.45,14.75
1.0,4.5,19.6
1.0,0.0,16.7
1.0,0.0,7.0
1.0,10.0,81.05
1.0,2.7,16.4
2.0,1.5,15.9
1.0,4.25,25.65
1.0,17.45,104.75
2.0,2.1,23.5
1.0,3.3,19.8
1.0,0.0,68.55
3.0,12.89,79.09
2.0,2.0,22.0
1.0,0.0,7.0
1.0,5.55,24.15
1.0,4.84,29.04
1.0,16.58,71.83
2.0,13.09,80.29
1.0,0.0,15.8
1.0,1.5,15.9
1.0,1.3,15.0
1.0,3.02,18.12
1.0,2.74,16.44
0.0,0.0,32.6
3.0,10.0,97.3
3.0,0.0,25.6
3.0,0.0,11.6
1.0,0.0,14.4
2.0,2.6,15.6
1.0,0.0,37.5
1.0,1.0,21.7
2.0,0.0,-22.8
2.0,0.0,22.8
1.0,6.58,32.88
2.0,12.28,63.13
1.0,3.15,18.95
1.0,0.0,18.6
1.0,0.0,32.55
0.0,1.44,15.84
2.0,0.0,20.0
1.0,4.55,27.35
2.0,2.06,15.76
1.0,2.9,22.2
1.0,1.0,14.0
1.0,1.28,33.88
1.0,2.74,16.44
1.0,4.56,27.36
1.0,2.74,16.44
1.0,1.0,21.0
2.0,0.0,20.0
1.0,3.86,23.16
1.0,4.0,24.0
0.0,3.15,18.95
2.0,8.2,49.2
2.0,9.36,40.56
1.0,2.0,21.3
0.0,10.0,71.3
1.0,0.0,17.9
1.0,3.86,23.16
1.0,4.7,28.2
2.0,0.0,22.1
1.0,0.0,69.25
3.0,4.84,29.04
1.0,4.14,24.84
1.0,0.0,24.2
1.0,2.3,13.9
1.0,1.5,20.8
1.0,2.46,14.76
1.0,0.0,20.7
1.0,1.0,14.0
1.0,0.0,18.6
2.0,15.8,94.8
1.0,4.56,27.36
1.0,4.12,20.62
3.0,5.4,32.4
1.0,0.0,17.9
1.0,4.53,19.63
2.0,3.9,16.9
1.0,5.0,44.6
1.0,2.0,13.9
1.0,5.4,32.4
1.0,5.26,31.56
1.0,2.0,22.0
2.0,13.04,79.99
1.0,0.0,16.7
1.0,0.0,27.7
1.0,2.6,15.6
1.0,4.53,19.63
1.0,0.0,14.4
1.0,3.3,19.8
2.0,11.95,90.0
1.0,4.0,26.8
1.0,2.38,14.28
1.0,3.16,18.96
1.0,7.1,35.5
1.0,2.18,13.08
1.0,0.0,15.1
1.0,2.0,17.8
4.0,0.0,19.3
1.0,10.0,73.35
1.0,10.0,81.45
1.0,0.0,-64.1
1.0,0.0,64.1
2.0,14.0,101.3
2.0,4.0,24.0
2.0,3.0,25.8
1.0,5.0,34.8
1.0,8.06,48.36
1.0,0.0,17.9
1.0,2.16,16.56
1.0,6.8,40.8
1.0,4.84,29.04
3.0,2.32,13.92
1.0,0.0,11.6
1.0,2.52,15.12
1.0,3.16,18.96
3.0,3.72,22.32
3.0,6.24,37.44
1.0,2.0,25.5
1.0,1.0,14.7
2.0,7.0,74.6
2.0,3.15,18.95
1.0,2.0,14.3
4.0,0.0,85.55
2.0,4.0,24.0
1.0,0.0,48.05
1.0,2.37,18.17
1.0,3.02,18.12
1.0,3.0,20.2
3.0,0.0,17.9
1.0,0.0,10.9
1.0,2.88,17.28
1.0,5.12,30.72
1.0,2.63,28.93
1.0,3.72,22.32
2.0,2.0,27.6
1.0,3.6,18.0
4.0,0.0,20.0
1.0,5.6,24.2
1.0,2.45,14.75
1.0,0.0,19.3
1.0,2.0,24.1
2.0,2.88,17.28
1.0,5.0,31.3
3.0,0.0,19.3
1.0,4.28,25.68
1.0,0.0,13.3
6.0,0.0,30.5
6.0,5.0,23.6
2.0,2.74,16.44
2.0,0.0,48.0
1.0,1.25,14.25
0.0,0.0,21.4
1.0,2.74,16.44
1.0,2.46,14.76
1.0,3.3,19.8
1.0,5.68,34.08
1.0,1.5,15.9
1.0,2.24,13.44
1.0,3.0,31.7
1.0,0.0,38.2
2.0,13.99,83.94
1.0,17.11,104.41
1.0,3.36,20.16
2.0,0.0,20.7
3.0,4.84,29.04
2.0,2.58,19.78
4.0,4.14,24.84
2.0,4.0,21.2
1.0,1.0,13.3
1.0,0.0,18.6
3.0,0.0,40.3
3.0,0.0,18.9
2.0,3.58,21.48
2.0,2.73,13.63
1.0,3.02,18.12
1.0,6.1,36.6
1.0,2.46,14.76
2.0,4.28,25.68
1.0,11.21,69.01
1.0,2.88,17.28
1.0,0.0,12.3
1.0,3.44,20.64
2.0,4.0,24.0
1.0,2.74,16.44
1.0,8.0,25.2
1.0,5.35,26.75
1.0,4.0,33.1
1.0,2.45,12.25
1.0,3.95,19.75
6.0,2.32,13.92
6.0,3.3,19.8
1.0,3.3,19.8
1.0,2.74,16.44
4.0,4.4,26.5
2.0,9.0,54.2
1.0,7.9,47.5
2.0,0.0,15.1
2.0,3.16,18.96
1.0,1.72,18.92
2.0,15.68,94.08
4.0,0.0,35.4
1.0,2.0,16.4
1.0,3.72,22.32
1.0,3.86,23.16
1.0,4.28,25.68
3.0,1.84,14.14
1.0,3.0,23.0
3.0,3.58,21.48
1.0,2.0,60.55
3.0,0.0,15.1
1.0,2.0,19.2
1.0,6.94,41.64
1.0,0.0,63.4
1.0,2.88,17.28
1.0,2.0,17.8
2.0,4.36,33.46
1.0,4.1,24.8
1.0,3.0,22.3
1.0,3.44,20.64
1.0,1.0,15.0
2.0,5.0,21.1
2.0,3.02,18.12
1.0,0.0,79.0
1.0,0.0,9.5
1.0,3.85,23.15
1.0,0.0,12.3
1.0,0.0,10.2
1.0,3.02,18.12
2.0,4.14,24.84
1.0,1.4,20.0
1.0,0.0,17.2
1.0,0.0,22.1
1.0,4.34,26.04
1.0,3.16,18.96
1.0,3.58,21.48
1.0,3.16,18.96
1.0,3.02,18.12
1.0,0.0,12.3
1.0,3.02,18.12
3.0,2.0,26.2
1.0,3.58,21.48
1.0,0.0,20.0
1.0,2.3,13.9
1.0,0.0,15.1
1.0,13.1,100.4
1.0,0.0,20.0
1.0,5.25,31.55
1.0,2.0,28.3
1.0,0.0,13.7
1.0,6.3,31.5
1.0,0.0,20.7
1.0,1.0,19.2
1.0,4.12,20.62
1.0,0.0,44.7
2.0,3.72,22.32
1.0,4.42,26.52
1.0,0.0,13.0
2.0,6.8,40.8
1.0,6.85,36.0
2.0,1.0,13.3
1.0,2.88,17.28
1.0,7.22,43.32
1.0,0.0,33.3
1.0,4.7,28.2
2.0,2.46,14.76
1.0,3.3,19.8
1.0,0.0,12.3
1.0,5.0,25.0
1.0,3.44,20.64
1.0,3.72,22.32
1.0,2.0,29.3
1.0,0.0,13.0
1.0,3.44,20.64
1.0,4.7,28.2
1.0,4.7,28.2
1.0,0.0,15.8
1.0,0.0,11.6
1.0,0.0,83.05
1.0,0.0,21.7
1.0,5.54,33.24
1.0,5.53,27.63
2.0,5.35,23.25
2.0,2.7,16.4
1.0,4.98,29.88
1.0,0.0,13.7
2.0,14.14,84.84
1.0,1.8,10.9
1.0,0.0,20.7
1.0,12.19,74.89
1.0,0.0,49.7
2.0,3.3,19.8
4.0,0.0,18.6
1.0,0.0,43.1
2.0,6.1,36.6
1.0,5.46,32.76
1.0,1.0,17.5
2.0,3.77,18.87
2.0,6.58,32.88
2.0,2.0,17.1
2.0,2.0,23.4
1.0,3.85,23.15
1.0,0.0,20.0
0.0,2.7,16.3
1.0,0.0,-15.1
1.0,0.0,15.1
2.0,2.88,17.28
2.0,0.0,13.7
2.0,2.74,16.44
2.0,7.64,45.84
6.0,10.0,59.65
1.0,0.0,17.9
2.0,2.6,15.6
1.0,3.3,19.8
1.0,1.0,16.8
1.0,2.88,17.28
1.0,0.0,73.85
1.0,4.65,23.25
1.0,0.0,22.1
3.0,3.3,19.8
1.0,2.0,19.2
1.0,3.72,22.32
1.0,12.84,57.39
1.0,3.0,90.3
1.0,2.3,13.9
1.0,2.3,13.9
1.0,6.8,40.8
1.0,0.0,27.0
1.0,5.25,31.55
1.0,0.0,13.7
1.0,7.9,47.5
1.0,0.0,10.5
1.0,8.96,55.51
1.0,1.0,23.8
1.0,5.0,75.05
1.0,3.72,22.32
1.0,2.0,24.1
1.0,2.5,23.9
1.0,4.56,27.36
1.0,2.88,17.28
1.0,0.0,20.7
1.0,0.0,25.6
1.0,3.6,21.5
1.0,0.0,16.5
3.0,8.5,42.5
1.0,4.28,25.68
1.0,2.25,26.45
1.0,6.4,27.8
1.0,2.74,16.44
1.0,6.4,32.0
1.0,2.22,80.77
2.0,3.3,19.8
1.0,6.24,37.44
1.0,5.7,28.5
1.0,0.0,17.9
1.0,2.46,14.76
1.0,3.58,21.48
1.0,3.3,19.8
2.0,4.0,24.0
1.0,0.0,38.45
1.0,3.44,20.64
1.0,10.37,63.97
1.0,10.51,63.06
1.0,5.25,31.55
1.0,0.0,29.15
3.0,2.74,16.44
1.0,3.15,18.95
1.0,0.1,15.2
1.0,1.0,14.7
1.0,10.0,28.6
4.0,13.52,81.12
1.0,3.86,23.16
2.0,0.0,24.9
1.0,8.99,53.94
1.0,3.7,16.0
2.0,2.9,17.3
1.0,3.72,22.32
1.0,0.0,64.55
1.0,2.3,13.9
1.0,2.18,13.08
1.0,0.0,19.3
1.0,4.42,26.52
2.0,0.0,-15.1
2.0,0.0,15.1
3.0,0.0,-22.8
3.0,0.0,22.8
1.0,2.0,18.5
1.0,4.0,25.4
3.0,3.16,18.96
1.0,17.11,104.41
1.0,2.7,16.4
1.0,2.16,16.56
1.0,4.8,29.0
2.0,0.0,73.2
1.0,0.0,20.0
1.0,4.8,24.1
1.0,0.0,13.7
1.0,9.2,46.0
1.0,1.0,19.6
1.0,4.42,26.52
1.0,4.14,24.84
1.0,3.08,15.38
1.0,8.0,88.75
0.0,3.15,18.95
1.0,23.65,141.85
1.0,3.7,22.3
1.0,2.0,22.7
1.0,1.0,22.4
2.0,3.44,20.64
2.0,5.12,30.72
1.0,3.72,22.32
1.0,1.0,18.2
1.0,5.54,33.24
1.0,2.6,15.6
1.0,1.0,21.0
1.0,2.88,17.28
5.0,10.3,61.8
1.0,11.22,69.07
1.0,2.0,24.8
1.0,0.0,15.8
1.0,3.5,28.4
1.0,3.1,23.8
2.0,0.0,15.4
1.0,2.74,16.44
2.0,2.0,17.8
1.0,3.25,16.25
1.0,6.58,32.88
1.0,0.0,32.85
1.0,2.0,16.4
3.0,5.8,34.9
1.0,20.09,120.54
1.0,0.0,32.0
1.0,0.0,85.55
1.0,16.81,100.86
1.0,0.0,25.0
1.0,5.52,27.62
1.0,12.89,79.09
1.0,2.88,17.28
1.0,2.0,35.6
2.0,0.0,16.5
2.0,1.0,25.2
2.0,0.0,17.2
1.0,4.7,28.2
1.0,2.0,33.2
1.0,0.0,16.5
4.0,2.94,17.64
1.0,11.06,66.36
3.0,5.0,38.3
1.0,2.14,23.54
1.0,2.6,15.6
1.0,2.85,17.25
1.0,0.0,10.2
1.0,3.0,19.5
1.0,2.7,16.4
1.0,2.6,15.6
1.0,3.72,22.32
1.0,0.0,17.9
1.0,2.0,19.2
1.0,2.0,14.3
3.0,15.0,100.55
1.0,1.72,18.92
1.0,3.42,17.12
1.0,1.0,23.1
1.0,4.56,27.36
2.0,1.0,26.6
1.0,7.92,47.52
1.0,8.68,43.38
1.0,0.0,7.0
1.0,9.05,54.3
1.0,3.02,18.12
4.0,0.0,23.5
1.0,4.0,24.0
1.0,1.65,18.15
1.0,6.55,32.85
2.0,5.0,33.4
1.0,4.0,25.4
3.0,4.7,28.2
1.0,5.4,32.4
2.0,7.92,47.52
1.0,0.0,85.55
1.0,2.6,15.6
1.0,8.0,26.6
1.0,3.75,18.85
2.0,2.45,14.75
1.0,2.18,13.08
1.0,4.56,27.36
1.0,3.74,28.64
1.0,4.14,24.84
1.0,0.0,24.9
1.0,4.42,26.52
3.0,3.36,20.16
4.0,0.0,21.4
2.0,0.0,15.8
1.0,2.06,15.76
1.0,0.0,19.3
1.0,4.28,25.68
1.0,0.0,14.4
1.0,2.0,19.9
1.0,0.0,87.3
2.0,2.6,15.6
1.0,3.32,25.42
2.0,3.02,18.12
1.0,0.0,22.8
1.0,0.0,17.9
1.0,2.3,13.9
1.0,3.0,20.2
1.0,4.7,28.2
1.0,1.0,23.8
1.0,2.9,14.5
1.0,0.0,13.7
1.0,0.0,65.1
1.0,2.74,16.44
1.0,0.0,17.2
1.0,2.85,17.25
1.0,4.14,24.84
1.0,1.0,23.1
1.0,12.25,73.5
2.0,0.0,57.75
2.0,15.0,123.65
1.0,2.0,13.6
1.0,2.75,21.35
2.0,5.1,30.7
1.0,0.0,15.1
1.0,4.14,24.84
1.0,0.0,15.1
1.0,1.0,18.9
1.0,0.0,20.0
1.0,0.0,10.9
1.0,3.0,27.2
1.0,2.32,13.92
1.0,2.0,15.7
1.0,2.0,22.0
1.0,4.14,24.84
2.0,7.1,35.5
1.0,3.0,22.3
1.0,2.88,17.28
1.0,4.14,24.84
1.0,0.0,13.3
3.0,3.72,22.32
1.0,0.0,20.7
2.0,4.7,28.2
1.0,10.0,75.15
2.0,0.0,14.4
3.0,2.0,24.8
1.0,4.0,59.05
1.0,10.02,60.12
3.0,6.66,39.96
3.0,3.02,18.12
3.0,3.16,18.96
1.0,3.02,18.12
1.0,1.44,15.84
1.0,3.3,19.8
3.0,3.16,18.96
3.0,2.9,25.0
1.0,5.58,24.18
1.0,8.62,51.72
1.0,2.0,22.7
1.0,2.84,31.24
1.0,3.44,20.64
2.0,5.12,30.72
1.0,0.0,18.6
1.0,2.46,14.76
6.0,2.88,17.28
2.0,0.0,80.75
1.0,2.0,28.6
1.0,2.0,18.5
1.0,0.0,22.1
1.0,0.0,121.05
3.0,3.86,23.16
2.0,13.17,80.77
2.0,6.6,32.9
1.0,0.0,12.3
1.0,2.0,17.8
1.0,5.54,33.24
5.0,4.65,23.25
5.0,4.56,27.36
2.0,0.0,11.9
2.0,1.68,10.08
2.0,0.0,17.5
1.0,3.16,18.96
1.0,1.75,27.35
4.0,0.0,12.8
1.0,2.0,12.0
2.0,1.85,11.15
1.0,3.0,39.8
