passenger_count,tip_amount,total_amount
2.0,0.0,16.5
2.0,5.0,37.6
1.0,3.86,23.16
1.0,3.02,18.12
1.0,4.7,28.2
4.0,1.16,12.76
3.0,4.4,26.5
1.0,0.0,25.05
1.0,2.7,16.4
1.0,2.5,18.3
1.0,5.0,27.8
1.0,6.94,41.64
1.0,0.0,12.6
1.0,3.4,20.6
1.0,3.55,21.45
1.0,0.0,15.1
2.0,2.5,20.4
2.0,3.25,16.25
2.0,2.0,16.4
1.0,3.15,18.95
5.0,3.55,21.45
0.0,4.95,29.85
1.0,3.6,18.0
1.0,4.95,21.45
1.0,2.0,24.1
3.0,3.15,18.95
2.0,0.0,13.7
1.0,8.06,48.36
2.0,15.76,78.81
1.0,5.4,32.4
2.0,5.35,23.25
1.0,0.0,31.2
1.0,0.0,34.7
1.0,3.6,18.0
1.0,0.0,43.1
1.0,1.93,21.23
2.0,4.2,34.0
1.0,4.0,24.0
1.0,8.73,37.83
1.0,4.5,67.55
1.0,2.68,20.58
1.0,4.0,24.0
1.0,3.1,28.0
1.0,1.95,14.95
1.0,17.35,104.15
1.0,0.0,22.8
1.0,3.4,20.6
2.0,2.85,17.25
1.0,4.1,24.8
1.0,2.48,18.98
1.0,0.0,-79.0
1.0,0.0,79.0
3.0,4.98,29.88
1.0,0.0,22.8
1.0,12.57,75.42
1.0,2.5,21.1
1.0,0.0,11.6
1.0,2.3,13.9
1.0,3.15,18.95
2.0,2.0,46.05
1.0,2.0,17.1
1.0,2.3,13.9
1.0,3.15,18.95
1.0,2.0,28.3
1.0,0.0,15.8
1.0,3.0,18.1
3.0,3.15,18.95
1.0,3.48,15.08
2.0,2.46,14.76
1.0,6.8,40.8
1.0,3.25,16.25
1.0,5.0,41.8
1.0,3.32,16.62
2.0,3.58,21.48
6.0,2.04,12.24
1.0,0.0,19.3
1.0,3.0,30.7
1.0,3.16,18.96
1.0,0.0,15.8
3.0,2.0,24.1
1.0,5.54,33.24
2.0,3.86,23.16
1.0,2.0,22.0
1.0,4.28,25.68
1.0,2.5,23.9
1.0,1.08,17.58
1.0,2.58,19.78
1.0,1.0,23.1
3.0,0.0,25.6
1.0,1.0,24.5
1.0,1.3,15.0
1.0,2.88,17.28
1.0,3.86,23.16
1.0,4.53,19.63
1.0,1.0,16.8
1.0,3.0,20.2
1.0,3.0,18.1
2.0,2.0,17.1
1.0,5.0,27.1
2.0,0.0,11.2
1.0,0.0,15.1
1.0,15.0,123.35
1.0,3.3,19.8
1.0,6.42,27.82
1.0,3.16,18.96
1.0,4.0,24.0
1.0,6.1,36.6
1.0,0.0,20.0
1.0,0.0,16.7
1.0,0.0,39.6
1.0,0.0,12.0
1.0,13.0,78.0
1.0,3.02,18.12
2.0,4.98,29.88
1.0,1.0,39.2
2.0,0.0,86.8
1.0,1.85,14.15
1.0,5.95,35.75
1.0,3.85,23.15
1.0,0.0,15.8
1.0,3.0,18.1
1.0,3.55,21.45
1.0,0.0,27.0
3.0,2.2,19.4
1.0,3.85,23.15
5.0,2.74,16.44
5.0,0.0,123.55
2.0,2.0,62.75
2.0,9.57,41.47
2.0,2.0,29.0
2.0,2.0,26.2
2.0,3.25,16.25
2.0,6.0,37.2
2.0,17.11,103.91
1.0,2.74,16.44
1.0,4.14,24.84
1.0,4.14,24.84
1.0,2.88,17.28
1.0,3.3,19.8
1.0,3.3,19.8
1.0,23.09,138.54
1.0,4.28,25.68
1.0,6.38,38.28
4.0,4.0,19.8
2.0,4.4,26.5
1.0,1.2,14.2
3.0,3.72,22.32
3.0,14.89,74.44
1.0,7.84,48.29
1.0,10.0,96.8
1.0,0.0,10.2
1.0,1.0,19.6
1.0,2.16,16.56
1.0,10.43,52.13
1.0,4.28,25.68
1.0,17.11,102.66
1.0,6.52,39.12
1.0,3.6,18.0
2.0,1.0,13.3
1.0,6.58,32.88
1.0,0.0,30.65
1.0,2.0,21.3
1.0,5.35,26.75
3.0,4.28,25.68
1.0,11.3,74.1
1.0,2.6,15.6
1.0,0.0,29.8
1.0,0.0,19.0
1.0,0.0,22.0
1.0,3.0,13.9
1.0,0.0,22.1
1.0,0.0,86.8
1.0,12.3,53.3
1.0,0.0,-22.1
1.0,0.0,22.1
1.0,1.0,17.5
1.0,3.25,16.25
1.0,2.74,16.44
1.0,0.0,13.7
1.0,2.18,13.08
1.0,4.28,25.68
1.0,4.25,39.65
1.0,5.26,31.56
1.0,0.0,17.9
1.0,3.3,19.8
1.0,4.0,24.0
1.0,4.7,28.2
1.0,7.63,38.13
1.0,3.3,19.8
2.0,4.28,25.68
1.0,3.4,20.6
2.0,5.0,89.3
0.0,3.3,19.8
0.0,2.14,23.54
1.0,0.0,16.5
1.0,2.46,14.76
1.0,3.02,18.12
1.0,0.0,18.6
1.0,3.08,15.38
1.0,3.3,19.8
1.0,0.0,22.8
1.0,4.0,24.0
2.0,2.85,17.25
2.0,5.21,39.91
1.0,0.0,-77.75
1.0,0.0,77.75
1.0,5.0,79.85
1.0,2.45,14.75
1.0,3.02,18.12
1.0,3.15,18.95
1.0,3.1,20.3
1.0,10.3,61.8
1.0,3.3,19.8
1.0,6.0,91.55
1.0,5.0,18.0
0.0,3.9,16.9
1.0,2.0,19.9
1.0,2.0,20.6
1.0,2.0,17.8
1.0,2.88,17.28
1.0,1.0,29.4
1.0,2.58,19.78
1.0,3.84,29.44
1.0,3.0,30.0
1.0,4.14,24.84
1.0,5.65,34.05
1.0,2.88,17.28
1.0,2.58,19.78
1.0,0.0,20.0
1.0,3.02,18.12
1.0,4.0,24.0
1.0,2.0,24.8
1.0,2.65,15.95
1.0,0.0,29.8
1.0,3.16,18.96
1.0,4.17,45.87
1.0,6.0,40.7
1.0,2.88,17.28
1.0,2.0,20.6
2.0,3.15,18.95
1.0,3.0,18.1
1.0,5.26,31.56
1.0,2.35,25.85
2.0,0.0,18.6
2.0,5.52,27.62
1.0,3.6,18.0
1.0,0.0,25.6
1.0,1.0,17.5
1.0,3.86,23.16
1.0,0.0,36.25
1.0,3.44,20.64
2.0,5.12,30.72
1.0,15.26,92.81
2.0,3.0,20.2
1.0,2.7,16.4
1.0,10.0,34.0
1.0,2.88,17.28
1.0,1.0,17.5
1.0,11.13,66.78
1.0,4.14,24.84
1.0,2.32,13.92
1.0,2.0,31.1
1.0,3.1,23.8
1.0,3.3,19.8
1.0,2.0,24.1
1.0,2.0,26.9
1.0,2.74,16.44
1.0,0.0,17.5
1.0,3.0,23.0
1.0,5.1,30.7
2.0,3.0,34.9
1.0,2.0,17.1
1.0,5.82,34.92
1.0,0.0,14.4
3.0,0.0,18.6
1.0,0.0,16.5
3.0,3.16,18.96
2.0,0.0,-7.0
2.0,0.0,7.0
2.0,10.0,74.3
1.0,4.7,28.2
1.0,3.44,20.64
1.0,4.42,26.52
1.0,3.58,21.48
1.0,2.74,16.44
1.0,5.82,34.92
1.0,4.0,24.0
2.0,1.0,14.7
2.0,0.0,85.55
1.0,2.24,13.44
1.0,3.86,23.16
1.0,10.25,51.25
1.0,2.6,15.6
1.0,1.95,14.95
1.0,0.0,14.4
1.0,4.0,38.0
1.0,0.0,17.2
1.0,3.95,19.75
1.0,7.35,44.15
1.0,1.0,11.2
1.0,0.0,18.6
1.0,3.58,21.48
1.0,3.25,22.55
1.0,5.15,22.35
1.0,4.7,28.2
1.0,3.15,18.95
1.0,2.0,26.9
1.0,2.85,17.25
3.0,4.7,28.2
1.0,0.0,21.4
1.0,12.61,76.91
