passenger_count,tip_amount,total_amount
1.0,2.72,16.32
1.0,4.68,28.08
1.0,5.0,24.9
1.0,1.0,14.6
1.0,3.14,18.84
2.0,8.65,43.25
3.0,3.55,21.35
2.0,3.25,19.65
1.0,3.28,19.68
1.0,6.81,29.51
1.0,5.24,31.44
1.0,1.36,14.96
1.0,2.72,16.32
4.0,0.0,15.7
2.0,5.52,33.12
1.0,2.5,14.0
1.0,1.0,14.6
1.0,0.0,44.4
1.0,3.95,19.65
1.0,2.85,17.15
2.0,2.58,15.48
4.0,0.0,27.6
1.0,1.2,14.1
3.0,2.86,17.16
1.0,0.0,39.5
1.0,16.46,98.76
1.0,0.0,11.5
1.0,3.14,18.84
2.0,0.0,13.6
1.0,2.88,22.08
2.0,3.66,15.86
1.0,4.0,23.9
1.0,1.0,14.6
1.0,2.86,17.16
1.0,2.72,16.32
1.0,4.4,26.4
1.0,1.0,23.0
1.0,11.98,73.63
1.0,0.0,5.5
1.0,3.3,19.7
4.0,16.11,98.41
4.0,0.0,34.6
1.0,4.4,26.4
1.0,6.36,38.16
1.0,3.75,18.75
1.0,1.0,11.1
1.0,2.44,14.64
2.0,0.0,15.0
2.0,2.0,30.3
3.0,3.05,15.25
2.0,3.0,18.0
1.0,8.97,68.77
1.0,0.0,19.2
1.0,3.0,18.0
1.0,3.56,21.36
1.0,3.28,19.68
2.0,0.0,74.0
2.0,0.0,-10.1
2.0,0.0,10.1
3.0,10.07,60.42
1.0,4.12,24.72
1.0,10.0,64.9
1.0,4.04,30.94
1.0,5.8,34.8
1.0,2.0,21.9
1.0,4.1,20.5
1.0,3.56,21.36
1.0,1.88,11.28
1.0,2.3,13.8
1.0,2.58,15.48
3.0,12.08,94.38
1.0,4.12,24.72
1.0,2.16,12.96
1.0,0.0,-24.1
1.0,0.0,24.1
1.0,2.44,14.64
1.0,0.0,17.1
1.0,2.3,13.8
1.0,6.78,40.68
1.0,14.23,63.43
1.0,3.42,20.52
1.0,9.33,40.43
1.0,10.0,92.3
1.0,0.0,17.1
1.0,3.23,16.13
1.0,2.9,20.0
1.0,3.92,19.62
1.0,2.4,16.0
1.0,3.28,19.68
1.0,0.0,17.8
1.0,2.58,15.48
1.0,2.0,17.7
1.0,2.5,21.7
1.0,2.02,12.12
1.0,1.57,17.27
1.0,0.0,10.8
3.0,3.75,18.75
1.0,2.15,12.95
1.0,10.0,92.3
2.0,7.23,31.33
1.0,0.0,-9.4
1.0,0.0,9.4
1.0,7.65,33.15
1.0,0.0,22.0
1.0,8.59,53.29
1.0,2.86,17.16
3.0,5.15,25.75
1.0,3.56,21.36
1.0,2.5,29.4
1.0,2.44,14.64
1.0,2.44,14.64
1.0,3.0,18.0
1.0,8.75,52.45
1.0,3.28,19.68
1.0,3.56,21.36
3.0,4.26,25.56
1.0,1.99,21.89
1.0,3.84,23.04
1.0,3.56,21.36
1.0,16.11,96.66
1.0,5.0,60.85
1.0,4.54,27.24
1.0,4.28,21.38
1.0,1.0,11.8
1.0,2.52,12.62
1.0,0.0,19.9
2.0,2.16,12.96
1.0,0.0,14.3
1.0,0.0,15.7
2.0,2.0,17.7
4.0,3.0,21.5
2.0,3.55,21.35
1.0,0.0,71.65
2.0,16.11,98.41
2.0,20.0,231.4
5.0,16.52,82.62
5.0,3.98,23.88
5.0,4.82,28.92
2.0,16.11,98.41
1.0,2.0,20.5
1.0,12.31,63.31
1.0,4.5,19.5
1.0,2.85,17.15
1.0,1.0,13.2
2.0,2.72,16.32
1.0,1.08,11.88
1.0,12.05,60.25
1.0,1.4,22.0
1.0,3.42,20.52
2.0,0.0,11.5
1.0,2.16,12.96
1.0,0.0,-29.0
1.0,0.0,29.0
2.0,3.14,18.84
2.0,0.0,23.4
1.0,10.34,62.04
1.0,0.0,54.9
