passenger_count,tip_amount,total_amount
1.0,5.55,27.65
1.0,28.7,172.2
1.0,0.0,14.4
0.0,0.0,32.6
1.0,18.6,80.6
2.0,7.85,34.15
3.0,0.0,35.4
3.0,5.4,32.4
2.0,1.0,21.7
2.0,1.0,21.7
3.0,0.0,21.4
1.0,1.0,28.0
0.0,6.4,32.0
1.0,1.0,13.3
1.0,2.32,13.92
3.0,2.7,16.4
1.0,0.0,14.4
1.0,12.75,76.5
1.0,2.0,20.6
1.0,6.92,34.62
1.0,2.0,17.8
1.0,1.0,14.7
1.0,4.65,23.25
2.0,5.0,33.4
1.0,4.4,26.5
1.0,7.05,30.55
1.0,0.0,57.4
2.0,2.85,14.45
1.0,0.0,27.7
1.0,0.0,29.8
1.0,2.26,17.36
1.0,11.25,48.75
2.0,1.0,11.9
1.0,2.0,26.2
1.0,0.0,24.9
1.0,2.9,14.5
1.0,5.35,26.75
1.0,3.85,23.15
1.0,2.18,13.08
2.0,2.5,26.0
1.0,3.3,19.8
1.0,7.5,45.0
2.0,15.0,102.3
2.0,4.1,24.8
2.0,2.85,17.25
2.0,14.15,84.9
1.0,7.28,36.38
1.0,5.0,38.6
1.0,0.0,23.5
1.0,4.0,24.0
1.0,3.0,15.3
1.0,9.9,49.5
1.0,5.5,27.6
1.0,6.9,41.6
1.0,6.4,32.0
5.0,4.36,33.46
1.0,2.25,23.65
1.0,0.0,24.2
1.0,5.4,32.4
1.0,6.8,40.8
2.0,13.0,100.3
1.0,11.0,66.0
2.0,12.11,92.86
1.0,1.51,16.61
1.0,3.86,23.16
1.0,5.95,35.75
1.0,1.0,19.6
2.0,3.0,37.7
2.0,3.44,20.64
1.0,4.28,25.68
1.0,3.3,19.8
2.0,4.32,18.72
1.0,0.0,20.7
2.0,0.0,13.7
2.0,2.46,14.76
1.0,3.16,18.96
1.0,15.8,96.55
1.0,3.86,23.16
1.0,6.0,41.4
1.0,8.34,50.04
2.0,0.0,13.0
1.0,6.94,41.64
1.0,3.95,19.75
1.0,1.75,17.55
1.0,5.4,32.4
1.0,2.0,16.4
1.0,3.0,18.1
1.0,4.3,18.7
2.0,3.02,18.12
1.0,4.3,21.5
1.0,10.0,97.3
1.0,9.57,41.47
1.0,5.4,32.4
1.0,0.0,22.8
1.0,0.0,12.3
1.0,0.0,17.2
1.0,4.42,26.52
2.0,2.9,22.2
2.0,2.48,18.98
1.0,0.0,17.2
1.0,3.16,18.96
2.0,0.0,19.3
2.0,4.56,27.36
1.0,0.0,32.7
1.0,0.0,80.75
1.0,5.35,23.25
2.0,3.0,20.9
1.0,0.0,22.8
1.0,4.98,29.88
1.0,4.53,19.63
2.0,3.78,18.88
2.0,2.74,16.44
1.0,1.93,21.23
1.0,2.46,14.76
1.0,3.3,19.8
1.0,5.68,34.08
1.0,2.0,32.5
2.0,0.0,38.2
2.0,3.44,20.64
2.0,4.32,18.72
2.0,0.0,25.6
2.0,3.72,22.32
2.0,6.58,32.88
2.0,11.91,71.46
1.0,6.0,127.25
1.0,6.5,46.8
2.0,2.88,17.28
1.0,0.0,12.3
1.0,3.0,32.8
1.0,10.0,82.75
1.0,0.0,14.4
1.0,3.02,18.12
1.0,5.82,34.92
1.0,0.0,14.4
1.0,0.0,85.55
1.0,5.0,25.0
2.0,5.26,31.56
1.0,1.0,18.9
1.0,0.0,28.4
1.0,5.26,31.56
1.0,1.44,15.84
1.0,4.28,25.68
2.0,2.45,14.75
1.0,4.7,28.2
3.0,7.25,31.45
1.0,10.0,34.2
1.0,13.05,78.2
1.0,0.0,14.4
1.0,4.55,27.35
1.0,5.12,30.72
1.0,2.0,17.1
1.0,9.9,49.5
1.0,2.6,15.6
1.0,3.86,23.16
1.0,6.1,36.6
1.0,6.94,41.64
2.0,3.0,18.1
1.0,2.0,13.6
2.0,0.0,39.6
1.0,5.54,33.24
2.0,2.74,16.44
2.0,0.0,17.2
2.0,4.0,24.0
1.0,4.4,26.5
1.0,0.0,12.3
1.0,3.7,22.3
1.0,3.7,22.3
1.0,1.65,18.15
1.0,8.62,51.72
1.0,3.55,21.45
2.0,0.0,15.8
2.0,2.45,14.75
1.0,1.0,14.7
2.0,0.0,22.1
1.0,2.38,14.28
1.0,3.3,19.8
1.0,4.3,21.5
1.0,3.44,20.64
2.0,0.0,27.0
1.0,2.0,25.5
1.0,2.0,17.1
2.0,0.8,15.9
1.0,4.84,29.04
1.0,16.15,96.9
4.0,5.0,65.9
1.0,12.05,72.3
1.0,21.63,95.48
1.0,6.8,40.8
1.0,3.55,21.45
1.0,0.0,11.6
1.0,4.0,24.0
1.0,2.0,40.9
1.0,4.15,24.85
1.0,1.86,20.46
1.0,2.0,17.1
1.0,10.0,22.3
2.0,3.21,24.61
3.0,0.0,22.1
2.0,6.25,40.95
1.0,2.88,17.28
1.0,4.42,26.52
2.0,17.11,104.41
2.0,1.0,21.7
1.0,1.0,21.0
1.0,1.65,18.15
