passenger_count,tip_amount,total_amount
1.0,5.6,33.6
3.0,6.15,36.95
1.0,2.1,12.8
1.0,2.95,17.85
1.0,2.8,17.0
1.0,5.6,33.6
1.0,2.0,18.1
1.0,3.08,18.48
1.0,3.78,22.68
1.0,1.0,13.6
2.0,6.85,41.15
1.0,2.38,14.28
1.0,2.0,13.9
1.0,3.22,19.32
1.0,5.0,61.0
2.0,3.78,22.68
2.0,0.0,10.1
2.0,3.08,18.48
1.0,7.0,42.0
1.0,4.62,27.72
1.0,3.85,19.25
1.0,2.35,14.25
1.0,1.0,17.8
1.0,0.0,14.7
1.0,0.0,12.6
2.0,2.52,15.12
4.0,6.82,34.12
1.0,3.2,19.3
1.0,0.0,11.2
1.0,0.0,7.7
1.0,0.0,21.7
1.0,6.3,37.8
1.0,4.66,30.56
1.0,6.16,36.96
1.0,2.66,15.96
1.0,0.0,9.1
1.0,1.46,8.76
1.0,9.75,42.25
1.0,5.6,33.6
1.0,4.38,21.88
2.0,0.0,7.3
2.0,4.2,25.2
1.0,7.7,46.2
1.0,4.06,24.36
1.0,2.38,14.28
1.0,1.0,23.4
1.0,16.36,98.16
2.0,2.1,12.6
1.0,4.1,31.4
1.0,0.0,35.7
1.0,3.5,17.5
1.0,5.42,27.12
1.0,1.5,16.2
1.0,0.0,9.1
1.0,2.65,15.95
1.0,2.1,12.6
1.0,3.22,19.32
1.0,2.03,22.33
1.0,2.35,14.25
1.0,1.0,9.4
1.0,2.0,18.1
1.0,1.0,14.3
1.0,2.0,22.3
1.0,0.0,31.5
1.0,2.52,15.12
1.0,4.4,19.1
2.0,0.0,12.6
1.0,2.94,17.64
1.0,3.35,20.15
1.0,0.0,11.2
1.0,2.31,10.01
1.0,6.44,38.64
1.0,2.24,13.44
1.0,0.0,16.1
3.0,3.5,21.0
2.0,3.22,19.32
2.0,3.5,21.0
1.0,0.0,64.6
1.0,2.1,16.1
5.0,0.0,16.8
2.0,0.0,11.2
1.0,0.0,21.7
1.0,3.35,20.15
1.0,1.0,12.9
0.0,15.05,90.3
1.0,0.0,18.9
2.0,4.38,21.88
1.0,16.1,96.65
2.0,1.0,18.5
1.0,3.75,22.65
1.0,1.95,11.75
3.0,3.64,21.84
4.0,3.5,21.0
2.0,4.34,26.04
3.0,4.2,25.2
1.0,0.0,11.2
2.0,3.5,21.0
1.0,2.1,12.6
1.0,2.38,14.28
2.0,3.64,21.84
1.0,0.0,23.1
2.0,0.0,37.1
3.0,0.0,11.9
1.0,0.0,8.4
1.0,2.1,12.6
1.0,0.0,11.2
1.0,0.0,20.3
1.0,3.15,15.75
1.0,14.49,86.94
1.0,0.0,19.7
1.0,3.78,22.68
1.0,4.34,26.04
1.0,1.96,11.76
4.0,3.36,20.16
1.0,3.57,15.47
1.0,3.64,21.84
1.0,3.0,13.5
1.0,0.0,9.1
3.0,3.05,18.45
1.0,0.0,16.1
1.0,5.46,32.76
1.0,5.25,26.25
4.0,0.0,25.9
1.0,2.94,17.64
1.0,0.0,20.3
4.0,2.66,15.96
1.0,3.92,23.52
1.0,4.2,25.2
2.0,5.85,35.25
0.0,4.0,27.8
0.0,3.0,15.6
0.0,1.5,15.5
1.0,3.64,21.84
1.0,5.95,29.75
1.0,0.0,74.25
2.0,2.31,17.71
1.0,2.0,16.0
1.0,2.1,12.6
1.0,4.48,26.88
1.0,2.65,15.95
1.0,0.0,21.7
0.0,0.0,24.5
2.0,0.0,20.3
1.0,0.0,10.5
2.0,4.41,19.11
1.0,2.8,16.8
1.0,0.0,10.5
1.0,1.68,12.88
1.0,2.66,15.96
1.0,0.0,16.8
1.0,5.0,42.1
1.0,4.48,26.88
2.0,3.78,22.68
2.0,4.9,29.4
1.0,2.0,18.1
1.0,1.5,17.6
1.0,0.0,25.9
1.0,2.66,15.96
1.0,5.46,32.76
2.0,4.48,26.88
1.0,19.51,97.56
1.0,0.0,56.0
1.0,3.08,18.48
1.0,0.0,18.9
1.0,2.24,13.44
1.0,1.82,20.02
1.0,0.0,23.8
1.0,6.83,34.13
1.0,3.22,19.32
1.0,0.0,25.2
1.0,3.05,18.45
4.0,2.9,12.7
1.0,2.24,13.44
2.0,2.6,25.0
1.0,1.5,17.6
1.0,5.18,31.08
1.0,2.52,19.32
1.0,3.5,21.0
1.0,2.94,17.64
1.0,0.0,15.4
2.0,12.0,67.5
1.0,0.0,16.1
1.0,0.08,25.98
1.0,0.0,9.8
2.0,1.5,11.3
1.0,0.0,20.3
1.0,2.65,13.15
3.0,2.5,15.1
2.0,5.18,31.08
2.0,3.99,17.29
1.0,0.0,12.6
2.0,10.2,61.3
1.0,0.0,23.1
2.0,4.95,29.75
1.0,16.36,98.16
2.0,5.0,30.2
2.0,3.78,22.68
2.0,2.24,13.44
2.0,5.0,26.7
1.0,9.1,45.5
2.0,6.0,36.1
1.0,1.0,19.9
1.0,6.47,32.37
1.0,3.08,18.48
1.0,3.85,19.25
2.0,4.2,25.2
2.0,0.0,11.2
1.0,1.0,12.9
2.0,6.3,37.8
2.0,0.0,74.0
2.0,2.52,15.12
3.0,2.52,15.12
1.0,2.8,16.8
1.0,2.94,17.64
1.0,3.78,22.68
1.0,6.58,39.48
1.0,0.0,12.6
2.0,2.0,15.3
1.0,2.2,13.4
1.0,4.9,24.5
1.0,0.0,15.4
2.0,2.95,14.85
1.0,0.0,11.9
2.0,2.5,15.1
2.0,8.9,44.6
1.0,2.0,18.8
1.0,4.34,26.04
2.0,4.6,27.7
4.0,3.47,26.57
1.0,3.85,19.25
1.0,4.34,26.04
1.0,2.0,13.2
1.0,4.62,20.02
1.0,2.52,15.12
1.0,3.9,23.5
1.0,3.8,22.7
1.0,3.36,14.56
1.0,3.33,16.63
2.0,3.36,20.16
1.0,0.0,21.7
1.0,0.0,10.1
1.0,1.5,8.8
1.0,2.0,21.6
2.0,2.38,14.28
4.0,6.65,33.25
1.0,2.94,17.64
1.0,3.22,19.32
1.0,4.0,20.8
1.0,0.0,16.4
1.0,2.8,16.8
1.0,3.22,19.32
1.0,0.0,8.7
1.0,2.52,16.52
1.0,0.77,16.17
