passenger_count,tip_amount,total_amount
1.0,3.08,18.48
1.0,0.0,41.45
2.0,0.0,14.0
1.0,5.1,25.4
1.0,12.25,73.5
1.0,1.0,16.4
1.0,2.0,15.3
1.0,11.35,68.25
1.0,0.0,9.8
1.0,2.0,16.0
2.0,0.0,35.7
1.0,6.0,35.0
1.0,2.1,12.6
1.0,0.0,20.3
1.0,13.91,70.81
5.0,4.02,20.12
1.0,1.0,10.1
1.0,14.09,70.44
1.0,10.0,25.4
3.0,0.0,28.7
2.0,1.0,17.1
1.0,3.0,11.4
1.0,0.0,10.8
1.0,13.09,79.79
4.0,24.25,145.7
2.0,16.11,97.91
2.0,0.0,14.0
2.0,0.0,14.0
1.0,0.0,12.6
1.0,3.0,16.3
1.0,15.61,93.66
1.0,6.86,41.16
1.0,4.2,21.0
1.0,2.52,15.12
1.0,4.72,23.62
1.0,3.9,23.5
1.0,2.65,15.95
1.0,13.09,79.79
1.0,0.0,-17.8
1.0,0.0,17.8
1.0,0.0,12.6
1.0,16.36,98.16
1.0,10.6,63.6
1.0,0.0,22.4
1.0,3.0,37.3
3.0,0.0,39.2
1.0,4.03,20.13
1.0,0.0,29.4
1.0,0.0,15.4
1.0,2.6,13.1
1.0,0.0,10.5
1.0,2.0,13.2
1.0,1.0,11.5
1.0,4.0,29.9
1.0,2.8,16.8
1.0,1.0,22.7
1.0,2.35,14.25
1.0,2.0,23.0
1.0,0.0,81.8
1.0,5.08,25.38
1.0,2.0,19.5
1.0,3.56,21.36
1.0,0.0,9.8
2.0,4.6,20.0
1.0,3.89,29.79
2.0,0.0,11.2
2.0,2.8,16.8
1.0,1.2,13.8
2.0,0.0,16.1
2.0,4.62,35.42
1.0,2.24,13.44
1.0,0.0,32.9
1.0,5.0,86.8
1.0,4.06,24.36
2.0,1.0,11.5
1.0,0.0,7.7
2.0,0.0,16.8
1.0,3.0,27.5
2.0,3.5,21.0
3.0,3.0,21.9
1.0,1.0,15.7
1.0,0.0,14.0
1.0,4.05,20.15
3.0,2.0,19.5
1.0,13.34,80.04
1.0,5.6,28.0
1.0,4.06,24.36
1.0,3.5,21.0
1.0,0.0,19.6
1.0,10.01,61.31
2.0,0.0,10.5
1.0,4.34,26.04
1.0,5.18,31.08
1.0,11.25,67.45
1.0,3.5,21.0
1.0,8.75,43.75
2.0,11.41,69.71
1.0,0.0,23.1
2.0,0.0,17.5
2.0,0.0,18.2
2.0,4.06,24.36
0.0,0.0,20.3
1.0,2.2,13.4
1.0,2.38,14.28
1.0,3.64,21.84
2.0,0.0,15.4
1.0,4.0,15.2
1.0,2.0,13.2
1.0,2.8,16.8
1.0,2.24,13.44
2.0,2.0,19.5
1.0,3.75,22.65
3.0,3.9,23.5
3.0,3.0,17.0
1.0,2.94,17.64
1.0,0.0,10.5
