passenger_count,tip_amount,total_amount
1.0,3.22,19.32
2.0,2.94,17.64
1.0,2.1,12.6
1.0,4.7,23.6
1.0,0.0,22.4
1.0,1.0,15.0
1.0,0.0,9.8
1.0,0.0,46.2
1.0,1.82,10.92
1.0,5.08,25.38
1.0,5.18,56.98
1.0,6.72,40.32
1.0,0.0,-14.0
1.0,0.0,14.0
1.0,6.58,39.48
1.0,0.0,82.3
1.0,1.96,11.76
2.0,2.0,13.2
2.0,2.0,18.1
1.0,2.8,16.8
1.0,3.0,41.05
1.0,4.12,45.37
1.0,2.24,13.44
1.0,3.5,21.0
1.0,3.3,32.0
1.0,0.0,14.0
1.0,0.0,298.0
1.0,5.5,55.2
1.0,0.0,37.75
1.0,10.0,68.8
1.0,2.52,15.12
1.0,0.0,79.8
1.0,0.0,8.4
1.0,0.0,11.9
1.0,2.0,15.3
1.0,1.0,15.7
1.0,6.16,36.96
2.0,16.11,98.41
1.0,0.0,33.6
1.0,4.0,34.8
1.0,0.0,123.15
1.0,1.0,11.5
3.0,11.0,27.8
1.0,0.0,13.3
1.0,15.15,90.9
1.0,16.11,98.41
3.0,0.0,46.0
1.0,2.8,14.0
1.0,1.96,11.76
1.0,3.22,19.32
1.0,4.9,29.4
1.0,19.01,114.06
1.0,6.3,37.8
0.0,2.0,19.5
1.0,1.68,10.08
1.0,7.42,44.52
1.0,2.1,12.6
2.0,7.5,37.6
3.0,4.48,26.88
3.0,3.22,19.32
1.0,24.19,145.84
1.0,0.0,14.7
1.0,1.78,13.68
3.0,0.0,72.75
1.0,11.97,73.57
1.0,14.44,96.74
1.0,2.94,17.64
3.0,2.1,12.6
1.0,5.04,21.84
1.0,2.8,16.8
1.0,2.66,15.96
1.0,11.68,71.83
1.0,15.15,90.9
1.0,4.7,29.95
1.0,5.18,31.08
1.0,5.75,34.45
1.0,6.88,89.18
4.0,0.0,22.35
1.0,0.0,-12.6
1.0,0.0,12.6
1.0,2.94,17.64
1.0,7.8,87.6
1.0,10.0,70.55
1.0,3.0,59.7
1.0,3.78,16.38
1.0,0.0,8.4
1.0,2.24,13.44
1.0,4.06,24.36
2.0,0.0,-11.25
2.0,0.0,11.25
2.0,13.79,68.94
1.0,0.0,27.95
3.0,12.0,94.3
1.0,15.3,78.25
1.0,3.5,21.0
1.0,0.0,25.2
1.0,8.65,52.05
1.0,2.25,13.45
1.0,20.14,102.44
1.0,0.0,35.0
1.0,2.0,47.5
5.0,16.46,98.76
1.0,5.04,30.24
2.0,2.2,16.9
1.0,1.96,11.76
2.0,2.52,15.12
4.0,4.9,29.4
3.0,4.62,27.72
1.0,16.11,98.41
1.0,0.0,9.1
1.0,0.0,10.5
1.0,4.06,24.36
1.0,4.2,25.2
1.0,2.0,37.7
1.0,3.15,15.75
3.0,0.0,16.8
2.0,2.5,32.6
5.0,1.0,30.4
0.0,6.0,36.1
1.0,2.0,25.8
1.0,66.37,333.59
1.0,0.0,21.7
1.0,0.0,9.1
1.0,0.0,25.2
1.0,0.0,7.0
0.0,5.0,33.0
2.0,8.19,35.49
1.0,4.06,24.36
1.0,16.11,98.41
0.0,1.0,73.75
2.0,8.4,52.15
1.0,4.76,28.56
2.0,29.11,147.31
1.0,0.0,11.2
1.0,0.0,18.9
1.0,1.4,15.4
1.0,1.75,12.25
1.0,2.38,14.28
1.0,0.0,16.1
1.0,2.8,14.0
1.0,5.6,33.6
2.0,0.0,9.8
1.0,3.08,18.48
1.0,2.8,16.8
1.0,4.9,24.5
1.0,2.66,15.96
1.0,2.38,14.28
1.0,4.34,26.04
2.0,0.0,82.3
2.0,0.0,61.97
1.0,8.0,61.95
1.0,1.0,31.8
1.0,3.0,19.8
1.0,0.0,25.9
3.0,0.0,10.5
4.0,1.0,13.6
1.0,6.5,31.7
3.0,0.0,22.4
2.0,11.51,69.08
1.0,3.22,19.32
1.0,9.94,59.64
1.0,13.86,84.91
1.0,1.68,18.48
3.0,0.0,-21.0
3.0,0.0,21.0
1.0,0.0,15.4
1.0,4.76,28.56
1.0,7.56,45.36
1.0,6.56,50.26
4.0,2.0,44.7
2.0,6.3,37.8
2.0,1.96,11.76
1.0,4.76,28.56
1.0,3.15,15.75
1.0,1.0,8.7
2.0,2.1,16.1
1.0,0.0,16.1
2.0,2.2,13.4
2.0,3.3,16.6
3.0,0.0,75.75
2.0,16.11,98.41
1.0,6.72,29.12
1.0,1.47,16.17
1.0,0.78,10.58
1.0,0.0,46.2
2.0,0.0,16.8
1.0,0.0,14.0
2.0,0.0,23.1
1.0,0.03,26.63
0.0,1.11,14.41
1.0,1.0,17.1
1.0,1.0,15.0
3.0,0.0,-74.0
3.0,0.0,74.0
2.0,1.0,19.2
2.0,4.0,27.8
1.0,0.0,21.7
1.0,5.74,34.44
1.0,0.0,13.3
4.0,0.0,16.1
1.0,10.0,91.0
1.0,1.0,15.7
1.0,6.86,41.16
1.0,30.0,43.3
2.0,13.7,82.2
1.0,8.87,53.22
1.0,12.8,78.55
1.0,0.0,40.55
4.0,0.0,47.25
1.0,10.08,85.83
2.0,0.0,10.5
2.0,4.62,27.72
1.0,5.04,30.24
1.0,13.51,82.81
1.0,0.0,11.9
4.0,7.88,39.38
0.0,0.05,75.8
1.0,4.48,26.88
1.0,7.15,42.85
1.0,0.0,15.4
1.0,5.6,33.6
2.0,1.0,27.6
1.0,2.8,16.8
2.0,2.94,17.64
1.0,16.11,98.41
2.0,3.5,21.0
1.0,4.34,26.04
1.0,1.3,16.7
1.0,0.0,13.3
2.0,6.55,39.45
1.0,2.8,16.8
1.0,1.74,10.44
1.0,4.2,25.2
1.0,7.42,44.52
1.0,3.6,21.8
2.0,2.0,16.0
1.0,2.0,12.5
2.0,1.0,12.9
1.0,0.0,25.9
1.0,0.0,18.9
1.0,9.72,60.07
1.0,4.38,21.88
2.0,16.11,98.41
1.0,1.33,14.63
1.0,0.0,16.1
1.0,0.0,17.5
1.0,9.94,59.64
2.0,5.0,30.2
4.0,0.0,18.2
2.0,1.8,10.9
4.0,0.0,12.6
3.0,2.8,16.8
2.0,0.0,10.5
1.0,16.11,96.66
1.0,0.91,10.01
1.0,2.0,13.9
1.0,2.1,16.1
5.0,4.76,28.56
5.0,2.66,15.96
1.0,5.0,21.8
3.0,0.0,11.9
2.0,0.0,16.1
2.0,3.0,65.3
1.0,2.0,16.7
1.0,1.96,11.76
1.0,0.0,-10.5
1.0,0.0,10.5
1.0,3.0,27.5
1.0,0.0,22.4
2.0,12.08,92.63
1.0,2.0,84.3
1.0,8.4,50.4
2.0,2.2,13.4
2.0,0.0,-79.65
2.0,0.0,79.65
2.0,0.0,30.1
2.0,0.0,26.6
1.0,0.0,-9.1
1.0,0.0,9.1
1.0,2.1,12.6
1.0,2.24,13.44
1.0,1.58,12.08
1.0,3.0,54.15
1.0,0.0,63.95
3.0,6.62,39.72
1.0,2.8,16.8
2.0,0.0,9.1
2.0,0.0,21.0
1.0,2.52,15.12
1.0,4.2,25.2
2.0,3.0,45.0
1.0,0.0,33.2
1.0,0.0,13.3
1.0,1.0,31.1
2.0,30.2,181.2
1.0,5.0,87.3
2.0,3.2,19.3
2.0,0.0,16.1
1.0,3.36,20.16
1.0,1.0,8.7
2.0,6.86,41.16
1.0,5.0,65.15
2.0,2.38,14.28
1.0,1.0,15.7
2.0,3.64,21.84
1.0,0.0,15.4
1.0,0.0,34.3
1.0,10.07,62.17
2.0,16.11,96.66
1.0,2.1,12.6
1.0,0.0,13.3
1.0,2.28,11.38
2.0,6.1,30.6
1.0,12.4,76.15
1.0,0.0,21.7
1.0,0.0,14.0
1.0,3.0,18.4
2.0,5.0,30.2
1.0,3.22,19.32
1.0,0.0,12.6
2.0,3.78,22.68
2.0,0.0,13.3
1.0,1.4,14.0
1.0,2.0,20.9
1.0,1.82,10.92
2.0,16.24,99.19
1.0,16.11,98.41
1.0,3.08,18.48
1.0,7.7,38.5
1.0,4.0,49.35
1.0,1.0,16.4
1.0,5.88,35.28
2.0,10.15,62.65
1.0,1.5,16.2
1.0,0.0,13.3
1.0,4.62,27.72
4.0,0.0,110.15
1.0,16.46,98.76
1.0,16.11,98.41
4.0,0.0,14.0
1.0,3.02,19.82
2.0,0.0,21.0
2.0,2.52,15.12
