passenger_count,tip_amount,total_amount
1.0,2.0,16.7
4.0,3.65,21.85
1.0,3.5,21.0
1.0,2.8,16.8
1.0,1.46,8.76
2.0,15.61,95.41
2.0,2.8,16.8
1.0,7.0,42.0
1.0,3.5,21.0
1.0,3.64,21.84
1.0,16.11,98.41
6.0,1.0,14.3
6.0,1.33,14.63
1.0,8.12,48.72
0.0,0.0,23.1
1.0,5.0,21.8
2.0,4.06,24.36
1.0,7.0,35.0
1.0,3.65,21.85
1.0,3.99,17.29
1.0,1.0,13.6
1.0,4.76,28.56
1.0,8.4,42.0
2.0,0.0,14.0
2.0,15.96,95.76
1.0,2.38,14.28
1.0,5.0,26.0
2.0,0.0,18.2
1.0,0.0,11.2
1.0,6.25,31.45
2.0,6.7,40.3
1.0,10.0,66.95
1.0,4.76,32.76
1.0,0.0,25.2
1.0,15.84,80.94
1.0,0.56,11.76
2.0,7.14,42.84
1.0,3.64,21.84
1.0,1.5,22.5
1.0,4.0,20.1
2.0,2.0,38.0
1.0,3.08,33.88
1.0,4.05,24.35
2.0,1.95,11.75
2.0,4.05,24.35
1.0,0.0,33.6
1.0,3.78,22.68
1.0,4.48,26.88
1.0,4.76,28.56
1.0,5.18,31.08
2.0,4.2,25.2
2.0,23.59,141.54
1.0,3.14,18.84
1.0,4.06,24.36
1.0,16.46,98.76
1.0,5.6,33.6
2.0,4.34,26.04
1.0,3.2,19.3
1.0,1.0,19.2
1.0,23.83,142.98
1.0,4.0,27.8
1.0,0.0,12.6
1.0,0.0,23.1
1.0,3.1,18.5
1.0,1.5,13.4
1.0,2.5,18.6
1.0,5.88,35.28
1.0,3.5,21.0
1.0,3.08,18.48
1.0,0.0,21.7
1.0,0.0,25.2
1.0,3.0,10.0
1.0,2.35,14.25
1.0,0.0,85.55
1.0,2.73,11.83
2.0,2.0,18.1
1.0,3.64,21.84
1.0,1.96,11.76
4.0,0.0,15.4
2.0,0.0,31.5
2.0,15.61,93.66
1.0,3.99,17.29
1.0,2.1,12.6
1.0,3.78,22.68
1.0,6.3,37.8
1.0,15.0,119.3
1.0,20.19,89.24
1.0,2.0,17.4
1.0,19.85,119.15
1.0,1.96,11.76
1.0,5.18,31.08
1.0,2.35,14.25
1.0,3.35,20.15
1.0,3.78,28.98
1.0,2.1,16.1
1.0,5.6,33.6
1.0,0.0,66.1
1.0,4.48,26.88
1.0,0.0,-101.2
1.0,0.0,101.2
1.0,8.0,82.85
1.0,2.1,12.6
1.0,6.44,38.64
1.0,5.2,36.0
1.0,4.06,24.36
1.0,6.65,33.25
1.0,0.0,52.45
1.0,3.22,27.02
4.0,0.0,21.0
1.0,2.94,17.64
1.0,1.54,9.24
1.0,3.5,17.5
1.0,2.5,13.0
1.0,2.0,33.5
1.0,7.0,42.0
2.0,17.85,77.35
1.0,9.8,58.8
1.0,0.0,21.7
1.0,0.0,23.1
1.0,1.0,12.2
1.0,2.8,16.8
1.0,14.61,87.66
4.0,7.56,45.36
1.0,3.75,22.65
1.0,0.0,14.7
1.0,0.0,15.4
1.0,0.0,11.9
1.0,2.0,10.4
4.0,4.95,29.75
1.0,0.0,16.1
2.0,12.53,75.18
1.0,2.66,15.96
1.0,4.76,28.56
1.0,1.96,11.76
1.0,15.0,77.3
2.0,18.06,108.36
2.0,0.0,34.3
2.0,3.5,21.0
2.0,0.0,16.8
1.0,4.34,26.04
3.0,3.64,21.84
2.0,0.0,14.0
1.0,3.0,31.0
1.0,3.22,19.32
1.0,2.38,14.28
1.0,0.0,21.0
2.0,0.0,37.1
1.0,0.0,16.1
3.0,3.6,21.8
1.0,0.0,23.8
1.0,4.06,24.36
2.0,16.17,98.77
1.0,3.08,18.48
1.0,11.95,73.45
1.0,3.15,15.75
1.0,5.04,30.24
1.0,3.92,23.52
0.0,0.0,15.7
0.0,0.0,15.7
2.0,6.05,26.35
1.0,2.35,14.25
1.0,0.0,15.4
1.0,5.67,24.57
2.0,2.94,17.64
2.0,5.04,30.24
1.0,0.0,16.8
6.0,5.74,34.44
1.0,4.38,21.88
1.0,4.76,28.56
1.0,0.0,14.0
2.0,4.06,24.36
1.0,3.78,22.68
1.0,8.1,48.7
1.0,3.67,18.37
1.0,13.37,80.22
1.0,10.0,114.7
1.0,1.95,11.75
2.0,6.0,36.1
1.0,3.36,14.56
2.0,0.0,-13.3
2.0,0.0,13.3
1.0,3.08,18.48
1.0,0.0,28.0
1.0,3.64,21.84
1.0,4.76,28.56
1.0,14.8,88.8
1.0,1.0,12.9
1.0,3.78,22.68
2.0,3.15,15.75
1.0,3.15,24.15
3.0,1.0,16.4
1.0,3.5,21.0
1.0,6.16,36.96
1.0,0.0,11.9
1.0,7.53,37.63
1.0,5.3,31.9
2.0,0.0,28.7
1.0,0.0,8.0
1.0,1.0,12.2
1.0,2.0,15.3
1.0,2.2,13.4
1.0,15.0,89.0
1.0,3.6,21.8
2.0,1.95,11.75
2.0,4.9,29.4
1.0,0.0,28.0
1.0,0.0,15.4
1.0,1.0,22.0
1.0,0.0,30.8
1.0,2.94,17.64
1.0,0.0,16.1
1.0,2.38,14.28
4.0,3.0,23.3
4.0,8.0,36.7
2.0,0.0,70.75
1.0,5.88,35.28
1.0,2.66,15.96
1.0,2.0,22.3
1.0,5.46,23.66
1.0,0.0,25.2
1.0,4.2,25.2
1.0,0.0,82.3
2.0,1.0,17.1
1.0,3.22,19.32
1.0,2.5,20.0
1.0,2.0,18.8
2.0,0.0,11.2
1.0,2.1,16.1
1.0,4.55,22.75
1.0,11.9,71.4
1.0,0.0,22.4
2.0,16.11,96.66
3.0,0.0,11.9
5.0,3.78,22.68
5.0,3.78,16.38
5.0,2.94,22.54
1.0,2.66,15.96
1.0,2.0,24.4
1.0,5.32,31.92
1.0,5.6,33.6
2.0,3.15,13.65
1.0,11.22,67.32
1.0,7.42,44.52
1.0,10.68,53.38
1.0,7.53,37.63
1.0,2.2,13.4
1.0,2.0,31.4
1.0,5.18,31.08
2.0,0.0,18.9
1.0,6.4,38.6
1.0,0.0,13.3
1.0,4.2,21.0
2.0,4.05,24.35
1.0,0.0,14.0
1.0,0.0,57.4
1.0,6.0,20.7
1.0,0.0,16.8
1.0,9.24,70.84
6.0,2.0,37.0
1.0,0.0,16.1
2.0,0.0,18.9
1.0,3.08,18.48
1.0,0.0,10.5
1.0,2.0,21.6
2.0,0.0,20.3
1.0,0.0,30.1
1.0,3.92,23.52
1.0,0.0,14.0
1.0,1.5,21.1
1.0,0.0,15.4
1.0,0.0,27.0
1.0,0.0,9.1
1.0,3.22,19.32
1.0,12.95,77.7
1.0,5.0,37.2
1.0,2.42,18.52
2.0,2.52,15.12
2.0,2.52,15.12
2.0,1.79,12.99
1.0,2.0,17.4
1.0,2.24,13.44
1.0,0.0,11.9
1.0,1.82,10.92
1.0,0.0,14.7
1.0,0.55,27.85
1.0,2.52,15.12
1.0,1.82,10.92
1.0,16.11,98.41
1.0,3.5,17.5
1.0,13.09,80.29
1.0,8.96,53.76
0.0,0.0,4.5
1.0,2.24,13.44
1.0,1.0,17.8
1.0,0.0,14.7
1.0,0.0,18.2
1.0,2.1,12.6
2.0,3.08,18.48
1.0,0.0,23.1
1.0,12.6,54.6
2.0,8.05,40.25
1.0,5.04,30.24
2.0,3.22,19.32
1.0,0.0,27.3
1.0,2.8,16.8
1.0,4.2,25.2
1.0,0.0,16.1
