passenger_count,tip_amount,total_amount
1.0,0.0,5.5
2.0,16.1,96.65
1.0,3.14,18.84
1.0,2.85,17.15
1.0,4.68,28.08
1.0,0.0,15.7
1.0,12.1,72.6
1.0,9.19,60.24
1.0,5.85,29.25
0.0,4.8,28.9
0.0,11.6,50.4
1.0,0.0,80.55
6.0,0.0,17.1
2.0,0.0,28.3
2.0,10.75,64.6
1.0,3.25,19.65
1.0,11.61,69.66
1.0,14.8,88.8
1.0,4.0,57.85
1.0,2.58,15.48
3.0,0.0,12.2
1.0,5.0,57.45
2.0,0.0,119.65
1.0,12.27,94.07
1.0,3.85,16.75
1.0,2.0,21.9
1.0,4.68,28.08
1.0,0.0,22.7
1.0,0.0,15.0
1.0,2.86,17.16
1.0,11.56,69.36
1.0,3.82,29.32
1.0,0.0,12.2
1.0,5.0,27.0
1.0,0.0,32.5
1.0,0.0,33.9
2.0,3.7,22.2
1.0,4.4,26.4
1.0,10.0,39.0
1.0,0.0,16.4
2.0,2.0,19.8
2.0,0.0,17.8
1.0,1.5,14.4
2.0,0.0,10.8
1.0,3.0,18.0
1.0,12.03,72.18
1.0,1.0,13.2
1.0,2.58,15.48
1.0,3.84,23.04
1.0,0.0,-83.25
1.0,0.0,83.25
1.0,5.1,30.6
1.0,16.11,96.66
1.0,2.04,15.64
1.0,0.0,11.5
1.0,1.2,20.0
1.0,2.0,18.4
1.0,2.86,17.16
2.0,12.73,76.38
1.0,1.0,11.8
1.0,0.0,30.4
2.0,2.02,12.12
1.0,4.08,17.68
1.0,0.0,13.6
1.0,0.0,58.55
1.0,3.0,18.0
1.0,16.36,98.16
1.0,0.0,10.8
2.0,10.0,22.2
1.0,1.85,11.25
1.0,0.0,8.0
2.0,4.25,25.55
1.0,0.0,14.3
1.0,2.3,13.8
1.0,8.18,89.98
2.0,10.0,32.0
1.0,3.4,17.0
1.0,0.0,11.9
1.0,2.7,16.3
1.0,9.79,59.99
1.0,15.0,95.55
1.0,4.9,21.3
1.0,0.0,29.7
2.0,4.68,28.08
1.0,4.7,20.4
1.0,3.56,21.36
1.0,1.0,11.1
1.0,14.16,70.81
1.0,2.3,13.8
1.0,0.0,13.6
1.0,11.89,71.34
1.0,5.0,27.0
4.0,5.88,29.38
1.0,2.3,13.8
3.0,0.0,75.25
1.0,1.29,14.19
1.0,0.0,15.0
1.0,2.52,12.62
1.0,2.0,17.0
2.0,0.0,80.55
2.0,12.68,63.38
1.0,0.0,41.05
1.0,2.58,15.48
1.0,7.6,38.0
1.0,0.0,141.4
1.0,0.0,6.75
1.0,0.0,79.3
1.0,0.0,49.4
1.0,7.0,78.5
1.0,4.1,20.5
1.0,9.86,108.51
1.0,0.0,13.6
1.0,3.55,21.35
2.0,3.14,18.84
2.0,6.0,25.2
1.0,0.0,60.55
1.0,16.11,96.66
3.0,2.3,13.8
2.0,7.0,58.05
4.0,3.0,21.5
6.0,3.84,23.04
1.0,0.0,12.9
1.0,0.0,13.6
1.0,2.16,12.96
1.0,0.0,74.05
1.0,2.16,12.96
1.0,0.0,26.2
1.0,2.15,12.95
1.0,2.3,13.8
1.0,2.16,12.96
1.0,0.0,34.75
1.0,3.28,19.68
1.0,2.58,15.48
1.0,8.44,58.09
1.0,2.1,12.6
1.0,0.0,11.2
3.0,0.0,51.65
1.0,11.47,68.82
1.0,1.0,16.7
1.0,4.82,28.92
3.0,11.47,68.82
1.0,2.0,24.7
1.0,1.5,12.3
1.0,2.3,13.8
1.0,0.0,-5.5
1.0,0.0,5.5
1.0,0.0,28.3
1.0,10.0,83.95
1.0,0.0,48.05
1.0,0.0,10.8
2.0,0.0,81.8
1.0,1.5,22.1
2.0,0.9,11.7
1.0,9.65,57.9
2.0,0.0,21.3
1.0,1.42,19.22
5.0,2.0,15.6
1.0,2.7,16.3
1.0,3.4,17.0
1.0,2.44,14.64
2.0,16.11,96.66
1.0,10.36,113.91
1.0,0.0,11.5
1.0,0.0,10.8
1.0,1.0,13.2
1.0,1.57,17.27
1.0,3.14,18.84
2.0,0.0,60.75
1.0,12.0,84.75
1.0,16.11,96.66
1.0,0.0,8.0
1.0,1.0,13.2
1.0,0.0,65.25
1.0,0.0,65.25
1.0,1.24,9.54
1.0,0.0,34.0
1.0,0.0,38.0
2.0,2.5,15.1
1.0,3.85,19.25
1.0,0.0,9.8
1.0,0.0,13.6
1.0,2.72,16.32
1.0,3.15,18.85
1.0,4.26,25.56
1.0,3.0,18.0
2.0,11.05,66.3
2.0,6.0,80.0
1.0,2.3,13.8
1.0,0.0,10.1
1.0,24.15,104.7
1.0,1.65,10.05
1.0,0.0,79.3
1.0,3.65,18.25
1.0,0.0,9.4
1.0,4.96,29.76
1.0,1.0,13.2
1.0,11.47,68.82
1.0,3.6,17.9
2.0,7.02,30.42
1.0,0.0,17.8
2.0,0.0,50.8
2.0,0.0,-19.9
2.0,0.0,19.9
1.0,2.58,15.48
1.0,2.3,13.8
1.0,0.0,48.7
1.0,0.6,60.55
1.0,3.56,21.36
1.0,0.0,26.9
0.0,10.0,72.25
2.0,0.0,20.6
1.0,0.0,29.0
1.0,2.16,12.96
1.0,3.87,16.77
1.0,3.45,14.95
1.0,0.0,15.0
2.0,0.0,81.8
1.0,0.0,35.45
1.0,0.0,27.6
1.0,0.0,45.55
1.0,11.19,67.14
1.0,2.5,28.7
1.0,15.85,79.25
2.0,11.33,67.98
1.0,0.0,55.25
1.0,21.13,126.78
1.0,2.0,16.3
3.0,17.31,103.86
1.0,2.5,26.6
1.0,13.01,78.06
1.0,3.28,19.68
1.0,1.1,23.1
1.0,3.98,23.88
