passenger_count,tip_amount,total_amount
1.0,2.24,13.44
1.0,1.5,19.7
2.0,1.0,10.8
1.0,3.6,21.8
2.0,2.66,15.96
1.0,3.85,19.25
1.0,0.0,11.2
1.0,3.32,16.62
1.0,2.0,90.0
2.0,2.9,17.6
2.0,2.66,15.96
2.0,2.6,13.1
1.0,2.2,13.4
2.0,3.15,15.75
2.0,16.11,97.91
1.0,1.0,40.9
1.0,2.35,14.25
1.0,0.0,81.8
1.0,0.02,11.92
1.0,0.0,20.3
1.0,4.48,26.88
1.0,2.52,27.72
1.0,5.0,40.0
1.0,13.39,68.19
1.0,1.96,11.76
4.0,0.0,18.9
4.0,1.82,20.02
1.0,2.73,20.93
1.0,2.94,17.64
1.0,1.0,15.7
1.0,0.0,9.8
1.0,1.5,13.4
1.0,0.0,13.3
1.0,0.0,10.8
2.0,6.3,37.8
2.0,2.38,14.28
4.0,3.92,23.52
2.0,0.0,13.3
2.0,2.94,17.64
1.0,2.66,15.96
2.0,3.08,18.48
2.0,2.98,14.88
1.0,0.0,11.9
2.0,5.18,31.08
1.0,3.5,21.0
1.0,5.88,35.28
1.0,1.8,10.9
1.0,0.0,12.6
1.0,0.0,17.5
3.0,1.95,11.75
2.0,2.1,12.6
1.0,0.0,14.0
1.0,1.78,13.68
1.0,1.78,13.68
1.0,3.8,22.7
1.0,0.0,12.6
1.0,1.0,16.4
1.0,2.0,15.3
1.0,0.0,11.9
1.0,0.0,17.5
1.0,1.0,10.1
2.0,3.92,23.52
1.0,0.0,10.5
1.0,3.08,18.48
4.0,16.36,98.16
1.0,3.4,20.5
1.0,3.05,18.45
3.0,0.0,18.2
1.0,2.7,30.0
3.0,0.0,20.3
1.0,0.0,23.7
2.0,0.0,11.2
1.0,0.0,16.8
1.0,0.0,9.8
1.0,4.76,28.56
1.0,0.0,11.2
2.0,1.08,11.88
1.0,2.0,28.6
1.0,3.78,22.68
2.0,0.0,104.55
1.0,12.64,75.84
1.0,0.0,15.4
1.0,0.0,8.4
1.0,0.0,18.9
1.0,3.0,17.0
1.0,1.82,20.02
2.0,3.5,21.0
1.0,0.0,17.5
1.0,6.86,41.16
1.0,6.82,34.12
2.0,2.94,17.64
1.0,15.7,94.25
1.0,16.36,98.16
1.0,2.1,12.6
1.0,2.66,15.96
1.0,0.0,9.8
1.0,3.36,20.16
1.0,6.02,36.12
2.0,4.41,19.11
1.0,2.1,12.6
1.0,0.0,20.3
2.0,0.01,33.06
1.0,0.0,24.5
1.0,2.66,15.96
2.0,2.0,83.8
1.0,0.0,19.6
1.0,4.2,25.2
1.0,11.61,58.06
1.0,3.0,84.8
1.0,3.5,21.0
1.0,4.45,26.85
3.0,7.18,35.88
1.0,0.0,16.1
1.0,0.0,28.0
5.0,0.0,9.8
5.0,1.0,10.8
1.0,0.02,21.72
2.0,2.0,18.1
1.0,2.0,16.0
1.0,3.08,18.48
1.0,1.0,14.3
1.0,3.22,19.32
1.0,1.96,11.76
5.0,0.0,10.5
1.0,10.0,28.2
2.0,3.64,21.84
1.0,3.78,22.68
1.0,1.26,13.86
1.0,2.66,15.96
1.0,0.0,49.25
2.0,4.4,26.5
1.0,2.8,20.0
2.0,15.61,94.91
3.0,2.8,16.8
3.0,2.0,16.7
1.0,3.36,20.16
1.0,3.0,17.0
1.0,2.0,13.2
1.0,1.82,10.92
1.0,0.0,-10.5
1.0,0.0,10.5
1.0,2.24,13.44
2.0,2.31,17.71
1.0,2.94,22.54
0.0,5.3,31.9
1.0,1.0,12.9
1.0,1.0,12.2
1.0,0.0,29.4
2.0,4.4,19.1
1.0,1.5,14.1
1.0,2.5,19.3
1.0,9.46,58.01
1.0,0.0,14.7
1.0,2.0,15.3
5.0,3.78,22.68
5.0,3.78,22.68
1.0,0.0,13.3
1.0,1.5,12.0
1.0,6.72,29.12
2.0,0.0,13.3
1.0,3.0,24.0
1.0,1.1,14.4
2.0,1.95,11.75
2.0,5.15,31.05
1.0,7.64,47.09
1.0,0.0,46.9
1.0,3.0,12.1
1.0,0.0,15.4
1.0,2.4,14.3
2.0,2.2,13.4
1.0,0.0,49.25
2.0,16.11,97.91
1.0,0.0,49.7
1.0,8.65,51.9
1.0,0.0,70.85
2.0,2.1,16.1
2.0,1.0,15.0
1.0,2.0,11.1
1.0,3.0,12.8
1.0,0.0,10.5
1.0,5.0,86.8
1.0,3.78,22.68
3.0,4.9,29.4
1.0,2.94,12.74
1.0,7.35,31.85
1.0,5.04,30.24
3.0,17.3,75.05
1.0,5.0,85.55
1.0,4.0,20.8
1.0,0.0,11.2
1.0,2.0,19.5
1.0,2.38,14.28
1.0,0.0,17.5
1.0,4.34,26.04
1.0,3.78,16.38
2.0,1.52,23.22
1.0,0.0,16.1
1.0,0.0,10.5
1.0,3.78,22.68
1.0,0.0,-9.5
1.0,0.0,9.5
1.0,13.56,69.06
2.0,3.5,21.0
2.0,3.92,23.52
1.0,2.8,16.8
1.0,2.52,15.12
1.0,4.34,26.04
1.0,12.25,74.75
1.0,0.0,21.0
1.0,1.6,8.2
3.0,0.0,28.0
3.0,6.72,40.32
1.0,1.82,10.92
1.0,2.94,17.64
1.0,2.0,19.5
1.0,0.0,45.5
1.0,1.96,11.76
2.0,1.0,16.4
1.0,3.0,21.2
3.0,3.36,20.16
1.0,1.0,14.3
1.0,1.82,10.92
1.0,3.36,20.16
1.0,3.22,19.32
2.0,3.5,21.0
1.0,0.0,11.2
1.0,1.58,12.08
1.0,2.24,13.44
2.0,1.0,17.1
0.0,3.9,23.5
2.0,1.0,15.7
0.0,0.0,38.75
1.0,3.64,21.84
1.0,4.9,24.5
1.0,2.62,13.12
2.0,2.24,13.44
1.0,16.1,96.65
2.0,10.96,65.76
3.0,4.34,26.04
1.0,4.2,35.0
1.0,3.08,18.48
1.0,3.36,20.16
1.0,4.2,21.0
2.0,3.0,38.7
1.0,10.3,61.75
1.0,2.1,12.6
3.0,2.8,16.8
1.0,1.0,12.2
1.0,2.52,15.12
1.0,3.92,23.52
1.0,4.2,21.0
1.0,1.68,10.08
1.0,3.64,21.84
1.0,0.0,-17.5
1.0,0.0,17.5
2.0,3.67,18.37
1.0,2.52,15.12
1.0,0.0,66.65
1.0,0.0,11.2
1.0,1.5,35.8
1.0,0.0,29.4
2.0,6.63,69.88
3.0,16.36,98.16
3.0,0.0,10.5
2.0,2.94,32.34
3.0,9.95,59.9
2.0,2.5,15.1
1.0,11.52,69.12
2.0,2.0,16.0
4.0,3.15,15.75
1.0,2.0,12.5
2.0,3.22,19.32
2.0,0.0,21.0
2.0,4.2,25.2
1.0,0.0,11.9
1.0,4.0,20.1
1.0,0.0,13.3
