passenger_count,tip_amount,total_amount
1.0,4.2,18.2
1.0,1.96,11.76
1.0,2.66,15.96
1.0,0.0,14.0
2.0,2.66,15.96
2.0,1.96,11.76
1.0,1.0,11.5
2.0,15.05,90.3
1.0,2.66,15.96
1.0,3.36,20.16
1.0,6.4,38.6
3.0,4.2,21.0
1.0,2.9,12.0
1.0,2.0,34.9
1.0,2.1,12.6
1.0,1.5,19.7
1.0,2.5,18.6
1.0,3.9,23.5
2.0,2.03,22.33
2.0,5.08,37.98
5.0,3.64,21.84
5.0,5.88,35.28
1.0,5.0,91.25
1.0,6.3,37.8
1.0,1.48,7.38
1.0,1.0,11.5
1.0,2.62,13.12
1.0,0.0,33.7
1.0,0.0,32.9
2.0,4.48,26.88
1.0,0.0,13.3
1.0,0.0,24.65
1.0,8.0,89.8
1.0,3.2,19.3
1.0,3.92,23.52
1.0,2.38,14.28
1.0,0.0,21.0
1.0,2.65,15.95
1.0,6.72,40.32
1.0,3.08,18.48
1.0,7.0,62.6
1.0,2.8,16.8
1.0,10.0,85.25
1.0,7.0,42.0
1.0,2.1,12.6
2.0,3.68,18.38
1.0,4.06,24.36
1.0,2.52,15.12
1.0,2.24,16.24
2.0,10.0,90.55
2.0,15.61,94.91
1.0,3.22,19.32
1.0,3.92,23.52
1.0,0.0,27.3
1.0,2.0,24.4
1.0,0.0,8.7
2.0,16.35,98.15
1.0,0.0,49.15
1.0,5.25,26.25
2.0,2.0,13.9
1.0,5.3,31.9
1.0,10.0,118.4
1.0,4.2,21.0
2.0,2.0,16.0
2.0,2.24,13.44
1.0,3.08,18.48
1.0,1.89,14.49
1.0,4.75,28.55
1.0,2.65,15.95
0.0,3.92,23.52
0.0,2.0,12.5
0.0,2.9,17.6
1.0,2.0,12.5
2.0,0.0,20.3
1.0,3.5,21.0
1.0,4.5,22.7
1.0,0.0,13.3
1.0,2.24,13.44
1.0,2.8,16.8
1.0,7.77,33.67
1.0,3.99,17.29
1.0,3.5,21.0
1.0,4.62,27.72
1.0,2.38,14.28
1.0,4.76,28.56
1.0,1.68,12.88
0.0,0.0,6.6
1.0,5.5,37.7
1.0,7.0,87.55
1.0,4.2,25.2
1.0,2.45,12.25
1.0,0.0,15.4
1.0,1.58,12.08
1.0,7.88,39.38
1.0,6.48,32.38
1.0,0.0,8.4
1.0,2.6,18.0
1.0,2.1,15.1
1.0,1.89,14.49
1.0,0.0,-74.0
1.0,0.0,74.0
2.0,16.11,97.91
1.0,0.0,11.9
1.0,0.2,12.8
1.0,1.7,22.0
1.0,3.15,24.15
1.0,15.25,76.35
1.0,3.5,21.0
1.0,0.0,37.1
1.0,13.2,66.05
1.0,2.52,15.12
1.0,4.06,24.36
1.0,1.0,23.4
2.0,0.0,81.8
1.0,2.5,24.2
1.0,4.0,32.0
2.0,5.0,54.95
1.0,0.0,8.7
1.0,3.67,18.37
1.0,1.0,12.2
1.0,3.2,19.3
1.0,1.0,14.3
1.0,2.0,12.5
1.0,1.96,21.56
1.0,0.0,60.35
1.0,12.25,73.5
1.0,2.0,15.3
1.0,4.41,19.11
1.0,0.0,16.1
1.0,12.5,75.0
3.0,2.1,12.6
1.0,5.18,31.08
1.0,1.82,10.92
1.0,0.0,18.2
1.0,3.08,18.48
2.0,12.39,75.59
1.0,14.35,86.1
1.0,1.45,7.35
1.0,4.6,27.7
1.0,0.0,9.8
1.0,3.92,23.52
1.0,2.52,15.12
1.0,0.0,9.1
1.0,0.84,9.24
1.0,1.5,12.0
6.0,3.08,18.48
1.0,0.0,54.25
1.0,0.0,75.25
1.0,2.8,14.0
1.0,2.0,20.9
1.0,0.0,25.9
3.0,7.84,47.04
3.0,2.1,12.6
1.0,0.0,9.1
1.0,3.78,16.38
1.0,0.0,37.95
1.0,3.05,18.45
2.0,2.66,15.96
2.0,0.0,14.7
1.0,3.85,19.25
1.0,3.92,23.52
1.0,7.84,47.04
1.0,2.35,14.25
1.0,14.8,88.8
1.0,12.53,76.43
3.0,1.0,25.5
3.0,0.0,25.9
1.0,1.5,16.9
1.0,2.52,27.72
1.0,0.0,17.5
2.0,0.0,13.3
1.0,3.0,20.5
1.0,0.0,21.7
1.0,0.0,6.6
1.0,2.35,11.75
1.0,7.0,35.0
1.0,4.0,14.5
1.0,3.2,19.3
1.0,10.12,60.72
2.0,2.0,51.7
1.0,3.35,20.15
1.0,4.35,21.85
2.0,0.0,11.9
1.0,3.68,18.38
3.0,2.8,16.8
1.0,0.0,14.0
1.0,4.5,22.7
1.0,4.5,22.7
1.0,10.0,85.95
1.0,3.2,19.3
1.0,3.2,19.3
1.0,2.0,18.8
3.0,4.35,21.85
1.0,0.0,12.6
1.0,2.9,17.6
2.0,4.05,24.35
1.0,3.85,19.25
1.0,0.0,98.4
1.0,0.0,12.6
1.0,2.0,13.9
1.0,2.5,22.1
1.0,2.66,15.96
2.0,0.0,75.25
1.0,2.2,13.4
1.0,4.2,18.2
2.0,4.75,28.55
1.0,1.5,19.0
1.0,3.68,18.38
1.0,0.0,5.2
1.0,5.05,25.35
1.0,0.0,24.05
1.0,2.0,13.9
1.0,2.94,17.64
1.0,4.9,29.4
1.0,2.0,16.0
1.0,2.65,15.95
1.0,2.1,12.6
1.0,3.25,16.25
1.0,2.63,20.13
1.0,3.0,19.8
1.0,1.7,15.0
1.0,3.68,18.38
1.0,16.11,96.66
2.0,3.05,18.45
2.0,2.35,14.25
1.0,4.5,35.3
1.0,3.5,17.5
1.0,0.0,11.9
1.0,0.0,17.5
1.0,3.22,19.32
1.0,0.0,32.9
2.0,20.0,79.7
2.0,5.25,26.25
1.0,3.55,15.45
1.0,0.0,18.9
1.0,0.0,12.6
1.0,1.93,9.63
2.0,2.1,12.6
1.0,5.25,26.25
1.0,0.0,9.1
1.0,3.46,26.56
4.0,2.66,15.96
4.0,2.5,22.1
1.0,3.57,15.47
1.0,0.0,21.0
1.0,3.22,19.32
1.0,5.04,30.24
1.0,1.0,14.3
0.0,2.5,15.1
1.0,3.64,21.84
1.0,3.1,18.5
1.0,4.05,20.15
1.0,3.5,21.0
1.0,3.6,21.8
1.0,0.0,23.1
1.0,0.0,7.0
1.0,2.8,16.8
1.0,2.1,12.6
1.0,0.0,31.5
1.0,2.0,18.1
1.0,2.66,15.96
1.0,3.5,21.0
1.0,7.0,39.9
2.0,16.11,96.66
1.0,0.0,14.0
1.0,1.0,17.8
1.0,2.8,16.8
1.0,0.0,17.5
2.0,4.9,29.4
1.0,11.97,71.82
1.0,12.81,78.11
1.0,0.0,16.1
1.0,3.6,21.8
1.0,5.05,25.35
4.0,0.0,13.3
1.0,6.65,33.25
1.0,0.0,12.6
1.0,10.0,47.8
1.0,0.0,24.5
1.0,0.0,13.3
1.0,3.78,22.68
2.0,3.92,23.52
2.0,2.98,14.88
1.0,0.0,81.8
1.0,2.24,24.64
1.0,5.6,33.6
1.0,1.0,19.2
1.0,0.0,-74.0
1.0,0.0,74.0
1.0,0.0,9.1
1.0,12.67,76.02
1.0,3.2,20.0
1.0,3.36,20.16
1.0,1.0,28.3
2.0,0.0,81.8
1.0,3.5,21.0
1.0,1.5,13.4
1.0,1.75,19.25
1.0,4.2,25.2
1.0,20.36,123.41
1.0,2.52,15.12
1.0,2.42,18.52
1.0,2.8,14.0
1.0,5.0,95.45
1.0,3.35,20.15
1.0,3.5,17.5
1.0,4.16,27.26
1.0,3.78,22.68
1.0,2.94,12.74
1.0,13.65,68.2
1.0,2.65,15.95
1.0,2.8,16.8
1.0,4.34,26.04
2.0,2.52,15.12
1.0,3.5,21.0
1.0,5.25,26.25
1.0,3.26,24.96
1.0,2.66,15.96
1.0,1.0,19.2
0.0,0.0,11.2
1.0,0.0,60.2
1.0,4.76,28.56
1.0,2.66,15.96
1.0,0.0,15.4
2.0,6.48,67.73
2.0,0.0,81.8
2.0,5.0,79.0
2.0,4.9,29.4
1.0,20.1,120.55
5.0,5.74,34.44
0.0,1.5,16.9
0.0,3.2,19.3
0.0,0.0,15.4
1.0,8.18,89.98
1.0,13.2,79.2
1.0,4.38,21.88
1.0,2.24,13.44
1.0,2.94,12.74
1.0,17.51,105.06
1.0,2.98,14.88
1.0,0.0,19.6
1.0,3.22,19.32
1.0,3.0,70.2
1.0,3.22,19.32
1.0,2.52,15.12
1.0,3.22,19.32
1.0,1.0,24.1
2.0,0.0,18.2
1.0,5.6,33.6
1.0,5.0,40.0
1.0,1.96,11.76
1.0,3.6,21.8
