passenger_count,tip_amount,total_amount
"",2.25,17.25
"",2.44,14.64
"",1.0,16.0
"",7.32,43.9
"",4.26,25.57
"",0.0,27.12
"",2.0,36.51
"",0.0,19.62
"",3.41,26.11
"",3.42,20.52
"",2.57,19.67
"",3.79,22.72
"",0.0,39.02
"",2.7,13.5
"",15.15,90.9
"",0.0,31.7
"",0.0,47.38
"",2.87,17.22
"",0.0,34.0
"",6.01,36.08
"",5.37,32.2
"",0.0,35.08
"",0.0,22.9
"",6.5,38.99
"",1.5,16.5
"",3.86,23.14
"",3.0,18.0
"",0.0,43.65
"",0.0,7.17
"",6.49,28.13
"",0.0,26.26
"",20.0,61.27
"",0.0,23.03
"",0.0,7.38
"",1.0,16.0
"",0.0,25.97
"",15.66,93.97
"",0.0,13.41
"",0.0,26.09
"",4.24,27.81
"",5.24,31.44
"",0.31,31.73
"",2.44,14.64
"",2.0,29.75
"",1.94,14.84
"",1.72,13.22
"",12.34,94.64
"",0.0,38.72
"",0.0,44.74
"",2.58,15.48
"",3.0,18.0
"",0.0,22.57
"",0.0,18.02
"",3.75,30.75
"",1.0,9.45
"",2.0,17.0
"",7.73,46.39
"",0.0,30.65
"",7.61,58.34
"",0.0,15.09
"",0.0,3.42
"",4.82,28.92
"",2.7,13.5
"",2.06,22.66
"",0.0,23.39
"",2.0,18.72
"",4.33,33.21
"",0.0,15.0
"",3.38,31.57
"",1.29,14.19
"",1.62,12.42
"",2.13,23.46
"",0.0,22.3
"",3.84,23.04
"",3.0,18.0
"",8.43,50.59
"",0.0,18.88
"",0.0,19.91
"",11.96,71.76
"",5.48,32.89
"",0.0,6.9
"",2.57,19.67
"",0.0,22.25
"",5.81,34.85
"",4.31,25.86
"",0.0,46.02
"",4.71,28.25
"",3.0,18.0
"",0.0,8.6
"",4.26,25.57
"",7.25,49.3
"",5.22,31.32
"",0.0,26.51
"",3.57,27.36
"",0.0,31.29
"",0.0,33.04
"",0.0,18.99
"",1.87,20.55
"",1.71,18.83
"",2.55,28.05
"",4.33,21.64
"",3.83,22.98
"",0.0,19.92
