passenger_count,tip_amount,total_amount
1.0,3.5,17.5
1.0,10.0,92.3
1.0,1.0,15.0
1.0,1.0,12.9
1.0,3.92,23.52
1.0,0.0,38.5
1.0,6.72,29.12
1.0,7.7,46.2
1.0,6.52,39.12
1.0,0.0,19.0
1.0,0.0,27.0
1.0,2.94,17.64
2.0,6.86,41.16
1.0,3.64,21.84
1.0,0.0,26.6
1.0,3.5,21.0
3.0,0.0,28.65
5.0,4.06,24.36
5.0,7.35,36.75
1.0,4.0,33.4
1.0,10.5,45.5
1.0,6.3,41.3
1.0,0.0,4.5
1.0,6.36,38.16
1.0,3.78,22.68
1.0,1.25,27.85
1.0,3.36,14.56
1.0,3.15,15.75
3.0,5.42,27.12
1.0,2.27,11.37
1.0,6.44,38.64
1.0,12.94,79.39
1.0,3.92,23.52
1.0,2.1,12.6
1.0,2.52,15.12
1.0,0.0,29.4
1.0,1.5,14.8
1.0,4.62,27.72
1.0,0.0,23.1
1.0,4.9,29.4
1.0,4.34,26.04
5.0,3.36,20.16
5.0,3.78,22.68
1.0,7.0,42.0
1.0,3.22,19.32
2.0,3.85,19.25
3.0,2.52,19.32
1.0,2.38,14.28
1.0,2.38,14.28
1.0,0.0,-8.4
1.0,0.0,8.4
1.0,11.8,59.0
1.0,2.45,12.25
1.0,3.64,21.84
1.0,2.1,12.6
1.0,4.06,24.36
1.0,5.08,25.38
1.0,4.9,24.5
1.0,2.52,15.12
1.0,3.08,18.48
1.0,0.0,8.4
1.0,3.46,26.56
1.0,0.0,13.3
1.0,2.9,17.6
0.0,0.0,12.6
1.0,8.82,52.92
1.0,1.9,9.6
1.0,0.0,8.7
1.0,1.76,16.46
1.0,5.04,30.24
1.0,3.78,28.98
1.0,2.24,13.44
1.0,3.5,21.0
1.0,3.32,16.62
1.0,7.14,30.94
1.0,12.88,77.28
1.0,3.78,28.98
1.0,1.01,13.61
1.0,0.0,11.9
1.0,2.1,12.6
1.0,0.0,5.9
1.0,0.0,15.4
1.0,0.0,12.6
2.0,4.02,20.12
1.0,2.94,17.64
1.0,1.0,15.7
1.0,5.42,27.12
1.0,3.22,19.32
1.0,3.92,23.52
1.0,1.0,22.0
1.0,4.72,23.62
1.0,2.98,14.88
1.0,5.2,31.1
1.0,15.0,90.0
2.0,2.73,20.93
2.0,0.0,18.9
2.0,3.36,20.16
1.0,2.0,21.6
1.0,4.55,22.75
1.0,4.72,23.62
1.0,0.0,39.2
1.0,2.1,12.6
1.0,16.11,96.66
1.0,0.0,82.3
1.0,3.08,18.48
1.0,4.62,27.72
1.0,0.0,9.1
1.0,3.78,22.68
1.0,3.64,21.84
