passenger_count,tip_amount,total_amount
1.0,1.1,13.0
1.0,2.0,13.9
1.0,1.68,12.88
1.0,2.52,15.12
1.0,4.34,26.04
1.0,7.5,66.75
1.0,3.22,19.32
6.0,3.5,21.0
6.0,3.92,23.52
1.0,4.06,24.36
1.0,4.06,24.36
1.0,4.34,26.04
1.0,1.0,10.8
0.0,0.0,15.4
0.0,3.5,21.0
0.0,0.0,11.9
1.0,3.0,35.2
1.0,0.0,19.6
1.0,5.6,33.6
1.0,4.06,24.36
2.0,2.0,14.6
2.0,2.94,12.74
1.0,3.5,17.5
1.0,3.08,18.48
1.0,3.5,17.5
1.0,4.2,21.0
3.0,0.0,14.0
2.0,0.0,20.3
1.0,3.6,21.8
4.0,4.62,27.72
3.0,3.22,19.32
2.0,1.0,17.1
1.0,3.5,21.0
1.0,2.1,12.6
1.0,0.0,16.1
0.0,0.0,14.0
2.0,3.08,18.48
1.0,6.0,64.05
1.0,8.58,42.88
2.0,16.1,96.65
1.0,9.24,55.44
1.0,2.17,23.87
2.0,8.0,66.45
1.0,2.66,15.96
2.0,2.66,15.96
2.0,0.0,21.7
1.0,2.65,15.95
1.0,0.0,14.0
1.0,3.78,22.68
1.0,2.94,17.64
1.0,5.75,28.85
1.0,1.0,17.1
1.0,11.27,69.37
1.0,0.0,9.1
1.0,6.3,27.3
1.0,2.1,12.6
1.0,0.0,54.6
2.0,8.4,50.4
1.0,0.0,28.7
2.0,3.5,21.0
1.0,2.0,14.6
1.0,2.5,15.1
1.0,9.66,57.96
1.0,3.08,18.48
1.0,0.0,14.7
1.0,4.2,21.0
1.0,0.0,-14.7
1.0,0.0,14.7
1.0,4.9,24.5
1.0,0.0,8.4
1.0,16.46,98.76
1.0,0.0,14.0
1.0,0.0,8.4
1.0,5.05,25.35
1.0,0.0,13.3
1.0,0.0,27.3
1.0,3.08,18.48
1.0,3.78,22.68
1.0,11.0,76.1
1.0,3.35,20.15
0.0,0.12,12.72
1.0,3.05,18.45
1.0,0.0,16.1
1.0,14.6,73.05
1.0,2.0,24.4
2.0,0.0,14.7
1.0,12.0,19.0
1.0,3.64,21.84
1.0,2.0,19.5
1.0,0.0,13.3
1.0,2.0,22.3
1.0,5.0,33.7
1.0,2.8,16.8
1.0,0.0,14.7
2.0,6.86,41.16
1.0,3.22,19.32
2.0,2.1,12.6
1.0,3.22,19.32
2.0,5.04,30.24
1.0,1.5,14.1
1.0,3.08,18.48
1.0,1.82,10.92
2.0,3.36,14.56
2.0,1.5,18.3
2.0,2.1,12.6
1.0,0.0,16.1
1.0,2.0,19.5
1.0,1.0,10.8
1.0,2.45,12.25
1.0,1.26,9.66
4.0,2.73,11.83
1.0,0.0,-9.1
1.0,0.0,9.1
1.0,5.18,31.08
2.0,0.0,23.8
1.0,3.2,19.3
1.0,3.64,21.84
2.0,3.92,23.52
1.0,0.0,19.6
1.0,7.86,39.31
2.0,7.35,36.75
2.0,0.0,12.6
2.0,0.0,30.8
2.0,5.2,31.4
1.0,4.76,28.56
1.0,3.78,22.68
1.0,10.57,65.17
1.0,0.0,19.6
1.0,2.3,10.0
2.0,0.0,14.0
2.0,5.05,25.35
1.0,0.0,57.55
2.0,3.5,21.0
1.0,5.88,25.48
1.0,3.36,20.16
1.0,5.05,25.35
1.0,3.05,18.45
1.0,0.0,14.7
1.0,1.5,9.9
1.0,2.0,16.0
3.0,1.0,10.8
3.0,0.0,14.7
3.0,2.0,15.6
2.0,3.68,18.38
2.0,12.11,74.41
1.0,0.0,27.3
1.0,10.0,77.9
1.0,3.64,21.84
1.0,0.0,13.3
1.0,12.25,73.5
1.0,4.2,25.2
1.0,3.0,26.1
1.0,13.65,68.25
1.0,2.0,18.8
1.0,2.24,13.44
1.0,3.64,21.84
1.0,0.0,17.5
1.0,4.62,20.02
1.0,20.0,95.75
1.0,5.0,68.7
3.0,4.45,26.85
1.0,3.64,21.84
1.0,4.2,21.0
1.0,5.46,32.76
1.0,4.62,27.72
1.0,0.0,12.6
1.0,0.0,9.8
1.0,4.3,26.0
1.0,1.0,12.2
4.0,3.08,18.48
3.0,6.02,36.12
1.0,1.19,13.09
1.0,2.65,15.95
1.0,0.0,11.2
2.0,2.8,14.0
1.0,0.0,16.8
1.0,3.64,21.84
1.0,7.7,46.2
1.0,0.0,18.2
1.0,3.0,15.6
1.0,5.96,37.51
1.0,0.0,29.45
1.0,2.0,20.9
1.0,4.98,24.88
1.0,1.46,8.76
2.0,4.2,25.2
1.0,3.36,20.16
1.0,0.0,25.2
1.0,3.9,23.5
2.0,5.0,30.2
1.0,2.0,13.2
1.0,1.96,11.76
1.0,0.0,24.5
1.0,0.0,14.0
1.0,0.0,25.2
1.0,0.0,65.45
1.0,2.38,14.28
1.0,6.86,41.16
1.0,3.5,21.0
1.0,3.22,19.32
1.0,2.66,15.96
1.0,0.0,12.6
1.0,2.8,30.8
1.0,2.1,12.6
1.0,3.64,21.84
1.0,1.0,70.6
1.0,5.18,31.08
1.0,2.0,18.8
1.0,3.5,21.0
1.0,3.57,27.37
2.0,0.0,66.15
1.0,3.92,23.52
2.0,3.78,22.68
