passenger_count,tip_amount,total_amount
1.0,0.0,22.8
1.0,3.25,16.25
1.0,5.0,32.0
1.0,0.0,31.9
1.0,6.38,38.28
1.0,5.26,31.56
1.0,0.0,22.8
1.0,1.0,16.1
2.0,5.4,32.4
2.0,7.5,45.0
1.0,3.72,22.32
1.0,0.09,24.29
1.0,3.42,26.22
1.0,3.44,20.64
1.0,7.78,46.68
1.0,1.0,16.1
1.0,5.4,32.4
1.0,4.28,25.68
2.0,3.7,22.3
1.0,3.3,19.8
1.0,5.0,25.0
1.0,6.22,31.12
1.0,4.89,37.49
1.0,5.12,30.72
1.0,3.44,20.64
1.0,5.54,33.24
1.0,6.1,36.6
1.0,2.16,16.56
2.0,5.68,34.08
1.0,1.49,20.09
1.0,0.0,20.0
1.0,2.6,15.6
1.0,2.32,13.92
1.0,12.75,76.5
1.0,2.1,12.6
2.0,2.5,23.2
2.0,3.02,18.12
1.0,0.0,22.8
1.0,4.84,29.04
1.0,5.0,92.3
1.0,1.95,14.95
1.0,2.0,21.3
1.0,5.4,32.4
1.0,1.5,20.8
1.0,6.66,39.96
1.0,1.0,26.6
2.0,0.0,32.6
1.0,10.0,66.05
4.0,5.16,22.36
2.0,1.5,17.3
1.0,0.0,-29.1
1.0,0.0,29.1
1.0,5.9,35.4
1.0,0.0,13.7
1.0,2.74,16.44
1.0,6.38,38.28
1.0,2.22,17.32
5.0,5.54,33.24
5.0,4.42,26.52
1.0,6.25,37.45
1.0,3.0,18.1
1.0,0.0,17.2
2.0,3.16,18.96
3.0,0.0,43.8
2.0,16.15,96.9
1.0,3.3,19.8
1.0,3.86,23.16
1.0,2.6,15.6
1.0,5.54,33.24
1.0,3.44,20.64
1.0,0.0,9.1
1.0,0.0,13.7
1.0,3.94,30.24
1.0,4.0,24.0
1.0,2.0,17.1
1.0,3.15,18.95
1.0,3.7,22.3
1.0,2.16,16.56
1.0,6.66,39.96
1.0,6.24,37.44
1.0,5.0,18.0
1.0,3.72,22.32
1.0,0.0,15.1
1.0,5.26,31.56
1.0,0.0,15.8
2.0,3.72,22.32
1.0,3.86,23.16
1.0,2.0,22.7
1.0,4.47,22.37
1.0,6.92,34.62
1.0,3.72,22.32
1.0,11.63,71.53
1.0,4.14,24.84
1.0,5.54,33.24
1.0,6.66,39.96
1.0,3.0,30.7
1.0,5.26,31.56
1.0,8.2,49.2
1.0,2.49,27.39
1.0,2.46,14.76
1.0,6.24,37.44
1.0,4.98,29.88
1.0,4.5,22.4
1.0,3.21,24.61
1.0,0.0,16.5
1.0,4.83,24.13
1.0,7.45,37.25
1.0,3.7,22.3
1.0,3.15,18.95
1.0,4.68,35.88
2.0,7.0,31.2
1.0,2.5,20.4
1.0,3.5,23.5
1.0,0.0,15.1
1.0,0.0,26.3
1.0,2.88,17.28
1.0,0.0,11.6
1.0,2.74,16.44
1.0,0.0,-9.5
1.0,0.0,9.5
1.0,5.88,29.38
1.0,0.0,22.8
1.0,7.78,46.68
1.0,3.7,22.3
3.0,7.2,43.3
1.0,4.0,41.5
1.0,2.27,11.37
1.0,3.86,23.16
6.0,2.6,15.6
1.0,0.0,11.6
1.0,7.92,47.52
1.0,3.3,19.8
2.0,0.0,31.9
1.0,2.5,25.3
1.0,2.26,17.36
1.0,2.0,17.1
1.0,0.0,50.8
1.0,5.54,33.24
1.0,3.16,18.96
1.0,4.14,24.84
1.0,4.25,21.45
1.0,1.0,14.7
3.0,0.0,12.3
2.0,2.0,17.8
2.0,3.44,20.64
1.0,4.7,28.2
2.0,4.56,27.36
1.0,16.9,84.5
1.0,9.04,54.24
4.0,6.1,36.6
1.0,3.3,19.8
1.0,6.1,36.6
2.0,4.0,24.0
3.0,4.7,28.2
2.0,0.0,25.6
1.0,6.38,38.28
1.0,0.0,17.2
1.0,7.2,55.2
1.0,4.42,26.52
1.0,4.42,26.52
1.0,3.02,18.12
1.0,3.86,23.16
1.0,3.72,22.32
1.0,4.47,22.37
1.0,3.0,23.7
1.0,3.86,23.16
1.0,1.5,23.6
1.0,2.0,27.6
1.0,3.3,19.8
1.0,4.28,25.68
1.0,0.0,20.0
2.0,5.55,24.15
1.0,3.3,19.8
1.0,0.0,16.5
1.0,4.0,24.0
1.0,0.0,44.25
1.0,0.0,55.0
1.0,8.06,48.36
1.0,3.15,18.95
1.0,2.6,15.6
1.0,3.7,22.3
1.0,5.0,59.3
1.0,2.7,16.4
1.0,7.35,44.15
1.0,3.58,21.48
