passenger_count,tip_amount,total_amount
5.0,2.0,17.1
5.0,4.7,28.2
1.0,2.0,25.5
1.0,2.6,15.6
1.0,1.0,13.3
2.0,2.0,22.0
1.0,3.58,21.48
1.0,2.88,17.28
1.0,1.1,26.0
1.0,3.55,21.45
1.0,28.23,113.78
1.0,0.8,20.25
2.0,0.0,86.8
1.0,0.0,13.0
1.0,2.6,15.6
1.0,2.88,17.28
1.0,5.7,28.5
1.0,0.0,23.5
1.0,11.63,71.03
0.0,0.0,10.9
1.0,2.0,16.4
1.0,0.0,17.2
1.0,5.54,33.24
1.0,0.0,11.6
1.0,3.95,19.75
1.0,17.1,102.65
1.0,0.0,15.1
1.0,3.1,23.8
2.0,4.42,26.52
1.0,0.0,15.1
1.0,2.5,18.3
1.0,2.84,18.64
2.0,4.95,21.45
1.0,6.16,36.96
1.0,4.42,26.52
1.0,1.93,21.23
2.0,0.0,62.15
1.0,0.0,86.8
2.0,2.94,22.54
2.0,2.74,16.44
2.0,0.0,14.4
2.0,3.72,22.32
1.0,6.22,31.12
1.0,0.0,21.4
1.0,3.16,18.96
2.0,2.88,17.28
1.0,0.0,10.9
3.0,2.0,19.9
3.0,1.0,26.6
1.0,3.16,18.96
1.0,3.02,18.12
1.0,13.07,66.62
1.0,5.79,25.09
1.0,0.0,36.95
2.0,4.28,25.68
2.0,2.46,14.76
5.0,3.0,23.0
4.0,3.0,18.1
5.0,5.8,46.8
1.0,1.0,19.6
1.0,1.2,12.8
2.0,17.11,103.91
1.0,8.0,94.8
1.0,0.0,26.3
1.0,2.0,15.0
1.0,2.3,13.9
1.0,4.0,24.0
1.0,6.58,32.88
1.0,2.0,19.2
4.0,1.0,28.7
2.0,17.35,104.15
5.0,3.6,18.0
1.0,3.0,18.1
1.0,2.5,26.7
1.0,4.4,26.5
1.0,5.0,27.1
1.0,2.0,18.5
1.0,0.0,24.9
1.0,0.0,9.1
2.0,5.68,34.08
1.0,2.21,24.31
1.0,7.8,39.0
2.0,8.85,44.25
2.0,4.98,29.88
1.0,3.6,18.0
2.0,0.0,27.7
1.0,16.98,73.58
1.0,0.0,14.4
2.0,4.14,24.84
1.0,0.0,34.25
1.0,0.0,85.55
1.0,3.02,18.12
1.0,4.82,24.12
1.0,0.0,20.7
1.0,3.69,15.99
1.0,1.0,13.3
1.0,3.86,23.16
0.0,3.55,21.45
0.0,6.33,67.98
2.0,15.61,93.66
1.0,0.0,19.3
1.0,3.3,19.8
1.0,0.0,10.9
1.0,0.0,17.2
2.0,6.52,39.12
1.0,3.5,20.0
1.0,3.6,18.0
1.0,1.3,12.9
1.0,6.63,28.73
1.0,5.5,27.6
1.0,3.16,18.96
2.0,5.4,32.4
1.0,13.45,81.95
3.0,4.9,29.4
1.0,0.0,17.9
1.0,0.0,20.0
5.0,21.39,106.94
1.0,0.0,17.2
1.0,0.0,27.7
1.0,3.3,19.8
1.0,2.7,16.4
2.0,17.1,85.55
1.0,2.0,16.4
1.0,3.5,24.2
1.0,0.0,62.9
1.0,13.28,79.68
1.0,0.0,12.3
1.0,2.3,13.9
1.0,1.0,23.1
1.0,4.42,26.52
1.0,0.0,13.7
1.0,3.72,22.32
1.0,11.46,68.76
1.0,0.0,14.4
2.0,3.86,23.16
2.0,1.0,13.3
1.0,2.0,25.5
4.0,0.0,36.25
1.0,0.0,15.4
1.0,2.82,26.32
1.0,2.88,17.28
1.0,5.12,30.72
1.0,11.52,69.12
1.0,1.0,15.4
1.0,16.01,81.31
6.0,0.0,19.3
1.0,18.15,90.85
1.0,5.0,35.8
2.0,0.0,14.4
1.0,0.0,15.1
2.0,0.0,13.0
4.0,3.44,20.64
3.0,2.46,14.76
1.0,0.0,13.7
1.0,2.0,19.9
2.0,1.0,16.8
1.0,3.58,21.48
1.0,0.0,17.9
1.0,6.1,36.6
1.0,0.0,17.9
2.0,0.0,12.6
1.0,1.0,16.8
1.0,2.88,17.28
1.0,3.02,18.12
1.0,3.72,22.32
1.0,7.08,42.48
1.0,6.0,22.5
1.0,4.84,29.04
4.0,0.0,85.55
1.0,2.8,16.8
1.0,13.15,78.9
1.0,7.97,39.87
1.0,3.72,22.32
1.0,0.0,18.6
2.0,0.0,13.7
2.0,2.88,17.28
2.0,3.44,20.64
3.0,4.0,19.8
1.0,2.74,16.44
1.0,5.0,31.3
2.0,4.0,24.0
1.0,0.0,13.0
1.0,4.7,20.5
3.0,2.0,14.3
1.0,0.0,22.1
1.0,2.0,24.8
1.0,0.0,15.8
2.0,0.0,19.3
1.0,0.0,20.0
1.0,6.1,36.6
1.0,2.0,25.5
1.0,2.9,18.0
1.0,3.63,27.83
1.0,6.2,37.4
1.0,7.92,47.52
2.0,4.42,26.52
1.0,3.25,16.25
1.0,0.0,12.3
1.0,2.0,27.6
1.0,2.18,13.08
1.0,0.0,15.1
2.0,16.9,84.7
1.0,1.5,17.3
1.0,4.98,29.88
1.0,1.5,13.1
1.0,3.44,20.64
6.0,4.82,24.12
1.0,3.78,18.88
1.0,3.3,19.8
2.0,2.6,15.6
2.0,0.0,14.4
2.0,2.88,17.28
1.0,5.18,25.88
1.0,4.3,25.7
1.0,2.6,15.6
1.0,0.0,20.0
1.0,2.46,14.76
1.0,4.56,27.36
1.0,3.86,23.16
1.0,3.0,23.0
1.0,16.2,97.3
1.0,0.0,29.1
1.0,0.0,20.7
1.0,6.58,32.88
1.0,1.0,14.7
1.0,2.66,15.96
1.0,0.0,22.8
1.0,2.0,36.3
1.0,5.4,32.4
2.0,0.0,60.8
1.0,0.0,13.7
1.0,0.0,15.1
1.0,2.6,15.6
1.0,2.5,22.5
1.0,3.4,20.6
1.0,4.58,35.08
2.0,0.0,14.0
2.0,0.0,19.6
1.0,0.0,17.2
1.0,3.4,20.6
1.0,1.95,14.95
1.0,0.0,28.0
1.0,0.0,14.4
1.0,0.0,18.6
1.0,12.3,73.8
1.0,5.4,32.4
1.0,3.86,23.16
1.0,10.55,63.45
2.0,17.11,102.66
1.0,3.8,18.9
1.0,3.45,17.15
1.0,1.0,12.9
1.0,3.5,21.0
1.0,0.0,22.8
1.0,3.7,22.3
1.0,2.7,16.4
1.0,3.45,15.05
1.0,0.0,14.4
3.0,4.0,24.0
2.0,4.28,25.68
1.0,0.0,10.9
1.0,2.88,17.28
1.0,1.0,12.6
1.0,0.0,40.55
1.0,5.26,31.56
1.0,6.38,38.28
2.0,3.16,18.96
1.0,1.5,20.8
2.0,0.65,13.65
3.0,1.0,18.9
1.0,3.58,21.48
2.0,11.49,70.19
1.0,3.5,21.0
1.0,1.0,15.4
1.0,3.86,23.16
2.0,5.54,33.24
1.0,3.78,22.68
1.0,3.78,18.88
2.0,3.2,19.7
1.0,1.0,12.6
1.0,3.72,22.32
1.0,0.0,79.0
2.0,20.85,125.1
2.0,14.39,86.34
1.0,0.0,17.2
1.0,2.32,13.92
1.0,2.74,16.44
1.0,0.0,24.9
1.0,0.0,47.5
2.0,2.94,17.64
1.0,3.58,21.48
1.0,2.74,16.44
1.0,3.6,18.0
3.0,3.44,20.64
1.0,2.0,20.85
2.0,12.0,98.8
1.0,1.0,12.6
1.0,1.5,13.8
1.0,1.0,14.0
1.0,3.16,18.96
1.0,6.6,28.7
4.0,0.0,16.5
4.0,1.0,16.1
1.0,0.0,15.1
1.0,0.0,13.0
1.0,0.0,24.2
1.0,0.0,85.55
1.0,1.0,22.4
3.0,11.45,68.75
1.0,14.7,88.2
3.0,5.35,26.75
4.0,4.7,28.2
1.0,3.4,20.6
1.0,3.4,20.6
1.0,3.15,18.95
6.0,3.02,18.12
1.0,12.0,72.1
2.0,1.0,87.8
1.0,2.6,15.6
1.0,3.3,19.8
1.0,3.4,17.1
1.0,0.0,86.8
4.0,0.0,46.05
1.0,3.05,15.35
0.0,0.0,10.9
2.0,7.86,48.41
1.0,4.55,27.35
1.0,0.0,85.55
1.0,3.02,18.12
2.0,1.5,13.1
3.0,4.14,24.84
1.0,3.86,23.16
4.0,5.68,34.08
4.0,2.0,24.1
1.0,3.98,30.53
1.0,7.5,45.0
1.0,0.0,15.1
1.0,3.0,29.3
2.0,4.7,28.2
1.0,3.55,21.45
1.0,0.0,15.1
1.0,3.0,18.1
1.0,0.0,16.5
1.0,8.82,38.22
1.0,1.0,28.0
2.0,3.58,21.48
2.0,1.0,15.4
1.0,15.0,79.3
1.0,3.3,19.8
2.0,4.2,21.0
1.0,4.7,28.2
2.0,13.03,79.43
1.0,12.05,73.55
1.0,1.37,15.07
2.0,3.3,19.8
1.0,3.4,18.5
1.0,0.0,13.7
3.0,2.85,19.35
3.0,4.42,26.52
3.0,0.0,14.4
4.0,0.0,24.2
1.0,2.05,12.25
1.0,1.0,16.1
1.0,3.42,17.12
1.0,4.53,19.63
1.0,3.85,23.15
1.0,5.88,29.38
1.0,1.0,16.8
2.0,5.58,24.18
1.0,3.86,23.16
1.0,17.11,103.91
2.0,13.29,79.74
1.0,3.02,18.12
1.0,0.0,12.3
1.0,3.44,20.64
1.0,0.0,15.8
1.0,3.72,22.32
2.0,2.0,22.0
1.0,0.0,14.4
1.0,3.44,20.64
1.0,2.32,13.92
1.0,3.72,22.32
1.0,8.53,51.18
1.0,0.0,-10.9
1.0,0.0,10.9
1.0,0.0,-79.0
1.0,0.0,79.0
1.0,0.0,80.85
1.0,1.0,14.7
1.0,2.6,15.6
1.0,3.72,22.32
1.0,7.35,44.15
2.0,2.79,21.39
2.0,0.0,27.7
1.0,3.85,23.15
1.0,1.63,12.53
1.0,3.0,25.1
1.0,4.7,28.2
1.0,4.7,20.5
2.0,6.43,38.58
1.0,3.0,18.8
1.0,3.16,18.96
1.0,9.38,46.88
1.0,14.67,88.02
2.0,5.6,34.85
1.0,3.85,23.3
1.0,20.0,132.1
1.0,2.66,15.96
1.0,3.9,16.9
1.0,7.92,47.52
2.0,3.08,18.48
2.0,0.0,12.6
1.0,0.0,18.6
3.0,2.0,19.9
1.0,0.0,14.4
1.0,3.05,15.35
3.0,2.6,15.6
1.0,12.92,77.52
1.0,0.0,12.3
0.0,0.0,19.3
0.0,15.8,94.8
1.0,4.0,24.0
1.0,4.3,25.7
1.0,1.0,25.9
2.0,17.11,103.91
1.0,6.94,41.64
1.0,2.5,32.3
1.0,4.11,17.81
1.0,3.3,19.8
1.0,0.0,107.2
2.0,17.79,78.34
1.0,2.0,20.6
1.0,4.56,27.36
1.0,0.0,17.5
1.0,5.0,51.6
1.0,0.0,22.8
1.0,4.12,20.62
1.0,2.88,17.28
1.0,3.3,19.8
0.0,2.0,17.8
0.0,2.0,24.1
1.0,12.0,84.75
1.0,4.0,24.0
1.0,1.58,17.38
1.0,6.38,38.28
1.0,10.93,66.83
2.0,2.0,17.8
