passenger_count,tip_amount,total_amount
1.0,3.56,21.36
1.0,1.88,11.28
1.0,3.7,22.2
1.0,4.12,24.72
1.0,0.0,17.1
1.0,16.35,98.15
1.0,0.0,63.3
1.0,9.16,54.96
1.0,5.32,26.62
1.0,2.0,17.0
1.0,2.58,15.48
1.0,7.08,35.38
1.0,2.16,12.96
1.0,3.14,18.84
1.0,20.35,123.35
1.0,3.58,17.88
3.0,3.84,23.04
1.0,2.44,14.64
2.0,5.8,34.8
1.0,3.14,18.84
2.0,4.12,24.72
1.0,0.0,21.3
2.0,3.0,18.0
1.0,1.0,13.2
1.0,4.54,27.24
3.0,2.0,12.8
1.0,0.0,50.5
1.0,8.32,49.92
1.0,1.5,11.9
1.0,2.3,13.8
1.0,3.92,19.62
1.0,3.28,19.68
1.0,2.3,13.8
1.0,1.43,15.73
2.0,2.0,22.6
1.0,2.85,17.15
1.0,8.7,52.4
1.0,1.5,13.0
1.0,4.46,34.16
1.0,6.5,39.0
1.0,2.0,24.7
1.0,0.0,75.45
1.0,3.0,51.75
1.0,2.0,16.3
1.0,1.43,15.73
1.0,3.28,19.68
1.0,2.58,15.48
1.0,1.0,25.1
1.0,1.0,13.2
1.0,2.58,16.88
1.0,4.4,26.4
1.0,3.98,23.88
1.0,6.02,30.12
1.0,3.7,22.2
1.0,2.1,18.5
1.0,2.58,15.48
2.0,2.0,14.9
2.0,4.65,28.05
1.0,5.67,28.37
1.0,3.28,19.68
1.0,2.41,26.51
1.0,5.0,99.8
1.0,2.58,15.48
1.0,3.0,18.0
1.0,2.58,15.48
2.0,14.8,90.05
2.0,1.0,18.8
1.0,4.12,24.72
1.0,5.0,36.1
1.0,4.12,24.72
1.0,2.5,42.25
1.0,8.18,89.98
1.0,2.72,16.32
1.0,5.52,33.12
1.0,2.72,16.32
1.0,2.02,12.12
1.0,10.41,62.46
1.0,10.91,66.71
1.0,3.46,22.66
1.0,12.27,94.07
2.0,2.88,22.08
2.0,2.85,17.15
2.0,2.0,19.1
1.0,16.11,97.91
1.0,2.86,17.16
1.0,5.66,33.96
4.0,1.0,18.1
1.0,8.04,48.24
1.0,2.36,18.06
1.0,3.14,18.84
1.0,3.0,18.0
1.0,2.58,15.48
1.0,2.0,64.6
1.0,3.0,18.0
1.0,3.0,18.0
1.0,5.0,46.6
1.0,3.98,23.88
1.0,1.1,14.0
1.0,2.0,19.1
1.0,6.08,36.48
1.0,4.4,26.4
1.0,4.5,19.5
1.0,5.1,30.6
1.0,3.15,18.85
1.0,3.7,22.2
1.0,7.02,30.42
1.0,3.84,23.04
1.0,8.47,42.37
1.0,5.15,25.75
1.0,2.0,39.4
1.0,2.0,24.7
1.0,0.0,13.6
1.0,2.5,21.7
1.0,2.58,15.48
2.0,5.0,80.25
1.0,8.49,36.79
1.0,5.1,30.6
1.0,4.1,24.7
1.0,3.0,20.1
2.0,4.4,26.4
1.0,2.5,21.0
1.0,2.5,23.1
1.0,0.0,19.2
1.0,3.0,20.8
1.0,2.86,17.16
2.0,0.0,22.7
1.0,3.56,21.36
1.0,2.3,13.8
1.0,3.66,15.86
1.0,11.4,57.0
1.0,3.75,18.75
1.0,2.44,14.64
1.0,3.14,18.84
1.0,0.0,-18.5
1.0,0.0,18.5
2.0,0.0,-14.3
2.0,0.0,14.3
2.0,2.3,13.8
1.0,3.0,25.0
2.0,2.0,14.2
1.0,4.34,28.44
1.0,3.42,20.52
1.0,2.14,16.44
1.0,3.05,15.25
1.0,7.37,68.77
1.0,1.78,19.58
2.0,0.0,22.7
1.0,11.59,69.54
3.0,3.24,14.04
3.0,2.46,18.86
3.0,2.58,15.48
2.0,3.56,21.36
1.0,2.3,13.8
1.0,4.0,29.5
1.0,4.7,20.4
2.0,2.0,19.8
1.0,3.25,19.65
2.0,2.15,12.95
2.0,4.4,26.4
1.0,3.1,18.8
1.0,2.85,17.15
1.0,2.7,16.3
1.0,6.6,39.8
1.0,9.75,58.5
2.0,3.92,19.62
1.0,3.0,63.05
1.0,3.42,20.52
1.0,4.54,27.24
1.0,3.28,19.68
1.0,8.12,40.62
1.0,0.0,28.3
1.0,5.94,35.64
1.0,7.98,49.13
1.0,5.0,21.4
1.0,2.02,12.12
1.0,2.88,14.38
1.0,1.5,16.5
1.0,2.0,31.7
1.0,3.7,22.2
1.0,2.0,13.5
1.0,2.0,12.8
1.0,0.0,22.7
3.0,4.12,24.72
1.0,0.0,21.3
1.0,4.7,28.2
1.0,3.95,23.85
1.0,3.1,18.8
0.0,7.0,30.4
0.0,2.85,17.15
0.0,2.7,13.5
1.0,2.58,15.48
1.0,2.25,17.25
1.0,2.58,15.48
