passenger_count,tip_amount,total_amount
1.0,1.5,13.1
1.0,0.0,11.6
1.0,3.45,17.15
1.0,2.0,17.1
1.0,0.0,50.1
1.0,2.74,16.44
1.0,4.7,28.2
1.0,0.0,11.6
1.0,11.1,66.6
1.0,5.16,22.36
1.0,0.0,20.0
1.0,0.0,16.5
1.0,4.42,26.52
1.0,3.1,23.8
1.0,0.0,24.9
1.0,5.35,26.75
1.0,3.0,12.8
1.0,0.0,36.1
1.0,4.7,28.2
2.0,14.1,84.65
1.0,0.0,59.0
1.0,3.16,18.96
2.0,0.0,17.9
1.0,5.54,33.24
2.0,3.72,22.32
1.0,4.14,24.84
4.0,3.3,19.8
3.0,3.0,25.1
1.0,15.68,95.33
1.0,4.0,29.6
1.0,0.0,13.0
1.0,10.0,71.65
1.0,5.54,33.24
1.0,0.0,19.3
1.0,1.0,21.0
1.0,0.0,66.55
1.0,3.16,18.96
1.0,0.0,18.6
2.0,4.65,23.25
2.0,2.32,13.92
2.0,1.37,15.07
1.0,3.19,35.09
1.0,3.63,27.83
1.0,1.0,23.1
1.0,4.14,24.84
3.0,4.84,29.04
1.0,1.0,13.3
1.0,3.21,24.61
2.0,4.8,29.0
1.0,3.72,22.32
1.0,3.6,18.0
1.0,17.11,102.66
2.0,1.0,18.9
2.0,0.0,26.3
2.0,3.58,21.48
2.0,4.8,29.0
1.0,2.0,24.8
2.0,3.44,20.64
1.0,2.14,23.54
1.0,6.4,32.0
1.0,3.3,19.8
1.0,6.84,29.64
1.0,0.0,15.1
2.0,2.0,16.4
3.0,0.0,14.0
1.0,0.0,15.8
1.0,2.8,20.0
1.0,3.44,20.64
1.0,1.0,14.0
2.0,3.95,19.75
2.0,6.1,36.6
1.0,3.16,18.96
1.0,2.0,29.7
2.0,22.8,136.9
0.0,2.0,18.5
0.0,0.0,19.3
2.0,0.0,20.0
2.0,4.82,24.12
2.0,1.5,15.9
1.0,1.0,22.4
1.0,3.6,18.0
1.0,0.0,16.7
1.0,0.0,37.25
1.0,4.84,29.04
2.0,1.0,26.6
1.0,10.25,51.25
1.0,3.0,29.3
2.0,0.0,22.1
1.0,3.72,22.32
1.0,7.47,32.37
1.0,2.88,17.28
2.0,3.3,19.8
1.0,3.44,20.64
1.0,3.16,18.96
1.0,5.26,31.56
1.0,2.46,14.76
1.0,5.54,33.24
1.0,2.6,13.5
1.0,3.86,23.16
1.0,0.0,20.7
1.0,8.68,43.38
3.0,17.11,103.91
1.0,0.0,14.4
1.0,4.11,17.81
1.0,3.02,18.12
1.0,0.0,13.0
1.0,0.0,14.55
1.0,1.3,14.3
1.0,4.28,25.68
1.0,0.0,20.7
1.0,5.4,32.4
1.0,2.32,13.92
1.0,0.0,12.3
2.0,0.0,20.0
5.0,17.36,104.16
1.0,4.58,35.08
1.0,3.3,19.8
1.0,3.25,16.25
1.0,4.0,24.0
4.0,0.0,15.1
1.0,17.02,73.77
1.0,4.42,26.52
1.0,6.94,41.64
1.0,0.0,14.4
1.0,4.7,28.2
1.0,0.0,44.5
1.0,0.0,47.45
1.0,2.79,21.39
1.0,2.49,27.39
2.0,5.0,25.0
2.0,0.0,15.8
2.0,3.3,19.8
1.0,0.0,15.1
1.0,3.72,22.32
1.0,0.0,22.1
0.0,0.0,24.9
2.0,0.0,18.6
1.0,17.11,103.91
2.0,0.0,37.8
1.0,0.0,32.75
1.0,0.0,85.55
1.0,2.82,26.32
1.0,7.45,37.25
1.0,5.1,30.7
1.0,3.3,19.8
1.0,0.0,23.5
1.0,4.3,21.5
1.0,3.0,18.1
3.0,2.16,16.56
1.0,0.0,86.8
1.0,0.0,18.9
1.0,4.7,28.2
1.0,0.0,11.6
1.0,0.0,30.5
1.0,7.36,44.16
2.0,1.0,18.2
1.0,4.0,24.0
1.0,0.0,14.7
1.0,2.0,24.1
1.0,4.62,27.72
1.0,4.14,24.84
1.0,2.6,15.6
1.0,2.46,14.76
1.0,4.28,25.68
1.0,0.0,63.9
1.0,3.92,23.52
1.0,4.84,29.04
1.0,0.0,13.0
1.0,4.84,29.04
1.0,0.0,62.15
1.0,16.85,101.15
1.0,5.12,30.72
1.0,3.16,18.96
1.0,0.0,12.3
1.0,4.28,25.68
1.0,1.0,47.85
1.0,0.0,32.6
1.0,7.22,43.32
1.0,0.0,14.0
1.0,2.74,16.44
1.0,4.98,29.88
1.0,0.0,39.6
1.0,6.1,30.6
1.0,5.15,31.05
1.0,0.0,77.75
1.0,12.88,77.28
2.0,3.36,20.16
1.0,3.16,18.96
1.0,8.0,67.4
3.0,7.8,39.0
3.0,1.0,16.8
2.0,3.0,20.2
1.0,32.03,193.43
1.0,2.0,20.6
1.0,6.8,40.8
1.0,1.0,15.4
4.0,3.58,21.48
3.0,4.34,26.04
1.0,3.72,22.32
1.0,7.22,43.32
2.0,2.06,15.76
2.0,3.86,23.16
2.0,5.0,90.55
1.0,4.0,24.0
1.0,5.7,28.5
1.0,0.0,11.6
1.0,0.0,60.6
1.0,0.0,24.9
1.0,4.56,27.36
1.0,5.96,35.76
1.0,0.0,18.6
1.0,1.0,25.9
1.0,5.12,30.72
1.0,3.86,23.16
1.0,0.0,15.8
1.0,2.58,19.78
2.0,3.72,22.32
2.0,2.16,16.56
1.0,3.16,18.96
1.0,1.0,19.6
1.0,4.98,29.88
0.0,0.0,79.0
2.0,0.0,85.55
1.0,17.41,105.71
1.0,5.1,30.7
1.0,13.84,83.04
1.0,0.0,17.9
2.0,2.6,15.6
0.0,2.6,15.6
1.0,0.0,11.2
1.0,7.05,42.45
1.0,1.5,19.4
1.0,4.28,25.68
1.0,3.44,20.64
1.0,1.86,20.46
1.0,1.0,12.6
1.0,2.8,16.8
3.0,17.11,103.91
1.0,2.1,12.6
1.0,3.7,22.2
1.0,2.0,60.5
1.0,10.0,96.8
1.0,3.0,17.0
1.0,4.7,28.2
1.0,3.77,18.87
1.0,2.0,23.4
1.0,0.75,17.25
1.0,3.02,18.12
1.0,0.0,86.8
1.0,3.72,22.32
2.0,2.0,15.3
1.0,1.0,20.3
1.0,5.17,25.87
1.0,2.21,24.31
1.0,3.58,21.48
1.0,4.0,24.0
1.0,2.74,16.44
1.0,0.0,-66.9
1.0,0.0,66.9
1.0,3.47,20.82
4.0,0.0,85.55
1.0,0.0,-71.25
1.0,0.0,71.25
2.0,0.0,17.9
2.0,1.0,17.5
1.0,1.0,16.1
1.0,5.35,23.25
1.0,0.0,16.5
1.0,4.0,24.0
1.0,13.22,66.12
1.0,2.45,14.75
1.0,7.8,39.0
1.0,0.0,31.2
1.0,3.6,18.0
2.0,14.99,91.19
1.0,0.0,16.5
3.0,3.3,19.8
3.0,3.95,30.25
1.0,3.0,15.0
1.0,2.0,15.0
1.0,4.14,24.84
1.0,3.52,27.02
2.0,0.0,79.0
1.0,6.8,40.8
1.0,2.2,20.1
6.0,0.0,18.6
6.0,2.0,18.5
1.0,3.65,15.95
2.0,0.0,19.3
2.0,3.16,18.96
1.0,4.65,23.25
1.0,8.32,41.62
1.0,0.1,20.8
1.0,3.44,20.64
1.0,0.0,66.55
1.0,4.83,24.13
