passenger_count,tip_amount,total_amount
1.0,16.36,98.16
1.0,1.65,10.05
1.0,0.0,19.6
1.0,16.35,98.15
1.0,0.0,81.8
1.0,4.0,48.35
1.0,2.1,12.6
2.0,0.0,8.7
1.0,3.36,20.16
1.0,0.0,32.2
1.0,2.66,15.96
1.0,2.5,20.0
1.0,2.5,20.0
1.0,8.0,89.8
1.0,18.81,94.06
1.0,2.8,16.8
1.0,0.0,20.3
1.0,0.0,-5.75
1.0,0.0,5.75
2.0,16.11,97.91
1.0,2.45,12.25
1.0,3.0,21.2
1.0,1.47,11.27
2.0,1.0,17.1
1.0,1.82,10.92
1.0,4.34,26.04
1.0,4.76,28.56
3.0,2.0,35.6
1.0,16.0,97.8
1.0,3.08,18.48
1.0,2.0,18.8
1.0,3.36,20.16
2.0,0.0,5.9
1.0,2.65,15.95
1.0,0.0,11.2
1.0,5.0,30.2
1.0,2.2,13.4
1.0,2.24,13.44
1.0,1.95,11.75
1.0,12.27,94.07
2.0,0.0,18.2
2.0,4.9,29.4
2.0,0.0,14.0
5.0,0.0,35.0
1.0,3.1,18.5
1.0,2.95,17.65
1.0,2.95,17.65
1.0,2.0,25.8
1.0,5.04,30.24
2.0,12.0,72.0
1.0,3.08,18.48
1.0,3.15,15.75
2.0,1.95,11.75
1.0,12.0,73.0
2.0,0.0,81.8
1.0,0.0,5.75
3.0,15.05,90.3
1.0,2.2,13.4
1.0,2.66,15.96
1.0,4.06,24.36
1.0,3.22,19.32
1.0,0.0,74.0
1.0,0.0,16.8
4.0,0.0,20.3
2.0,1.61,17.71
1.0,1.0,10.1
2.0,4.3,26.0
2.0,4.2,25.2
1.0,3.85,19.25
1.0,2.0,17.4
1.0,2.8,14.0
1.0,0.0,9.4
2.0,3.36,20.16
2.0,0.0,18.9
2.0,16.35,98.15
5.0,16.36,98.16
1.0,7.0,42.0
2.0,2.03,22.33
2.0,5.6,28.0
1.0,3.08,19.88
1.0,2.0,13.2
1.0,15.86,95.16
3.0,1.0,13.6
1.0,4.2,21.0
1.0,4.0,57.4
1.0,5.0,86.8
1.0,26.72,161.57
1.0,2.66,15.96
1.0,3.08,18.48
2.0,1.65,10.05
2.0,9.0,54.05
3.0,3.22,19.32
3.0,2.0,16.7
2.0,20.14,100.69
2.0,3.22,19.32
2.0,0.0,11.9
1.0,1.82,10.92
1.0,2.8,16.8
1.0,20.4,102.2
1.0,0.0,19.6
1.0,0.0,21.7
1.0,2.38,14.28
1.0,4.34,26.04
2.0,21.05,126.3
1.0,1.0,11.5
1.0,1.3,18.53
1.0,3.33,16.63
1.0,3.08,18.48
1.0,2.38,14.28
1.0,3.92,23.52
1.0,3.05,18.45
1.0,3.05,18.45
1.0,6.02,36.12
1.0,2.94,17.64
1.0,0.08,17.58
2.0,2.35,14.25
1.0,7.77,33.67
2.0,0.0,-20.3
2.0,0.0,20.3
2.0,0.0,21.0
2.0,15.61,94.91
1.0,5.18,31.08
1.0,20.27,122.87
5.0,0.0,80.65
2.0,0.0,10.1
2.0,4.2,25.2
1.0,10.7,64.4
2.0,0.0,81.8
1.0,1.8,10.9
2.0,2.52,15.12
1.0,0.0,23.1
1.0,2.95,14.85
3.0,5.0,86.8
2.0,1.96,11.76
2.0,3.36,20.16
1.0,5.32,31.92
1.0,9.0,67.2
1.0,2.8,16.8
2.0,3.36,20.16
1.0,3.0,67.25
2.0,16.35,98.15
1.0,2.0,36.3
1.0,9.0,90.8
1.0,7.28,43.68
1.0,2.8,16.8
1.0,3.78,22.68
2.0,2.62,20.12
1.0,3.36,20.16
1.0,0.0,-9.1
1.0,0.0,9.1
1.0,3.08,18.48
1.0,5.04,30.24
1.0,0.0,81.8
2.0,5.0,86.8
1.0,2.52,15.12
1.0,0.0,11.9
1.0,0.0,16.1
2.0,16.11,97.91
1.0,3.3,16.6
2.0,1.0,16.4
2.0,3.0,19.8
1.0,0.0,80.55
1.0,0.0,25.9
1.0,2.8,16.8
1.0,2.5,15.1
3.0,0.0,16.1
1.0,4.05,24.35
1.0,3.3,16.6
1.0,10.0,62.7
1.0,4.0,29.9
1.0,2.8,16.8
1.0,1.5,14.8
1.0,0.0,11.2
1.0,5.0,85.55
1.0,0.0,11.2
1.0,2.9,17.6
1.0,0.2,82.0
1.0,5.0,23.2
1.0,2.66,15.96
3.0,2.9,17.6
1.0,3.78,22.68
1.0,1.0,12.9
1.0,5.95,29.75
1.0,3.08,33.88
1.0,2.0,16.7
1.0,2.65,15.95
1.0,0.0,17.5
1.0,4.0,20.1
1.0,3.08,18.48
2.0,0.0,80.55
2.0,2.1,16.1
2.0,2.38,14.28
1.0,2.0,17.4
1.0,2.25,13.45
1.0,13.21,67.31
1.0,0.0,12.6
1.0,11.55,69.3
1.0,0.0,81.8
1.0,2.5,15.1
3.0,2.66,15.96
1.0,6.12,30.62
1.0,3.64,21.84
1.0,3.0,33.8
3.0,2.5,15.8
1.0,4.06,24.36
2.0,5.0,38.6
1.0,2.0,13.9
1.0,8.4,50.4
1.0,3.33,16.63
3.0,1.96,11.76
1.0,2.73,11.83
2.0,4.62,27.72
1.0,9.87,42.77
1.0,1.28,18.16
1.0,2.0,11.8
2.0,0.0,11.9
1.0,2.52,15.12
1.0,7.7,38.5
1.0,2.94,17.64
1.0,1.96,11.76
1.0,4.34,26.04
2.0,1.0,12.2
2.0,4.9,29.4
1.0,3.3,25.0
1.0,0.0,16.1
1.0,0.0,12.6
1.0,3.5,21.0
1.0,3.2,19.3
1.0,1.8,12.3
1.0,2.1,12.6
1.0,9.84,59.04
1.0,1.5,16.2
1.0,16.11,97.91
2.0,7.0,42.0
1.0,0.0,10.5
1.0,3.08,18.48
4.0,2.8,16.8
1.0,3.36,20.16
2.0,2.9,17.6
1.0,3.36,20.16
1.0,2.94,17.64
1.0,0.0,16.1
4.0,16.11,97.91
1.0,14.8,88.8
1.0,2.66,15.96
1.0,3.78,22.68
1.0,2.24,13.44
1.0,1.11,13.71
1.0,1.96,11.76
1.0,4.2,25.2
1.0,3.14,18.84
1.0,4.29,18.59
1.0,15.7,94.25
0.0,0.0,11.9
1.0,3.05,18.45
2.0,0.0,80.55
2.0,24.16,104.71
1.0,0.0,57.55
2.0,3.08,18.48
3.0,5.0,85.55
1.0,2.94,17.64
1.0,3.22,19.32
1.0,3.22,19.32
1.0,1.0,16.4
1.0,0.0,9.8
1.0,0.0,81.8
1.0,4.0,35.5
1.0,2.0,20.2
1.0,0.0,13.3
1.0,3.64,21.84
1.0,5.88,25.48
1.0,1.5,21.8
1.0,2.3,13.8
1.0,2.0,11.1
1.0,0.0,41.3
2.0,2.0,15.3
1.0,2.45,12.25
2.0,2.1,12.6
1.0,2.0,11.1
3.0,2.1,12.6
1.0,2.35,14.25
2.0,2.9,17.6
2.0,5.46,32.76
2.0,1.0,27.6
1.0,2.52,15.12
1.0,0.0,14.0
2.0,0.0,16.1
1.0,3.5,21.0
1.0,0.0,52.3
3.0,0.0,74.0
1.0,0.0,80.55
1.0,2.65,15.95
1.0,2.8,16.8
1.0,2.8,16.8
1.0,0.0,10.5
1.0,2.38,14.28
1.0,20.4,102.2
2.0,15.86,95.16
1.0,4.05,20.15
1.0,2.65,15.95
1.0,0.0,12.6
1.0,0.0,25.9
2.0,5.0,62.6
1.0,2.1,12.6
1.0,2.0,16.0
2.0,0.0,12.6
1.0,2.66,15.96
2.0,2.52,15.12
3.0,2.24,13.44
3.0,3.92,23.52
1.0,0.0,11.2
1.0,6.72,40.32
1.0,0.0,16.8
1.0,11.1,66.75
2.0,1.78,13.68
3.0,2.38,14.28
5.0,2.38,14.28
5.0,2.52,15.12
5.0,10.0,84.0
1.0,2.8,16.8
0.0,4.2,21.0
0.0,2.2,13.4
0.0,0.9,17.0
0.0,3.2,19.3
2.0,9.06,69.46
1.0,0.0,10.5
1.0,0.0,15.4
1.0,3.78,16.38
1.0,2.94,17.64
1.0,0.0,14.0
1.0,2.0,13.2
1.0,2.65,15.95
0.0,1.0,9.7
1.0,1.0,20.6
1.0,0.0,19.6
1.0,12.17,74.27
1.0,16.36,98.16
1.0,4.48,26.88
1.0,0.0,10.5
1.0,5.2,31.1
2.0,2.5,15.1
1.0,2.65,15.95
2.0,3.0,24.7
2.0,0.0,11.9
1.0,1.47,11.27
1.0,5.67,24.57
1.0,1.0,14.3
3.0,2.8,16.8
1.0,19.38,117.53
4.0,0.0,54.7
1.0,3.0,26.8
3.0,2.0,20.9
1.0,4.05,24.35
1.0,1.0,15.0
1.0,2.0,11.1
1.0,3.22,19.32
1.0,0.0,13.3
2.0,11.69,70.14
3.0,2.1,12.6
3.0,2.0,15.3
1.0,5.95,29.75
1.0,2.24,13.44
1.0,3.92,23.52
1.0,3.85,19.25
1.0,2.8,30.8
5.0,2.8,16.8
6.0,2.24,13.44
1.0,0.0,17.1
1.0,2.19,9.49
1.0,15.86,95.16
1.0,0.0,17.5
1.0,0.0,10.5
1.0,0.0,113.65
2.0,16.36,98.16
1.0,3.5,21.0
3.0,7.0,35.0
2.0,4.62,27.72
0.0,10.0,26.1
1.0,0.0,9.8
2.0,8.0,48.15
1.0,16.11,97.91
4.0,1.61,17.71
1.0,12.03,72.18
1.0,3.99,30.59
1.0,16.11,96.66
1.0,10.0,84.4
3.0,5.45,32.75
1.0,10.0,25.4
1.0,19.3,83.7
1.0,16.1,96.65
0.0,15.05,90.3
1.0,1.0,11.5
2.0,1.5,16.2
1.0,3.35,20.15
1.0,0.0,16.8
1.0,2.0,20.2
1.0,0.0,52.75
1.0,0.0,22.4
0.0,16.1,96.65
4.0,16.35,98.15
3.0,4.2,25.2
2.0,0.0,18.9
2.0,2.0,23.7
1.0,3.64,21.84
3.0,0.0,28.0
1.0,2.2,13.4
2.0,2.1,12.6
2.0,1.0,15.0
2.0,0.1,10.6
2.0,1.95,11.75
2.0,3.1,13.6
1.0,0.0,34.3
1.0,0.0,7.0
1.0,16.11,96.66
1.0,0.0,15.4
1.0,0.0,-72.75
1.0,0.0,72.75
1.0,14.08,70.38
2.0,3.05,18.45
1.0,2.66,15.96
0.0,1.0,11.5
1.0,0.0,21.7
1.0,0.0,13.3
1.0,4.06,24.36
2.0,16.11,97.91
1.0,2.3,13.8
2.0,0.0,13.3
3.0,5.88,25.48
1.0,10.28,62.93
1.0,3.5,21.0
1.0,1.68,10.08
1.0,2.66,15.96
1.0,5.0,57.7
1.0,4.2,21.0
1.0,2.52,15.12
1.0,5.18,31.08
2.0,10.0,84.0
1.0,6.0,56.6
1.0,8.4,42.0
1.0,3.78,22.68
1.0,0.0,11.2
1.0,2.0,16.7
1.0,0.0,14.0
2.0,0.0,21.0
1.0,0.0,12.6
1.0,3.5,21.0
1.0,3.55,15.45
1.0,5.55,27.95
1.0,1.0,19.2
1.0,0.0,12.6
1.0,0.0,16.1
1.0,0.0,12.6
4.0,0.0,14.7
1.0,2.0,13.2
3.0,3.08,18.48
4.0,3.6,21.8
2.0,4.6,27.7
0.0,2.0,12.5
0.0,0.0,10.5
0.0,0.0,14.0
0.0,0.0,30.1
2.0,4.02,20.12
1.0,3.64,21.84
1.0,5.18,31.08
1.0,4.76,28.56
3.0,14.8,90.05
2.0,0.0,11.2
1.0,0.0,10.5
1.0,2.8,16.8
1.0,10.29,62.99
2.0,0.0,81.8
1.0,11.24,67.44
1.0,0.0,9.8
1.0,0.0,15.4
3.0,16.11,97.91
1.0,1.68,10.08
1.0,1.96,11.76
1.0,0.0,7.7
3.0,2.5,17.2
2.0,6.58,39.48
2.0,3.43,37.73
2.0,6.45,32.35
1.0,1.96,11.76
1.0,0.98,10.78
1.0,0.0,14.0
1.0,0.0,8.4
1.0,16.11,97.91
1.0,3.05,18.45
1.0,2.0,24.4
1.0,1.0,16.4
1.0,8.12,48.72
1.0,2.94,17.64
1.0,10.0,92.6
1.0,0.0,17.5
2.0,1.78,13.68
2.0,0.0,16.8
1.0,3.92,23.52
1.0,3.64,21.84
1.0,2.38,14.28
1.0,1.0,14.3
1.0,3.68,18.38
5.0,1.0,16.4
4.0,0.0,17.5
2.0,2.1,12.6
1.0,2.94,17.64
1.0,1.36,10.46
1.0,2.8,16.8
