passenger_count,tip_amount,total_amount
1.0,4.9,29.4
1.0,5.85,35.25
2.0,16.45,98.75
2.0,0.0,18.2
1.0,7.15,35.85
1.0,0.0,33.15
1.0,12.7,76.4
1.0,5.0,30.2
1.0,0.0,20.3
1.0,0.0,57.45
1.0,1.0,11.5
1.0,10.0,90.55
1.0,3.22,19.32
1.0,1.78,13.68
1.0,7.14,42.84
1.0,0.0,13.3
1.0,2.94,17.64
1.0,0.0,10.5
1.0,1.5,14.1
1.0,4.9,29.4
1.0,2.0,14.6
1.0,7.0,42.0
1.0,0.0,56.0
1.0,3.36,20.16
1.0,0.0,16.8
1.0,0.0,15.4
2.0,4.8,20.9
1.0,4.0,29.2
1.0,10.0,90.55
1.0,14.49,86.94
1.0,0.0,147.05
6.0,2.38,14.28
6.0,4.76,28.56
6.0,3.36,20.16
1.0,3.78,22.68
1.0,4.48,26.88
1.0,3.36,20.16
2.0,4.55,22.75
1.0,3.22,19.32
1.0,0.0,17.5
1.0,2.27,14.87
1.0,2.8,16.8
1.0,0.0,23.8
2.0,16.45,98.75
1.0,6.12,30.62
1.0,3.85,19.25
1.0,2.94,17.64
2.0,0.0,14.0
2.0,7.28,43.68
2.0,7.0,42.0
0.0,4.45,26.85
0.0,3.75,22.65
1.0,5.0,64.85
2.0,15.15,90.9
1.0,11.6,69.8
3.0,4.34,26.04
2.0,10.0,92.3
2.0,0.0,21.0
1.0,0.0,14.0
1.0,10.15,62.65
2.0,2.0,82.55
1.0,3.0,31.7
0.0,0.0,26.6
1.0,7.28,43.68
1.0,0.0,17.5
1.0,3.64,21.84
2.0,10.0,90.55
1.0,0.0,17.5
1.0,2.0,12.5
2.0,5.0,35.8
3.0,35.88,179.38
1.0,2.66,15.96
1.0,0.0,30.1
1.0,0.0,16.1
1.0,0.0,37.1
2.0,12.11,74.41
1.0,20.14,102.44
1.0,0.0,21.7
1.0,3.5,21.0
1.0,0.0,11.2
2.0,20.14,100.69
1.0,0.0,17.5
1.0,3.36,14.56
1.0,2.8,16.8
2.0,0.0,23.1
1.0,5.04,30.24
1.0,0.0,20.3
3.0,3.78,22.68
3.0,5.0,23.9
2.0,15.96,95.76
1.0,1.82,10.92
1.0,2.24,13.44
1.0,3.85,19.25
1.0,13.71,82.26
1.0,3.64,21.84
1.0,0.0,62.65
2.0,0.0,80.55
1.0,13.09,80.29
1.0,9.85,60.85
1.0,2.0,23.0
1.0,2.66,15.96
1.0,3.33,16.63
1.0,3.08,18.48
1.0,2.52,19.32
1.0,1.8,18.6
1.0,0.0,21.0
1.0,0.0,16.1
1.0,0.0,19.6
1.0,1.5,16.2
1.0,0.0,13.3
1.0,0.0,43.4
1.0,0.0,18.9
1.0,4.2,25.2
1.0,3.5,21.0
1.0,2.24,13.44
2.0,5.0,80.75
1.0,7.56,45.36
1.0,3.22,19.32
1.0,0.0,44.15
1.0,15.8,94.85
1.0,3.35,20.15
1.0,4.48,26.88
1.0,2.38,14.28
1.0,7.78,48.43
1.0,2.1,12.6
1.0,0.0,17.8
2.0,0.0,23.1
2.0,6.3,37.8
2.0,0.0,11.2
2.0,4.38,21.88
2.0,5.25,22.75
1.0,11.82,72.67
1.0,7.0,56.75
1.0,2.0,15.3
1.0,3.08,18.48
1.0,0.0,21.7
1.0,1.57,17.27
1.0,2.52,15.12
1.0,2.66,15.96
1.0,5.6,33.6
1.0,1.0,17.1
1.0,3.15,13.65
1.0,2.0,15.3
1.0,2.52,15.12
1.0,2.0,23.7
1.0,0.0,13.3
1.0,0.0,66.5
2.0,3.22,19.32
2.0,6.72,40.32
1.0,0.0,16.1
1.0,3.22,19.32
1.0,3.0,18.4
1.0,10.0,66.35
3.0,0.0,12.6
1.0,20.14,100.69
1.0,3.1,18.5
1.0,7.7,38.5
1.0,0.0,12.6
1.0,2.0,11.1
3.0,0.0,28.7
1.0,5.25,22.75
1.0,1.9,18.0
1.0,5.32,31.92
1.0,0.0,14.7
1.0,2.0,27.9
2.0,0.0,18.2
2.0,10.0,84.0
1.0,0.0,16.1
1.0,2.62,13.12
2.0,0.0,28.7
1.0,2.94,17.64
1.0,9.3,55.8
1.0,3.75,22.65
1.0,0.0,10.5
1.0,2.52,15.12
1.0,0.66,13.96
3.0,4.62,27.72
3.0,4.06,24.36
3.0,0.0,13.3
2.0,5.74,34.44
1.0,6.15,36.9
1.0,2.94,17.64
1.0,3.78,22.68
3.0,3.35,20.15
1.0,4.3,26.0
1.0,0.0,17.8
1.0,2.02,12.12
3.0,3.85,19.25
1.0,5.74,34.44
4.0,20.75,103.75
1.0,8.5,62.15
1.0,6.44,38.64
2.0,0.0,17.5
1.0,3.3,16.6
1.0,5.0,28.8
3.0,0.0,11.2
1.0,4.45,26.85
1.0,10.0,29.6
1.0,14.63,89.53
1.0,3.0,24.7
2.0,0.0,21.0
1.0,2.24,13.44
1.0,2.0,29.3
1.0,3.6,21.8
2.0,0.0,22.4
3.0,0.0,9.1
1.0,3.78,22.68
1.0,0.0,33.6
1.0,0.0,18.2
1.0,2.8,16.8
5.0,5.0,87.3
1.0,3.78,22.68
1.0,3.5,53.9
1.0,9.1,54.6
1.0,0.0,20.3
1.0,6.44,38.64
6.0,2.38,14.28
6.0,2.66,15.96
6.0,3.15,13.65
6.0,2.38,14.28
6.0,3.85,19.25
1.0,0.0,75.75
1.0,15.14,77.44
0.0,0.0,40.6
2.0,1.82,10.92
3.0,24.5,147.05
1.0,0.0,31.5
1.0,6.02,36.12
1.0,0.0,13.3
1.0,0.0,17.5
2.0,3.22,19.32
1.0,1.5,19.0
3.0,1.0,25.5
4.0,0.0,10.2
1.0,4.06,24.36
1.0,2.1,12.6
1.0,2.1,12.6
1.0,10.0,67.7
1.0,7.0,64.75
1.0,2.66,15.96
1.0,4.06,24.36
1.0,1.96,11.76
1.0,3.64,21.84
1.0,2.8,16.8
1.0,2.0,20.2
1.0,2.66,15.96
2.0,1.0,20.6
2.0,0.0,11.2
2.0,2.2,16.9
1.0,3.78,22.68
1.0,2.9,12.7
1.0,20.1,100.65
1.0,3.08,18.48
1.0,3.92,23.52
1.0,0.0,13.3
1.0,2.38,14.28
1.0,0.8,22.5
2.0,3.0,29.6
2.0,0.0,16.1
3.0,5.46,32.76
2.0,24.16,106.46
1.0,0.0,11.2
1.0,2.38,14.28
1.0,0.0,11.2
2.0,0.0,80.55
1.0,0.0,10.5
1.0,0.0,74.0
1.0,2.73,20.93
1.0,0.0,8.7
1.0,1.0,41.6
1.0,0.0,13.3
2.0,4.9,29.4
2.0,3.67,18.37
4.0,0.0,14.0
1.0,2.0,18.1
1.0,12.2,73.2
1.0,2.94,17.64
1.0,4.2,18.2
1.0,0.0,21.0
1.0,14.49,86.94
1.0,3.5,17.5
1.0,2.52,15.12
1.0,0.0,32.2
2.0,5.05,25.35
2.0,4.2,25.2
2.0,0.0,21.0
1.0,0.0,15.7
1.0,0.0,12.6
2.0,3.35,20.15
2.0,3.05,18.45
1.0,2.5,19.3
1.0,5.85,35.25
1.0,17.7,107.95
1.0,4.0,33.4
1.0,0.0,13.3
1.0,4.62,27.72
1.0,0.0,15.4
1.0,0.0,16.8
1.0,2.66,15.96
1.0,4.06,24.36
1.0,2.52,15.12
3.0,16.11,96.66
1.0,2.8,16.8
1.0,2.35,14.25
1.0,20.1,100.65
1.0,19.16,97.56
1.0,3.78,22.68
1.0,3.08,18.48
1.0,1.4,15.4
1.0,2.8,16.8
1.0,0.0,33.6
1.0,2.9,17.6
1.0,0.0,18.2
1.0,5.6,33.6
1.0,3.5,17.5
1.0,6.45,38.65
1.0,0.0,21.0
1.0,5.6,28.0
1.0,6.58,39.48
1.0,4.0,26.4
1.0,0.0,9.8
1.0,15.47,79.12
1.0,4.34,26.04
2.0,0.0,10.5
2.0,2.66,15.96
1.0,4.34,26.04
1.0,2.1,12.6
1.0,3.0,19.8
1.0,1.58,12.08
1.0,0.0,25.9
4.0,1.95,11.75
1.0,5.08,25.38
1.0,2.0,12.5
1.0,2.1,12.6
1.0,0.0,11.9
1.0,12.39,74.34
1.0,2.66,15.96
1.0,4.2,18.2
1.0,0.0,-7.0
1.0,0.0,7.0
1.0,2.8,16.8
1.0,3.0,40.1
1.0,0.0,8.4
2.0,2.0,22.0
1.0,1.54,9.24
1.0,4.06,24.36
1.0,0.0,21.0
1.0,9.88,61.03
5.0,2.38,14.28
5.0,4.0,32.0
1.0,5.74,34.44
1.0,3.78,41.58
1.0,13.3,79.8
1.0,11.3,69.55
1.0,3.78,22.68
1.0,1.0,10.8
2.0,16.11,96.66
1.0,5.0,39.3
1.0,7.95,34.55
1.0,1.0,12.9
1.0,4.4,19.1
1.0,2.65,15.95
1.0,4.2,21.0
2.0,4.48,26.88
2.0,6.7,29.1
1.0,5.0,79.0
2.0,5.18,31.08
1.0,6.58,39.48
1.0,15.33,93.73
1.0,7.04,53.94
2.0,6.0,36.1
2.0,0.0,11.2
1.0,1.0,14.3
1.0,3.92,23.52
1.0,1.0,12.9
1.0,0.0,12.6
2.0,16.11,98.41
1.0,3.5,21.0
1.0,0.75,11.95
1.0,0.0,14.0
1.0,3.92,23.52
1.0,0.0,18.2
1.0,0.0,-22.4
1.0,0.0,22.4
1.0,3.22,19.32
2.0,0.0,10.8
3.0,3.92,23.52
3.0,0.0,17.5
1.0,3.78,22.68
1.0,0.0,18.9
1.0,2.2,13.4
4.0,16.11,96.66
1.0,4.0,61.05
1.0,0.0,11.2
1.0,3.0,23.3
1.0,4.2,25.2
2.0,0.0,12.6
1.0,0.0,21.7
1.0,13.93,85.33
1.0,2.88,31.58
1.0,8.08,61.98
3.0,0.0,14.0
2.0,3.2,19.3
2.0,1.65,10.05
5.0,12.46,74.76
1.0,5.46,32.76
1.0,7.0,35.0
1.0,11.08,68.23
1.0,2.8,16.8
2.0,3.85,19.25
1.0,2.0,25.1
1.0,0.0,-15.4
1.0,0.0,15.4
1.0,4.76,28.56
2.0,2.52,15.12
3.0,0.0,11.9
1.0,1.0,10.1
1.0,3.78,28.98
1.0,0.0,18.2
1.0,2.0,19.5
1.0,0.0,20.3
1.0,0.0,14.7
1.0,0.0,19.6
1.0,0.0,14.0
1.0,3.5,17.5
1.0,2.8,16.8
3.0,2.52,15.12
1.0,2.27,11.37
1.0,3.08,18.48
1.0,1.0,12.2
2.0,2.66,15.96
4.0,0.0,23.8
1.0,2.66,15.96
1.0,2.94,17.64
1.0,9.1,54.6
1.0,5.88,25.48
1.0,0.0,22.4
1.0,0.0,35.7
