passenger_count,tip_amount,total_amount
1.0,2.2,13.4
1.0,0.0,24.5
1.0,12.67,77.77
1.0,3.92,23.52
1.0,0.0,49.25
1.0,0.0,11.2
1.0,4.2,25.2
1.0,0.0,48.95
2.0,0.0,20.3
2.0,4.48,26.88
1.0,3.75,22.65
1.0,12.0,73.6
1.0,6.72,29.12
1.0,12.81,76.86
1.0,2.0,9.7
1.0,3.36,20.16
1.0,3.0,28.9
1.0,1.54,32.34
1.0,6.65,33.25
1.0,2.8,14.0
2.0,2.8,16.8
1.0,3.99,17.29
3.0,3.08,18.48
1.0,0.0,19.6
1.0,2.52,15.12
1.0,3.5,21.0
1.0,0.0,16.8
1.0,0.0,21.7
1.0,2.1,12.6
1.0,0.0,53.9
1.0,0.0,-74.0
1.0,0.0,74.0
1.0,5.95,29.75
1.0,2.35,14.25
1.0,0.0,10.5
1.0,0.0,16.1
2.0,2.7,11.8
1.0,1.0,13.6
1.0,5.0,36.5
1.0,2.0,15.3
1.0,5.0,40.7
1.0,2.0,9.3
1.0,11.05,66.3
1.0,2.94,17.64
1.0,22.63,135.78
0.0,2.2,13.4
1.0,5.0,22.5
1.0,4.4,19.1
3.0,0.0,82.3
1.0,0.0,32.0
1.0,4.48,26.88
1.0,1.5,16.9
1.0,2.8,16.8
1.0,11.27,67.62
1.0,20.0,64.75
1.0,1.0,13.6
1.0,3.5,21.0
1.0,2.94,17.64
1.0,8.96,53.76
1.0,7.3,31.8
1.0,2.55,15.45
1.0,5.04,30.24
1.0,3.78,16.38
1.0,4.72,23.62
5.0,0.0,14.3
1.0,1.0,20.6
1.0,1.82,10.92
2.0,0.0,12.6
1.0,0.0,58.55
1.0,10.71,66.01
1.0,6.85,41.15
1.0,0.0,28.0
1.0,0.0,26.6
1.0,4.48,26.88
1.0,3.22,19.32
1.0,2.24,13.44
1.0,7.7,46.2
4.0,0.0,34.5
1.0,3.36,20.16
1.0,4.76,28.56
1.0,0.0,8.7
1.0,4.48,26.88
1.0,6.07,36.42
1.0,0.0,17.5
1.0,0.0,28.7
1.0,0.0,23.8
1.0,4.7,23.6
2.0,5.08,25.38
1.0,0.0,8.4
1.0,0.0,9.8
1.0,2.38,14.28
1.0,2.66,15.96
1.0,3.36,20.16
1.0,1.5,13.4
1.0,1.0,12.2
1.0,3.0,24.7
1.0,0.0,47.3
1.0,5.6,28.0
3.0,7.0,42.0
1.0,6.3,27.3
1.0,0.0,16.8
1.0,0.0,-8.4
1.0,0.0,8.4
1.0,3.22,19.32
1.0,20.93,125.58
1.0,2.52,15.12
1.0,2.0,20.2
1.0,3.0,22.6
1.0,5.88,35.28
1.0,5.04,30.24
1.0,3.04,23.34
1.0,2.0,24.4
1.0,2.52,15.12
1.0,5.32,31.92
1.0,5.7,34.4
1.0,1.0,15.0
2.0,2.9,17.6
1.0,3.2,19.3
1.0,4.76,28.56
1.0,3.36,20.16
1.0,1.68,10.08
1.0,0.0,35.0
1.0,1.5,15.5
1.0,3.0,24.7
1.0,7.17,35.87
3.0,2.8,16.8
1.0,4.48,26.88
1.0,2.6,13.1
1.0,6.05,26.35
5.0,3.78,22.68
5.0,4.2,25.2
1.0,0.0,28.0
1.0,3.5,21.0
1.0,0.0,16.1
1.0,0.0,16.1
1.0,2.24,13.44
1.0,5.04,30.24
1.0,3.22,19.32
2.0,0.0,23.1
1.0,0.0,10.5
1.0,1.5,15.5
1.0,0.0,65.1
1.0,0.0,16.1
1.0,5.46,32.76
1.0,1.2,13.8
1.0,0.0,-40.9
1.0,0.0,40.9
1.0,0.0,49.55
5.0,7.0,42.0
2.0,4.9,29.4
1.0,3.92,23.52
1.0,2.1,12.6
1.0,4.2,18.2
1.0,6.86,41.16
1.0,10.0,64.6
1.0,6.15,30.65
1.0,1.0,16.4
1.0,0.0,25.9
1.0,0.0,-14.0
1.0,0.0,14.0
1.0,6.02,36.12
1.0,10.64,63.84
1.0,0.0,36.7
1.0,5.32,31.92
1.0,0.0,27.2
1.0,1.82,20.02
3.0,0.0,19.6
1.0,6.47,32.37
4.0,0.0,13.3
1.0,3.78,22.68
4.0,1.82,10.92
3.0,2.0,18.1
1.0,0.0,21.0
3.0,1.0,24.8
1.0,1.0,17.8
1.0,0.0,20.3
1.0,4.76,28.56
2.0,0.0,17.5
1.0,0.0,16.1
1.0,3.1,13.6
1.0,2.8,16.8
1.0,0.0,32.2
1.0,4.03,20.13
1.0,0.0,11.2
1.0,1.19,13.09
1.0,3.0,19.1
1.0,4.3,26.0
1.0,1.96,11.76
1.0,2.8,16.8
1.0,2.44,14.64
2.0,14.14,84.84
1.0,0.0,16.8
1.0,4.0,22.2
1.0,2.38,14.28
1.0,2.0,23.7
1.0,2.66,15.96
1.0,13.32,79.92
1.0,2.8,16.8
1.0,1.5,19.7
1.0,5.6,33.6
1.0,0.0,18.9
1.0,0.0,16.1
1.0,5.32,31.92
1.0,0.0,27.3
1.0,3.08,18.48
1.0,2.0,23.0
2.0,3.0,61.2
0.0,4.05,20.15
1.0,4.9,29.4
1.0,4.03,20.13
1.0,1.36,10.46
1.0,5.0,84.8
1.0,0.0,17.5
1.0,1.0,22.0
1.0,6.72,40.32
1.0,2.9,17.6
2.0,0.0,12.6
1.0,5.45,23.65
1.0,2.1,12.6
1.0,5.18,31.08
4.0,12.65,77.65
1.0,3.6,21.8
1.0,3.05,18.45
1.0,19.95,119.9
1.0,1.0,14.3
1.0,5.18,31.08
1.0,2.5,15.1
1.0,5.5,16.0
1.0,5.0,23.2
1.0,8.25,49.55
1.0,0.0,18.5
1.0,3.36,20.16
1.0,4.3,26.0
1.0,0.0,23.1
1.0,3.55,15.45
1.0,2.24,24.64
1.0,20.68,91.38
1.0,5.88,35.28
2.0,5.68,35.83
3.0,1.0,17.1
1.0,2.8,16.8
1.0,0.0,38.0
1.0,20.14,100.69
2.0,0.0,70.7
1.0,16.45,98.75
1.0,3.5,21.0
1.0,16.46,98.76
5.0,4.06,24.36
1.0,7.34,45.79
1.0,2.0,24.4
1.0,1.0,11.5
1.0,0.0,18.2
1.0,7.18,47.08
1.0,0.0,48.55
3.0,0.0,15.4
1.0,5.08,25.38
1.0,5.04,30.24
1.0,3.64,21.84
1.0,0.0,19.6
1.0,2.8,16.8
1.0,3.36,20.16
2.0,1.96,11.76
1.0,3.08,18.48
1.0,5.18,31.08
1.0,0.0,18.9
3.0,0.0,19.6
3.0,12.39,76.09
1.0,2.0,15.3
1.0,2.8,16.8
1.0,1.3,23.0
1.0,3.5,21.0
2.0,4.2,25.2
1.0,0.0,8.4
1.0,1.82,10.92
1.0,3.22,19.32
1.0,8.82,52.92
1.0,3.35,20.15
1.0,3.0,24.0
1.0,3.78,16.38
1.0,0.0,12.6
1.0,0.0,9.8
1.0,0.0,-7.0
1.0,0.0,7.0
1.0,0.0,94.75
1.0,4.9,29.4
1.0,3.08,18.48
2.0,2.66,15.96
2.0,3.05,18.45
1.0,5.3,31.9
1.0,0.0,12.6
1.0,1.0,16.4
1.0,3.64,21.84
1.0,1.0,12.9
1.0,1.5,12.0
1.0,0.0,80.55
1.0,0.0,36.4
1.0,4.62,27.72
1.0,2.66,15.96
1.0,4.2,25.2
2.0,0.0,82.3
1.0,3.35,20.15
1.0,6.55,39.45
6.0,0.0,9.8
2.0,5.3,31.9
1.0,2.66,15.96
1.0,2.66,15.96
1.0,4.48,26.88
1.0,6.86,41.16
1.0,2.94,17.64
1.0,2.38,14.28
1.0,3.22,19.32
1.0,2.0,13.2
1.0,2.02,18.82
1.0,2.38,14.28
1.0,0.0,80.55
1.0,0.0,16.8
1.0,2.9,17.6
2.0,0.0,11.2
1.0,0.0,14.0
2.0,0.0,47.6
1.0,2.66,15.96
1.0,2.45,12.25
1.0,2.52,15.12
1.0,0.0,32.2
1.0,4.3,26.0
0.0,4.9,29.4
1.0,0.0,82.3
1.0,2.52,19.32
1.0,10.52,63.12
1.0,0.0,10.1
1.0,14.28,85.68
2.0,4.0,32.7
1.0,3.57,27.37
1.0,0.0,46.55
1.0,0.0,14.0
1.0,0.0,21.0
1.0,0.0,14.0
1.0,5.6,28.0
1.0,1.75,19.25
1.0,1.95,11.75
1.0,2.8,16.8
1.0,0.0,13.3
1.0,3.92,23.52
1.0,2.5,17.9
1.0,4.9,24.5
1.0,3.64,21.84
3.0,0.0,-23.8
3.0,0.0,23.8
1.0,5.04,21.84
1.0,1.82,10.92
1.0,4.34,26.04
1.0,1.0,16.4
1.0,0.0,66.0
1.0,0.0,18.9
1.0,2.52,15.12
1.0,0.0,8.4
1.0,3.64,21.84
2.0,0.0,58.8
1.0,4.2,21.0
2.0,3.22,19.32
1.0,1.0,19.2
1.0,12.39,74.34
1.0,0.0,16.1
2.0,1.96,11.76
1.0,3.85,19.25
1.0,2.5,15.1
1.0,2.38,14.28
1.0,3.22,19.32
1.0,4.02,20.12
1.0,2.5,14.4
1.0,2.1,12.6
2.0,0.0,99.6
1.0,4.48,26.88
1.0,7.7,38.5
1.0,5.8,28.9
1.0,0.0,11.2
1.0,0.0,41.3
1.0,2.0,14.6
1.0,2.0,16.7
1.0,1.0,19.2
1.0,5.0,40.0
2.0,3.22,19.32
1.0,3.92,23.52
2.0,3.5,21.0
1.0,0.0,17.1
1.0,1.61,17.71
2.0,2.0,18.1
1.0,3.21,22.11
1.0,5.18,31.08
3.0,0.0,14.0
1.0,0.0,75.75
1.0,12.55,62.95
1.0,1.82,10.92
1.0,0.0,-80.55
1.0,0.0,80.55
1.0,6.44,38.64
1.0,6.12,30.62
3.0,4.9,29.4
3.0,4.48,26.88
2.0,2.0,22.3
1.0,12.66,75.96
1.0,3.0,28.9
1.0,2.1,12.6
1.0,2.94,17.64
3.0,8.4,36.4
1.0,4.9,29.4
1.0,4.06,24.36
1.0,0.0,14.7
1.0,0.0,14.7
1.0,5.32,31.92
1.0,6.02,36.12
1.0,3.5,21.0
1.0,0.0,17.5
1.0,2.1,12.6
1.0,5.88,35.28
1.0,3.08,18.48
1.0,1.96,29.96
1.0,3.9,23.5
1.0,1.5,20.4
1.0,3.22,19.32
1.0,6.0,20.0
1.0,1.0,23.4
1.0,2.24,24.64
1.0,4.9,29.4
1.0,6.25,27.25
1.0,5.04,30.24
1.0,10.0,35.9
1.0,5.3,31.9
1.0,3.64,21.84
1.0,2.0,18.8
1.0,2.2,13.4
1.0,4.45,26.85
0.0,6.51,28.21
1.0,6.65,33.25
2.0,0.0,25.2
1.0,0.5,17.3
1.0,0.0,16.1
1.0,2.24,13.44
1.0,5.18,31.08
1.0,5.04,30.24
1.0,0.0,51.45
1.0,5.78,28.88
1.0,2.0,14.6
1.0,20.55,102.85
1.0,2.0,16.0
1.0,3.5,21.0
5.0,2.1,12.6
2.0,0.0,79.8
1.0,0.0,13.3
0.0,3.75,22.65
1.0,0.0,-56.7
1.0,0.0,56.7
2.0,3.78,22.68
1.0,11.41,70.21
2.0,7.17,35.87
1.0,0.0,33.6
2.0,3.78,22.68
2.0,3.08,18.48
1.0,5.0,35.1
1.0,3.5,21.0
1.0,3.78,22.68
1.0,0.0,19.6
1.0,3.6,21.6
3.0,0.0,82.3
1.0,3.08,18.48
1.0,0.0,28.0
1.0,12.0,72.2
1.0,3.36,14.56
1.0,3.36,20.16
1.0,0.0,12.6
1.0,4.48,26.88
3.0,6.36,39.91
1.0,0.0,53.55
5.0,2.0,25.8
5.0,4.02,20.12
5.0,0.0,11.2
1.0,2.66,15.96
1.0,0.0,35.7
1.0,2.95,14.85
1.0,5.6,33.6
1.0,2.24,13.44
1.0,0.0,18.9
1.0,3.92,23.52
1.0,2.0,11.8
1.0,2.24,13.44
1.0,0.0,17.5
1.0,2.0,24.4
1.0,2.66,15.96
1.0,4.2,25.2
1.0,1.0,12.9
1.0,5.46,41.86
1.0,8.67,53.77
1.0,2.8,16.8
1.0,2.73,20.93
1.0,3.15,34.65
2.0,3.92,23.52
1.0,2.66,15.96
1.0,0.0,11.2
1.0,3.64,21.84
1.0,8.26,49.56
1.0,5.6,33.6
1.0,0.0,14.7
1.0,9.38,56.28
1.0,2.2,16.9
1.0,4.48,26.88
1.0,3.5,21.0
1.0,2.0,12.1
1.0,1.5,26.0
0.0,2.25,11.35
1.0,1.6,17.0
1.0,4.2,25.2
1.0,5.0,65.25
1.0,8.4,42.0
1.0,0.0,11.9
1.0,5.25,22.75
1.0,2.1,12.6
1.0,2.66,15.96
1.0,1.12,12.32
1.0,0.0,31.5
1.0,4.38,21.88
1.0,4.72,23.62
1.0,0.0,38.5
1.0,1.0,11.5
1.0,5.18,31.08
