passenger_count,tip_amount,total_amount
1.0,0.0,48.75
1.0,1.0,14.6
1.0,3.56,21.36
1.0,0.0,15.0
1.0,2.0,29.6
1.0,2.15,12.95
1.0,4.28,21.38
1.0,2.44,14.64
1.0,1.0,16.0
1.0,0.0,20.6
2.0,12.8,77.0
1.0,0.0,19.2
1.0,5.0,15.1
1.0,0.0,12.2
2.0,10.0,60.2
2.0,4.0,20.4
2.0,3.4,14.9
2.0,0.0,9.0
1.0,4.26,25.56
2.0,1.5,13.0
1.0,5.94,35.64
2.0,2.3,13.8
1.0,8.0,89.8
1.0,2.02,12.12
1.0,5.52,33.12
1.0,3.28,19.68
1.0,5.05,40.35
2.0,5.8,34.8
1.0,0.0,-15.0
1.0,0.0,15.0
1.0,5.52,33.12
2.0,9.37,57.47
1.0,0.0,48.4
2.0,1.54,20.74
2.0,0.0,23.7
3.0,2.0,22.6
4.0,0.0,24.8
2.0,8.22,41.12
2.0,0.0,22.95
1.0,3.56,21.36
1.0,0.0,12.2
2.0,7.75,46.55
2.0,3.0,18.0
1.0,1.83,14.03
1.0,2.72,16.32
1.0,2.0,20.5
1.0,6.14,47.04
1.0,7.2,43.2
3.0,2.0,19.1
2.0,6.41,38.46
1.0,10.0,66.95
1.0,5.94,35.64
2.0,0.0,26.9
1.0,2.0,16.3
1.0,4.82,28.92
5.0,2.16,12.96
5.0,3.0,18.0
5.0,2.3,13.8
5.0,0.0,11.5
5.0,1.0,18.8
1.0,1.0,23.7
1.0,4.28,21.38
1.0,0.0,10.1
1.0,0.0,18.5
1.0,0.0,10.8
1.0,1.72,13.22
1.0,2.7,13.5
1.0,2.0,12.8
1.0,4.96,29.76
1.0,6.05,36.45
1.0,2.02,12.12
1.0,2.86,17.16
1.0,4.82,28.92
1.0,2.04,15.64
1.0,1.94,14.84
1.0,0.0,-43.0
1.0,0.0,43.0
1.0,2.0,26.8
1.0,9.2,55.25
1.0,3.84,23.04
1.0,5.24,31.44
1.0,12.38,61.88
1.0,8.04,48.24
1.0,11.96,61.06
1.0,3.8,23.0
1.0,1.0,11.1
1.0,3.0,30.6
1.0,2.44,14.64
1.0,0.0,11.5
1.0,3.4,20.5
1.0,1.55,14.45
1.0,2.0,21.2
1.0,0.0,20.6
1.0,0.0,17.8
1.0,0.0,20.6
2.0,6.05,36.45
2.0,0.15,28.45
2.0,5.2,31.4
1.0,2.44,14.64
2.0,0.0,15.0
2.0,2.58,15.48
2.0,0.0,12.2
2.0,4.4,26.4
1.0,0.0,11.5
1.0,20.4,102.2
1.0,0.0,26.9
1.0,3.0,20.1
1.0,4.12,24.72
1.0,2.58,15.48
1.0,15.05,90.3
2.0,0.0,26.2
1.0,6.22,37.32
1.0,2.85,17.15
1.0,0.0,18.5
1.0,2.5,23.1
1.0,0.0,11.5
2.0,2.44,14.64
1.0,3.0,18.7
2.0,2.72,16.32
1.0,2.58,15.48
1.0,3.42,20.52
1.0,3.14,18.84
1.0,2.0,14.9
4.0,1.0,21.6
1.0,3.56,21.36
1.0,2.44,14.64
2.0,3.28,19.68
1.0,0.0,19.9
1.0,0.0,11.5
1.0,3.0,18.0
1.0,2.44,14.64
2.0,5.15,25.75
1.0,0.0,14.6
1.0,0.0,80.55
1.0,10.69,64.14
2.0,1.0,16.0
2.0,0.0,22.7
2.0,3.56,21.36
2.0,3.56,21.36
2.0,4.8,24.0
1.0,0.0,8.0
1.0,2.9,14.4
1.0,8.65,43.25
1.0,2.02,12.12
1.0,3.0,39.7
1.0,2.35,14.15
1.0,4.0,23.9
0.0,1.6,9.6
1.0,0.0,17.8
1.0,3.7,22.2
1.0,1.0,27.2
1.0,0.0,29.0
2.0,6.6,39.8
1.0,2.0,19.1
3.0,6.36,38.16
1.0,3.42,20.52
1.0,0.0,-17.1
1.0,0.0,17.1
1.0,3.0,13.8
1.0,3.98,23.88
1.0,2.0,14.9
1.0,0.0,12.9
1.0,5.0,46.6
2.0,2.15,12.95
1.0,5.38,32.28
1.0,5.0,70.4
1.0,2.0,17.0
1.0,4.96,29.76
2.0,17.0,131.25
1.0,0.0,56.45
1.0,0.0,14.3
2.0,2.0,23.3
1.0,3.0,30.6
1.0,4.0,30.2
1.0,1.0,20.9
1.0,2.72,16.32
2.0,0.0,30.4
1.0,0.0,29.7
1.0,4.4,26.4
1.0,3.48,20.88
1.0,4.82,28.92
2.0,10.0,25.3
1.0,2.0,30.3
1.0,1.0,12.5
1.0,4.4,26.4
1.0,1.5,13.0
2.0,3.42,20.52
2.0,16.36,98.16
1.0,0.0,15.0
1.0,0.0,11.5
1.0,0.0,22.7
2.0,2.02,12.12
1.0,2.02,12.12
1.0,2.58,15.48
1.0,10.81,54.06
1.0,0.0,10.1
1.0,3.7,22.2
2.0,2.52,12.62
2.0,4.04,30.94
2.0,6.5,39.0
1.0,2.35,11.75
1.0,5.8,34.8
1.0,1.0,18.1
1.0,3.98,23.88
1.0,1.36,14.96
2.0,2.44,14.64
1.0,2.0,19.1
1.0,0.0,24.1
1.0,1.0,12.5
1.0,10.86,65.16
1.0,8.04,48.24
5.0,0.0,41.6
2.0,4.26,25.56
1.0,3.0,42.5
1.0,1.0,13.9
1.0,2.58,15.48
1.0,1.0,12.5
1.0,0.0,11.5
2.0,4.96,29.76
1.0,4.1,20.5
1.0,2.04,15.64
1.0,3.42,20.52
1.0,2.58,15.48
2.0,5.38,32.28
3.0,2.06,22.66
1.0,3.66,15.86
1.0,1.0,18.1
2.0,12.71,76.26
2.0,8.47,42.37
1.0,2.7,16.3
1.0,3.95,19.65
5.0,6.08,36.48
1.0,0.0,71.3
2.0,3.0,18.0
1.0,2.0,17.7
3.0,3.0,13.1
1.0,3.42,20.52
1.0,2.72,16.32
1.0,11.16,66.96
1.0,2.25,17.25
1.0,5.86,35.16
2.0,3.0,18.0
5.0,2.72,16.32
5.0,3.0,18.0
5.0,0.0,17.8
1.0,2.0,21.9
1.0,3.22,16.12
1.0,14.8,90.05
1.0,8.88,53.28
1.0,4.12,24.72
1.0,0.0,11.5
1.0,3.28,19.68
1.0,2.7,16.3
2.0,4.4,26.4
1.0,3.84,23.04
1.0,6.56,39.36
1.0,2.16,12.96
2.0,5.94,35.64
1.0,2.58,15.48
3.0,2.72,16.32
1.0,16.94,101.64
2.0,3.28,19.68
3.0,4.68,28.08
2.0,3.7,22.2
1.0,2.55,28.05
1.0,1.0,11.8
1.0,4.26,25.56
1.0,0.0,48.85
1.0,2.83,18.53
1.0,1.01,11.11
1.0,3.28,19.68
1.0,5.34,23.14
1.0,2.0,40.1
1.0,0.0,13.6
1.0,3.84,23.04
1.0,1.0,18.8
1.0,2.7,13.5
1.0,2.86,17.16
1.0,9.35,46.75
1.0,9.4,56.45
1.0,0.0,16.4
1.0,0.0,9.4
1.0,3.28,19.68
2.0,3.0,18.0
1.0,0.0,28.3
1.0,0.0,10.8
1.0,0.0,28.3
1.0,3.28,19.68
1.0,1.0,12.5
1.0,7.62,45.72
1.0,3.55,21.35
1.0,9.55,47.65
1.0,6.78,40.68
1.0,0.0,27.6
1.0,2.0,34.5
1.0,4.8,24.0
1.0,2.7,16.3
1.0,3.15,18.85
1.0,4.96,29.76
1.0,0.0,61.2
1.0,2.0,17.7
1.0,0.0,19.9
1.0,0.0,33.9
1.0,11.33,69.23
1.0,2.58,15.48
1.0,2.16,12.96
2.0,4.8,28.9
1.0,16.11,97.91
1.0,0.0,55.8
1.0,2.3,13.8
2.0,16.11,97.91
2.0,2.44,14.64
2.0,2.0,13.5
2.0,2.58,15.48
1.0,6.35,38.15
1.0,1.71,18.81
1.0,3.98,23.88
1.0,3.0,18.0
1.0,10.44,62.64
5.0,5.94,35.64
1.0,0.0,17.1
1.0,1.5,16.5
3.0,0.0,12.2
1.0,3.0,33.4
1.0,3.0,18.0
1.0,2.0,38.0
2.0,0.0,12.2
4.0,8.07,34.97
1.0,0.0,11.5
1.0,1.0,15.3
1.0,2.72,16.32
1.0,0.0,75.25
3.0,1.94,12.74
2.0,3.98,23.88
1.0,4.96,29.76
1.0,0.0,38.8
5.0,3.05,15.25
1.0,0.0,6.75
2.0,0.0,81.8
1.0,4.8,28.9
2.0,5.0,24.2
4.0,0.0,18.5
2.0,5.35,32.25
1.0,10.0,91.8
1.0,2.86,17.16
3.0,0.0,15.0
1.0,3.28,19.68
1.0,0.0,17.4
1.0,5.52,33.12
1.0,1.92,21.12
1.0,2.02,12.12
2.0,2.86,17.16
1.0,0.0,24.8
1.0,4.54,27.24
1.0,2.44,14.64
1.0,2.44,14.64
1.0,2.04,15.64
1.0,2.6,15.5
1.0,2.16,12.96
1.0,1.0,13.9
0.0,0.0,77.7
2.0,12.28,73.68
1.0,8.32,49.92
1.0,2.35,11.75
1.0,2.2,14.4
1.0,4.71,20.41
1.0,0.0,14.3
1.0,2.0,27.5
1.0,6.5,39.0
1.0,2.86,17.16
1.0,2.72,16.32
1.0,0.0,10.1
1.0,0.0,88.05
2.0,2.55,15.45
4.0,5.0,49.4
1.0,0.0,8.3
1.0,15.0,66.35
1.0,1.85,11.25
1.0,4.54,27.24
4.0,4.54,27.24
1.0,1.0,11.8
1.0,0.0,21.3
6.0,1.0,13.2
5.0,6.5,39.0
1.0,1.9,19.0
2.0,2.0,35.9
3.0,1.52,11.62
1.0,3.0,18.0
1.0,3.84,23.04
1.0,2.7,13.5
1.0,2.0,17.7
1.0,3.0,18.0
1.0,0.0,16.4
1.0,3.23,16.13
1.0,2.16,12.96
2.0,2.16,12.96
1.0,0.82,17.22
1.0,0.0,20.6
1.0,2.0,19.1
1.0,6.36,38.16
1.0,3.2,19.2
1.0,2.3,13.8
1.0,3.14,18.84
2.0,4.04,30.94
2.0,2.0,15.6
2.0,2.55,15.45
1.0,2.0,20.5
1.0,0.0,19.2
1.0,5.33,26.63
2.0,0.0,13.6
2.0,8.1,40.6
2.0,3.55,21.35
1.0,3.2,14.0
1.0,2.0,10.0
1.0,2.85,17.15
0.0,1.5,17.2
1.0,6.36,38.16
1.0,1.0,13.9
1.0,1.29,14.19
1.0,2.0,14.9
1.0,5.8,34.8
1.0,1.0,23.0
1.0,5.52,33.12
1.0,2.0,26.1
1.0,2.58,15.48
1.0,5.13,22.23
1.0,5.0,48.0
1.0,3.58,17.88
1.0,0.0,15.7
3.0,3.56,21.36
2.0,0.0,22.7
3.0,2.16,12.96
1.0,6.6,39.6
1.0,2.0,23.3
2.0,0.0,14.3
3.0,6.5,39.0
1.0,9.63,57.78
1.0,2.58,15.48
1.0,3.28,19.68
1.0,1.5,15.1
1.0,6.36,38.16
1.0,3.7,22.2
1.0,3.56,21.36
2.0,6.92,41.52
