passenger_count,tip_amount,total_amount
2.0,6.1,36.6
2.0,3.69,15.99
1.0,0.0,85.55
3.0,4.99,32.69
3.0,2.0,22.0
1.0,2.48,18.98
1.0,3.86,23.16
5.0,4.14,24.84
2.0,4.7,28.2
1.0,11.16,68.71
1.0,10.0,80.4
1.0,6.0,33.0
1.0,4.14,24.84
1.0,16.95,101.75
1.0,0.0,17.9
1.0,5.12,30.72
1.0,0.0,13.7
1.0,3.08,15.38
1.0,1.5,20.1
1.0,3.0,18.1
1.0,3.0,18.1
1.0,3.16,18.96
1.0,3.85,23.15
1.0,5.85,29.35
1.0,2.79,21.39
2.0,5.0,30.6
2.0,4.25,25.65
1.0,3.0,23.7
1.0,3.0,18.1
1.0,9.35,56.2
1.0,3.72,22.32
1.0,0.0,16.5
1.0,2.0,26.2
1.0,0.0,20.0
1.0,4.28,25.68
1.0,1.86,20.46
0.0,30.0,79.35
1.0,0.0,-17.9
1.0,0.0,17.9
1.0,0.0,20.5
1.0,2.88,17.28
1.0,2.6,15.6
1.0,0.0,15.1
0.0,2.0,22.0
4.0,5.0,25.0
0.0,2.0,25.5
4.0,4.42,26.52
4.0,6.52,39.12
1.0,1.48,13.78
1.0,0.0,17.2
1.0,4.0,24.0
3.0,2.6,15.6
1.0,2.0,24.8
1.0,4.95,21.45
1.0,2.45,14.75
1.0,0.0,27.0
1.0,4.0,17.0
1.0,2.46,14.76
1.0,4.3,21.5
1.0,9.99,43.29
1.0,1.0,30.1
1.0,7.0,71.8
1.0,5.65,34.05
2.0,4.25,25.65
1.0,1.0,14.0
1.0,3.86,23.16
1.0,8.68,43.38
1.0,7.94,60.84
1.0,11.07,66.42
1.0,3.73,28.63
1.0,3.4,20.6
1.0,2.74,16.44
1.0,4.84,29.04
1.0,1.51,16.61
1.0,0.0,20.0
1.0,5.0,72.55
1.0,4.0,17.7
1.0,1.0,22.4
5.0,2.58,19.78
1.0,0.0,35.4
1.0,5.12,30.72
1.0,2.0,18.5
1.0,10.0,76.85
3.0,2.35,14.25
1.0,4.25,25.65
1.0,0.0,14.4
1.0,4.55,27.35
1.0,4.1,17.8
2.0,4.5,29.4
1.0,19.81,118.86
1.0,4.56,27.36
1.0,0.0,67.2
2.0,0.0,1.05
1.0,0.0,1.01
1.0,2.0,16.4
1.0,2.5,23.9
1.0,2.37,18.17
1.0,4.7,28.2
2.0,13.74,68.69
1.0,3.3,19.8
1.0,0.0,20.0
1.0,3.48,15.08
1.0,4.84,29.04
1.0,4.83,24.13
1.0,3.44,20.64
1.0,0.0,14.4
1.0,5.15,22.35
2.0,5.35,23.25
1.0,0.0,18.7
1.0,2.7,16.4
1.0,4.95,29.85
1.0,15.41,94.21
4.0,0.0,70.4
1.0,5.0,34.8
0.0,4.1,24.8
0.0,5.85,29.35
1.0,3.02,18.12
1.0,1.94,11.64
2.0,0.0,28.4
2.0,7.08,42.48
1.0,5.12,30.72
2.0,3.3,19.8
1.0,0.0,18.6
1.0,3.3,19.8
1.0,6.0,45.85
1.0,12.24,61.19
1.0,0.0,12.3
1.0,0.0,22.8
1.0,20.0,236.5
1.0,3.4,17.1
1.0,2.6,15.6
2.0,2.88,17.28
1.0,0.0,10.5
1.0,0.0,13.3
1.0,5.12,30.72
1.0,6.22,31.12
2.0,0.0,85.55
1.0,4.56,27.36
1.0,3.52,27.02
2.0,17.45,104.75
1.0,2.0,21.3
1.0,6.66,39.96
1.0,4.74,20.54
1.0,3.0,23.0
1.0,1.0,16.8
1.0,2.46,14.76
1.0,5.68,34.08
1.0,0.0,84.3
1.0,11.7,70.2
1.0,1.79,19.69
1.0,9.0,68.2
1.0,4.8,24.1
1.0,0.0,16.5
1.0,2.74,16.44
1.0,6.38,38.28
1.0,3.16,18.96
4.0,0.0,87.3
1.0,16.61,99.66
2.0,4.84,29.04
2.0,5.95,35.75
1.0,6.8,40.8
1.0,0.0,20.0
1.0,5.36,35.16
0.0,0.0,59.65
2.0,5.3,26.7
1.0,3.0,18.1
1.0,4.5,42.0
1.0,1.0,19.6
1.0,3.58,21.48
2.0,3.0,25.1
2.0,6.35,38.25
2.0,3.0,27.9
1.0,11.4,68.5
5.0,0.0,87.3
1.0,0.0,14.4
1.0,2.6,15.6
3.0,5.15,22.35
1.0,8.3,50.05
2.0,7.9,47.5
2.0,5.0,24.3
2.0,3.55,21.45
1.0,2.3,13.9
1.0,1.93,21.23
1.0,4.14,24.84
1.0,0.0,20.7
2.0,3.44,20.64
1.0,5.7,28.5
1.0,0.0,13.7
1.0,2.34,15.34
1.0,3.16,18.96
1.0,0.0,12.3
1.0,2.6,15.6
1.0,3.08,15.38
6.0,2.0,19.9
2.0,1.0,19.6
1.0,3.02,18.12
1.0,3.94,30.24
1.0,0.0,20.0
1.0,9.55,47.75
1.0,8.0,95.3
1.0,4.74,20.54
1.0,2.74,16.44
1.0,1.0,16.1
1.0,2.74,16.44
2.0,3.44,20.64
1.0,1.0,20.3
1.0,3.4,20.6
1.0,2.0,15.0
1.0,0.0,24.2
1.0,0.0,20.7
1.0,0.0,33.95
1.0,9.36,40.56
1.0,3.0,26.5
2.0,10.15,60.9
1.0,4.0,24.0
1.0,0.0,20.0
1.0,0.0,26.3
1.0,2.6,15.6
1.0,5.12,30.72
5.0,2.0,23.4
4.0,0.0,17.9
5.0,3.44,20.64
2.0,0.0,30.5
1.0,2.18,13.08
1.0,3.44,20.64
1.0,4.98,29.88
1.0,4.28,25.68
1.0,3.0,23.7
1.0,5.96,35.76
1.0,2.4,28.0
1.0,2.5,16.9
2.0,3.6,21.5
2.0,5.12,30.72
1.0,3.58,21.48
1.0,3.6,18.0
1.0,3.15,18.95
1.0,3.72,22.32
1.0,4.56,27.36
1.0,6.94,41.64
1.0,0.0,35.4
1.0,2.46,14.76
1.0,3.58,21.48
1.0,1.0,14.7
1.0,3.0,18.8
1.0,0.0,22.1
1.0,0.0,23.5
1.0,6.2,37.4
2.0,6.65,39.95
1.0,2.5,23.2
1.0,6.75,33.75
1.0,4.9,27.0
3.0,5.65,34.05
2.0,3.84,29.44
1.0,4.85,29.05
1.0,15.0,100.55
1.0,0.0,12.3
1.0,3.9,16.9
1.0,0.0,11.2
1.0,13.2,79.35
1.0,1.15,15.55
1.0,3.42,17.12
1.0,2.26,17.36
6.0,0.0,78.25
1.0,3.58,21.48
1.0,0.0,16.5
1.0,0.0,43.8
1.0,3.3,19.8
2.0,0.0,24.9
2.0,6.8,40.8
1.0,1.4,15.8
1.0,4.3,21.5
2.0,3.6,18.0
2.0,1.0,15.4
2.0,2.0,19.2
2.0,6.75,33.75
1.0,2.3,13.9
1.0,13.03,79.93
1.0,3.02,18.12
1.0,5.54,33.24
1.0,4.5,37.1
1.0,3.0,22.3
1.0,4.0,24.0
1.0,4.14,24.84
1.0,10.85,65.15
2.0,3.16,18.96
1.0,9.72,48.62
3.0,5.5,33.2
1.0,4.98,29.88
1.0,0.0,18.6
1.0,8.5,42.5
1.0,0.0,15.8
1.0,4.42,26.52
1.0,2.6,15.6
1.0,6.4,32.0
1.0,0.0,16.5
1.0,4.56,27.36
1.0,0.0,22.8
1.0,5.68,34.08
1.0,3.58,21.48
1.0,0.0,17.2
2.0,5.0,25.0
0.0,4.0,40.1
1.0,3.85,23.15
1.0,0.0,87.3
3.0,3.6,18.0
2.0,3.44,20.64
2.0,2.0,17.8
1.0,3.16,18.96
1.0,10.6,46.0
1.0,0.0,14.4
1.0,3.08,15.38
1.0,4.3,21.5
1.0,3.95,19.75
1.0,3.85,25.25
1.0,0.0,23.8
1.0,1.2,17.0
1.0,5.12,30.72
1.0,8.62,51.72
1.0,4.3,21.5
1.0,3.0,34.2
1.0,0.0,15.1
1.0,1.0,11.2
1.0,2.6,15.6
1.0,5.7,28.5
1.0,1.95,21.25
2.0,3.0,24.4
1.0,0.0,11.6
2.0,0.0,19.3
1.0,3.15,18.95
1.0,3.4,20.6
1.0,4.84,29.04
2.0,4.0,24.0
1.0,0.0,11.6
1.0,12.0,79.25
1.0,4.82,24.12
1.0,4.0,43.6
1.0,2.7,16.4
2.0,4.0,29.6
1.0,3.02,18.12
3.0,3.86,23.16
4.0,4.98,29.88
2.0,4.84,29.04
4.0,0.0,87.3
1.0,2.0,17.1
1.0,7.26,31.46
1.0,0.0,17.2
1.0,2.0,32.5
1.0,5.26,31.56
1.0,10.6,53.0
1.0,4.98,29.88
1.0,0.0,26.3
1.0,5.25,31.55
1.0,8.06,48.36
1.0,0.0,79.0
1.0,3.3,19.8
1.0,3.77,18.87
0.0,3.15,18.95
0.0,2.68,20.58
0.0,2.05,15.75
0.0,4.0,24.0
1.0,2.0,34.6
1.0,1.58,17.38
1.0,6.58,32.88
1.0,0.0,87.3
1.0,3.86,23.16
1.0,2.68,20.58
1.0,3.02,18.12
1.0,3.02,18.12
1.0,3.7,22.3
3.0,4.56,27.36
3.0,3.25,16.25
1.0,0.0,15.8
1.0,4.42,26.52
2.0,3.58,21.48
1.0,4.56,27.36
1.0,3.72,22.32
1.0,3.72,22.32
1.0,6.82,52.27
1.0,17.45,104.75
1.0,0.0,18.2
2.0,2.0,24.1
3.0,3.3,19.8
2.0,4.0,24.0
0.0,1.0,13.3
2.0,17.11,104.41
1.0,0.0,20.0
1.0,5.16,22.36
2.0,4.7,28.2
1.0,4.14,24.84
1.0,4.58,35.08
1.0,3.02,18.12
1.0,0.0,15.1
1.0,3.6,18.0
1.0,4.83,24.13
2.0,0.0,18.6
1.0,3.78,18.88
1.0,2.18,13.08
2.0,3.63,27.83
1.0,5.82,34.92
1.0,1.0,15.4
1.0,3.3,19.8
1.0,3.0,23.7
1.0,2.0,20.6
1.0,2.85,17.25
0.0,0.0,18.6
0.0,5.2,39.9
1.0,3.3,19.8
1.0,3.16,18.96
1.0,12.19,73.14
1.0,3.72,22.32
1.0,4.56,27.36
1.0,2.0,24.1
1.0,4.98,29.88
2.0,2.6,15.6
3.0,0.0,14.4
2.0,5.54,33.24
3.0,15.0,95.75
1.0,2.88,17.28
1.0,4.98,29.88
3.0,0.0,21.4
1.0,1.0,27.3
3.0,4.95,29.85
1.0,13.86,83.16
1.0,3.0,27.25
1.0,4.14,24.84
1.0,4.0,24.0
3.0,3.0,27.9
1.0,2.48,18.98
1.0,3.77,18.87
2.0,6.0,26.0
1.0,3.42,17.12
1.0,3.58,21.48
1.0,1.25,14.95
1.0,2.24,13.44
1.0,0.0,20.0
2.0,0.0,14.4
1.0,3.72,22.32
1.0,3.72,22.32
1.0,3.0,39.8
1.0,1.1,23.2
1.0,2.46,14.76
1.0,8.48,50.88
1.0,8.9,53.4
5.0,0.0,87.3
1.0,10.0,97.3
1.0,0.0,87.3
1.0,4.42,26.52
1.0,3.32,25.42
1.0,0.0,28.0
2.0,4.0,82.75
1.0,0.0,18.6
1.0,0.0,28.4
1.0,2.18,13.08
1.0,4.0,24.0
1.0,0.0,20.7
2.0,17.11,102.66
1.0,0.0,76.3
1.0,0.0,84.8
2.0,0.0,14.4
1.0,1.0,22.4
2.0,3.44,20.64
2.0,11.0,66.0
1.0,0.0,19.3
1.0,3.9,16.9
1.0,2.85,14.45
1.0,11.63,71.53
1.0,3.72,22.32
1.0,17.45,104.75
0.0,0.0,16.5
