passenger_count,tip_amount,total_amount
1.0,1.0,16.7
1.0,2.44,14.64
2.0,1.0,17.4
1.0,3.0,18.0
1.0,2.0,17.0
1.0,1.43,15.73
1.0,3.0,18.0
1.0,8.32,49.92
1.0,0.0,11.5
1.0,2.5,25.9
1.0,0.0,19.9
1.0,12.0,70.6
1.0,5.24,31.44
1.0,2.0,17.0
1.0,0.0,13.6
3.0,5.1,30.6
2.0,3.98,23.88
2.0,2.44,14.64
2.0,3.28,19.68
1.0,3.28,19.68
1.0,13.67,82.02
1.0,3.14,18.84
1.0,3.84,23.04
1.0,3.14,18.84
1.0,4.4,26.4
1.0,1.0,82.8
4.0,0.0,13.6
5.0,0.0,12.9
5.0,11.43,49.53
2.0,9.87,60.47
1.0,4.1,24.7
1.0,2.86,17.16
1.0,3.42,20.52
1.0,7.9,47.4
1.0,4.26,25.56
2.0,3.14,18.84
1.0,3.84,23.04
1.0,5.1,30.6
0.0,0.0,15.8
0.0,2.85,17.15
1.0,3.75,16.25
1.0,2.0,19.2
1.0,4.12,24.72
1.0,16.36,98.16
1.0,2.86,17.16
1.0,4.82,28.92
2.0,3.4,17.1
1.0,2.72,16.32
1.0,2.0,17.7
1.0,4.96,29.76
1.0,3.98,23.88
1.0,5.0,70.35
1.0,2.3,13.8
1.0,4.7,28.1
1.0,1.0,17.4
3.0,2.86,17.16
1.0,3.42,20.52
1.0,2.0,19.1
1.0,3.0,18.0
1.0,3.7,22.2
1.0,2.0,24.0
1.0,5.76,24.96
1.0,0.0,36.0
1.0,9.0,62.05
2.0,0.0,24.8
1.0,0.0,77.45
2.0,4.1,24.7
0.0,4.0,15.5
2.0,2.3,13.8
1.0,3.1,18.8
1.0,2.85,17.15
1.0,0.0,44.65
3.0,0.0,52.6
1.0,1.3,13.6
1.0,3.55,21.35
1.0,9.3,55.8
1.0,0.0,15.0
1.0,0.0,35.3
6.0,0.0,12.2
6.0,4.26,25.56
1.0,0.0,12.9
1.0,0.0,33.9
1.0,1.5,13.7
1.0,7.75,46.55
1.0,0.0,33.2
1.0,2.25,17.25
1.0,2.0,22.6
1.0,3.28,19.68
1.0,4.54,27.24
1.0,4.08,17.68
1.0,4.28,21.38
4.0,0.0,10.8
3.0,0.0,14.3
3.0,2.72,16.32
3.0,3.98,23.88
1.0,2.44,14.64
3.0,0.0,14.3
1.0,4.95,29.75
1.0,4.1,24.7
1.0,2.44,14.64
1.0,4.26,25.56
1.0,0.0,13.6
2.0,0.0,13.0
2.0,1.0,20.9
1.0,4.26,25.56
2.0,0.0,16.4
2.0,6.55,32.75
3.0,2.0,14.2
1.0,1.0,11.8
1.0,1.0,14.6
2.0,4.45,22.25
1.0,0.0,12.2
1.0,2.27,24.97
1.0,9.75,58.5
1.0,1.5,19.3
1.0,2.0,10.0
1.0,0.0,15.0
1.0,2.44,14.64
1.0,6.55,32.75
1.0,0.0,13.6
1.0,0.0,9.4
1.0,2.3,13.8
1.0,3.28,19.68
1.0,2.72,16.32
1.0,2.06,22.66
1.0,2.36,18.06
1.0,3.7,22.2
1.0,4.05,20.45
1.0,2.4,16.0
3.0,2.97,32.67
1.0,1.83,14.03
1.0,0.0,26.9
2.0,0.0,81.8
1.0,3.55,21.35
1.0,2.0,17.0
1.0,4.1,17.7
1.0,2.6,15.5
1.0,0.0,10.8
1.0,2.0,13.5
1.0,3.4,20.5
1.0,3.55,21.35
1.0,0.0,12.2
1.0,0.0,33.9
1.0,5.1,30.6
4.0,3.42,20.52
1.0,9.44,56.64
1.0,4.4,26.4
2.0,3.92,19.62
2.0,4.1,20.5
1.0,5.98,39.18
2.0,3.84,23.04
1.0,1.43,15.73
1.0,3.0,20.1
1.0,3.84,23.04
1.0,10.69,64.14
3.0,0.0,27.6
1.0,1.5,13.0
4.0,0.0,55.75
1.0,3.16,18.96
1.0,4.12,24.72
1.0,4.26,25.56
3.0,4.01,24.06
1.0,3.42,20.52
0.0,4.5,27.2
2.0,4.1,20.5
3.0,5.0,80.25
1.0,2.0,20.5
1.0,5.66,33.96
1.0,2.0,22.6
3.0,15.0,75.0
2.0,9.07,54.42
1.0,3.0,18.0
1.0,2.04,15.64
4.0,0.0,14.3
1.0,3.75,18.75
1.0,6.05,36.45
1.0,0.0,10.1
1.0,2.0,21.9
1.0,12.29,73.74
1.0,2.5,15.4
1.0,2.85,17.15
1.0,3.0,18.0
1.0,3.03,13.13
1.0,3.75,18.75
1.0,13.39,80.34
1.0,16.36,98.16
1.0,2.72,16.32
1.0,0.6,17.0
1.0,3.0,18.0
3.0,16.35,98.15
1.0,3.8,23.0
0.0,11.25,67.55
1.0,0.0,-27.6
1.0,0.0,27.6
1.0,2.58,15.48
1.0,2.85,14.35
1.0,2.7,16.3
1.0,1.59,33.39
1.0,0.0,29.8
1.0,6.92,41.52
1.0,0.0,22.1
3.0,0.0,28.3
1.0,4.5,19.5
1.0,5.38,32.28
1.0,3.42,20.52
1.0,1.0,14.7
1.0,2.56,19.66
1.0,3.56,21.36
1.0,2.0,26.9
1.0,3.61,19.31
1.0,2.4,14.6
1.0,3.98,23.88
1.0,0.0,10.1
1.0,2.58,15.48
1.0,1.83,14.03
1.0,2.34,25.74
1.0,3.84,23.04
4.0,2.3,13.8
2.0,5.38,32.28
2.0,1.6,14.5
1.0,1.57,17.27
1.0,3.42,20.52
2.0,2.72,16.32
1.0,3.56,21.36
1.0,2.72,16.32
1.0,3.23,16.13
1.0,2.58,15.48
1.0,5.24,31.44
1.0,11.29,86.54
1.0,4.82,28.92
1.0,3.56,21.36
2.0,1.5,13.7
1.0,0.0,12.2
1.0,2.44,14.64
1.0,0.0,10.8
6.0,4.1,20.5
5.0,5.0,46.6
1.0,3.0,21.5
1.0,1.0,17.4
1.0,2.2,13.7
1.0,4.1,20.5
1.0,4.4,26.4
1.0,5.0,79.0
2.0,1.72,13.22
2.0,4.0,38.6
3.0,0.0,18.1
1.0,1.7,30.0
1.0,2.58,15.48
1.0,3.7,22.2
1.0,2.72,16.32
1.0,3.7,22.2
1.0,2.14,19.94
2.0,2.58,15.48
2.0,4.5,27.2
1.0,0.0,30.4
1.0,2.16,12.96
1.0,2.58,15.48
1.0,3.84,23.04
1.0,10.0,91.8
1.0,3.14,18.84
2.0,3.0,18.0
1.0,0.0,-10.8
1.0,0.0,10.8
1.0,14.35,86.2
1.0,4.0,24.0
1.0,1.0,16.0
1.0,4.62,23.12
1.0,0.0,9.7
1.0,55.0,60.5
2.0,3.8,23.0
1.0,0.0,19.2
1.0,3.3,25.3
1.0,2.14,16.44
1.0,4.25,18.55
3.0,3.1,18.8
2.0,1.5,10.9
1.0,1.0,21.6
1.0,2.58,15.48
1.0,3.3,25.3
1.0,3.1,18.8
4.0,0.0,20.6
1.0,3.25,19.65
2.0,3.25,19.65
1.0,2.15,10.85
1.0,3.85,16.75
1.0,3.28,19.68
1.0,3.56,21.36
3.0,4.4,26.4
1.0,5.97,25.87
0.0,1.5,12.3
0.0,3.2,14.0
1.0,4.4,26.4
1.0,3.56,21.36
1.0,6.36,38.16
1.0,8.46,50.76
1.0,20.35,101.9
1.0,1.5,16.5
1.0,7.0,22.0
1.0,0.0,17.1
1.0,2.72,16.32
1.0,5.2,31.4
2.0,7.45,44.85
1.0,1.52,9.12
1.0,1.0,16.0
1.0,3.4,20.5
4.0,0.0,13.6
1.0,2.0,17.7
1.0,7.0,60.5
1.0,4.25,25.55
1.0,2.0,12.8
3.0,2.0,17.0
2.0,1.5,17.2
1.0,2.86,17.16
1.0,3.0,27.8
2.0,4.12,24.72
1.0,1.5,13.8
1.0,0.0,23.4
1.0,3.14,18.84
1.0,2.55,15.45
1.0,2.0,13.5
1.0,4.56,34.96
1.0,4.68,28.08
1.0,2.2,20.0
5.0,3.14,18.84
4.0,5.0,31.2
4.0,1.94,14.84
1.0,1.0,13.9
1.0,2.0,19.8
1.0,2.44,14.64
1.0,3.42,20.52
1.0,3.84,23.04
1.0,15.24,92.69
1.0,2.86,17.16
1.0,3.14,18.84
1.0,6.36,38.16
1.0,16.11,97.91
1.0,5.26,31.56
1.0,0.5,22.5
1.0,0.0,18.5
1.0,3.4,20.5
1.0,1.0,13.9
1.0,2.1,27.0
1.0,6.89,43.14
1.0,13.11,78.66
1.0,3.05,15.25
1.0,6.5,39.0
1.0,2.58,15.48
1.0,4.45,22.25
1.0,2.48,18.98
1.0,3.42,20.52
1.0,2.58,15.48
1.0,5.0,29.1
1.0,6.5,39.0
1.0,4.0,34.4
1.0,1.0,10.7
1.0,6.38,31.88
1.0,2.86,17.16
1.0,0.0,17.8
0.0,3.1,18.8
1.0,1.0,20.2
2.0,3.7,22.2
1.0,1.94,14.84
1.0,3.0,30.6
1.0,4.54,27.24
1.0,0.0,16.4
1.0,2.0,26.1
1.0,3.7,22.2
1.0,0.0,14.3
2.0,2.44,14.64
1.0,2.86,17.16
1.0,3.7,22.2
1.0,0.0,15.7
1.0,3.0,32.7
1.0,2.22,13.32
1.0,2.58,15.48
1.0,3.24,14.04
1.0,2.72,16.32
1.0,2.44,14.64
1.0,5.4,32.3
1.0,4.08,17.68
1.0,2.25,17.25
2.0,0.0,11.5
2.0,14.8,88.8
1.0,2.86,17.16
1.0,5.1,30.6
1.0,2.72,16.32
1.0,2.72,16.32
1.0,3.98,23.88
1.0,3.0,42.05
1.0,1.8,14.0
1.0,3.4,17.0
2.0,2.15,12.95
1.0,1.5,16.5
1.0,3.25,19.65
1.0,2.0,18.4
2.0,3.5,18.5
1.0,1.5,27.0
2.0,2.86,17.16
1.0,10.27,62.87
1.0,2.85,17.15
1.0,7.5,45.15
1.0,3.75,18.75
2.0,7.5,45.15
1.0,3.98,23.88
2.0,2.8,18.5
2.0,3.98,23.88
2.0,5.24,31.44
1.0,2.15,12.95
4.0,1.0,18.1
1.0,2.7,16.3
1.0,19.8,118.95
1.0,6.55,32.75
1.0,2.55,15.45
2.0,0.0,10.8
3.0,3.7,22.2
4.0,1.0,30.0
1.0,2.58,15.48
1.0,2.4,14.6
2.0,3.56,21.36
1.0,3.75,18.75
1.0,0.0,64.15
1.0,5.0,34.8
1.0,3.0,18.0
0.0,0.0,17.1
0.0,1.5,20.7
0.0,5.0,45.2
1.0,3.0,18.0
1.0,5.1,22.2
1.0,5.65,33.95
1.0,3.98,23.88
1.0,2.58,15.48
1.0,0.0,14.3
1.0,5.1,30.6
1.0,4.08,17.68
1.0,3.28,19.68
1.0,0.0,15.7
1.0,1.66,9.96
2.0,2.0,19.8
1.0,2.72,16.32
1.0,2.44,14.64
1.0,3.4,17.0
2.0,0.0,26.9
1.0,2.16,16.56
2.0,4.71,20.41
1.0,3.56,21.36
1.0,0.0,30.4
1.0,2.3,13.8
1.0,2.0,15.6
2.0,2.02,12.12
1.0,4.54,27.24
1.0,1.95,14.95
1.0,3.7,22.2
1.0,3.0,38.3
5.0,2.44,14.64
4.0,3.92,19.62
1.0,1.0,25.8
1.0,12.7,64.75
1.0,0.0,81.8
1.0,3.0,50.35
1.0,4.26,25.56
2.0,2.0,12.1
1.0,5.0,24.9
1.0,4.65,28.05
2.0,3.4,14.9
1.0,1.0,11.8
1.0,2.3,13.8
3.0,2.72,16.32
1.0,3.42,20.52
1.0,10.0,91.8
1.0,3.7,22.2
1.0,4.96,29.76
1.0,0.0,19.2
1.0,3.82,29.32
1.0,0.0,19.2
2.0,3.8,22.8
1.0,1.57,17.27
1.0,3.2,21.0
1.0,3.98,23.88
2.0,3.25,19.65
1.0,5.95,25.85
1.0,1.0,11.1
3.0,3.55,21.35
1.0,3.95,23.85
1.0,53.23,320.63
1.0,0.0,11.1
1.0,4.96,29.76
1.0,5.96,35.76
1.0,3.56,21.36
1.0,3.0,28.5
2.0,0.0,81.8
1.0,2.0,21.9
1.0,3.6,17.9
1.0,2.85,17.15
1.0,0.0,10.8
1.0,3.58,17.88
1.0,1.5,18.0
3.0,2.0,17.7
3.0,3.14,18.84
1.0,4.4,26.4
1.0,4.8,24.0
1.0,0.0,12.9
1.0,3.98,23.88
2.0,16.11,97.91
2.0,16.36,98.16
2.0,3.0,18.0
1.0,3.42,20.52
1.0,6.27,37.62
1.0,3.84,23.04
1.0,2.72,16.32
1.0,2.86,17.16
1.0,4.1,20.5
2.0,2.15,12.95
1.0,2.3,13.8
2.0,1.5,16.5
1.0,2.85,17.15
1.0,5.5,33.1
1.0,3.28,19.68
2.0,1.41,10.81
1.0,1.1,36.4
1.0,4.59,30.09
2.0,2.16,12.96
1.0,2.3,13.8
2.0,2.5,14.0
1.0,2.44,14.64
1.0,0.0,11.9
3.0,3.28,19.68
1.0,4.4,26.4
3.0,2.86,17.16
4.0,5.94,35.64
1.0,2.88,17.28
1.0,6.92,41.52
1.0,18.99,113.94
2.0,0.0,158.8
1.0,5.0,54.3
1.0,1.5,20.0
3.0,2.44,14.64
2.0,5.8,34.8
1.0,2.16,12.96
2.0,0.0,17.1
1.0,16.36,98.16
1.0,5.5,33.1
2.0,11.9,72.65
1.0,3.44,20.64
1.0,5.12,30.72
1.0,12.4,75.65
1.0,0.0,-15.0
1.0,0.0,15.0
1.0,4.0,28.1
1.0,1.5,14.4
1.0,4.26,25.56
1.0,15.0,96.8
1.0,3.9,16.9
3.0,3.7,22.2
1.0,3.56,21.36
4.0,0.0,25.5
1.0,1.5,17.2
1.0,2.72,16.32
1.0,5.8,34.8
1.0,0.0,17.1
3.0,12.08,93.88
1.0,3.0,18.0
1.0,2.2,15.1
1.0,0.0,10.8
1.0,2.3,13.8
1.0,3.42,20.52
2.0,3.0,18.0
1.0,3.25,19.65
1.0,4.12,24.72
1.0,0.0,20.6
2.0,3.56,21.36
2.0,2.0,27.5
1.0,2.4,14.6
1.0,0.0,13.6
1.0,0.0,31.25
2.0,0.0,9.25
1.0,3.0,18.0
1.0,15.0,99.3
1.0,5.1,30.6
1.0,4.14,31.74
1.0,2.67,20.47
1.0,16.35,98.15
1.0,3.98,23.88
1.0,4.68,28.08
1.0,3.0,18.0
1.0,2.45,14.65
1.0,3.0,12.7
1.0,2.1,12.5
1.0,0.0,8.0
1.0,2.0,14.2
1.0,3.7,22.2
1.0,4.08,17.68
1.0,2.88,14.38
1.0,2.16,12.96
3.0,2.72,16.32
2.0,1.83,14.03
2.0,2.86,17.16
2.0,2.0,24.7
1.0,0.0,10.8
1.0,2.85,17.15
1.0,1.22,13.42
1.0,3.98,23.88
1.0,2.86,17.16
1.0,3.7,22.2
1.0,4.1,20.5
1.0,1.0,13.9
1.0,5.1,30.6
1.0,4.4,26.4
2.0,5.0,24.2
2.0,0.0,11.5
1.0,5.85,29.25
2.0,2.38,14.28
2.0,3.2,21.0
1.0,0.0,10.8
1.0,4.12,24.72
2.0,3.14,18.84
2.0,2.95,19.35
1.0,9.76,48.81
1.0,3.84,23.04
1.0,2.58,15.48
1.0,3.42,20.52
1.0,5.1,30.6
1.0,8.0,70.9
1.0,5.1,30.6
1.0,5.8,34.8
1.0,10.81,54.06
1.0,4.98,29.88
1.0,3.28,19.68
1.0,5.0,24.2
1.0,3.28,19.68
1.0,0.0,127.3
1.0,0.0,-9.7
1.0,0.0,9.7
1.0,2.14,16.44
1.0,2.86,17.16
1.0,0.0,-12.9
1.0,0.0,12.9
1.0,0.0,28.6
2.0,3.0,18.0
3.0,2.7,16.3
1.0,2.06,14.96
1.0,5.0,34.7
2.0,0.0,37.4
2.0,1.15,12.65
0.0,7.06,42.36
0.0,2.0,14.9
0.0,0.0,14.3
1.0,3.28,19.68
1.0,3.0,23.7
1.0,4.42,26.52
1.0,0.0,23.4
1.0,1.0,11.4
1.0,9.16,54.96
1.0,4.82,28.92
1.0,2.58,15.48
1.0,3.84,23.04
2.0,7.42,37.12
1.0,3.0,18.0
1.0,0.0,17.8
1.0,2.3,13.8
1.0,3.28,19.68
2.0,3.55,21.45
2.0,22.15,96.15
1.0,0.8,16.5
1.0,4.0,23.2
1.0,2.04,15.64
2.0,3.4,20.5
1.0,4.26,25.56
1.0,2.44,14.64
2.0,3.42,20.52
1.0,0.0,10.1
2.0,0.0,12.9
1.0,2.58,15.48
3.0,2.22,21.42
1.0,4.54,27.24
2.0,10.85,65.3
2.0,14.8,90.05
1.0,1.85,11.25
1.0,1.72,13.22
1.0,3.1,18.8
1.0,2.0,20.5
1.0,5.52,33.12
1.0,2.72,16.32
2.0,0.0,24.1
1.0,8.04,48.24
3.0,3.7,22.2
1.0,2.55,15.45
2.0,3.86,23.16
1.0,3.0,18.0
1.0,0.0,8.4
0.0,2.8,16.8
1.0,2.86,17.16
1.0,0.0,16.4
1.0,2.72,16.32
1.0,0.0,36.0
2.0,0.0,10.1
1.0,3.7,22.2
1.0,0.0,12.2
1.0,2.58,15.48
2.0,5.1,30.6
1.0,8.62,51.72
1.0,0.0,18.5
2.0,3.56,21.36
2.0,7.48,44.88
2.0,3.8,23.0
1.0,2.0,21.9
1.0,5.0,46.6
3.0,4.0,24.0
1.0,3.28,19.68
1.0,4.54,27.24
1.0,5.66,33.96
1.0,0.0,19.2
2.0,2.44,14.64
1.0,3.84,23.04
1.0,2.0,17.0
1.0,3.42,20.52
1.0,0.0,19.2
1.0,3.14,18.84
1.0,10.21,62.51
1.0,0.0,12.9
1.0,3.7,22.2
1.0,2.15,12.95
2.0,2.4,16.0
2.0,6.0,35.0
1.0,0.0,15.7
1.0,3.75,18.75
1.0,3.05,15.25
1.0,4.71,20.41
1.0,0.0,14.3
1.0,5.24,31.44
1.0,4.28,21.38
1.0,1.88,11.28
1.0,2.5,21.7
1.0,3.55,21.35
1.0,2.45,14.65
1.0,1.5,14.4
1.0,3.8,23.0
1.0,1.0,21.6
2.0,1.0,13.2
1.0,1.0,13.9
1.0,4.97,24.87
1.0,2.0,21.2
1.0,1.0,13.9
2.0,2.72,16.32
1.0,5.66,33.96
3.0,2.0,27.5
3.0,3.14,18.84
4.0,2.58,15.48
