passenger_count,tip_amount,total_amount
1.0,2.38,14.28
1.0,2.38,14.28
1.0,2.0,16.0
1.0,16.11,96.66
1.0,3.2,19.3
1.0,1.0,9.4
1.0,2.5,15.1
1.0,1.82,10.92
1.0,1.5,17.6
1.0,4.55,50.05
1.0,2.0,18.8
1.0,12.39,74.34
1.0,2.0,13.9
1.0,4.0,71.9
1.0,5.74,34.44
1.0,5.08,25.38
2.0,0.0,10.5
2.0,5.0,50.55
1.0,4.5,29.0
1.0,1.0,13.6
1.0,0.0,39.9
2.0,0.0,14.7
2.0,8.0,88.55
1.0,6.3,37.8
1.0,3.64,21.84
1.0,4.34,26.04
1.0,1.96,11.76
1.0,5.32,31.92
1.0,5.18,31.08
4.0,8.4,50.4
1.0,0.0,28.7
1.0,1.5,11.3
1.0,6.1,30.6
1.0,0.0,16.8
1.0,2.31,17.71
1.0,0.0,82.3
1.0,2.8,21.0
1.0,3.36,20.16
1.0,5.0,23.2
1.0,3.78,22.68
3.0,0.0,30.1
3.0,4.34,26.04
2.0,0.0,42.0
1.0,6.86,75.46
1.0,0.0,10.5
1.0,1.5,9.9
1.0,8.82,38.22
2.0,0.0,75.75
1.0,2.8,16.8
1.0,0.0,16.8
1.0,0.0,21.0
1.0,16.46,98.76
1.0,2.8,16.8
2.0,0.0,15.4
2.0,5.04,30.24
1.0,2.42,18.52
1.0,15.6,95.35
1.0,0.0,106.45
1.0,3.0,35.2
1.0,5.0,36.5
3.0,2.5,15.1
2.0,9.87,59.22
1.0,0.0,16.1
1.0,4.06,24.36
1.0,0.0,23.8
1.0,0.0,13.3
1.0,0.0,18.9
1.0,6.02,36.12
1.0,3.5,21.0
1.0,0.0,42.0
5.0,2.66,15.96
5.0,0.0,39.2
2.0,4.62,27.72
1.0,1.0,19.2
2.0,0.0,23.8
1.0,0.0,14.7
2.0,1.0,12.9
1.0,2.52,15.12
1.0,2.45,12.25
3.0,13.51,81.06
1.0,4.2,21.0
2.0,3.0,33.8
1.0,2.8,16.8
1.0,2.1,12.6
2.0,0.0,14.0
3.0,0.0,82.3
1.0,0.0,65.1
1.0,8.12,48.72
1.0,4.2,25.2
1.0,3.22,19.32
1.0,0.0,13.3
1.0,2.8,16.8
1.0,0.0,19.6
2.0,5.04,30.24
2.0,4.06,24.36
1.0,15.82,94.92
1.0,3.57,27.37
1.0,0.0,30.8
1.0,1.0,10.8
1.0,0.0,11.2
1.0,1.0,16.4
5.0,4.48,26.88
5.0,2.0,53.8
2.0,0.0,82.3
1.0,2.5,15.1
1.0,6.8,34.1
1.0,4.76,28.56
1.0,4.62,20.02
1.0,2.45,12.25
1.0,7.35,56.35
1.0,0.0,11.2
1.0,4.0,32.7
1.0,2.0,11.8
1.0,0.0,16.8
1.0,4.48,26.88
1.0,2.0,33.5
1.0,9.45,47.25
1.0,3.99,30.59
1.0,5.46,23.66
3.0,0.0,9.4
3.0,12.23,73.38
1.0,2.0,14.6
1.0,0.0,11.2
1.0,4.06,24.36
1.0,0.0,-74.0
1.0,0.0,74.0
1.0,4.9,29.4
1.0,3.68,28.18
1.0,8.4,50.4
2.0,0.0,25.2
1.0,3.6,21.8
1.0,0.0,9.8
4.0,2.0,9.3
5.0,0.0,12.6
1.0,2.66,15.96
1.0,4.5,43.0
1.0,2.0,26.5
1.0,1.96,11.76
3.0,2.0,16.7
1.0,0.0,14.0
1.0,2.2,13.4
1.0,1.5,38.6
1.0,1.5,15.5
1.0,3.0,14.9
1.0,3.5,21.0
0.0,16.6,83.1
1.0,3.78,22.68
2.0,0.0,19.6
2.0,4.2,25.2
1.0,2.38,14.28
1.0,1.5,16.9
2.0,4.34,26.04
2.0,2.0,23.0
5.0,4.02,20.12
5.0,0.0,16.1
5.0,3.5,21.0
1.0,2.65,15.95
1.0,2.5,15.1
2.0,3.0,77.0
2.0,13.3,79.8
1.0,0.0,16.1
2.0,4.05,24.35
1.0,3.7,18.4
1.0,6.5,28.2
1.0,4.75,28.55
1.0,6.51,28.21
1.0,16.11,98.41
1.0,2.38,14.28
1.0,1.0,23.4
1.0,0.0,23.1
1.0,16.1,96.65
1.0,10.22,61.32
1.0,2.0,13.9
1.0,4.0,84.55
1.0,4.0,17.3
1.0,3.2,19.3
1.0,4.4,21.9
2.0,10.0,85.75
1.0,2.35,14.25
1.0,6.4,38.6
1.0,0.0,0.0
2.0,0.0,90.0
1.0,9.38,56.28
1.0,0.0,18.2
1.0,0.0,20.3
1.0,2.8,16.8
1.0,6.3,37.8
1.0,2.5,16.5
1.0,2.0,27.9
1.0,3.0,12.8
1.0,14.0,70.0
1.0,0.0,16.8
1.0,1.5,12.0
1.0,0.0,17.5
1.0,3.22,19.32
1.0,2.8,16.8
1.0,3.0,34.5
2.0,10.28,63.43
0.0,0.0,27.3
0.0,0.0,21.0
1.0,5.04,21.84
2.0,4.62,27.72
1.0,2.28,11.38
1.0,6.09,46.69
1.0,3.64,21.84
1.0,9.45,40.95
5.0,0.0,13.3
5.0,2.45,12.25
5.0,1.5,12.7
5.0,8.54,51.24
2.0,3.08,18.48
1.0,0.0,18.9
1.0,3.57,15.47
1.0,5.04,30.24
1.0,3.0,26.1
1.0,3.0,11.4
1.0,0.0,21.7
1.0,5.67,62.37
1.0,3.15,24.15
1.0,4.34,26.04
4.0,0.0,65.45
1.0,13.34,102.24
1.0,9.7,58.35
1.0,2.8,16.8
1.0,12.95,64.75
2.0,3.5,21.0
1.0,4.3,26.0
1.0,12.0,72.2
1.0,2.1,12.6
1.0,0.0,13.3
1.0,0.0,22.4
1.0,0.0,23.1
1.0,0.0,39.2
1.0,5.05,25.35
1.0,2.0,16.0
1.0,4.48,26.88
1.0,3.22,19.32
1.0,6.16,36.96
1.0,3.0,23.3
2.0,5.55,63.3
2.0,0.0,43.4
1.0,11.8,70.95
1.0,8.82,52.92
1.0,3.46,26.56
1.0,1.5,17.6
2.0,2.38,14.28
2.0,6.51,49.91
3.0,7.14,42.84
1.0,4.9,24.5
1.0,4.2,18.2
2.0,0.0,14.3
3.0,2.0,15.3
1.0,16.45,98.75
1.0,1.25,15.95
1.0,1.5,14.1
1.0,1.6,24.0
1.0,3.78,22.68
1.0,0.4,27.0
1.0,7.98,47.88
1.0,7.89,47.34
1.0,3.65,18.35
1.0,5.0,37.9
1.0,2.8,16.8
2.0,3.0,17.0
1.0,0.0,28.7
4.0,0.0,82.3
1.0,4.34,26.04
1.0,2.72,16.32
1.0,8.4,42.0
1.0,10.5,63.0
2.0,0.0,16.8
2.0,1.5,20.4
2.0,5.42,27.12
1.0,6.3,37.8
1.0,2.38,14.28
1.0,4.41,19.11
1.0,1.89,14.49
1.0,4.2,25.2
1.0,2.1,12.6
1.0,1.8,10.9
1.0,2.0,32.8
1.0,5.04,21.84
1.0,2.35,14.25
1.0,3.2,19.3
1.0,1.65,10.05
1.0,2.0,16.7
1.0,2.0,16.0
1.0,4.62,27.72
1.0,2.1,12.6
1.0,5.32,31.92
2.0,5.0,35.8
1.0,0.0,14.7
2.0,0.0,27.3
1.0,4.62,27.72
3.0,6.16,36.96
1.0,0.0,21.0
1.0,4.0,16.6
1.0,6.44,38.64
6.0,12.46,74.76
1.0,2.35,14.25
1.0,0.0,11.9
2.0,0.0,15.4
1.0,1.0,10.8
3.0,2.0,30.0
2.0,0.0,18.2
2.0,0.0,15.4
2.0,1.0,31.1
2.0,10.0,85.55
1.0,6.1,38.35
1.0,2.8,16.8
1.0,3.57,15.47
1.0,3.2,19.3
1.0,13.05,78.5
3.0,7.84,47.04
1.0,0.0,30.8
2.0,0.0,24.5
2.0,2.35,14.25
1.0,3.0,28.2
1.0,0.0,26.6
1.0,1.5,39.3
1.0,0.0,82.3
1.0,4.06,24.36
1.0,2.0,23.7
1.0,3.5,21.0
1.0,1.0,20.6
1.0,8.82,38.22
1.0,3.5,21.0
1.0,0.0,19.6
1.0,0.0,16.1
1.0,0.0,17.5
3.0,17.2,86.15
1.0,16.45,98.75
1.0,6.0,36.1
2.0,3.22,19.32
3.0,1.0,15.0
2.0,2.8,16.8
1.0,15.95,95.75
1.0,3.85,19.25
1.0,2.0,13.2
1.0,3.65,18.35
1.0,3.0,24.7
1.0,4.34,26.04
1.0,2.2,16.9
2.0,0.0,9.1
2.0,2.52,19.32
1.0,0.0,15.7
1.0,3.78,22.68
1.0,10.24,61.44
1.0,2.8,16.8
1.0,0.0,25.9
1.0,10.64,63.84
2.0,4.9,29.4
4.0,0.0,12.6
1.0,2.38,14.28
1.0,1.54,9.24
1.0,0.0,10.1
1.0,4.12,24.72
1.0,3.08,18.48
1.0,0.0,20.3
1.0,5.46,32.76
1.0,7.18,35.88
1.0,1.0,18.5
2.0,1.0,12.9
1.0,7.38,81.23
1.0,10.0,82.8
1.0,12.7,76.4
1.0,3.22,19.32
1.0,2.38,14.28
1.0,0.0,24.5
1.0,9.72,58.32
1.0,5.0,26.7
