passenger_count,tip_amount,total_amount
1.0,3.98,23.88
1.0,2.7,13.5
1.0,1.88,11.28
1.0,1.25,10.25
2.0,0.0,13.6
1.0,5.1,30.6
2.0,4.45,22.25
1.0,2.88,14.38
1.0,0.0,10.1
1.0,4.68,28.08
1.0,6.5,39.0
1.0,8.28,35.88
1.0,3.75,18.75
1.0,2.14,16.44
1.0,0.0,52.8
1.0,3.0,31.3
1.0,3.28,19.68
0.0,2.0,26.8
1.0,3.0,18.0
1.0,5.8,34.8
1.0,1.94,14.84
2.0,0.0,15.7
1.0,2.16,12.96
1.0,3.0,18.0
1.0,4.45,22.25
1.0,2.22,26.32
1.0,0.0,15.0
1.0,6.2,31.0
1.0,3.7,22.2
1.0,2.86,17.16
1.0,0.0,13.6
1.0,0.0,17.8
1.0,0.0,7.6
3.0,3.95,43.45
2.0,1.0,27.0
2.0,0.0,31.8
2.0,3.75,18.75
2.0,2.0,14.9
2.0,0.0,27.6
1.0,4.68,28.08
1.0,4.5,23.0
1.0,3.7,22.2
1.0,3.0,15.9
1.0,3.7,22.2
1.0,4.12,24.72
1.0,3.95,23.85
1.0,0.0,14.3
1.0,0.0,25.5
1.0,3.42,20.52
1.0,2.67,20.47
2.0,2.3,13.8
1.0,16.45,98.75
1.0,2.45,14.65
2.0,3.85,23.05
2.0,4.54,27.24
1.0,2.0,12.8
1.0,2.44,14.64
2.0,6.35,38.15
1.0,4.9,21.3
1.0,3.0,15.2
2.0,3.98,23.88
2.0,0.0,13.6
2.0,0.0,14.3
4.0,2.69,29.59
2.0,2.86,17.16
1.0,3.42,20.52
2.0,16.18,80.88
1.0,0.0,27.6
1.0,7.48,44.88
1.0,2.36,18.06
1.0,30.75,184.5
2.0,7.87,47.22
3.0,2.0,28.2
1.0,0.0,22.0
1.0,1.0,14.6
1.0,0.0,16.4
1.0,1.5,25.6
1.0,4.05,20.45
2.0,3.4,14.9
2.0,0.0,27.55
1.0,3.0,26.4
1.0,3.14,18.84
1.0,3.42,20.52
1.0,3.0,21.5
3.0,2.44,14.64
2.0,4.82,28.92
1.0,16.45,98.75
