passenger_count,tip_amount,total_amount
1.0,3.28,19.68
3.0,6.0,88.3
1.0,0.0,19.9
1.0,3.75,18.75
2.0,0.0,17.1
1.0,3.0,18.0
1.0,0.0,60.5
1.0,0.0,75.75
2.0,16.11,98.41
1.0,0.0,49.25
1.0,2.65,15.95
2.0,2.0,33.1
4.0,3.5,27.6
1.0,0.0,15.0
1.0,3.0,15.2
1.0,4.8,28.9
1.0,2.0,21.9
1.0,5.0,43.15
1.0,4.45,22.25
1.0,3.0,18.0
3.0,2.58,15.48
1.0,4.54,27.24
1.0,2.06,22.66
2.0,0.0,17.8
2.0,0.9,13.8
1.0,0.0,9.4
4.0,1.78,19.58
2.0,3.98,23.88
1.0,3.45,14.95
1.0,2.0,21.2
1.0,3.28,19.68
1.0,2.72,16.32
1.0,0.0,-11.5
1.0,0.0,11.5
2.0,2.78,18.43
1.0,0.0,63.95
3.0,16.11,98.41
1.0,0.0,13.6
1.0,4.48,26.88
1.0,1.25,18.35
3.0,0.0,20.6
1.0,4.26,25.56
1.0,2.62,28.82
1.0,2.36,18.06
1.0,1.0,12.5
1.0,3.0,18.0
1.0,1.88,11.28
1.0,3.42,20.52
1.0,4.96,29.76
1.0,17.2,104.95
2.0,2.58,15.48
1.0,3.56,21.36
1.0,0.0,16.4
1.0,0.0,19.9
2.0,4.68,28.08
2.0,0.0,-5.5
2.0,0.0,5.5
2.0,6.14,38.59
1.0,3.5,26.2
2.0,2.16,12.96
6.0,1.0,17.4
6.0,2.58,15.48
0.0,10.0,40.4
0.0,1.0,13.2
3.0,0.0,18.5
1.0,1.88,11.28
1.0,0.0,20.6
4.0,0.0,13.6
4.0,4.12,24.72
1.0,3.7,22.2
1.0,0.0,10.1
1.0,0.0,21.3
2.0,0.0,12.2
4.0,0.0,22.0
2.0,3.0,24.3
1.0,8.04,48.24
1.0,2.7,16.3
1.0,5.5,27.5
1.0,6.0,37.8
1.0,5.8,34.8
1.0,2.58,15.48
1.0,3.0,24.3
1.0,3.84,23.04
1.0,4.4,26.4
1.0,3.56,21.36
1.0,4.68,28.08
1.0,3.14,18.84
1.0,3.14,18.84
1.0,10.41,62.46
1.0,10.0,127.0
2.0,1.5,15.1
1.0,3.55,21.35
2.0,3.1,18.8
3.0,0.0,14.3
5.0,4.26,25.56
1.0,0.0,15.7
2.0,2.58,15.48
2.0,2.0,19.1
4.0,5.24,31.44
2.0,5.1,30.6
1.0,0.0,14.3
1.0,4.62,23.12
1.0,2.96,21.46
1.0,0.0,35.65
1.0,2.0,13.2
5.0,10.0,90.55
2.0,5.24,31.44
2.0,6.08,36.48
1.0,4.25,25.55
1.0,2.0,22.6
4.0,3.42,20.52
1.0,0.0,37.4
1.0,1.5,15.8
1.0,0.0,-12.9
1.0,0.0,12.9
1.0,0.0,-12.2
1.0,0.0,12.2
1.0,6.22,37.32
2.0,3.4,17.0
1.0,2.16,12.96
3.0,1.0,14.6
2.0,3.56,21.36
1.0,3.14,18.84
1.0,3.93,30.13
1.0,12.1,72.6
1.0,5.0,31.6
1.0,0.0,15.7
