passenger_count,tip_amount,total_amount
2.0,3.56,21.36
1.0,3.72,28.52
1.0,3.0,18.0
2.0,10.92,66.77
1.0,3.84,23.04
2.0,4.1,20.5
1.0,2.0,23.3
1.0,2.0,24.7
1.0,8.56,37.11
1.0,1.85,11.25
1.0,2.72,16.32
1.0,4.95,29.75
2.0,0.0,12.2
2.0,4.03,30.93
1.0,1.5,13.7
1.0,3.84,23.04
1.0,2.44,14.64
1.0,2.58,15.48
5.0,2.58,15.48
5.0,0.0,14.3
5.0,1.8,17.5
1.0,0.0,24.1
1.0,3.0,18.0
1.0,2.02,12.12
1.0,2.86,17.16
1.0,5.13,22.23
1.0,3.22,16.12
1.0,4.12,24.72
1.0,0.0,15.7
2.0,0.0,19.2
2.0,4.62,23.12
2.0,3.56,21.36
2.0,4.12,24.72
2.0,3.65,15.85
2.0,2.7,16.3
1.0,5.35,32.25
2.0,5.94,35.64
1.0,2.02,12.12
1.0,2.16,12.96
1.0,2.5,24.5
1.0,3.23,16.13
2.0,1.5,15.8
4.0,3.45,14.95
1.0,5.52,33.12
1.0,3.28,19.68
1.0,3.9,19.6
1.0,2.04,15.64
1.0,3.98,23.88
3.0,0.0,12.2
1.0,2.14,16.44
1.0,3.98,23.88
1.0,1.0,21.6
1.0,3.0,63.75
1.0,6.95,34.7
1.0,2.8,12.2
1.0,3.55,21.35
1.0,0.0,15.0
1.0,3.7,22.2
2.0,3.7,22.2
1.0,12.9,64.5
4.0,3.7,22.2
2.0,2.67,20.47
1.0,2.86,17.16
1.0,6.78,40.68
2.0,3.28,19.68
2.0,0.0,-15.0
2.0,0.0,15.0
2.0,4.12,24.72
1.0,2.0,14.9
1.0,6.64,39.84
1.0,7.06,42.36
1.0,1.0,17.4
1.0,1.99,21.89
1.0,13.82,90.57
1.0,2.7,16.3
1.0,3.98,23.88
2.0,2.0,16.3
1.0,4.97,24.87
1.0,2.35,18.05
4.0,3.2,24.5
1.0,0.0,11.5
1.0,0.0,11.5
2.0,3.56,21.36
1.0,3.7,22.2
1.0,0.0,15.0
1.0,3.28,19.68
1.0,1.0,15.3
1.0,6.22,37.32
1.0,6.08,36.48
1.0,1.62,12.42
1.0,2.44,14.64
1.0,3.7,22.2
1.0,2.14,16.44
