passenger_count,tip_amount,total_amount
1.0,3.25,16.25
1.0,1.5,13.8
1.0,4.0,30.3
1.0,3.58,21.48
0.0,0.0,17.9
1.0,5.4,32.4
1.0,15.3,91.8
1.0,6.0,26.0
1.0,3.0,18.1
1.0,0.0,14.7
1.0,3.25,16.25
1.0,1.0,21.7
3.0,4.0,24.0
1.0,2.9,14.5
1.0,4.28,25.68
2.0,0.0,21.4
2.0,3.72,22.32
1.0,2.0,19.2
1.0,3.5,41.7
1.0,3.16,18.96
1.0,4.3,26.0
1.0,17.11,104.41
1.0,5.65,34.05
1.0,1.0,17.5
3.0,5.4,32.4
1.0,8.2,49.2
1.0,1.0,17.5
1.0,3.85,23.15
2.0,0.0,20.0
1.0,3.3,28.2
1.0,0.0,-7.0
1.0,0.0,7.0
1.0,12.83,98.38
2.0,0.0,85.55
1.0,1.86,20.46
1.0,17.46,104.76
3.0,0.0,23.5
1.0,3.7,22.3
1.0,4.68,35.88
2.0,0.0,87.3
1.0,0.0,64.4
1.0,0.0,11.9
2.0,3.0,35.6
1.0,2.0,19.2
1.0,4.0,24.0
1.0,5.0,35.5
1.0,3.0,23.0
1.0,4.1,20.6
1.0,0.0,34.7
1.0,4.74,20.54
1.0,10.0,74.1
1.0,3.4,20.6
2.0,17.11,104.41
1.0,3.94,30.24
1.0,0.0,13.7
4.0,0.0,85.55
2.0,4.14,24.84
1.0,4.0,24.0
1.0,4.56,27.36
1.0,5.53,27.63
1.0,2.88,17.28
1.0,4.42,26.52
3.0,2.32,13.92
1.0,4.0,24.0
1.0,16.87,101.22
1.0,0.0,11.9
1.0,5.3,26.7
2.0,2.6,15.6
3.0,0.0,23.5
1.0,2.88,17.28
1.0,9.7,48.65
1.0,4.56,27.36
1.0,4.14,24.84
1.0,4.28,25.68
1.0,2.46,14.76
1.0,3.86,23.16
1.0,2.88,17.28
1.0,4.65,23.25
1.0,3.94,23.64
1.0,4.28,25.68
2.0,5.12,30.72
2.0,5.82,34.92
2.0,3.0,18.0
3.0,3.63,27.83
1.0,0.0,13.0
1.0,3.16,18.96
1.0,3.0,23.7
2.0,17.45,104.75
1.0,0.0,17.2
1.0,6.65,39.95
1.0,3.15,18.95
1.0,2.45,14.75
1.0,2.85,17.25
1.0,4.16,31.86
1.0,7.08,42.48
1.0,3.0,17.4
2.0,4.84,29.04
1.0,0.8,13.8
1.0,5.96,35.76
1.0,0.0,26.3
1.0,5.16,22.36
1.0,2.32,13.92
1.0,6.66,39.96
1.0,2.74,16.44
1.0,2.0,23.4
1.0,0.0,20.7
2.0,0.0,34.65
1.0,0.0,19.3
1.0,0.0,85.55
1.0,1.8,19.0
1.0,7.2,43.3
1.0,2.0,20.6
1.0,3.02,18.12
1.0,0.0,20.0
1.0,2.7,16.4
1.0,4.7,28.2
4.0,5.5,33.2
1.0,3.4,20.6
1.0,3.16,18.96
1.0,3.45,17.15
1.0,0.0,30.5
1.0,9.0,96.3
1.0,0.0,15.8
1.0,3.5,21.4
1.0,0.0,41.7
1.0,3.6,18.0
1.0,3.5,37.5
4.0,0.0,26.3
1.0,2.6,15.6
1.0,0.0,14.4
1.0,4.0,24.0
1.0,8.34,50.04
1.0,0.0,17.2
4.0,0.0,87.3
1.0,0.0,35.4
1.0,4.25,25.65
2.0,0.0,22.8
1.0,0.0,29.1
1.0,2.5,18.3
1.0,3.02,18.12
1.0,0.0,21.4
1.0,0.0,17.9
1.0,10.58,63.48
1.0,2.74,16.44
1.0,3.16,18.96
1.0,6.4,32.0
2.0,4.98,29.88
1.0,6.1,36.6
1.0,2.75,16.45
3.0,0.0,26.35
1.0,2.46,14.76
1.0,4.28,25.68
1.0,1.5,15.9
1.0,3.42,26.22
1.0,18.57,94.62
1.0,3.92,23.52
1.0,5.12,30.72
1.0,3.86,23.16
1.0,3.72,22.32
1.0,3.15,18.95
1.0,1.0,18.2
1.0,0.0,22.8
1.0,0.0,20.0
1.0,3.58,21.48
1.0,3.21,24.61
1.0,7.5,45.0
1.0,0.0,23.5
1.0,2.0,24.8
1.0,4.14,24.84
1.0,4.0,24.0
1.0,2.74,16.44
1.0,1.11,20.41
1.0,2.48,18.98
1.0,17.46,104.76
0.0,9.3,55.9
1.0,4.84,29.04
1.0,0.0,17.2
3.0,3.05,18.45
1.0,2.46,14.76
1.0,4.14,24.84
2.0,7.0,87.75
1.0,6.16,36.96
2.0,3.3,19.8
1.0,0.0,87.3
2.0,2.0,19.9
2.0,1.5,20.1
1.0,3.4,20.6
1.0,4.0,24.0
1.0,10.0,33.5
1.0,11.7,70.2
1.0,0.0,25.6
1.0,3.42,17.12
1.0,0.0,23.5
1.0,5.0,25.0
1.0,5.54,33.24
5.0,6.0,26.0
5.0,4.28,25.68
3.0,11.29,67.74
1.0,3.44,20.64
1.0,5.26,31.56
1.0,3.44,20.64
1.0,4.83,24.13
1.0,1.0,14.0
1.0,2.75,19.25
1.0,4.4,26.5
1.0,3.25,14.15
1.0,6.2,37.4
1.0,5.1,30.7
1.0,2.0,21.3
2.0,2.45,14.75
2.0,0.0,24.9
1.0,2.0,19.2
1.0,2.45,14.75
1.0,3.02,18.12
1.0,2.6,24.0
1.0,10.51,64.81
1.0,6.65,39.95
1.0,3.3,19.8
1.0,2.75,16.45
1.0,3.0,18.1
4.0,2.2,13.1
1.0,1.0,13.3
1.0,2.6,15.6
1.0,2.85,17.25
1.0,5.68,34.08
1.0,4.3,21.5
1.0,0.0,17.9
1.0,17.87,107.22
1.0,4.65,23.25
1.0,3.95,19.75
3.0,2.21,24.31
1.0,3.44,20.64
1.0,3.0,37.7
1.0,3.0,22.3
1.0,2.58,19.78
1.0,2.88,17.28
1.0,1.0,22.4
1.0,0.0,36.1
1.0,3.15,18.95
1.0,0.0,17.9
6.0,0.0,15.1
1.0,3.42,17.12
1.0,2.25,21.55
1.0,2.74,16.44
1.0,0.0,22.8
1.0,1.5,21.5
1.0,2.7,16.4
2.0,17.11,104.41
1.0,2.46,14.76
1.0,3.7,22.3
4.0,3.86,23.16
2.0,4.3,21.5
2.0,3.42,26.22
1.0,9.4,46.9
1.0,13.1,100.4
1.0,0.0,18.6
2.0,0.0,36.1
1.0,0.0,12.3
1.0,5.68,34.08
1.0,4.28,25.68
1.0,2.7,16.4
2.0,17.11,104.41
1.0,2.0,18.5
1.0,0.0,17.9
1.0,19.75,98.75
1.0,2.45,14.75
1.0,2.58,19.78
1.0,2.0,15.7
1.0,1.0,13.3
1.0,8.33,41.63
1.0,7.22,43.32
1.0,0.0,74.1
1.0,16.52,100.87
1.0,3.3,19.8
1.0,1.0,17.5
2.0,5.96,35.76
1.0,0.0,29.1
1.0,3.69,15.99
2.0,13.1,100.4
2.0,17.11,104.41
1.0,3.0,30.0
1.0,6.38,38.28
1.0,4.84,29.04
1.0,14.13,84.78
1.0,17.46,104.76
1.0,8.0,67.15
1.0,2.0,15.7
1.0,2.18,13.08
1.0,2.63,28.93
1.0,3.0,27.2
1.0,6.92,34.62
2.0,4.0,21.2
2.0,4.25,25.65
1.0,0.0,14.4
1.0,2.5,24.6
1.0,2.0,23.4
1.0,2.74,16.44
1.0,0.0,27.0
1.0,3.44,20.64
1.0,0.0,15.1
1.0,4.8,29.0
1.0,7.05,42.45
1.0,0.0,10.2
1.0,4.48,26.88
1.0,0.0,21.4
1.0,3.02,18.12
1.0,2.0,15.0
1.0,3.85,23.15
1.0,0.0,-12.0
1.0,0.0,12.0
2.0,5.5,33.2
2.0,3.4,20.6
1.0,3.42,17.12
1.0,4.84,29.04
1.0,3.16,18.96
1.0,0.0,17.2
1.0,0.0,12.3
1.0,2.74,16.44
1.0,3.3,19.8
1.0,0.0,21.4
2.0,3.3,19.8
1.0,0.0,18.6
3.0,1.0,21.7
2.0,15.2,91.2
1.0,3.3,19.8
1.0,2.75,16.45
1.0,3.6,21.5
1.0,2.0,19.9
2.0,0.0,20.7
1.0,1.75,28.05
1.0,8.5,42.5
3.0,5.0,33.4
2.0,3.4,20.6
2.0,4.95,29.85
6.0,3.72,22.32
6.0,4.0,24.0
6.0,2.32,13.92
1.0,3.3,19.8
1.0,0.0,15.8
1.0,10.0,97.3
2.0,0.0,22.1
2.0,0.0,85.55
1.0,0.0,55.7
1.0,4.98,29.88
1.0,3.31,25.41
1.0,7.08,42.48
1.0,1.0,15.4
1.0,1.44,15.84
1.0,0.0,11.6
2.0,6.4,32.0
1.0,4.56,27.36
1.0,2.6,15.6
1.0,0.0,13.0
1.0,7.22,43.32
1.0,3.0,27.2
1.0,0.0,20.7
1.0,5.1,30.7
1.0,0.0,25.6
1.0,4.28,25.68
1.0,4.8,29.0
1.0,0.0,17.2
2.0,15.0,109.2
1.0,2.46,14.76
1.0,3.44,20.64
1.0,0.0,17.9
1.0,10.0,97.3
2.0,2.0,24.8
1.0,0.0,31.9
1.0,0.0,17.2
1.0,5.1,30.7
1.0,3.4,17.1
1.0,3.44,20.64
4.0,0.0,27.0
2.0,4.3,21.5
1.0,3.86,23.16
1.0,2.0,20.6
1.0,1.0,16.8
1.0,3.4,20.6
1.0,3.86,23.16
1.0,0.0,32.6
1.0,3.3,19.8
1.0,4.7,28.2
1.0,4.28,25.68
1.0,6.1,36.6
1.0,6.94,41.64
1.0,4.99,38.29
1.0,1.0,16.1
1.0,15.8,96.55
1.0,4.0,24.0
1.0,0.0,35.4
2.0,0.0,19.3
2.0,0.0,13.7
1.0,6.4,32.0
1.0,3.9,16.9
1.0,3.69,15.99
1.0,5.35,23.25
1.0,2.85,14.45
5.0,1.0,18.9
2.0,0.0,20.0
2.0,0.0,25.6
1.0,4.25,25.65
1.0,5.0,57.9
2.0,2.75,13.65
1.0,2.75,16.45
2.0,6.4,38.3
1.0,7.0,94.3
3.0,7.62,38.12
1.0,2.32,13.92
1.0,2.0,24.8
1.0,3.16,18.96
1.0,5.12,30.72
1.0,6.52,39.12
1.0,3.44,20.64
1.0,3.0,28.6
2.0,0.0,13.7
1.0,0.0,22.1
1.0,2.5,26.0
1.0,0.0,14.4
1.0,3.0,23.7
1.0,4.28,25.68
1.0,1.5,18.0
1.0,0.0,86.75
2.0,0.0,59.95
1.0,2.0,25.8
1.0,3.5,40.3
1.0,0.0,14.0
1.0,3.0,27.2
1.0,3.72,22.32
1.0,1.0,14.0
1.0,4.7,28.2
1.0,3.85,23.15
2.0,6.04,46.34
1.0,4.1,17.8
