passenger_count,tip_amount,total_amount
1.0,3.5,21.0
1.0,2.0,13.9
1.0,1.0,10.8
1.0,2.0,13.9
1.0,2.0,16.7
1.0,3.5,17.5
1.0,3.78,22.68
1.0,2.66,15.96
1.0,2.66,15.96
2.0,2.38,26.18
1.0,2.0,16.7
2.0,2.24,13.44
1.0,2.66,15.96
1.0,1.0,18.5
1.0,2.0,17.4
1.0,2.94,17.64
1.0,3.0,26.1
1.0,3.1,15.7
2.0,6.0,49.4
3.0,0.77,16.17
3.0,2.52,15.12
1.0,3.22,19.32
1.0,2.1,12.6
1.0,2.8,16.8
1.0,3.15,15.75
1.0,2.38,14.28
2.0,2.94,17.64
2.0,2.98,14.88
1.0,0.0,-7.7
1.0,0.0,7.7
1.0,2.0,45.0
1.0,3.0,18.4
1.0,2.0,22.3
1.0,2.66,15.96
1.0,2.8,16.8
1.0,4.48,26.88
2.0,0.0,18.2
2.0,4.48,26.88
1.0,1.0,12.9
1.0,2.8,16.8
1.0,4.6,27.7
1.0,3.95,17.25
1.0,2.1,12.6
1.0,5.25,26.25
1.0,1.0,19.9
4.0,3.36,20.16
1.0,2.0,18.1
1.0,4.62,27.72
0.0,0.0,20.3
0.0,2.35,14.25
1.0,13.05,78.5
1.0,0.0,56.35
1.0,2.0,12.5
1.0,1.58,12.08
2.0,7.14,42.84
2.0,3.08,18.48
1.0,0.0,42.7
2.0,9.54,58.99
1.0,1.68,10.08
1.0,0.0,21.3
1.0,12.95,77.7
1.0,0.0,10.5
1.0,3.1,15.7
1.0,6.15,37.0
1.0,2.1,12.6
1.0,10.27,61.62
2.0,5.32,31.92
1.0,0.0,69.25
1.0,0.0,8.7
2.0,2.45,12.25
3.0,0.0,11.9
1.0,15.0,79.75
1.0,0.0,14.7
1.0,3.05,18.45
1.0,0.0,9.1
1.0,0.9,17.0
1.0,2.35,14.25
1.0,13.48,67.38
1.0,3.2,19.2
1.0,7.0,62.35
2.0,10.36,62.16
1.0,3.36,20.16
3.0,16.45,98.7
3.0,0.0,72.8
1.0,2.5,15.1
1.0,3.2,19.3
2.0,3.08,18.48
1.0,1.96,11.76
1.0,2.52,15.12
1.0,10.0,64.25
1.0,1.0,13.9
1.0,0.0,5.2
2.0,1.5,16.9
1.0,0.0,29.4
1.0,3.0,25.4
1.0,10.15,60.9
1.0,2.66,15.96
1.0,1.68,18.48
1.0,2.28,19.78
1.0,5.04,30.24
1.0,0.0,18.9
1.0,6.44,38.64
1.0,0.0,55.0
1.0,1.58,12.08
1.0,3.35,20.15
1.0,2.35,14.25
1.0,3.64,21.84
4.0,10.0,61.7
1.0,0.0,17.5
1.0,5.6,33.6
1.0,3.67,18.37
1.0,2.8,16.8
1.0,4.2,25.2
1.0,3.36,20.16
1.0,4.2,25.2
1.0,4.52,34.62
1.0,0.0,20.3
1.0,3.08,18.48
1.0,4.55,22.75
1.0,16.11,96.66
1.0,0.0,9.1
1.0,0.0,11.2
1.0,0.0,13.3
3.0,5.15,31.05
3.0,0.0,11.9
1.0,16.11,96.66
1.0,12.81,76.86
1.0,0.0,12.6
1.0,1.5,22.5
1.0,2.24,13.44
1.0,0.0,14.7
1.0,1.5,26.0
1.0,3.5,21.0
1.0,4.34,26.04
1.0,12.25,75.25
1.0,2.0,18.8
1.0,3.0,23.3
1.0,0.0,27.3
1.0,2.1,12.6
1.0,2.52,15.12
1.0,0.0,62.6
1.0,2.0,14.6
1.0,3.08,18.48
1.0,4.55,22.75
1.0,2.24,13.44
1.0,2.66,15.96
1.0,3.75,16.35
2.0,1.0,10.1
1.0,2.25,11.35
1.0,3.5,21.0
1.0,3.9,23.5
1.0,1.0,10.8
1.0,8.13,62.33
3.0,2.8,16.8
2.0,2.0,16.0
2.0,3.05,18.45
1.0,2.66,15.96
1.0,2.52,15.12
1.0,4.2,18.2
1.0,0.0,9.8
1.0,0.77,16.17
1.0,0.0,27.3
1.0,3.64,21.84
1.0,4.2,25.2
1.0,1.96,11.76
1.0,3.08,18.48
1.0,1.28,18.08
1.0,3.86,24.91
1.0,2.38,14.28
1.0,0.0,11.9
1.0,0.0,8.4
1.0,0.0,-14.7
1.0,0.0,14.7
1.0,3.78,16.38
1.0,0.0,44.7
1.0,7.14,42.84
1.0,4.0,13.1
1.0,1.5,15.5
1.0,3.68,18.38
1.0,2.0,16.0
1.0,0.0,14.0
2.0,10.0,64.6
1.0,2.8,16.8
1.0,5.0,40.7
1.0,1.5,15.5
1.0,1.0,15.0
1.0,0.0,11.9
1.0,0.0,28.0
1.0,0.0,75.75
3.0,0.0,28.0
1.0,2.66,15.96
1.0,2.98,14.88
1.0,36.3,217.8
1.0,0.0,42.3
3.0,0.0,82.3
1.0,2.94,17.64
1.0,1.0,15.7
2.0,0.0,114.25
1.0,3.08,18.48
1.0,5.88,35.28
1.0,0.0,14.0
1.0,5.32,31.92
1.0,6.0,39.6
1.0,16.46,98.76
1.0,10.0,65.3
1.0,12.18,73.08
1.0,2.1,12.6
1.0,2.94,17.64
1.0,0.0,9.1
1.0,4.0,15.9
1.0,2.8,16.8
2.0,2.0,18.1
1.0,12.67,76.02
1.0,3.35,20.15
0.0,2.2,13.4
2.0,3.57,15.47
1.0,4.2,25.2
1.0,2.52,15.12
2.0,21.5,107.5
0.0,3.0,28.2
2.0,0.0,75.75
3.0,0.7,11.2
1.0,4.62,27.72
1.0,0.0,41.55
1.0,1.0,12.9
1.0,1.0,26.9
5.0,3.92,23.52
5.0,5.18,31.08
1.0,0.0,80.75
1.0,3.78,22.68
1.0,2.52,15.12
2.0,5.18,31.08
1.0,0.0,35.0
1.0,2.0,9.7
1.0,1.54,9.24
1.0,2.66,15.96
1.0,1.0,15.7
1.0,0.0,30.1
1.0,0.0,14.7
2.0,3.5,21.0
1.0,0.0,11.2
1.0,0.0,11.9
1.0,2.2,13.4
4.0,0.0,28.7
1.0,5.0,44.85
1.0,4.06,24.36
2.0,6.3,37.8
1.0,4.2,25.2
1.0,3.05,15.25
1.0,3.78,16.38
3.0,4.0,20.8
1.0,3.64,21.84
1.0,2.24,13.44
1.0,2.1,12.6
1.0,2.8,16.8
4.0,3.92,23.52
1.0,3.01,33.11
1.0,2.0,11.1
2.0,4.2,25.2
2.0,3.0,9.6
1.0,2.45,12.25
3.0,2.0,12.5
1.0,3.64,21.84
1.0,0.0,18.9
1.0,2.5,24.9
1.0,0.0,18.2
1.0,4.76,28.56
1.0,13.09,78.54
2.0,4.0,18.7
2.0,0.0,11.9
2.0,0.0,16.8
1.0,11.65,70.1
1.0,2.94,17.64
2.0,0.0,87.7
6.0,3.92,23.52
6.0,4.76,28.56
3.0,21.91,131.46
1.0,0.0,13.3
1.0,3.08,18.48
1.0,7.35,31.85
1.0,3.22,19.32
1.0,3.03,63.58
2.0,0.0,23.1
1.0,2.24,13.44
1.0,3.64,21.84
1.0,0.0,16.1
1.0,0.0,9.8
2.0,3.22,19.32
1.0,0.0,7.3
1.0,2.0,30.0
0.0,0.0,10.5
0.0,3.3,25.0
1.0,2.8,16.8
1.0,0.0,15.4
1.0,3.5,21.0
1.0,2.66,15.96
1.0,0.0,11.2
3.0,1.0,10.8
1.0,2.8,16.8
1.0,0.0,15.4
1.0,0.0,11.2
1.0,5.18,31.08
1.0,2.0,16.7
1.0,4.35,26.05
1.0,1.37,10.47
2.0,12.25,73.5
1.0,0.0,59.45
2.0,11.41,70.21
1.0,3.22,19.32
1.0,6.16,36.96
1.0,1.47,11.27
1.0,2.0,13.2
1.0,1.4,8.4
1.0,3.36,20.16
1.0,3.68,18.38
1.0,4.72,23.62
1.0,2.24,13.44
1.0,0.1,9.2
1.0,3.36,20.16
3.0,1.7,17.8
1.0,2.0,16.0
1.0,2.0,36.3
2.0,16.11,96.66
1.0,3.95,17.25
1.0,1.2,11.0
1.0,0.0,14.7
1.0,2.63,20.13
2.0,0.0,50.0
1.0,4.2,25.2
1.0,1.68,12.88
2.0,1.0,12.9
1.0,2.25,13.45
1.0,1.96,11.76
1.0,6.15,30.65
1.0,3.22,19.32
1.0,8.54,51.24
2.0,16.11,96.66
1.0,5.67,24.57
4.0,1.96,11.76
1.0,20.78,124.68
1.0,0.0,80.55
1.0,4.48,26.88
2.0,1.0,10.8
2.0,2.0,17.4
1.0,2.0,39.1
2.0,0.0,60.65
1.0,0.0,59.55
1.0,7.7,38.5
1.0,5.0,59.0
1.0,0.0,15.4
1.0,0.8,12.0
3.0,2.94,17.64
2.0,3.0,23.3
3.0,2.8,16.8
1.0,8.68,52.08
1.0,2.1,12.6
1.0,2.52,15.12
2.0,2.8,16.8
2.0,0.0,-81.0
2.0,0.0,81.0
1.0,5.46,32.76
1.0,6.44,38.64
1.0,3.22,19.32
1.0,5.0,46.3
1.0,4.9,29.4
1.0,3.35,20.15
1.0,4.2,25.2
1.0,3.5,21.0
1.0,2.7,11.8
2.0,1.0,15.7
1.0,3.6,21.8
0.0,3.2,19.3
1.0,3.9,23.5
1.0,3.5,21.0
3.0,0.0,43.4
1.0,0.0,20.3
1.0,3.2,19.3
3.0,1.68,18.48
2.0,5.0,42.1
1.0,2.9,17.6
2.0,0.0,23.8
1.0,4.34,26.04
1.0,0.0,33.6
1.0,2.94,17.64
1.0,5.18,31.08
2.0,1.0,19.2
4.0,2.0,23.0
1.0,3.64,21.84
2.0,20.79,124.74
2.0,2.66,15.96
2.0,4.9,24.5
1.0,4.2,25.2
1.0,0.0,16.8
1.0,3.78,22.68
1.0,2.2,16.9
0.0,2.9,17.6
0.0,1.1,13.0
1.0,0.0,43.25
5.0,3.78,22.68
5.0,3.78,22.68
5.0,0.0,11.2
5.0,3.36,20.16
1.0,9.0,88.8
1.0,4.38,21.88
2.0,5.3,31.9
1.0,0.0,11.2
1.0,0.0,19.6
0.0,1.0,14.3
0.0,0.0,16.8
1.0,2.0,17.4
2.0,1.82,10.92
1.0,1.47,11.27
1.0,3.92,23.52
2.0,6.93,30.03
1.0,0.8,16.9
