passenger_count,tip_amount,total_amount
1.0,3.2,19.3
1.0,2.2,16.9
1.0,0.0,27.0
1.0,0.0,25.0
1.0,2.5,15.1
1.0,4.35,26.05
1.0,2.52,15.12
1.0,3.5,21.0
1.0,0.0,17.5
1.0,2.52,15.12
1.0,4.55,22.75
1.0,0.0,9.4
1.0,3.0,11.7
1.0,0.0,81.8
1.0,1.5,14.8
1.0,2.38,14.28
1.0,2.35,14.25
1.0,0.0,15.4
1.0,2.8,16.8
1.0,3.22,19.32
1.0,0.0,19.0
1.0,0.0,44.95
1.0,0.0,28.7
1.0,0.0,13.3
1.0,6.3,37.8
1.0,0.0,10.5
3.0,3.4,30.0
1.0,18.25,91.25
1.0,5.0,103.2
1.0,1.75,15.05
1.0,2.8,14.0
1.0,4.48,26.88
1.0,3.36,20.16
1.0,0.0,-29.4
1.0,0.0,29.4
1.0,0.0,9.4
1.0,6.02,36.12
1.0,0.02,16.12
1.0,1.82,20.02
1.0,2.0,18.8
1.0,2.52,15.12
4.0,0.0,24.5
1.0,2.8,16.8
1.0,3.22,19.32
1.0,2.8,16.8
1.0,13.04,65.19
1.0,0.0,11.2
1.0,2.0,18.8
1.0,0.0,8.0
1.0,0.0,13.3
1.0,5.85,35.25
1.0,1.0,17.1
1.0,3.22,19.32
1.0,2.1,12.6
1.0,0.0,14.7
1.0,5.46,32.76
1.0,4.35,21.85
1.0,1.95,11.75
1.0,2.5,15.1
1.0,3.75,22.65
1.0,2.8,16.8
1.0,3.05,18.45
0.0,2.8,16.8
1.0,0.0,14.0
1.0,4.91,32.21
1.0,4.06,24.36
1.0,4.9,24.5
1.0,11.0,95.95
1.0,3.5,30.1
1.0,5.25,26.25
1.0,1.68,10.08
1.0,3.08,18.48
1.0,6.83,34.13
1.0,2.35,14.25
1.0,1.5,12.0
1.0,0.0,15.4
1.0,7.0,42.0
1.0,0.0,14.0
1.0,2.5,19.3
1.0,3.85,19.25
1.0,4.55,22.75
1.0,0.0,17.5
1.0,2.5,22.1
2.0,0.0,72.3
3.0,8.75,43.75
1.0,1.0,12.9
1.0,5.0,31.6
0.0,0.0,20.3
0.0,2.42,18.52
0.0,0.0,16.8
0.0,0.0,9.8
1.0,2.9,17.6
1.0,2.0,23.0
1.0,0.0,21.7
1.0,5.88,35.28
1.0,3.36,20.16
1.0,1.0,17.8
2.0,4.06,24.36
1.0,0.0,9.8
1.0,1.4,15.4
1.0,0.0,34.3
1.0,20.45,102.25
1.0,14.45,86.75
