passenger_count,tip_amount,total_amount
"",3.0,30.02
"",4.22,25.34
"",1.0,22.05
"",2.38,14.28
"",1.0,23.54
"",2.54,19.49
"",3.71,22.27
"",3.82,22.94
"",2.98,22.86
"",3.17,34.87
"",0.0,39.49
"",2.15,23.69
"",3.45,20.71
"",0.87,47.67
"",7.46,48.92
"",2.0,18.95
"",0.0,47.98
"",1.0,18.24
"",1.68,12.88
"",0.47,47.61
"",2.94,22.54
"",3.0,27.59
"",4.0,35.16
"",1.89,14.49
"",4.95,29.69
"",1.68,12.88
"",1.07,22.5
"",2.0,29.68
"",7.46,44.76
"",6.07,46.55
"",4.7,28.21
"",4.17,25.01
"",2.54,19.49
"",2.03,22.29
"",3.78,22.68
"",2.17,23.86
"",3.56,23.32
"",2.71,29.81
"",1.58,12.08
"",2.0,18.95
"",16.2,97.2
"",5.49,23.78
"",3.9,23.39
"",2.0,50.64
"",3.6,21.59
"",3.18,24.35
"",0.0,45.82
"",5.54,42.44
"",2.03,22.33
"",2.98,22.82
"",16.2,97.2
"",4.66,35.71
"",3.39,20.34
"",0.0,27.54
"",2.83,21.71
"",9.8,58.79
"",2.0,30.99
"",1.71,18.84
"",1.0,18.25
"",8.39,50.36
"",1.83,20.17
"",4.91,29.44
"",4.42,26.5
"",1.89,14.49
"",2.63,20.13
"",2.75,30.29
"",1.0,23.32
"",1.05,22.05
"",2.0,19.54
"",1.0,21.11
"",3.88,29.77
"",1.57,12.07
"",3.33,25.5
"",2.0,21.28
"",0.0,44.52
"",0.0,18.54
"",3.99,23.92
"",5.01,38.38
"",3.26,19.58
"",3.84,23.06
"",3.85,23.09
"",0.0,27.03
"",3.39,20.34
"",8.92,34.4
"",4.02,30.8
"",10.0,57.8
"",2.0,19.96
"",3.46,20.75
"",5.2,31.22
"",3.43,20.56
"",7.66,45.96
"",0.0,50.26
"",0.4,40.54
"",5.14,39.44
"",17.51,105.06
"",1.0,17.95
"",0.93,19.51
"",1.0,21.7
"",1.7,18.75
"",2.0,26.89
"",4.0,24.08
"",0.0,29.43
"",6.23,37.36
"",4.25,25.5
"",8.16,48.94
"",3.44,20.65
"",2.98,14.88
"",0.0,30.74
"",3.0,40.95
"",2.0,19.82
"",4.13,24.78
"",4.14,24.85
"",6.7,73.71
"",5.28,36.36
"",0.0,27.33
"",0.0,31.1
"",16.2,97.2
"",7.65,58.68
"",3.15,24.15
"",2.54,19.49
"",1.79,13.69
"",0.0,12.21
"",3.22,19.32
"",2.0,18.15
"",2.59,19.83
"",3.39,20.34
"",2.24,24.59
"",1.7,18.72
"",3.51,21.04
"",0.0,7.0
"",0.0,16.86
"",1.68,12.88
"",4.28,21.38
"",3.68,22.07
"",3.39,20.34
"",3.94,23.66
"",6.65,51.0
"",2.42,26.6
"",3.03,23.24
"",2.55,19.52
"",1.14,24.0
"",2.0,18.95
"",1.79,13.69
"",0.0,12.19
"",1.96,11.76
"",16.03,105.07
"",3.27,21.41
"",2.14,23.5
"",5.61,33.65
"",6.93,41.58
"",2.24,20.94
"",3.25,24.95
"",2.57,19.7
"",6.05,36.32
"",4.39,26.34
"",0.0,12.54
"",2.0,19.32
"",0.0,17.89
"",0.98,10.78
"",6.3,37.79
"",2.0,21.75
"",0.0,22.51
"",4.25,25.51
"",1.26,9.66
"",2.0,21.26
"",0.0,24.52
"",4.87,24.35
"",3.47,20.84
"",5.52,33.13
"",0.0,21.59
"",4.83,37.03
"",6.01,36.06
"",1.12,23.52
"",5.44,32.63
"",2.15,23.68
"",0.71,39.09
"",3.45,26.46
"",2.2,24.21
"",3.36,25.76
"",2.91,32.05
"",2.33,20.27
"",2.09,22.99
"",3.72,22.34
