passenger_count,tip_amount,total_amount
"",0.0,62.23
"",4.26,25.56
"",6.95,41.69
"",4.36,33.44
"",0.0,26.18
"",4.51,34.6
"",1.68,18.43
"",0.0,44.7
"",4.58,27.48
"",2.58,15.48
"",0.0,20.01
"",0.0,38.54
"",4.44,22.19
"",3.72,22.34
"",3.52,26.97
"",3.0,38.19
"",5.48,32.88
"",4.98,38.18
"",5.0,27.05
"",7.6,45.6
"",3.94,30.18
"",3.75,23.73
"",3.8,41.81
"",25.0,56.97
"",2.0,33.45
"",5.0,30.01
"",9.5,57.02
"",8.87,53.2
"",2.47,51.82
"",5.9,45.25
"",0.0,37.63
"",3.39,37.29
"",6.6,39.61
"",0.0,64.41
"",10.85,54.26
"",0.0,22.88
"",0.0,3.0
"",2.0,23.47
"",0.0,17.72
"",5.23,31.4
"",0.0,16.19
"",2.0,38.52
"",0.0,34.42
"",4.0,46.07
"",3.39,20.34
"",4.82,28.93
"",0.0,19.83
"",0.0,36.06
"",3.09,23.69
"",0.0,31.28
"",0.0,30.9
"",0.0,38.17
"",1.5,16.5
"",2.25,17.25
"",6.22,37.33
"",4.77,41.48
"",6.66,43.66
"",0.0,38.76
"",3.35,20.1
"",0.0,15.03
"",0.0,30.84
"",5.81,34.85
"",4.44,26.63
"",0.0,17.27
"",0.0,41.88
"",0.0,14.53
"",0.0,24.93
"",5.18,31.08
"",6.15,36.89
"",5.24,31.44
"",5.59,42.86
"",5.45,41.8
"",0.0,44.26
"",3.35,20.1
"",2.0,18.48
"",3.24,21.26
"",0.0,16.1
"",2.61,28.67
"",3.3,26.26
"",0.0,12.96
"",0.0,25.48
"",2.9,22.2
"",0.0,22.13
"",5.0,34.1
"",0.0,27.75
"",0.0,22.37
"",3.35,20.1
"",6.44,38.63
"",5.53,42.41
"",2.83,16.99
"",0.0,16.75
"",0.0,2.73
"",3.39,20.32
"",3.42,20.52
"",2.97,32.71
"",5.64,37.0
"",3.02,19.77
"",2.51,9.26
"",8.37,40.23
"",6.64,39.84
"",3.35,20.1
"",5.86,35.14
"",5.09,30.55
"",0.0,27.09
"",6.15,36.89
"",3.35,20.1
"",5.01,38.42
"",1.72,13.22
"",6.56,39.34
"",0.0,23.83
"",0.0,15.87
"",5.54,33.23
"",7.81,46.88
"",2.0,28.34
"",6.12,36.72
"",4.0,21.07
"",0.0,65.12
"",3.6,21.62
"",6.0,40.37
"",0.0,55.42
"",1.0,28.51
"",4.24,15.43
"",0.0,5.09
"",3.24,35.65
"",0.0,31.84
"",1.0,20.85
"",5.65,33.9
"",3.94,23.66
"",2.14,16.44
"",0.0,37.35
"",3.19,24.47
"",3.47,26.58
"",6.8,40.78
"",0.0,4.52
"",6.92,41.52
"",2.0,41.0
"",3.6,21.6
"",4.68,28.08
"",0.0,46.15
"",2.0,32.68
"",4.08,24.47
"",5.41,32.48
"",5.08,30.46
"",2.36,20.96
"",1.0,34.0
"",0.0,17.65
"",8.03,40.16
"",2.55,21.55
"",1.83,14.03
"",10.01,60.05
