passenger_count,tip_amount,total_amount
1.0,2.94,17.64
1.0,0.0,18.2
1.0,1.6,17.0
1.0,0.0,21.0
1.0,0.0,15.4
1.0,1.5,11.3
1.0,0.0,13.3
1.0,2.8,16.8
1.0,0.0,15.4
1.0,0.0,13.3
6.0,3.78,22.68
0.0,3.0,12.1
1.0,0.0,13.3
1.0,3.2,19.3
1.0,3.05,15.25
1.0,2.94,17.64
1.0,1.0,24.8
2.0,0.0,81.8
5.0,1.0,15.0
2.0,2.52,15.12
2.0,0.0,80.55
1.0,2.75,20.25
1.0,4.35,21.85
1.0,2.8,16.8
1.0,3.22,19.32
1.0,0.0,12.6
1.0,0.0,14.0
3.0,0.0,13.3
1.0,4.55,22.75
1.0,3.92,23.52
1.0,0.0,-33.05
1.0,0.0,33.05
1.0,10.0,77.25
1.0,0.0,21.7
1.0,0.0,8.7
1.0,0.0,14.7
1.0,1.0,24.1
1.0,3.78,22.68
1.0,1.0,19.2
1.0,10.57,63.42
1.0,2.1,12.6
1.0,2.0,11.1
1.0,1.0,12.2
2.0,5.08,25.38
2.0,2.17,23.87
1.0,1.89,14.49
1.0,2.1,12.6
1.0,0.0,9.8
3.0,0.0,80.55
1.0,0.0,63.25
1.0,1.3,15.3
1.0,9.01,54.06
1.0,2.52,15.12
1.0,1.0,15.7
1.0,3.5,21.0
1.0,3.08,18.48
1.0,3.9,23.5
1.0,2.0,13.9
1.0,2.94,17.64
1.0,1.5,12.7
1.0,2.24,13.44
1.0,1.5,16.9
1.0,2.1,12.6
1.0,2.38,14.28
1.0,2.24,13.44
3.0,14.61,73.06
1.0,4.0,29.2
1.0,11.55,69.3
1.0,1.96,11.76
1.0,0.0,14.0
1.0,2.94,17.64
1.0,0.0,7.0
1.0,1.08,13.68
1.0,1.82,10.92
1.0,5.46,32.76
1.0,0.0,18.2
1.0,0.0,16.1
1.0,2.45,12.25
3.0,0.0,131.65
1.0,0.0,10.5
1.0,0.0,29.4
1.0,3.0,40.8
3.0,4.0,42.5
1.0,0.0,12.6
1.0,0.0,16.8
2.0,4.0,22.2
1.0,2.52,15.12
2.0,2.24,13.44
1.0,8.82,52.92
1.0,0.0,-11.2
1.0,0.0,11.2
1.0,2.0,37.7
1.0,0.0,81.8
1.0,4.6,27.7
1.0,1.0,21.3
1.0,2.24,13.44
1.0,4.06,24.36
1.0,0.0,39.9
1.0,0.0,13.3
1.0,3.08,18.48
1.0,1.89,14.49
1.0,2.8,16.8
1.0,3.5,21.0
1.0,3.5,17.5
1.0,2.25,13.45
1.0,1.0,12.2
1.0,0.0,10.5
5.0,2.8,16.8
6.0,1.0,12.2
5.0,2.94,12.74
2.0,2.94,17.64
2.0,1.0,19.2
2.0,1.0,17.8
2.0,3.78,22.68
1.0,20.45,102.25
4.0,1.0,17.8
4.0,2.66,15.96
1.0,3.2,19.3
1.0,0.0,14.0
4.0,0.0,11.2
1.0,1.0,10.1
1.0,0.0,16.8
1.0,3.5,21.0
4.0,3.0,34.5
1.0,4.06,24.36
1.0,1.96,11.76
1.0,4.41,19.11
1.0,5.88,35.28
1.0,2.31,17.71
1.0,4.2,25.2
3.0,2.1,12.6
2.0,2.94,17.64
3.0,2.52,19.32
2.0,3.0,18.4
2.0,5.25,22.75
1.0,0.6,12.5
1.0,1.95,11.75
1.0,6.0,37.5
1.0,0.0,11.9
1.0,2.75,13.95
1.0,6.0,48.95
1.0,0.0,11.2
1.0,0.0,16.8
1.0,3.08,18.48
1.0,4.62,27.72
1.0,2.1,12.6
2.0,4.08,26.48
2.0,3.78,24.78
2.0,3.64,21.84
6.0,8.4,36.4
2.0,1.6,9.6
2.0,2.38,14.28
2.0,3.92,23.52
1.0,1.0,12.2
1.0,2.2,13.4
2.0,1.0,14.3
2.0,2.0,13.9
1.0,0.0,12.6
1.0,1.0,17.8
1.0,0.0,13.3
1.0,0.0,14.0
2.0,12.35,74.3
6.0,30.0,34.5
1.0,2.94,22.54
1.0,0.0,11.2
1.0,0.0,17.5
1.0,0.0,15.4
3.0,2.0,15.3
1.0,2.0,23.7
1.0,2.4,14.3
1.0,0.0,12.6
1.0,2.0,18.1
1.0,3.36,20.16
1.0,3.15,15.75
1.0,3.5,17.5
1.0,3.92,23.52
1.0,0.0,45.5
1.0,2.0,15.3
2.0,2.52,15.12
1.0,2.38,14.28
1.0,0.0,16.8
1.0,2.35,14.25
1.0,0.0,22.4
1.0,16.2,70.2
1.0,2.35,14.25
1.0,1.95,11.75
1.0,0.0,16.8
1.0,0.0,22.4
3.0,0.0,-24.0
3.0,0.0,24.0
3.0,10.0,69.85
1.0,8.0,15.0
1.0,2.8,16.8
1.0,2.8,16.8
1.0,2.0,15.3
1.0,8.0,87.3
1.0,0.0,22.4
4.0,5.65,24.55
1.0,2.65,15.95
1.0,3.85,19.25
3.0,1.5,19.7
0.0,4.7,23.6
0.0,7.15,35.85
1.0,2.73,20.93
1.0,2.0,11.8
1.0,1.5,15.5
1.0,2.52,15.12
1.0,0.0,19.6
1.0,2.45,12.25
1.0,2.52,15.12
1.0,3.25,32.65
1.0,0.0,20.3
1.0,0.0,56.0
1.0,1.78,13.68
1.0,1.33,14.63
1.0,3.5,21.0
1.0,5.05,25.35
3.0,18.0,55.8
1.0,1.0,11.5
1.0,2.27,14.87
1.0,2.9,17.6
1.0,5.0,86.8
1.0,4.62,27.72
1.0,3.08,18.48
1.0,0.0,11.9
3.0,4.62,27.72
1.0,4.2,25.2
1.0,0.0,13.3
1.0,0.0,10.5
1.0,3.08,18.48
1.0,2.95,17.65
1.0,2.25,13.45
1.0,2.65,15.95
1.0,2.0,23.0
1.0,3.08,18.48
1.0,6.3,37.8
2.0,8.58,42.88
2.0,0.0,21.0
3.0,2.94,17.64
1.0,2.0,23.0
4.0,5.0,86.8
1.0,3.22,19.32
1.0,2.94,17.64
1.0,1.0,23.4
1.0,2.8,16.8
1.0,2.52,15.12
1.0,3.1,15.7
1.0,9.0,68.15
3.0,0.0,20.3
2.0,10.0,24.0
1.0,1.5,19.0
2.0,3.64,21.84
3.0,1.5,14.8
2.0,2.24,13.44
1.0,0.0,11.2
1.0,1.0,11.5
1.0,2.8,16.8
2.0,5.0,16.2
1.0,1.0,15.7
0.0,15.05,90.3
1.0,2.66,15.96
1.0,0.0,19.6
1.0,1.95,11.75
2.0,1.0,82.8
1.0,3.1,18.5
2.0,16.35,98.15
1.0,10.25,61.5
1.0,16.11,97.91
1.0,0.0,12.6
2.0,7.7,46.2
1.0,2.1,12.6
1.0,2.66,15.96
1.0,2.0,16.0
0.0,0.0,28.0
1.0,1.89,14.49
1.0,4.41,19.11
1.0,1.0,12.2
3.0,2.24,13.44
1.0,2.1,21.0
1.0,3.32,16.62
1.0,2.8,16.8
5.0,1.82,10.92
5.0,2.08,11.18
1.0,11.36,87.11
1.0,2.0,20.2
1.0,0.0,10.5
1.0,2.52,15.12
1.0,2.95,14.85
1.0,3.5,21.0
1.0,1.5,9.9
1.0,0.0,26.6
1.0,7.42,44.52
1.0,2.45,12.25
3.0,12.0,92.55
4.0,0.1,19.0
2.0,5.88,35.28
4.0,1.82,10.92
3.0,3.5,17.5
1.0,0.0,24.5
1.0,0.0,16.1
1.0,2.45,12.25
1.0,1.5,15.5
1.0,5.25,22.75
1.0,2.9,26.0
1.0,2.38,14.28
1.0,4.2,18.2
1.0,0.0,9.4
1.0,0.0,15.0
1.0,1.54,16.94
2.0,4.2,18.2
2.0,2.62,20.12
1.0,4.0,13.8
1.0,3.7,18.4
1.0,3.35,20.15
1.0,3.5,21.0
1.0,2.8,16.8
1.0,0.0,11.2
1.0,0.0,20.3
1.0,4.06,24.36
1.0,0.0,11.2
1.0,3.0,21.9
1.0,3.75,22.65
1.0,3.75,22.65
1.0,2.52,27.72
1.0,4.38,21.88
1.0,2.94,17.64
1.0,2.66,15.96
2.0,13.57,69.12
1.0,2.52,15.12
1.0,1.61,17.71
1.0,2.0,42.6
0.0,0.0,15.4
1.0,1.96,11.76
1.0,0.0,10.5
1.0,2.62,20.12
1.0,6.55,39.45
1.0,6.5,32.5
2.0,0.0,56.0
1.0,1.0,22.0
1.0,2.8,16.8
1.0,4.9,24.5
1.0,3.78,22.68
2.0,2.0,13.2
1.0,5.04,30.24
1.0,1.0,20.6
1.0,1.47,11.27
1.0,2.0,16.7
2.0,7.84,47.04
2.0,12.08,92.63
1.0,0.0,53.55
1.0,10.0,62.75
1.0,2.24,13.44
1.0,0.0,11.5
1.0,0.0,19.9
1.0,0.0,16.8
1.0,2.8,16.8
1.0,3.5,21.0
1.0,0.0,31.1
1.0,3.08,18.48
1.0,2.0,15.3
1.0,1.5,13.4
1.0,5.18,31.08
1.0,1.46,8.76
1.0,3.36,20.16
1.0,15.86,95.16
1.0,0.0,7.3
1.0,3.85,19.25
1.0,2.62,20.12
1.0,0.0,19.6
1.0,0.0,14.0
1.0,1.82,20.02
1.0,4.6,20.0
1.0,2.5,15.1
2.0,2.1,12.6
1.0,1.0,12.9
1.0,10.0,71.75
1.0,2.0,16.0
1.0,0.0,14.7
1.0,4.6,27.7
1.0,0.0,20.6
1.0,2.0,16.7
1.0,3.0,21.2
1.0,11.83,70.98
0.0,2.0,16.7
0.0,2.65,15.95
1.0,18.5,93.75
2.0,9.25,55.6
1.0,3.36,20.16
1.0,0.0,13.3
2.0,1.78,13.68
2.0,0.0,25.9
1.0,0.0,17.5
1.0,3.78,22.68
1.0,1.4,15.4
1.0,0.0,18.9
1.0,3.35,16.65
1.0,0.0,12.6
1.0,3.78,22.68
4.0,1.96,11.76
4.0,15.0,93.05
1.0,3.9,23.5
1.0,3.35,20.15
1.0,2.0,20.2
1.0,2.98,14.88
2.0,2.0,18.1
2.0,6.02,36.12
1.0,0.0,11.9
1.0,0.0,16.1
1.0,3.5,21.0
1.0,2.0,13.2
3.0,19.59,117.54
1.0,2.35,14.25
1.0,2.35,14.25
1.0,2.0,13.2
1.0,0.0,17.1
1.0,0.0,46.55
1.0,0.0,80.55
3.0,2.44,14.64
4.0,2.86,17.16
1.0,1.0,9.0
1.0,2.25,13.45
1.0,2.8,16.8
1.0,2.1,21.0
1.0,3.85,19.25
1.0,1.0,12.9
5.0,0.0,20.3
1.0,1.75,16.45
1.0,0.0,16.8
4.0,2.1,12.6
3.0,2.66,15.96
3.0,7.7,38.5
2.0,15.5,67.3
1.0,4.06,24.36
1.0,0.0,14.0
1.0,2.66,15.96
1.0,3.75,22.65
1.0,2.1,12.6
3.0,3.78,22.68
1.0,2.52,15.12
1.0,6.86,41.16
1.0,1.26,9.66
1.0,0.0,14.0
1.0,8.45,64.8
1.0,0.0,14.7
1.0,2.0,24.4
1.0,1.0,20.6
1.0,3.5,18.2
1.0,1.0,12.2
1.0,0.0,11.2
3.0,3.2,19.3
1.0,2.38,14.28
1.0,2.73,20.93
1.0,2.1,12.6
1.0,2.52,19.32
1.0,1.0,16.4
1.0,14.8,88.8
1.0,1.0,13.6
1.0,0.0,11.2
1.0,0.0,17.5
1.0,3.99,30.59
1.0,2.58,15.48
1.0,5.04,30.24
3.0,0.0,27.45
1.0,4.72,23.62
1.0,2.24,13.44
1.0,0.4,13.0
3.0,1.0,10.1
2.0,3.08,18.48
1.0,3.22,19.32
1.0,4.2,18.2
1.0,3.22,19.32
1.0,0.0,11.2
1.0,4.03,20.13
2.0,2.42,18.52
2.0,2.66,15.96
2.0,0.0,17.5
3.0,6.16,36.96
2.0,7.42,44.52
2.0,1.33,27.93
2.0,0.0,10.5
2.0,2.7,23.0
1.0,5.3,31.9
1.0,3.5,21.0
1.0,2.38,14.28
1.0,4.05,24.35
2.0,0.0,25.9
2.0,1.5,21.1
1.0,3.5,21.0
1.0,2.66,15.96
1.0,3.92,23.52
1.0,0.0,26.6
1.0,0.0,19.6
1.0,0.0,18.9
1.0,0.0,19.6
1.0,2.25,11.35
1.0,4.2,25.2
5.0,2.0,12.5
5.0,2.62,20.12
2.0,6.86,41.16
2.0,2.2,16.9
3.0,13.0,94.8
1.0,2.8,16.8
1.0,6.3,37.8
1.0,2.2,16.9
2.0,2.1,12.6
2.0,0.0,23.1
1.0,0.0,10.1
1.0,2.0,26.5
1.0,1.5,21.1
2.0,5.95,29.75
1.0,0.0,10.5
1.0,1.33,14.63
1.0,3.04,23.34
1.0,0.0,72.35
1.0,0.0,15.0
1.0,1.0,24.8
1.0,2.52,15.12
1.0,0.0,10.1
1.0,2.4,14.6
1.0,3.0,40.1
1.0,1.12,12.32
1.0,5.0,19.0
1.0,0.0,21.7
1.0,2.8,16.8
1.0,0.0,14.7
1.0,5.18,31.08
1.0,0.88,18.38
1.0,2.52,15.12
1.0,1.0,17.1
1.0,3.78,22.68
1.0,3.0,42.2
1.0,2.52,15.12
1.0,0.0,11.2
1.0,2.24,13.44
1.0,0.0,12.6
2.0,0.0,58.45
1.0,15.0,96.8
1.0,1.0,15.0
1.0,3.22,19.32
1.0,1.47,11.27
1.0,0.0,9.8
1.0,2.8,16.8
1.0,1.68,10.08
1.0,1.5,15.5
1.0,3.78,22.68
2.0,1.2,14.5
1.0,3.5,21.0
2.0,0.0,14.7
2.0,1.5,19.0
1.0,0.0,11.2
1.0,10.85,65.1
1.0,6.02,30.12
1.0,6.58,39.48
1.0,3.0,24.0
5.0,3.08,18.48
5.0,14.8,88.8
1.0,6.58,39.48
1.0,14.5,95.05
2.0,3.15,15.75
1.0,2.31,17.71
1.0,2.02,13.22
1.0,1.0,12.2
1.0,0.0,22.55
3.0,4.34,26.04
3.0,4.48,26.88
1.0,11.14,68.09
2.0,16.11,97.91
1.0,1.0,22.0
1.0,3.36,25.76
1.0,1.0,16.4
1.0,3.36,20.16
1.0,0.0,16.8
1.0,5.78,28.88
1.0,2.5,15.1
1.0,3.2,19.3
1.0,3.08,18.48
1.0,2.38,14.28
1.0,3.5,21.0
1.0,1.82,10.92
1.0,16.1,96.65
1.0,2.8,16.8
1.0,0.0,11.9
2.0,2.0,18.1
1.0,2.0,23.0
1.0,2.66,15.96
5.0,13.48,80.88
1.0,2.8,16.8
1.0,4.45,26.85
5.0,2.28,11.38
5.0,2.1,12.6
5.0,2.0,12.5
5.0,4.9,29.4
3.0,3.5,21.0
4.0,2.52,19.32
1.0,1.88,11.28
1.0,6.65,33.25
1.0,4.06,24.36
1.0,4.34,26.04
1.0,9.8,49.0
1.0,4.6,27.7
1.0,1.54,16.94
1.0,0.0,10.5
2.0,2.0,14.6
1.0,1.8,10.9
1.0,0.0,16.1
1.0,2.0,13.2
2.0,17.35,86.8
2.0,3.0,17.7
1.0,2.35,14.25
1.0,1.0,11.5
1.0,0.0,43.4
1.0,0.0,8.7
1.0,3.5,26.6
1.0,1.68,12.88
1.0,0.0,23.1
1.0,2.38,14.28
1.0,5.74,34.44
1.0,0.5,11.0
1.0,6.72,29.12
2.0,1.54,9.24
1.0,1.96,11.76
1.0,2.0,15.3
1.0,0.0,10.5
1.0,3.08,18.48
1.0,4.0,55.1
1.0,2.0,14.6
1.0,2.24,13.44
1.0,1.68,12.88
1.0,1.0,12.9
1.0,5.25,22.75
1.0,3.22,19.32
6.0,1.0,16.4
3.0,20.14,100.69
1.0,3.5,21.0
1.0,1.26,13.86
1.0,1.4,15.4
1.0,1.47,16.17
1.0,1.61,17.71
1.0,4.2,21.0
2.0,5.46,32.76
6.0,3.08,18.48
6.0,0.0,11.9
1.0,2.66,15.96
1.0,0.0,14.0
1.0,19.21,83.26
1.0,0.0,23.8
1.0,2.9,17.6
1.0,3.78,16.38
1.0,1.0,13.6
1.0,3.0,20.5
1.0,0.0,23.8
1.0,2.52,19.32
1.0,2.3,17.0
1.0,3.22,19.32
2.0,13.09,78.54
1.0,2.0,18.1
1.0,2.2,13.4
1.0,2.44,14.64
1.0,2.44,14.64
1.0,2.0,16.0
1.0,0.0,60.55
1.0,10.0,90.55
2.0,2.1,12.6
1.0,2.94,17.64
1.0,7.0,53.35
1.0,10.0,71.95
1.0,1.0,11.5
1.0,3.9,23.5
1.0,0.0,8.0
1.0,4.06,24.36
1.0,1.19,13.09
1.0,3.46,26.56
1.0,3.78,22.68
1.0,4.83,20.93
5.0,4.2,25.2
1.0,2.66,15.96
1.0,4.34,26.04
1.0,2.24,13.44
1.0,1.0,16.4
2.0,0.0,7.3
1.0,0.0,-11.2
1.0,0.0,11.2
1.0,2.38,14.28
1.0,11.68,71.33
1.0,0.0,10.5
1.0,3.85,19.25
2.0,0.0,13.3
2.0,15.5,135.85
2.0,1.0,13.6
2.0,0.0,9.8
2.0,3.0,19.8
1.0,2.0,23.0
1.0,2.8,16.8
1.0,1.8,20.0
1.0,0.0,7.3
3.0,0.0,11.2
2.0,0.0,25.9
1.0,0.0,13.3
1.0,5.0,34.4
1.0,1.0,14.3
1.0,6.72,40.32
1.0,2.57,13.07
1.0,2.94,17.64
1.0,2.24,13.44
1.0,2.94,12.74
1.0,1.0,19.9
3.0,0.0,82.0
4.0,0.0,64.75
1.0,3.57,27.37
1.0,1.0,22.7
1.0,2.1,16.1
1.0,2.24,13.44
1.0,5.25,26.25
5.0,3.15,13.65
5.0,3.0,24.0
6.0,2.8,14.0
2.0,14.8,88.8
1.0,0.0,25.2
1.0,1.0,12.9
1.0,0.0,12.6
2.0,3.22,19.32
1.0,2.31,17.71
1.0,0.91,10.01
1.0,0.0,11.9
1.0,2.5,15.1
1.0,3.2,19.3
2.0,0.0,52.64
1.0,2.8,16.8
1.0,3.36,20.16
1.0,0.0,31.5
3.0,3.5,21.0
2.0,2.86,19.66
2.0,1.85,17.25
1.0,3.36,20.16
1.0,3.92,23.52
2.0,1.96,11.76
2.0,3.78,22.68
1.0,0.0,16.8
1.0,1.5,12.7
0.0,0.0,13.3
0.0,2.65,15.95
1.0,4.9,29.4
1.0,1.5,14.1
1.0,1.58,12.08
1.0,4.1,35.6
1.0,0.0,12.2
1.0,4.38,21.88
1.0,0.0,62.25
2.0,2.24,13.44
2.0,5.0,58.55
1.0,0.0,11.9
1.0,1.4,15.4
1.0,1.0,19.9
1.0,12.11,72.66
0.0,3.2,19.3
0.0,5.05,25.35
0.0,5.46,23.66
1.0,2.0,13.9
1.0,5.0,17.6
1.0,10.85,65.1
2.0,0.0,17.5
1.0,3.64,21.84
2.0,18.51,111.06
1.0,2.84,21.74
1.0,6.65,33.25
1.0,2.22,19.72
1.0,3.5,21.0
1.0,1.68,10.08
1.0,2.0,23.7
1.0,0.0,19.75
1.0,0.0,43.0
4.0,4.48,26.88
1.0,3.22,19.32
1.0,3.67,18.37
1.0,3.5,33.6
1.0,3.5,21.0
2.0,0.0,94.2
1.0,1.12,12.32
1.0,2.65,15.95
1.0,4.34,26.04
1.0,1.47,11.27
1.0,1.5,14.1
1.0,3.64,21.84
1.0,3.15,24.15
1.0,3.78,16.38
1.0,1.89,14.49
1.0,0.0,22.4
1.0,4.0,26.4
1.0,0.0,15.0
1.0,2.8,14.0
1.0,3.92,23.52
1.0,2.66,15.96
1.0,9.85,59.2
2.0,1.68,10.08
1.0,3.35,20.15
1.0,2.45,12.25
1.0,2.5,15.1
1.0,3.0,45.0
1.0,2.0,18.8
1.0,2.0,37.7
1.0,2.0,23.0
1.0,3.0,34.5
1.0,8.4,50.4
1.0,2.65,17.35
1.0,0.0,81.8
1.0,1.54,16.94
1.0,0.0,14.7
2.0,4.48,26.88
1.0,3.46,26.56
1.0,0.0,43.55
1.0,2.2,13.4
1.0,3.6,21.8
1.0,0.0,16.8
1.0,4.0,13.8
1.0,1.5,12.3
1.0,0.0,11.2
1.0,2.8,16.8
1.0,2.84,21.74
1.0,0.0,14.0
1.0,2.66,15.96
1.0,5.6,33.6
1.0,4.0,59.55
0.0,3.65,18.35
1.0,2.2,13.4
1.0,2.2,17.6
1.0,1.0,9.4
1.0,4.06,24.36
1.0,5.04,38.64
1.0,2.66,15.96
1.0,1.5,19.0
1.0,2.0,16.0
1.0,0.0,10.8
1.0,3.0,15.6
1.0,0.0,11.5
1.0,0.0,10.8
1.0,2.0,17.7
3.0,1.0,14.3
1.0,2.0,13.2
1.0,4.45,26.85
1.0,2.8,16.8
1.0,20.75,103.75
6.0,2.8,16.8
6.0,6.72,40.32
1.0,5.0,30.2
3.0,2.62,13.12
2.0,0.0,11.2
1.0,2.0,23.0
1.0,0.0,-10.5
1.0,0.0,10.5
1.0,3.65,23.95
1.0,1.0,13.6
0.0,3.0,24.0
1.0,0.0,19.6
1.0,4.34,26.04
2.0,2.0,23.7
1.0,0.0,11.9
1.0,2.95,17.65
1.0,3.65,21.85
1.0,2.1,16.1
1.0,0.0,19.6
1.0,0.0,10.5
1.0,2.0,15.3
1.0,1.75,15.05
1.0,2.1,12.6
1.0,2.38,14.28
1.0,1.0,12.9
1.0,0.0,23.1
1.0,2.65,15.95
1.0,0.0,69.25
1.0,3.65,21.85
1.0,3.5,21.0
2.0,1.58,12.08
1.0,0.0,11.9
1.0,3.28,21.48
1.0,1.0,12.2
1.0,2.4,14.3
1.0,3.08,18.48
1.0,0.0,6.6
1.0,0.0,7.3
1.0,2.98,14.88
1.0,4.2,25.2
1.0,3.78,22.68
1.0,3.68,18.38
1.0,2.66,15.96
2.0,3.78,22.68
1.0,2.8,16.8
1.0,3.68,18.38
3.0,2.5,15.1
1.0,3.15,15.75
1.0,2.6,18.0
2.0,1.4,15.4
1.0,0.0,16.1
1.0,4.06,24.36
1.0,5.18,31.08
1.0,6.0,24.2
1.0,2.0,18.8
1.0,3.35,14.55
6.0,1.5,16.9
6.0,6.44,38.64
1.0,5.67,24.57
1.0,3.36,20.16
1.0,2.38,14.28
1.0,2.8,16.8
0.0,1.96,11.76
0.0,3.3,16.6
1.0,1.5,17.6
1.0,3.05,18.45
1.0,0.0,16.8
1.0,3.5,17.5
1.0,1.68,10.08
1.0,1.0,14.3
2.0,1.94,14.84
0.0,23.3,140.0
1.0,0.0,11.2
1.0,3.64,21.84
1.0,0.0,20.3
2.0,2.0,16.7
1.0,2.16,12.96
1.0,3.85,19.25
1.0,0.0,4.5
1.0,2.1,12.6
1.0,2.38,14.28
1.0,0.0,21.7
1.0,5.0,62.65
2.0,1.0,10.1
2.0,1.96,11.76
3.0,2.0,23.7
1.0,12.27,94.07
1.0,2.0,19.5
3.0,5.04,30.24
3.0,2.94,12.74
1.0,3.35,14.55
1.0,4.1,23.0
1.0,0.0,19.6
1.0,2.0,19.5
1.0,2.94,17.64
1.0,5.32,31.92
1.0,0.0,25.9
1.0,3.78,22.68
1.0,0.0,13.3
2.0,1.68,10.08
1.0,3.64,21.84
1.0,2.66,15.96
1.0,2.0,14.6
1.0,3.22,19.32
1.0,2.1,12.6
1.0,0.0,18.9
1.0,3.22,19.32
1.0,6.47,32.37
1.0,1.75,8.75
1.0,5.0,21.8
1.0,0.0,10.5
1.0,3.0,34.5
1.0,2.52,15.12
1.0,1.5,12.7
1.0,2.3,13.8
1.0,1.36,10.46
1.0,1.34,12.54
1.0,2.24,13.44
0.0,4.3,26.0
0.0,2.2,13.4
1.0,2.0,17.4
1.0,0.0,19.6
2.0,4.06,24.36
2.0,4.9,24.5
1.0,2.0,17.4
1.0,2.1,12.6
1.0,2.0,16.7
1.0,2.24,13.44
1.0,1.0,35.3
1.0,0.0,23.1
1.0,4.48,26.88
1.0,4.5,38.25
1.0,0.0,10.8
1.0,15.05,90.3
1.0,1.82,20.02
1.0,2.94,17.64
1.0,1.96,11.76
1.0,1.36,10.46
1.0,18.0,64.5
1.0,16.11,96.66
1.0,1.0,10.1
1.0,0.0,14.7
1.0,0.0,37.25
1.0,3.0,18.0
1.0,1.0,15.3
1.0,0.0,10.5
1.0,3.15,24.15
1.0,2.1,12.6
2.0,3.32,16.62
1.0,2.1,12.6
1.0,3.08,18.48
1.0,2.94,17.64
1.0,5.46,32.76
4.0,1.46,8.76
1.0,2.52,19.32
1.0,1.82,10.92
1.0,19.8,120.05
2.0,3.08,18.48
2.0,3.36,20.16
2.0,0.0,18.9
2.0,0.0,11.2
1.0,3.0,26.1
1.0,0.0,37.25
1.0,3.92,23.52
1.0,0.0,10.5
1.0,1.0,12.2
1.0,0.0,35.7
1.0,2.0,18.1
1.0,11.15,71.0
4.0,16.11,97.91
2.0,2.0,20.9
1.0,0.0,23.8
1.0,2.38,14.28
1.0,2.1,12.6
1.0,0.0,14.7
1.0,9.24,26.74
4.0,7.64,23.04
1.0,3.78,22.68
1.0,2.66,15.96
1.0,3.36,20.16
1.0,0.0,32.7
2.0,0.0,11.2
1.0,2.1,12.6
1.0,1.0,12.9
1.0,0.0,-14.0
1.0,0.0,14.0
1.0,2.52,15.12
1.0,1.12,12.32
1.0,2.94,17.64
1.0,3.99,30.59
1.0,11.9,71.6
2.0,4.62,27.72
2.0,1.0,12.9
2.0,3.64,21.84
1.0,2.94,17.64
1.0,4.9,29.4
1.0,1.5,15.5
1.0,3.08,18.48
1.0,2.2,16.9
4.0,5.08,25.38
1.0,4.48,26.88
1.0,0.0,64.25
4.0,5.46,32.76
1.0,16.35,98.15
1.0,2.77,18.17
1.0,4.9,29.4
1.0,2.1,12.6
1.0,1.0,34.6
1.0,4.06,24.36
1.0,15.61,94.91
1.0,1.0,22.7
3.0,1.5,16.9
1.0,3.05,18.45
1.0,0.0,12.6
1.0,4.2,18.2
1.0,2.0,24.4
1.0,0.0,25.2
0.0,3.22,19.32
1.0,0.0,16.1
1.0,0.0,19.6
1.0,1.89,14.49
1.0,2.94,17.64
1.0,1.8,10.9
1.0,0.0,12.6
1.0,2.0,16.7
1.0,2.5,20.7
3.0,3.5,38.5
1.0,3.65,21.85
1.0,1.0,14.3
1.0,2.66,15.96
1.0,2.0,25.1
3.0,1.0,8.7
3.0,2.1,12.6
3.0,2.27,14.87
2.0,1.47,16.17
2.0,0.21,10.71
2.0,5.88,35.28
1.0,2.8,14.0
1.0,3.36,20.16
1.0,0.0,20.3
1.0,2.38,14.28
1.0,2.5,18.6
1.0,0.0,21.0
1.0,2.1,16.1
1.0,2.75,13.95
1.0,2.94,17.64
2.0,2.24,13.44
1.0,2.35,14.25
1.0,4.45,26.85
1.0,0.0,16.1
1.0,4.9,29.4
1.0,2.1,12.6
1.0,2.38,14.28
1.0,2.98,14.88
1.0,3.36,20.16
1.0,2.24,13.44
1.0,2.0,25.8
1.0,2.38,14.28
1.0,2.1,12.6
1.0,2.1,12.6
1.0,6.02,36.12
1.0,2.38,14.28
1.0,2.1,12.6
5.0,2.84,21.74
