passenger_count,tip_amount,total_amount
1.0,9.96,61.01
1.0,1.47,16.17
1.0,3.36,20.16
0.0,2.52,15.12
1.0,3.36,20.16
1.0,0.0,12.6
1.0,0.0,19.6
1.0,2.66,15.96
1.0,0.0,14.7
1.0,1.0,17.1
2.0,4.48,26.88
2.0,4.2,25.2
1.0,3.35,16.65
1.0,0.0,9.8
1.0,3.8,22.7
1.0,16.35,98.15
1.0,4.9,29.4
1.0,4.2,21.0
1.0,15.21,77.31
1.0,1.68,10.08
2.0,1.5,11.3
4.0,2.0,11.1
1.0,2.8,14.0
2.0,0.0,21.7
1.0,3.0,38.7
1.0,3.95,17.25
1.0,0.0,23.8
1.0,2.66,15.96
1.0,3.22,19.32
4.0,0.0,21.7
1.0,1.5,13.4
2.0,3.08,18.48
1.0,2.66,15.96
1.0,2.24,13.44
1.0,2.52,15.12
1.0,0.0,16.1
1.0,2.8,16.8
1.0,3.8,22.7
1.0,2.0,11.1
2.0,2.8,16.8
2.0,10.5,63.1
0.0,0.0,10.75
1.0,4.03,20.13
1.0,3.9,23.5
1.0,2.8,16.8
1.0,4.0,15.2
4.0,7.15,43.1
3.0,6.4,38.6
1.0,0.0,12.6
1.0,4.5,26.9
1.0,0.0,16.8
1.0,2.38,14.28
1.0,2.38,14.28
1.0,3.64,21.84
1.0,5.0,30.2
1.0,1.5,16.2
1.0,10.0,85.25
1.0,3.22,19.32
1.0,0.0,16.8
1.0,0.0,11.2
3.0,2.0,12.5
1.0,0.0,18.9
2.0,2.8,14.0
1.0,2.1,12.6
3.0,5.46,32.76
2.0,3.36,20.16
3.0,0.0,34.3
1.0,0.0,20.3
1.0,3.08,18.48
0.0,0.0,17.5
1.0,2.8,16.8
3.0,16.11,96.66
2.0,2.65,15.95
2.0,2.94,17.64
2.0,3.0,26.8
1.0,1.0,13.6
1.0,0.0,16.1
4.0,3.36,20.16
2.0,1.96,11.76
1.0,2.42,18.52
3.0,0.0,12.6
1.0,2.35,14.25
1.0,3.2,19.3
1.0,2.94,17.64
1.0,0.0,18.0
1.0,2.38,14.28
1.0,5.74,34.44
1.0,0.0,64.75
1.0,2.0,28.6
2.0,16.11,97.91
1.0,4.34,26.04
0.0,1.3,16.0
1.0,16.11,97.91
1.0,2.62,13.12
1.0,2.38,14.28
1.0,0.0,24.5
1.0,2.98,14.88
2.0,2.1,12.6
1.0,2.66,15.96
1.0,0.0,14.0
1.0,3.75,28.95
1.0,3.5,21.0
2.0,0.0,74.0
1.0,4.2,21.0
1.0,0.0,11.9
1.0,4.76,28.56
2.0,7.56,26.46
3.0,10.95,65.75
1.0,0.0,13.3
1.0,0.0,14.7
1.0,0.0,28.7
1.0,1.46,19.66
1.0,0.0,22.4
4.0,3.5,21.0
4.0,3.36,14.56
3.0,12.86,65.56
1.0,1.0,11.5
3.0,3.36,20.16
3.0,3.78,22.68
2.0,2.1,12.6
1.0,2.38,14.28
1.0,4.2,25.2
1.0,3.5,21.0
1.0,8.74,67.04
1.0,2.52,15.12
1.0,3.36,20.16
1.0,3.64,21.84
1.0,5.0,57.75
1.0,9.57,57.42
1.0,2.1,12.6
1.0,0.0,13.3
1.0,2.38,14.28
1.0,2.4,22.0
2.0,4.76,28.56
3.0,0.0,16.8
1.0,3.92,23.52
2.0,2.9,17.6
1.0,4.2,25.2
1.0,2.0,53.6
1.0,4.2,25.2
1.0,3.36,20.16
1.0,3.5,21.0
1.0,20.0,151.3
1.0,0.0,18.2
2.0,3.22,19.32
2.0,15.0,96.8
1.0,2.2,16.9
2.0,0.0,81.8
1.0,1.0,11.5
2.0,5.3,31.9
1.0,2.0,23.0
2.0,11.38,74.58
2.0,2.0,33.5
1.0,4.2,25.2
1.0,0.0,14.7
1.0,3.36,20.16
6.0,4.2,25.2
2.0,16.36,98.16
1.0,16.35,98.15
4.0,5.46,32.76
2.0,2.0,13.2
4.0,6.02,36.12
1.0,0.0,13.3
1.0,2.24,13.44
1.0,10.0,66.9
1.0,9.29,55.74
1.0,2.24,13.44
4.0,0.0,22.0
2.0,16.11,97.91
1.0,3.64,21.84
2.0,2.94,17.64
1.0,0.0,15.4
