passenger_count,tip_amount,total_amount
5.0,4.06,24.36
5.0,1.5,12.7
5.0,3.08,18.48
5.0,2.0,18.1
1.0,6.16,36.96
3.0,2.52,27.72
1.0,1.58,12.08
2.0,1.96,11.76
2.0,0.0,20.3
2.0,0.0,16.1
1.0,0.0,15.4
1.0,1.82,10.92
1.0,4.2,25.2
1.0,2.2,13.4
1.0,2.0,25.8
1.0,4.6,27.7
1.0,4.9,29.4
2.0,3.92,23.52
2.0,3.22,19.32
1.0,0.0,12.6
1.0,2.98,14.88
1.0,0.0,33.85
1.0,4.2,18.2
1.0,1.0,13.6
0.0,2.0,26.5
1.0,4.2,18.2
2.0,3.92,23.52
1.0,3.78,22.68
1.0,2.94,17.64
1.0,3.32,16.62
1.0,2.94,17.64
2.0,5.6,33.6
1.0,0.0,14.0
1.0,3.0,25.4
1.0,9.26,56.81
1.0,0.0,22.4
1.0,3.0,20.0
1.0,0.0,11.2
1.0,8.15,35.45
1.0,2.5,17.9
1.0,0.0,10.5
1.0,5.0,28.1
1.0,0.0,15.4
1.0,1.0,10.1
2.0,10.68,64.08
2.0,0.0,14.7
1.0,4.2,18.2
2.0,2.94,17.64
1.0,4.76,28.56
2.0,0.0,-7.0
2.0,0.0,7.0
1.0,2.24,13.44
1.0,4.2,25.2
1.0,4.34,26.04
1.0,3.5,21.0
1.0,16.16,98.21
2.0,0.1,12.0
2.0,3.78,22.68
0.0,2.0,41.2
1.0,3.0,26.1
3.0,0.0,13.3
1.0,2.8,16.8
1.0,2.42,18.52
1.0,0.0,21.7
1.0,0.0,18.9
1.0,5.0,86.8
1.0,4.03,20.13
1.0,2.8,16.8
2.0,9.55,57.3
2.0,2.0,15.3
1.0,0.0,19.6
1.0,5.08,25.38
1.0,1.8,13.0
2.0,0.0,14.7
3.0,2.38,14.28
2.0,0.0,14.7
2.0,4.06,24.36
1.0,2.0,16.7
1.0,1.4,15.4
2.0,2.1,12.6
2.0,2.62,13.12
2.0,0.0,10.5
1.0,3.9,23.5
1.0,4.7,23.6
1.0,0.0,16.8
1.0,2.0,21.6
1.0,12.12,73.97
1.0,2.0,23.0
1.0,1.0,10.8
1.0,0.0,14.0
2.0,5.08,25.38
2.0,4.83,20.93
2.0,5.0,29.5
1.0,4.06,24.36
1.0,2.8,16.8
1.0,1.74,10.44
1.0,0.0,23.8
1.0,0.0,12.6
1.0,3.5,21.0
1.0,1.8,19.3
1.0,3.78,22.68
1.0,5.74,34.44
1.0,2.1,16.1
2.0,1.0,10.1
1.0,0.0,11.9
2.0,0.0,16.1
1.0,2.8,16.8
5.0,1.96,11.76
5.0,1.0,17.1
5.0,4.62,20.02
5.0,2.38,14.28
1.0,0.0,14.7
1.0,6.44,38.64
1.0,12.39,74.34
1.0,0.0,-72.75
1.0,0.0,72.75
1.0,0.0,17.5
1.0,3.8,22.7
1.0,1.78,13.68
1.0,1.0,11.5
0.0,10.65,64.1
3.0,4.2,18.2
1.0,1.0,14.3
1.0,8.54,51.24
1.0,2.0,14.6
1.0,2.52,15.12
1.0,4.62,27.72
6.0,0.0,11.9
1.0,0.0,13.3
1.0,2.0,38.4
1.0,3.22,19.32
1.0,1.68,12.88
1.0,2.9,17.6
1.0,8.22,63.02
1.0,0.0,-9.1
1.0,0.0,9.1
1.0,2.38,14.28
1.0,2.52,15.12
2.0,3.35,14.55
1.0,4.6,27.7
1.0,4.34,26.04
2.0,2.0,19.5
4.0,25.0,46.0
1.0,3.08,18.48
1.0,0.0,8.4
1.0,1.5,9.2
1.0,2.0,17.4
1.0,5.23,31.38
1.0,1.5,17.6
1.0,5.33,58.63
1.0,10.26,61.56
1.0,4.41,19.11
1.0,2.24,13.44
1.0,0.0,28.7
1.0,4.1,31.4
1.0,10.71,65.51
1.0,2.24,13.44
2.0,0.0,18.9
1.0,3.0,18.4
1.0,0.0,41.3
1.0,2.94,17.64
1.0,1.7,15.0
1.0,3.5,21.0
1.0,8.9,44.6
1.0,2.95,17.65
2.0,2.25,13.45
1.0,2.0,30.7
1.0,4.62,27.72
1.0,3.22,19.32
1.0,3.5,17.5
2.0,6.02,36.12
2.0,5.04,30.24
1.0,3.78,22.68
1.0,5.85,35.25
1.0,9.46,58.01
1.0,1.5,14.1
1.0,1.96,11.76
1.0,11.24,67.44
1.0,3.0,24.7
1.0,2.0,13.2
3.0,3.64,21.84
1.0,2.72,16.32
1.0,6.44,38.64
1.0,0.0,25.9
1.0,16.11,97.91
3.0,0.0,18.2
3.0,1.25,11.75
3.0,1.32,7.92
1.0,3.33,34.13
1.0,2.0,18.8
1.0,3.45,23.75
0.0,10.1,60.7
2.0,2.65,15.95
1.0,0.0,-15.4
1.0,0.0,15.4
1.0,3.36,20.16
1.0,3.08,18.48
3.0,16.3,99.05
1.0,2.66,15.96
2.0,0.0,10.5
1.0,2.0,13.2
1.0,2.0,12.5
1.0,80.0,131.0
1.0,1.0,12.9
1.0,9.45,57.95
1.0,5.74,34.44
1.0,0.0,14.7
1.0,2.0,32.1
6.0,4.9,29.4
6.0,2.0,25.8
1.0,0.0,8.4
1.0,2.8,16.8
1.0,2.75,13.95
4.0,2.0,20.2
3.0,2.9,17.6
1.0,0.0,31.05
1.0,0.0,59.5
2.0,2.8,14.0
4.0,1.82,20.02
1.0,0.0,17.5
1.0,3.5,21.0
1.0,0.0,18.9
1.0,5.6,28.0
1.0,3.78,22.68
1.0,3.0,37.3
1.0,2.0,14.6
1.0,3.85,19.25
1.0,1.0,21.3
1.0,0.0,13.3
1.0,3.36,20.16
1.0,4.34,26.04
2.0,0.0,11.5
1.0,0.0,16.7
1.0,0.0,48.25
2.0,0.0,23.8
1.0,2.52,15.12
1.0,0.0,16.8
2.0,15.61,94.91
1.0,11.4,57.15
2.0,5.04,30.24
1.0,6.86,41.16
1.0,11.55,70.55
2.0,0.0,30.1
3.0,0.0,19.6
3.0,3.15,15.75
1.0,0.0,8.4
1.0,16.11,96.66
1.0,2.0,27.2
1.0,11.41,69.71
2.0,3.78,22.68
1.0,3.15,13.65
1.0,3.0,28.2
1.0,0.0,18.9
2.0,4.45,26.85
1.0,11.8,70.8
1.0,10.5,63.2
6.0,5.32,31.92
1.0,16.11,96.66
1.0,12.11,73.91
1.0,4.48,26.88
1.0,1.0,16.4
1.0,0.0,-14.0
1.0,0.0,14.0
1.0,16.1,96.65
2.0,1.0,18.5
1.0,2.0,18.8
1.0,3.92,23.52
2.0,0.0,10.5
2.0,5.46,32.76
1.0,0.0,14.3
1.0,0.0,12.9
1.0,1.74,10.44
1.0,6.22,37.32
1.0,1.0,15.7
1.0,3.33,16.63
1.0,2.8,16.8
1.0,6.0,35.4
1.0,0.0,19.6
1.0,3.08,18.48
1.0,1.54,16.94
1.0,0.0,58.8
1.0,2.0,30.0
1.0,0.0,18.9
1.0,0.0,20.3
1.0,0.0,11.2
1.0,3.5,17.5
1.0,5.42,27.12
1.0,2.35,14.25
2.0,13.04,66.44
1.0,10.43,63.83
1.0,3.22,19.32
1.0,4.62,35.42
1.0,10.14,62.09
1.0,6.72,40.32
1.0,2.38,14.28
1.0,0.0,12.6
1.0,2.94,17.64
1.0,3.85,19.25
1.0,1.96,11.76
1.0,0.0,14.0
1.0,2.38,14.28
1.0,0.0,12.6
1.0,0.0,10.1
3.0,4.0,20.1
1.0,0.0,9.8
1.0,2.2,13.4
1.0,10.54,63.24
2.0,10.0,61.05
1.0,0.0,18.2
1.0,0.0,22.4
2.0,16.11,97.91
2.0,2.8,16.8
1.0,0.0,9.4
1.0,3.92,23.52
1.0,0.0,42.85
1.0,9.27,71.07
1.0,10.01,61.31
2.0,2.0,22.3
1.0,2.0,20.2
2.0,4.34,26.04
1.0,10.0,90.55
6.0,8.81,57.76
1.0,6.3,37.8
1.0,0.0,13.3
2.0,2.62,13.12
2.0,3.0,15.6
2.0,2.2,16.9
2.0,2.66,15.96
1.0,4.9,29.4
1.0,1.5,19.7
1.0,0.0,16.8
1.0,3.08,18.48
1.0,2.0,25.1
1.0,10.15,50.75
1.0,2.24,13.44
3.0,0.0,14.0
2.0,3.5,13.3
1.0,2.9,17.6
1.0,0.0,25.35
1.0,16.36,98.16
1.0,1.96,11.76
1.0,6.0,36.1
2.0,4.9,29.4
1.0,0.0,11.9
1.0,3.5,21.0
1.0,16.11,97.91
1.0,1.96,11.76
1.0,5.88,25.48
1.0,13.85,69.4
1.0,3.0,20.5
2.0,5.2,60.0
1.0,2.5,23.5
1.0,2.24,13.44
1.0,2.24,13.44
3.0,5.0,85.55
1.0,1.26,13.86
1.0,5.46,32.76
1.0,0.0,9.1
2.0,14.4,72.0
2.0,2.0,16.7
2.0,7.0,88.8
1.0,4.2,21.0
3.0,1.82,10.92
1.0,1.82,10.92
1.0,2.52,15.12
1.0,0.0,97.0
2.0,1.5,15.5
2.0,8.22,41.12
1.0,8.0,75.9
1.0,3.5,18.9
1.0,10.0,90.55
1.0,4.34,26.04
1.0,0.0,13.3
1.0,2.94,17.64
1.0,2.42,18.52
1.0,0.0,12.6
1.0,4.38,21.88
1.0,0.0,9.8
1.0,2.5,53.6
2.0,0.0,11.9
4.0,3.68,28.18
2.0,3.46,26.56
1.0,2.0,18.1
1.0,0.0,64.65
2.0,5.0,28.1
1.0,12.65,75.9
1.0,2.0,17.4
1.0,0.0,26.6
2.0,1.68,10.08
4.0,3.85,19.25
1.0,0.0,14.7
1.0,3.78,28.98
