passenger_count,tip_amount,total_amount
1.0,1.0,11.5
1.0,2.94,17.64
1.0,1.0,19.9
1.0,0.0,15.45
1.0,0.0,62.25
1.0,0.08,9.88
1.0,3.15,15.75
1.0,19.79,118.74
1.0,14.81,90.61
1.0,0.0,20.6
1.0,3.0,33.8
1.0,2.24,13.44
1.0,2.38,14.28
1.0,14.3,85.8
1.0,16.11,96.66
1.0,1.0,17.1
1.0,13.07,100.17
1.0,3.36,20.16
1.0,1.0,12.9
1.0,1.82,10.92
2.0,1.0,21.6
1.0,2.36,18.06
0.0,0.0,81.85
1.0,0.0,12.6
1.0,2.35,14.25
1.0,3.3,16.6
1.0,0.0,11.9
1.0,2.2,13.4
2.0,0.0,43.35
1.0,0.0,43.55
1.0,2.1,12.6
1.0,4.06,24.36
1.0,3.5,17.5
1.0,3.36,20.16
1.0,0.0,9.8
1.0,2.0,16.7
1.0,14.8,90.55
1.0,1.26,13.86
2.0,0.0,74.0
1.0,0.0,74.0
1.0,2.52,15.12
1.0,13.18,79.08
1.0,0.0,10.5
1.0,10.57,63.42
2.0,0.0,58.75
1.0,5.64,30.14
1.0,4.9,29.4
1.0,10.3,46.0
1.0,0.0,17.5
1.0,0.0,14.7
1.0,3.36,14.56
1.0,1.5,22.5
1.0,0.0,37.75
1.0,3.5,17.5
1.0,0.0,29.4
1.0,0.0,14.0
1.0,2.8,16.8
1.0,2.1,12.6
1.0,3.0,15.6
1.0,1.08,22.78
1.0,3.08,18.48
1.0,10.0,67.75
1.0,0.0,10.5
1.0,2.0,13.9
1.0,1.0,17.1
1.0,3.36,20.16
1.0,0.0,18.9
3.0,16.11,96.66
1.0,4.4,19.1
1.0,4.2,25.2
4.0,0.0,10.5
4.0,2.5,19.3
1.0,0.0,21.0
1.0,4.72,23.62
1.0,2.8,14.0
1.0,1.96,11.76
1.0,1.0,21.3
1.0,2.66,15.96
1.0,0.0,10.8
1.0,5.6,33.6
1.0,0.0,35.65
1.0,0.0,15.4
1.0,5.78,28.88
1.0,0.0,11.5
1.0,2.66,15.96
1.0,0.9,12.1
1.0,2.1,23.1
2.0,20.14,100.69
1.0,2.9,17.6
1.0,16.1,96.65
1.0,3.64,21.84
3.0,4.76,28.56
2.0,2.24,13.44
4.0,0.0,12.9
1.0,1.0,22.7
1.0,1.68,18.48
1.0,10.57,63.42
1.0,12.25,73.5
1.0,0.0,70.0
1.0,2.0,22.3
1.0,3.0,35.2
2.0,8.19,35.49
1.0,12.25,73.5
2.0,6.0,65.85
1.0,3.2,19.3
1.0,0.0,12.6
1.0,2.0,14.6
1.0,3.05,18.45
1.0,2.0,32.1
1.0,4.45,26.85
1.0,0.0,7.0
1.0,3.85,19.25
1.0,2.52,15.12
1.0,3.9,27.0
2.0,2.2,13.4
1.0,0.0,10.5
1.0,1.5,16.9
1.0,0.0,9.1
1.0,14.34,87.79
1.0,2.52,15.12
1.0,3.08,18.48
1.0,4.34,26.04
1.0,3.36,20.16
1.0,3.15,15.75
1.0,4.0,17.3
1.0,0.0,9.1
1.0,2.0,13.2
1.0,2.94,17.64
2.0,17.8,106.95
1.0,1.5,19.7
1.0,4.2,21.0
1.0,0.0,9.8
1.0,2.38,14.28
1.0,0.0,27.3
2.0,3.08,18.48
1.0,2.35,14.25
1.0,2.1,12.6
1.0,4.9,24.5
1.0,0.0,29.35
1.0,15.46,92.76
1.0,1.96,11.76
1.0,0.0,31.5
1.0,0.91,10.01
1.0,2.98,14.88
1.0,3.36,20.16
1.0,0.0,-80.55
1.0,0.0,80.55
1.0,16.19,80.94
1.0,4.2,21.0
1.0,2.0,6.5
1.0,0.0,57.55
1.0,3.35,20.15
1.0,0.0,21.7
1.0,16.45,98.75
2.0,17.0,97.55
1.0,2.94,17.64
1.0,0.0,21.7
1.0,2.66,15.96
1.0,1.82,10.92
1.0,1.68,18.48
1.0,0.0,11.9
1.0,2.38,14.28
1.0,3.78,16.38
1.0,0.0,10.5
1.0,2.24,13.44
1.0,3.5,21.0
1.0,0.0,9.1
1.0,2.1,12.6
1.0,0.0,77.9
1.0,3.0,38.65
1.0,2.0,91.15
1.0,1.0,13.6
1.0,1.0,10.8
1.0,16.1,96.65
1.0,1.82,10.92
1.0,2.0,13.2
1.0,11.97,71.82
1.0,0.0,54.6
1.0,2.52,15.12
1.0,3.35,20.15
1.0,1.47,16.17
5.0,3.5,21.0
5.0,14.8,88.8
1.0,3.3,16.6
1.0,1.0,14.3
1.0,0.0,34.0
1.0,16.11,98.41
1.0,4.2,18.2
1.0,0.0,18.2
1.0,1.58,12.08
1.0,3.1,15.7
1.0,5.0,21.8
1.0,1.8,13.0
2.0,0.0,24.5
1.0,1.0,15.7
1.0,3.67,18.37
1.0,0.0,45.5
1.0,0.0,11.5
1.0,3.98,23.88
1.0,0.0,44.75
1.0,4.9,29.4
1.0,2.1,12.6
1.0,2.2,13.4
1.0,1.0,12.2
1.0,2.9,17.6
1.0,2.0,20.2
1.0,1.5,11.3
1.0,2.0,15.3
1.0,1.0,15.0
1.0,2.5,23.1
1.0,3.5,15.0
1.0,1.6,9.6
6.0,0.0,63.35
1.0,12.39,74.34
1.0,0.0,24.5
1.0,2.38,14.28
1.0,0.0,-32.2
1.0,0.0,32.2
2.0,2.66,15.96
3.0,2.24,13.44
1.0,0.0,63.55
1.0,0.0,32.2
1.0,2.0,18.8
2.0,0.0,11.9
1.0,0.0,16.4
1.0,0.0,10.5
1.0,2.0,22.3
1.0,0.0,11.9
2.0,4.06,24.36
2.0,3.5,16.8
1.0,12.34,94.64
1.0,4.2,21.0
1.0,2.0,11.1
1.0,3.8,22.7
1.0,2.0,20.9
0.0,4.6,20.0
1.0,2.24,13.44
2.0,2.38,14.28
1.0,0.0,17.5
1.0,0.0,66.45
1.0,14.49,88.69
1.0,0.0,13.6
1.0,1.5,23.2
1.0,5.78,28.88
1.0,0.0,40.25
0.0,3.9,23.5
0.0,0.0,12.6
0.0,5.0,30.2
1.0,2.0,15.3
1.0,4.06,24.36
2.0,1.5,14.8
3.0,3.08,18.48
1.0,3.78,22.68
1.0,0.0,62.0
1.0,12.1,72.65
1.0,3.0,23.3
1.0,2.25,13.45
1.0,0.0,12.6
1.0,16.11,96.66
1.0,2.52,19.32
1.0,2.5,15.1
1.0,2.1,12.6
1.0,16.11,98.41
1.0,1.0,14.3
1.0,5.0,21.8
1.0,2.9,17.6
1.0,9.25,55.4
1.0,0.0,14.0
1.0,2.5,15.1
1.0,10.85,65.1
1.0,0.0,-12.6
1.0,0.0,12.6
1.0,1.0,12.2
1.0,3.08,18.48
1.0,5.15,31.05
1.0,2.0,17.4
1.0,4.0,44.85
1.0,3.0,19.1
1.0,2.52,15.12
1.0,2.66,15.96
1.0,4.5,21.3
1.0,1.95,11.75
1.0,1.65,10.05
1.0,0.0,13.3
1.0,13.55,67.8
1.0,0.0,62.55
1.0,0.0,11.5
0.0,1.0,17.1
1.0,2.8,16.8
1.0,1.0,14.3
1.0,0.5,13.8
1.0,2.0,12.5
1.0,1.0,17.1
1.0,2.94,12.74
1.0,0.0,-7.0
1.0,0.0,7.0
1.0,15.82,80.87
1.0,4.7,52.65
2.0,4.0,20.05
1.0,10.0,92.3
2.0,4.0,61.8
1.0,0.0,16.1
1.0,0.0,11.2
1.0,0.0,-82.3
1.0,0.0,82.3
1.0,12.67,76.02
1.0,5.6,33.6
2.0,0.0,14.0
2.0,2.52,15.12
2.0,2.52,15.12
1.0,0.0,29.4
1.0,6.2,47.5
1.0,2.27,11.37
1.0,15.61,93.66
1.0,3.67,18.37
1.0,2.0,35.6
1.0,0.0,11.2
1.0,1.0,12.2
2.0,16.11,96.66
1.0,1.47,16.17
2.0,15.15,90.9
1.0,4.41,19.11
1.0,12.81,76.86
1.0,2.62,13.12
1.0,1.96,11.76
1.0,2.24,13.44
1.0,5.0,120.05
1.0,6.0,46.6
1.0,2.0,16.7
1.0,2.2,13.4
1.0,2.5,29.8
2.0,0.0,9.1
1.0,1.68,12.88
1.0,0.0,12.6
1.0,2.9,17.6
1.0,12.0,92.55
1.0,8.0,69.25
1.0,3.22,19.32
1.0,2.38,14.28
1.0,0.0,-10.5
1.0,0.0,10.5
1.0,3.08,18.48
1.0,3.4,17.0
1.0,2.3,13.8
1.0,2.38,14.28
1.0,11.41,68.46
1.0,0.0,29.7
1.0,12.53,75.18
1.0,11.13,66.78
1.0,2.0,18.8
1.0,10.0,67.35
0.0,0.0,9.8
0.0,3.08,18.48
0.0,12.95,77.7
3.0,3.0,33.8
1.0,6.02,36.12
1.0,2.0,18.4
1.0,2.98,14.88
1.0,10.0,90.55
1.0,3.5,59.6
2.0,1.0,22.0
1.0,3.22,19.32
1.0,3.5,21.0
1.0,0.0,11.2
1.0,2.0,20.9
1.0,1.96,11.76
1.0,3.57,15.47
1.0,5.67,24.57
1.0,24.24,121.19
1.0,0.0,20.3
1.0,2.0,19.5
1.0,2.98,14.88
1.0,3.22,19.32
2.0,0.0,16.1
2.0,4.2,18.2
1.0,3.36,14.56
1.0,5.0,27.4
1.0,0.0,50.5
1.0,7.62,47.47
1.0,15.0,97.3
1.0,3.35,20.15
1.0,3.1,18.5
1.0,5.05,21.85
1.0,10.85,65.1
1.0,4.41,19.11
1.0,0.0,21.0
1.0,3.05,18.45
1.0,13.43,102.98
1.0,12.45,74.75
1.0,2.0,15.3
1.0,2.0,22.3
1.0,2.1,12.6
1.0,1.0,12.9
1.0,3.5,21.0
1.0,0.0,16.8
1.0,0.0,51.85
2.0,2.0,27.2
1.0,6.08,36.48
1.0,0.0,11.9
1.0,8.23,90.53
1.0,0.0,13.3
1.0,6.0,51.5
1.0,8.46,52.51
1.0,8.26,49.56
1.0,0.0,13.3
1.0,0.0,16.1
1.0,12.44,76.39
1.0,2.0,20.9
1.0,2.52,15.12
1.0,8.05,40.25
1.0,6.02,36.12
1.0,0.0,12.9
1.0,4.06,24.36
1.0,3.67,18.37
1.0,2.52,15.12
1.0,9.3,55.8
3.0,2.66,15.96
2.0,1.0,19.2
2.0,3.36,20.16
1.0,1.0,14.3
2.0,0.0,21.0
1.0,1.8,10.9
1.0,2.2,13.4
1.0,0.0,9.1
1.0,0.0,12.2
1.0,1.0,9.4
1.0,4.2,21.0
1.0,0.0,13.3
1.0,0.0,16.8
1.0,0.0,13.3
1.0,0.0,18.2
1.0,0.0,13.3
1.0,0.0,8.4
1.0,2.8,16.8
