passenger_count,tip_amount,total_amount
2.0,2.4,30.0
2.0,4.05,20.45
1.0,6.38,31.88
2.0,14.31,71.56
1.0,3.84,23.04
2.0,5.8,34.8
3.0,0.0,15.0
1.0,0.0,16.4
1.0,3.28,19.68
1.0,2.16,12.96
1.0,2.02,12.12
1.0,2.0,24.7
1.0,5.94,35.64
1.0,7.05,35.35
0.0,0.0,13.6
2.0,3.8,23.0
1.0,3.0,18.0
1.0,1.5,13.0
1.0,3.0,30.6
1.0,7.2,43.2
1.0,4.26,25.56
1.0,3.84,23.04
5.0,2.45,16.05
5.0,5.24,31.44
1.0,3.0,18.0
1.0,3.42,20.52
1.0,3.84,23.04
1.0,13.55,67.75
1.0,2.6,15.5
1.0,3.0,33.4
1.0,0.0,566.9
1.0,2.3,13.8
2.0,0.0,-10.1
2.0,0.0,10.1
1.0,4.92,21.32
2.0,1.6,32.0
1.0,0.0,20.6
1.0,3.56,21.36
1.0,2.44,14.64
2.0,1.0,14.6
1.0,3.0,18.0
1.0,2.0,15.6
3.0,2.7,16.3
1.0,3.25,19.65
1.0,8.0,48.2
1.0,3.42,20.52
1.0,4.96,29.76
4.0,6.64,39.84
2.0,1.0,11.1
2.0,2.72,16.32
1.0,5.1,30.6
1.0,6.5,39.0
1.0,7.48,44.88
2.0,2.0,24.0
2.0,1.8,21.0
1.0,4.26,25.56
1.0,3.56,21.36
2.0,2.3,13.8
1.0,1.88,11.28
1.0,6.69,40.14
1.0,2.3,13.8
1.0,13.4,67.0
2.0,3.84,23.04
3.0,5.52,33.12
1.0,4.68,28.08
1.0,4.96,29.76
1.0,5.94,35.64
1.0,1.0,32.8
1.0,0.0,12.9
1.0,2.0,15.6
1.0,2.0,12.1
1.0,0.0,15.0
1.0,3.0,34.8
1.0,1.0,23.7
1.0,9.51,47.56
1.0,5.1,30.6
2.0,5.0,30.5
2.0,2.0,21.9
1.0,0.0,16.4
1.0,2.98,22.88
1.0,11.05,68.05
3.0,3.56,21.36
2.0,3.25,19.65
1.0,3.05,15.25
1.0,5.0,40.3
1.0,1.72,13.22
1.0,1.0,18.1
1.0,0.0,14.3
2.0,0.0,17.1
1.0,2.86,17.16
1.0,2.3,13.8
1.0,3.92,19.62
1.0,10.0,84.75
1.0,3.14,18.84
1.0,3.28,19.68
1.0,2.0,23.3
1.0,18.15,109.05
1.0,0.0,17.8
2.0,3.42,20.52
3.0,0.0,10.1
1.0,3.7,22.2
2.0,2.72,16.32
1.0,2.0,27.5
1.0,9.96,43.16
1.0,6.36,38.16
2.0,1.0,60.35
1.0,0.0,47.2
3.0,0.0,6.9
1.0,0.0,14.3
1.0,3.95,23.85
1.0,5.2,31.4
1.0,0.0,37.4
4.0,0.0,19.9
1.0,3.98,23.88
1.0,11.8,59.0
2.0,0.0,14.3
2.0,0.0,12.9
1.0,5.1,30.6
1.0,0.0,26.9
1.0,0.0,55.85
1.0,3.42,20.52
1.0,0.0,12.9
2.0,2.5,26.6
1.0,4.12,24.72
1.0,1.0,12.8
1.0,2.0,16.3
1.0,3.98,23.88
1.0,1.0,13.9
1.0,3.84,23.04
1.0,1.5,12.3
2.0,2.86,17.16
1.0,2.02,12.12
1.0,4.12,24.72
1.0,2.0,19.1
3.0,0.0,40.85
1.0,0.0,26.2
1.0,1.57,17.27
1.0,1.5,17.9
1.0,3.0,20.8
1.0,5.24,31.44
1.0,3.7,22.2
1.0,0.0,13.6
2.0,3.0,27.1
2.0,3.28,19.68
1.0,3.93,30.13
1.0,16.11,98.41
1.0,0.0,13.6
2.0,0.77,13.67
1.0,3.72,28.52
1.0,2.0,18.4
1.0,3.56,21.36
1.0,4.4,26.4
5.0,4.4,26.4
5.0,0.0,13.6
1.0,4.25,21.35
1.0,0.0,49.3
1.0,6.22,37.32
1.0,3.42,20.52
1.0,2.0,21.9
1.0,7.06,42.36
2.0,0.0,82.3
2.0,0.0,13.6
2.0,0.0,18.5
1.0,3.0,37.6
1.0,3.42,20.52
1.0,0.0,15.7
1.0,3.0,18.0
1.0,4.82,28.92
2.0,17.0,73.75
1.0,1.85,20.35
1.0,4.0,30.2
1.0,3.28,19.68
1.0,2.72,16.32
1.0,3.95,23.85
1.0,2.4,14.6
1.0,3.8,23.0
1.0,6.9,41.5
2.0,5.3,26.6
1.0,4.0,30.9
2.0,3.55,21.35
1.0,4.35,33.35
1.0,4.82,28.92
1.0,2.16,12.96
1.0,2.16,12.96
1.0,9.0,84.85
4.0,10.75,53.75
3.0,0.0,82.3
1.0,2.85,17.15
1.0,5.61,43.01
1.0,4.68,28.08
1.0,6.35,38.15
1.0,3.0,18.0
2.0,3.98,23.88
3.0,6.2,31.0
