passenger_count,tip_amount,total_amount
1.0,0.0,18.6
1.0,1.0,24.5
2.0,3.86,23.16
1.0,3.86,23.16
1.0,0.0,15.1
1.0,1.0,18.2
1.0,0.0,16.5
1.0,5.52,27.62
1.0,5.0,41.8
2.0,21.39,108.69
1.0,4.28,25.68
1.0,3.3,19.8
1.0,3.16,18.96
1.0,0.0,47.25
1.0,12.95,79.45
1.0,7.36,44.16
1.0,2.1,20.0
3.0,2.46,14.76
4.0,2.18,13.08
1.0,2.0,19.2
1.0,4.56,27.36
1.0,11.0,66.0
1.0,0.0,87.3
1.0,3.58,21.48
1.0,3.3,19.8
1.0,2.46,14.76
1.0,3.3,19.8
1.0,3.9,16.9
2.0,1.5,13.8
1.0,0.0,18.6
1.0,2.0,26.2
1.0,4.0,24.0
1.0,3.58,21.48
4.0,0.0,20.7
1.0,1.3,14.3
1.0,4.98,29.88
1.0,5.0,62.8
1.0,3.5,34.0
1.0,3.58,21.48
1.0,4.84,29.04
1.0,5.88,29.38
1.0,5.26,31.56
1.0,4.2,26.95
1.0,10.0,80.0
1.0,3.4,20.6
1.0,5.0,25.0
2.0,0.0,22.8
1.0,0.0,19.3
1.0,5.0,36.9
1.0,0.0,25.6
1.0,0.0,13.0
1.0,0.0,13.7
1.0,4.14,24.84
2.0,2.85,17.25
1.0,0.0,18.6
1.0,3.95,19.75
1.0,4.56,27.36
1.0,0.0,16.5
4.0,0.0,13.75
4.0,0.0,59.2
1.0,5.54,33.24
1.0,5.68,34.08
1.0,0.0,12.6
1.0,0.0,13.7
1.0,2.0,15.0
1.0,3.72,22.32
1.0,0.0,80.75
1.0,2.6,15.6
1.0,5.0,63.5
2.0,0.0,34.0
1.0,3.95,19.75
1.0,2.0,18.5
2.0,3.3,19.8
1.0,6.8,40.8
1.0,0.0,75.3
1.0,2.9,22.2
1.0,0.0,23.5
1.0,0.0,16.5
1.0,1.37,15.07
1.0,3.6,18.0
1.0,3.72,22.32
1.0,6.0,61.0
1.0,3.44,20.64
2.0,3.58,21.48
2.0,3.33,36.63
1.0,3.44,20.64
1.0,2.0,18.5
1.0,0.0,13.0
1.0,5.0,67.3
1.0,0.0,20.7
1.0,2.0,22.7
1.0,0.0,7.0
2.0,2.0,15.0
1.0,5.4,32.4
0.0,4.95,29.85
1.0,2.0,21.3
1.0,5.4,32.4
2.0,3.22,21.12
1.0,5.0,25.0
1.0,8.0,55.35
2.0,0.0,12.3
1.0,3.63,20.13
1.0,3.86,23.16
1.0,0.0,-56.4
1.0,0.0,56.4
1.0,4.56,27.36
1.0,10.0,97.3
2.0,1.0,12.6
3.0,4.14,24.84
2.0,2.74,16.44
1.0,6.66,39.96
1.0,2.52,19.32
3.0,2.2,16.9
2.0,0.0,22.8
1.0,2.88,17.28
5.0,27.39,136.94
1.0,3.3,19.8
1.0,0.0,80.85
1.0,1.0,29.4
1.0,0.0,79.0
1.0,3.02,18.12
5.0,1.5,27.8
1.0,4.56,27.36
1.0,4.0,24.0
2.0,4.42,26.52
1.0,6.86,41.16
1.0,10.0,76.2
1.0,0.0,22.1
1.0,0.0,57.05
1.0,4.98,29.88
1.0,3.16,18.96
1.0,0.0,87.3
2.0,0.0,23.5
1.0,2.18,13.08
2.0,0.0,20.0
1.0,0.08,18.68
1.0,2.0,38.1
2.0,0.0,49.7
1.0,0.0,30.8
1.0,0.0,18.9
1.0,0.0,20.0
1.0,3.68,28.18
1.0,2.0,38.4
2.0,1.65,8.25
1.0,0.0,18.2
1.0,0.0,15.0
1.0,3.0,24.7
1.0,3.15,24.15
1.0,4.9,29.4
1.0,0.0,21.7
1.0,0.0,11.2
2.0,0.0,10.5
3.0,9.1,45.5
1.0,2.8,16.8
2.0,12.45,74.75
1.0,0.0,19.6
1.0,2.24,13.44
1.0,2.2,13.4
1.0,4.38,21.88
1.0,5.46,41.86
1.0,0.0,23.1
1.0,2.24,13.44
1.0,2.1,12.6
2.0,15.0,74.5
2.0,3.35,20.15
1.0,3.5,21.0
1.0,2.0,27.2
2.0,0.0,20.3
3.0,4.0,25.75
3.0,14.63,89.53
1.0,3.0,26.1
1.0,3.0,17.7
1.0,2.0,14.6
1.0,0.0,11.9
1.0,3.22,19.32
1.0,2.5,15.1
1.0,5.04,30.24
1.0,0.0,21.7
1.0,2.1,12.6
1.0,4.6,27.7
1.0,5.55,27.95
3.0,0.0,13.3
3.0,0.0,14.0
1.0,2.94,17.64
1.0,4.2,18.2
1.0,2.24,13.44
1.0,6.15,36.95
1.0,3.64,21.84
1.0,3.5,21.0
1.0,6.86,41.16
2.0,7.0,51.8
1.0,4.76,28.56
1.0,4.2,25.2
1.0,3.78,22.68
1.0,6.02,36.12
1.0,3.0,26.1
1.0,3.22,19.32
1.0,1.5,16.2
1.0,2.0,27.2
1.0,0.0,9.8
1.0,4.06,24.36
1.0,2.62,13.12
1.0,0.0,14.7
1.0,1.05,11.55
1.0,0.0,23.8
1.0,3.99,17.29
4.0,0.0,18.2
1.0,0.0,26.6
1.0,2.52,15.12
1.0,0.0,112.65
1.0,5.0,42.15
1.0,8.26,49.56
1.0,1.0,16.4
1.0,0.0,15.4
1.0,3.6,21.8
1.0,2.0,24.4
1.0,3.32,16.62
1.0,0.0,26.6
1.0,7.98,34.58
1.0,2.24,13.44
1.0,2.94,17.64
1.0,1.2,11.0
1.0,8.82,52.92
1.0,0.0,55.95
1.0,0.0,18.9
1.0,2.35,14.25
1.0,3.5,21.0
1.0,3.35,20.15
1.0,0.0,11.2
1.0,0.0,10.5
1.0,4.0,24.3
1.0,2.0,23.0
1.0,4.34,26.04
1.0,3.36,20.16
1.0,2.94,17.64
