passenger_count,tip_amount,total_amount
1.0,3.0,18.0
4.0,4.9,29.4
1.0,5.6,33.6
2.0,0.0,22.4
1.0,3.35,20.15
1.0,3.15,15.75
1.0,1.0,20.6
1.0,11.05,66.3
2.0,16.11,98.41
1.0,2.1,12.6
1.0,1.54,16.94
1.0,3.22,19.32
1.0,1.68,10.08
1.0,1.0,9.4
1.0,3.5,21.0
1.0,0.0,183.55
1.0,0.0,21.7
1.0,0.0,9.8
1.0,3.92,23.52
1.0,2.66,15.96
2.0,16.11,96.66
1.0,0.0,74.45
1.0,16.46,98.76
1.0,0.1,9.5
1.0,3.5,21.0
1.0,3.22,19.32
1.0,1.0,14.3
1.0,8.22,41.12
2.0,16.11,96.66
5.0,2.24,13.44
2.0,2.0,12.5
1.0,12.67,77.77
1.0,2.0,14.6
4.0,0.0,38.5
0.0,2.5,10.9
1.0,0.0,16.8
1.0,0.0,79.8
1.0,2.0,16.7
1.0,0.0,18.2
1.0,1.26,13.86
3.0,2.38,14.28
4.0,4.38,21.88
1.0,3.08,18.48
1.0,0.0,63.65
1.0,2.0,19.5
1.0,0.0,30.1
1.0,6.83,34.13
1.0,1.0,19.9
1.0,0.0,15.4
1.0,3.5,21.0
1.0,0.0,-20.3
1.0,0.0,20.3
1.0,7.0,42.0
1.0,2.24,13.44
1.0,3.64,21.84
1.0,3.64,21.84
1.0,6.8,42.55
1.0,6.12,30.62
1.0,3.22,19.32
2.0,2.52,15.12
1.0,0.0,23.1
1.0,0.0,20.3
1.0,2.0,27.9
1.0,2.73,11.83
1.0,4.2,25.2
1.0,0.0,41.0
4.0,16.11,98.41
1.0,4.6,27.7
1.0,0.0,33.6
1.0,0.0,39.55
1.0,3.5,21.0
1.0,5.0,13.4
1.0,3.36,20.16
1.0,4.9,29.4
1.0,2.1,12.6
1.0,0.0,-14.0
1.0,0.0,14.0
4.0,3.6,21.8
2.0,2.1,12.6
2.0,2.9,17.6
1.0,0.0,27.3
1.0,0.0,16.8
1.0,1.0,10.1
1.0,2.5,15.1
1.0,0.0,49.25
1.0,2.5,15.1
1.0,3.2,19.3
1.0,4.2,25.2
1.0,2.0,13.9
1.0,3.08,18.48
1.0,2.24,13.44
2.0,0.0,13.3
0.0,0.0,36.4
1.0,2.0,19.5
1.0,0.0,12.6
1.0,1.5,16.2
1.0,2.8,16.8
2.0,12.39,76.09
1.0,10.78,64.68
1.0,3.08,33.88
1.0,0.0,80.55
1.0,0.0,61.95
1.0,0.0,7.3
1.0,2.45,12.25
1.0,0.0,35.0
1.0,7.84,47.04
1.0,4.48,26.88
1.0,2.0,18.1
1.0,2.94,17.64
1.0,5.04,30.24
1.0,3.22,19.32
1.0,0.0,13.3
1.0,4.76,28.56
1.0,0.81,16.91
1.0,12.76,76.56
1.0,2.1,12.6
1.0,4.06,24.36
1.0,6.72,40.32
1.0,2.09,18.19
1.0,2.0,20.2
1.0,0.0,80.55
1.0,2.38,14.28
1.0,2.8,14.0
1.0,3.22,19.32
1.0,6.16,36.96
1.0,2.66,15.96
1.0,4.62,27.72
1.0,0.0,13.3
1.0,2.94,12.74
1.0,5.88,25.48
1.0,2.52,15.12
1.0,3.92,23.52
1.0,2.52,15.12
1.0,3.88,29.78
2.0,2.0,16.7
2.0,3.91,25.61
2.0,16.11,98.41
1.0,0.0,23.0
1.0,6.44,38.64
1.0,4.9,29.4
1.0,2.75,24.45
1.0,3.78,22.68
1.0,3.64,21.84
6.0,4.34,26.04
6.0,9.87,42.77
0.0,1.0,10.8
1.0,0.0,11.2
2.0,4.62,27.72
1.0,2.1,12.6
1.0,3.78,22.68
1.0,4.48,26.88
1.0,2.35,14.25
1.0,0.0,13.3
1.0,1.95,11.75
2.0,2.77,18.17
2.0,3.78,22.68
2.0,0.0,26.6
1.0,0.0,12.6
1.0,3.5,21.0
1.0,0.0,24.5
1.0,6.16,36.96
1.0,0.0,20.3
1.0,2.1,23.1
1.0,3.78,16.38
1.0,0.0,60.25
1.0,4.33,25.98
1.0,0.0,16.8
1.0,2.1,12.6
1.0,1.12,12.32
1.0,0.0,79.8
1.0,5.08,25.38
0.0,3.5,21.0
1.0,2.8,16.8
2.0,5.6,33.6
1.0,0.0,55.35
1.0,2.0,18.8
1.0,4.9,29.4
1.0,4.06,24.36
1.0,3.35,20.15
1.0,2.0,15.3
1.0,3.3,16.6
1.0,5.32,31.92
1.0,2.0,25.8
1.0,2.0,19.5
1.0,3.92,23.52
1.0,0.0,14.7
3.0,0.0,39.9
1.0,2.27,11.37
1.0,0.0,74.0
3.0,2.9,17.6
3.0,3.6,21.8
2.0,0.0,16.1
1.0,4.2,25.2
1.0,7.84,47.04
2.0,3.92,23.52
2.0,3.36,20.16
1.0,3.5,17.5
2.0,4.9,29.4
1.0,3.22,19.32
2.0,0.0,23.8
1.0,0.0,11.9
1.0,0.0,12.6
1.0,0.0,12.6
1.0,4.0,22.9
1.0,0.0,52.5
1.0,0.98,20.58
4.0,0.0,35.75
1.0,5.04,30.24
1.0,2.8,16.8
1.0,0.0,70.95
1.0,2.24,13.44
1.0,3.78,22.68
1.0,3.0,13.5
2.0,16.83,102.75
2.0,2.24,13.44
2.0,7.17,35.87
1.0,7.13,54.68
2.0,5.74,34.44
2.0,5.0,102.75
6.0,5.6,33.6
1.0,4.06,24.36
1.0,16.45,98.75
0.0,0.0,25.2
0.0,3.35,20.15
1.0,17.77,106.62
2.0,0.0,32.15
2.0,15.14,75.69
2.0,3.5,21.0
2.0,3.0,21.2
1.0,2.52,15.12
2.0,7.14,42.84
3.0,6.4,38.6
4.0,1.0,11.5
1.0,0.0,20.3
1.0,17.96,77.81
1.0,4.34,26.04
1.0,5.25,22.75
1.0,19.45,116.7
1.0,6.12,30.62
1.0,3.28,21.48
1.0,3.08,18.48
2.0,2.0,18.1
1.0,2.45,26.95
3.0,2.52,15.12
1.0,1.0,24.1
2.0,2.0,24.4
1.0,0.0,57.4
1.0,2.66,15.96
1.0,1.96,11.76
1.0,1.0,15.7
1.0,7.77,33.67
1.0,2.9,19.0
3.0,2.1,12.6
1.0,2.0,18.8
1.0,1.78,13.68
1.0,10.22,61.32
2.0,3.0,27.5
1.0,0.0,38.5
1.0,7.56,45.36
2.0,0.0,10.5
2.0,7.0,42.0
2.0,5.46,41.86
1.0,0.0,48.95
1.0,0.0,15.4
1.0,1.0,19.9
1.0,8.0,56.6
1.0,0.0,11.2
2.0,0.0,7.0
2.0,12.08,92.63
1.0,16.61,101.41
6.0,0.0,18.2
6.0,16.11,96.66
1.0,3.78,22.68
1.0,0.0,14.7
1.0,6.86,41.16
2.0,13.2,79.2
1.0,3.64,21.84
1.0,4.76,28.56
3.0,0.0,29.4
2.0,0.0,23.8
1.0,0.0,35.7
6.0,2.0,18.1
1.0,2.0,15.3
1.0,35.59,177.94
1.0,4.9,29.4
3.0,0.0,11.9
1.0,0.0,17.5
3.0,8.4,50.4
1.0,2.94,17.64
1.0,2.8,14.0
1.0,0.0,124.3
1.0,16.11,98.41
2.0,0.0,34.3
1.0,0.0,39.25
1.0,0.0,14.7
2.0,3.64,21.84
2.0,3.22,19.32
1.0,13.93,71.38
1.0,5.46,32.76
3.0,4.34,26.04
1.0,2.9,17.6
1.0,0.0,11.2
1.0,2.66,15.96
1.0,0.0,12.6
1.0,2.1,12.6
1.0,3.08,18.48
1.0,7.34,44.04
1.0,0.0,20.3
3.0,3.46,26.56
2.0,2.0,14.6
1.0,0.0,15.4
3.0,7.56,32.76
3.0,3.36,20.16
3.0,4.2,18.2
