passenger_count,tip_amount,total_amount
1.0,2.16,12.96
1.0,3.14,18.84
5.0,5.55,24.05
5.0,3.28,19.68
1.0,2.58,15.48
1.0,2.72,16.32
1.0,3.84,23.04
1.0,3.14,18.84
1.0,4.82,28.92
1.0,2.44,14.64
1.0,12.7,76.39
1.0,0.0,60.89
1.0,2.3,13.8
2.0,2.3,13.8
2.0,2.86,17.16
1.0,0.0,19.9
1.0,3.0,18.0
1.0,4.26,25.56
1.0,0.0,22.7
1.0,2.0,21.9
1.0,1.5,16.5
1.0,6.5,39.0
1.0,0.0,10.8
2.0,5.66,33.96
1.0,5.94,35.64
1.0,14.19,85.14
1.0,12.09,72.54
1.0,5.0,87.69
2.0,15.0,115.35
2.0,2.7,16.3
2.0,7.44,32.24
1.0,0.0,26.9
1.0,2.72,16.32
2.0,16.54,99.23
1.0,2.72,16.32
1.0,6.36,38.16
1.0,0.0,34.2
3.0,0.0,22.0
2.0,2.0,24.7
1.0,7.2,43.2
1.0,2.14,16.44
1.0,5.8,34.8
1.0,2.3,13.8
1.0,2.58,15.48
1.0,1.0,11.8
1.0,2.04,15.64
1.0,2.44,14.64
1.0,2.05,19.15
1.0,11.43,49.53
1.0,4.96,29.76
1.0,4.35,33.35
1.0,0.0,12.9
1.0,7.06,42.36
1.0,2.58,15.48
2.0,9.44,56.64
1.0,2.55,15.45
1.0,3.1,18.8
2.0,3.1,18.8
2.0,2.0,17.7
1.0,3.0,12.4
1.0,2.86,17.16
1.0,0.0,12.2
1.0,3.25,19.65
2.0,9.22,57.07
3.0,5.0,23.5
1.0,7.6,58.3
6.0,6.64,39.84
1.0,0.0,15.0
1.0,1.0,11.8
1.0,0.0,13.6
1.0,6.38,31.88
1.0,3.0,26.4
1.0,4.97,24.87
1.0,2.86,17.16
2.0,2.44,14.64
2.0,0.0,36.65
5.0,0.0,11.5
5.0,0.0,10.1
5.0,2.16,12.96
5.0,2.3,13.8
1.0,3.0,18.0
2.0,0.0,25.5
1.0,6.64,39.84
1.0,3.25,19.65
2.0,4.12,24.72
2.0,3.7,22.2
2.0,2.85,17.15
2.0,2.0,20.5
2.0,5.35,23.15
1.0,0.0,15.0
2.0,4.8,24.0
2.0,0.0,21.3
2.0,0.0,34.6
1.0,0.0,-5.5
1.0,0.0,5.5
1.0,0.0,82.3
1.0,0.0,20.6
3.0,5.0,31.9
1.0,3.3,19.7
1.0,0.0,22.0
1.0,10.71,66.0
1.0,4.26,25.56
1.0,2.64,15.84
1.0,5.2,31.4
1.0,0.0,24.8
1.0,0.0,18.5
1.0,3.95,23.85
1.0,2.85,17.15
1.0,1.11,22.41
1.0,7.25,31.35
1.0,2.02,12.12
2.0,2.27,24.97
1.0,4.4,26.4
1.0,6.05,36.45
5.0,0.0,14.3
1.0,2.7,17.0
1.0,0.0,24.1
1.0,1.0,23.0
1.0,3.56,21.36
1.0,5.24,31.44
2.0,2.72,16.32
2.0,4.68,28.08
4.0,6.36,38.16
4.0,0.0,28.3
2.0,6.92,41.52
2.0,0.0,18.5
1.0,1.0,16.7
2.0,1.0,17.4
1.0,1.0,11.8
1.0,3.75,18.75
2.0,2.44,14.64
1.0,5.0,89.11
1.0,3.2,24.5
1.0,4.82,28.92
1.0,4.96,29.76
1.0,3.0,9.9
1.0,2.85,17.15
1.0,3.0,21.5
1.0,0.0,23.5
1.0,6.36,38.16
1.0,7.05,42.35
1.0,2.0,14.2
1.0,0.0,11.5
1.0,5.1,30.6
1.0,0.0,27.65
1.0,7.34,44.04
3.0,12.0,94.3
3.0,1.0,18.8
1.0,3.14,18.84
1.0,3.14,18.84
1.0,2.0,20.5
1.0,0.0,-41.55
1.0,0.0,41.55
1.0,0.0,11.5
4.0,0.0,17.1
2.0,1.0,18.8
1.0,4.45,22.25
1.0,3.28,19.68
1.0,4.12,24.72
1.0,3.56,21.36
1.0,0.0,80.19
1.0,0.0,11.5
1.0,2.3,13.8
1.0,2.86,17.16
1.0,2.7,13.5
1.0,2.7,17.7
1.0,2.3,13.8
1.0,3.28,19.68
1.0,1.94,14.84
1.0,0.0,33.85
1.0,5.0,17.9
1.0,3.28,19.68
1.0,4.7,20.4
2.0,0.0,21.3
1.0,4.05,20.45
1.0,4.26,25.56
1.0,3.84,23.04
2.0,2.0,20.5
1.0,0.0,17.8
2.0,6.6,39.8
0.0,0.0,20.6
1.0,1.78,19.58
1.0,0.0,51.0
2.0,6.17,57.57
2.0,2.86,17.16
2.0,2.58,15.48
1.0,2.0,42.2
3.0,3.14,18.84
1.0,2.3,13.8
4.0,3.56,21.36
