passenger_count,tip_amount,total_amount
1.0,4.95,21.45
2.0,2.0,24.1
1.0,0.01,79.9
4.0,0.0,27.0
1.0,5.54,33.24
1.0,5.0,92.69
1.0,0.0,33.0
1.0,3.6,18.0
1.0,4.0,24.0
1.0,0.0,15.1
1.0,0.0,13.0
2.0,21.5,109.25
1.0,4.42,26.52
1.0,4.47,22.37
1.0,4.56,27.36
1.0,0.0,67.55
1.0,1.84,14.14
1.0,4.84,29.04
1.0,10.0,69.9
1.0,14.42,88.27
1.0,5.26,31.56
1.0,2.0,34.6
1.0,2.46,14.76
1.0,4.84,29.04
1.0,3.42,17.12
1.0,6.75,33.75
1.0,1.25,24.05
1.0,2.88,17.28
1.0,2.0,21.3
1.0,0.0,63.79
1.0,0.0,19.3
1.0,4.84,29.04
1.0,3.77,18.87
2.0,0.0,60.55
1.0,3.72,22.32
1.0,3.16,18.96
1.0,1.0,16.8
1.0,3.25,16.25
2.0,2.0,26.9
3.0,3.02,18.12
1.0,5.12,30.72
1.0,1.72,18.92
1.0,20.0,43.1
4.0,0.0,27.0
1.0,0.0,13.7
1.0,3.5,41.0
1.0,16.73,85.42
1.0,3.58,21.48
2.0,10.07,50.37
1.0,5.26,31.56
1.0,2.0,24.1
1.0,3.0,27.9
1.0,3.6,18.0
1.0,6.92,34.62
1.0,11.65,95.09
1.0,4.84,29.04
1.0,2.0,13.6
1.0,3.32,25.42
4.0,3.58,21.48
1.0,4.98,29.88
1.0,5.82,34.92
1.0,2.0,19.9
1.0,5.4,32.4
1.0,0.0,16.5
1.0,5.12,30.72
1.0,2.72,17.82
1.0,1.0,16.1
1.0,2.14,23.54
1.0,3.02,18.12
1.0,3.16,18.96
1.0,1.0,25.9
1.0,8.22,31.72
1.0,3.8,18.9
1.0,0.0,20.0
1.0,2.0,22.0
1.0,1.44,15.84
1.0,3.86,23.16
1.0,0.0,22.1
1.0,3.86,23.16
1.0,2.0,20.6
1.0,8.62,51.72
1.0,5.12,30.72
2.0,8.2,49.2
1.0,2.88,17.28
1.0,1.0,30.1
1.0,17.19,103.13
1.0,0.0,21.4
1.0,4.0,24.0
1.0,3.44,20.64
1.0,0.0,25.6
1.0,1.93,21.23
1.0,8.31,36.01
1.0,3.27,14.17
1.0,3.21,24.61
1.0,4.65,23.25
1.0,0.0,17.9
1.0,0.0,15.8
2.0,6.94,41.64
1.0,4.05,31.05
1.0,5.35,26.75
3.0,6.18,38.83
1.0,0.0,16.5
1.0,3.5,26.3
1.0,0.0,15.8
1.0,3.4,20.6
1.0,2.32,13.92
2.0,1.0,11.9
1.0,1.0,12.6
1.0,8.2,49.2
1.0,3.3,19.8
1.0,4.98,29.88
1.0,2.32,13.92
1.0,4.0,49.2
1.0,17.19,103.13
1.0,5.12,30.72
1.0,0.0,15.8
1.0,0.0,18.6
1.0,0.0,13.0
2.0,2.37,18.17
2.0,0.0,15.1
1.0,3.16,18.96
1.0,15.63,95.52
1.0,0.0,17.9
1.0,5.96,35.76
1.0,0.0,17.9
1.0,3.02,18.12
1.0,2.9,14.5
1.0,2.88,17.28
1.0,2.46,14.76
1.0,4.0,24.0
3.0,12.9,64.5
1.0,0.0,24.9
2.0,0.0,-87.69
2.0,0.0,87.69
1.0,12.41,74.45
1.0,0.0,-7.0
1.0,0.0,7.0
1.0,2.6,15.6
2.0,0.0,-19.3
2.0,0.0,19.3
1.0,2.46,14.76
1.0,2.88,17.28
1.0,2.6,15.6
2.0,2.74,16.44
1.0,0.0,12.3
1.0,3.0,18.1
1.0,0.0,18.6
3.0,7.22,43.32
1.0,6.22,31.12
1.0,2.7,16.4
1.0,3.42,17.12
1.0,3.86,23.16
1.0,3.3,19.8
1.0,7.78,46.68
1.0,2.68,20.58
1.0,15.0,100.94
1.0,4.83,24.13
1.0,2.74,16.44
1.0,2.37,18.17
1.0,0.0,18.6
1.0,12.62,75.71
1.0,15.8,94.8
1.0,13.95,69.69
1.0,2.6,15.6
1.0,3.3,19.8
1.0,4.42,26.52
1.0,5.35,26.75
6.0,0.0,25.55
6.0,13.67,82.02
1.0,0.0,-12.0
1.0,0.0,12.0
1.0,21.48,107.42
3.0,0.0,87.69
2.0,0.0,15.1
1.0,3.0,23.0
1.0,0.0,27.0
1.0,4.2,25.2
1.0,1.23,13.53
1.0,0.0,23.5
2.0,17.19,104.88
1.0,3.58,21.48
1.0,2.88,17.28
1.0,2.0,26.2
1.0,3.86,23.16
1.0,7.0,86.89
1.0,1.0,44.8
1.0,0.0,-51.45
1.0,0.0,51.45
1.0,2.46,14.76
3.0,15.0,75.65
2.0,5.17,25.87
1.0,7.1,35.5
2.0,3.42,17.12
1.0,2.0,15.7
1.0,0.0,11.6
1.0,1.7,14.0
1.0,0.0,84.35
2.0,3.0,18.1
1.0,0.0,70.09
1.0,0.0,14.4
1.0,0.0,36.85
1.0,0.0,15.1
4.0,3.3,19.8
2.0,7.05,35.45
4.0,5.0,36.2
2.0,0.23,13.23
2.0,0.0,34.7
1.0,2.5,21.8
1.0,2.24,13.44
1.0,4.28,25.68
1.0,5.54,33.24
1.0,4.84,29.04
1.0,7.78,46.68
1.0,0.0,32.55
1.0,0.0,19.3
1.0,3.44,20.64
1.0,5.6,41.0
1.0,5.26,31.56
1.0,1.0,18.9
2.0,0.0,20.7
1.0,3.3,19.8
1.0,0.0,16.5
1.0,4.0,24.0
1.0,2.88,17.28
1.0,2.0,15.7
1.0,0.0,16.5
1.0,2.32,13.92
1.0,0.0,-23.5
1.0,0.0,23.5
1.0,0.0,29.8
1.0,3.0,18.8
1.0,1.0,18.2
2.0,0.0,24.2
1.0,0.0,17.9
4.0,5.0,25.0
1.0,2.88,17.28
3.0,0.0,87.69
2.0,5.68,34.08
2.0,3.6,18.0
3.0,4.84,29.04
1.0,5.0,43.2
1.0,3.0,24.4
1.0,4.0,24.0
1.0,5.0,25.0
1.0,17.5,105.19
1.0,3.0,25.8
1.0,1.0,28.0
1.0,17.8,89.0
1.0,4.28,25.68
1.0,2.74,16.44
3.0,0.0,59.25
1.0,3.6,21.5
1.0,0.0,29.8
6.0,0.0,12.3
6.0,4.7,28.2
