passenger_count,tip_amount,total_amount
1.0,10.99,65.94
1.0,4.5,22.7
1.0,0.0,13.3
1.0,0.0,49.8
1.0,16.11,96.66
1.0,0.0,8.7
1.0,0.0,79.8
1.0,0.0,11.1
1.0,19.51,99.31
1.0,2.65,15.95
5.0,26.24,131.19
2.0,3.0,85.3
2.0,0.0,12.6
2.0,2.0,76.0
1.0,24.69,106.99
1.0,0.0,-10.5
1.0,0.0,10.5
1.0,2.8,14.0
1.0,2.94,17.64
1.0,14.1,84.8
3.0,3.2,19.3
4.0,0.0,15.4
1.0,3.08,18.48
1.0,4.06,24.36
2.0,3.5,17.5
1.0,2.94,17.64
1.0,2.66,15.96
1.0,0.0,17.5
1.0,3.08,18.48
2.0,3.9,23.5
1.0,5.04,30.24
2.0,3.01,33.11
1.0,0.0,15.4
1.0,4.03,20.13
1.0,0.0,55.25
1.0,3.9,23.5
2.0,1.5,16.9
1.0,3.92,23.52
1.0,0.0,18.9
1.0,2.38,14.28
1.0,0.0,12.6
1.0,1.82,10.92
4.0,2.8,16.8
4.0,5.25,22.75
2.0,4.2,25.2
2.0,2.0,10.4
1.0,2.38,14.28
1.0,1.0,15.0
2.0,16.11,98.41
1.0,3.35,14.55
1.0,3.8,22.7
1.0,5.3,31.9
1.0,4.34,26.04
2.0,13.35,80.1
1.0,2.1,12.6
1.0,0.0,16.8
1.0,2.52,15.12
1.0,2.94,17.64
1.0,2.0,19.5
1.0,0.0,14.0
1.0,5.46,32.76
1.0,0.0,12.6
2.0,2.0,20.2
2.0,2.0,25.1
1.0,2.0,15.6
1.0,7.84,47.04
1.0,2.95,17.65
1.0,2.38,14.28
1.0,8.82,38.22
0.0,5.25,26.25
3.0,1.8,13.0
1.0,1.0,13.6
1.0,2.0,16.7
1.0,1.0,17.1
1.0,2.0,18.8
4.0,5.0,22.5
3.0,2.0,17.4
2.0,4.0,16.6
2.0,0.0,11.9
1.0,2.38,14.28
1.0,3.08,18.48
3.0,1.0,23.4
0.0,2.0,16.0
0.0,0.0,22.4
0.0,0.63,13.23
1.0,0.0,47.55
1.0,10.08,84.08
2.0,0.0,25.9
1.0,2.1,10.5
2.0,2.66,15.96
1.0,0.0,9.8
1.0,0.0,11.2
2.0,4.06,24.36
1.0,0.0,11.2
1.0,2.0,13.2
2.0,0.0,39.2
4.0,5.3,31.9
2.0,1.8,13.0
4.0,3.0,31.7
2.0,0.0,20.3
2.0,0.84,9.24
2.0,6.77,40.62
1.0,3.5,21.0
1.0,2.63,20.13
1.0,4.26,27.31
2.0,7.0,60.2
2.0,3.6,21.8
1.0,3.22,19.32
1.0,3.0,17.7
1.0,10.0,83.45
1.0,1.4,17.5
1.0,3.5,21.0
1.0,3.15,24.15
1.0,2.73,20.93
1.0,0.0,30.8
1.0,3.22,19.32
1.0,3.64,21.84
2.0,0.0,48.3
4.0,1.0,17.1
2.0,3.78,22.68
5.0,2.52,15.12
1.0,0.0,15.4
1.0,1.5,7.4
1.0,0.0,11.9
2.0,2.95,14.85
1.0,2.8,16.8
1.0,0.0,82.3
2.0,0.0,21.0
1.0,5.3,31.9
1.0,3.5,17.5
3.0,8.0,15.0
1.0,3.5,21.0
1.0,14.8,88.8
1.0,0.0,19.6
4.0,0.0,7.7
4.0,1.19,13.09
5.0,2.52,15.12
1.0,5.0,20.7
1.0,10.0,75.75
3.0,16.46,98.76
2.0,3.08,18.48
1.0,2.66,15.96
1.0,23.95,143.7
3.0,3.08,18.48
2.0,2.94,17.64
1.0,3.08,18.48
1.0,2.0,25.8
3.0,2.8,16.8
1.0,0.0,35.7
1.0,0.0,21.0
2.0,3.5,21.0
