passenger_count,tip_amount,total_amount
1.0,4.14,24.84
1.0,4.56,27.36
2.0,19.0,75.0
2.0,5.0,64.15
1.0,0.0,16.5
1.0,0.0,15.8
1.0,3.16,18.96
1.0,3.0,24.4
1.0,0.0,15.8
2.0,10.0,97.3
1.0,0.0,36.35
1.0,1.0,18.2
1.0,2.0,46.5
1.0,2.75,16.45
1.0,3.0,34.2
3.0,2.6,15.6
1.0,0.0,12.3
1.0,0.0,17.2
1.0,4.47,22.37
1.0,0.0,20.0
1.0,3.16,18.96
1.0,4.42,26.52
1.0,21.85,109.15
1.0,0.0,47.95
1.0,2.0,22.0
1.0,2.85,17.25
1.0,2.3,13.9
1.0,4.42,26.52
1.0,3.16,18.96
1.0,3.63,27.83
1.0,11.14,66.84
1.0,0.0,-14.0
1.0,0.0,14.0
1.0,7.62,38.12
1.0,3.86,23.16
1.0,0.0,13.7
2.0,2.18,13.08
4.0,0.0,22.8
4.0,0.0,30.5
1.0,4.28,25.68
1.0,0.0,15.8
2.0,4.14,24.84
1.0,0.0,20.0
1.0,1.72,18.92
1.0,2.6,15.6
2.0,0.0,24.2
3.0,3.4,20.6
1.0,0.0,7.0
1.0,2.0,9.0
1.0,3.7,16.0
1.0,2.9,14.5
1.0,0.0,20.0
2.0,0.0,50.75
1.0,4.0,25.4
1.0,3.44,20.64
2.0,2.6,15.6
1.0,7.64,45.84
3.0,10.0,75.5
1.0,3.0,34.2
1.0,1.5,20.8
1.0,2.48,18.98
4.0,4.42,26.52
1.0,3.72,22.32
1.0,2.32,13.92
1.0,6.1,36.6
2.0,0.0,23.5
1.0,0.0,25.6
1.0,3.0,23.7
1.0,4.8,29.0
1.0,8.34,50.04
1.0,1.45,34.1
1.0,4.14,24.84
1.0,0.0,21.4
1.0,0.0,14.4
1.0,5.12,30.72
0.0,8.65,43.35
1.0,1.0,17.5
1.0,3.16,18.96
1.0,3.86,23.16
1.0,1.0,18.9
3.0,4.65,23.25
1.0,2.32,13.92
1.0,17.11,102.66
1.0,3.0,27.2
1.0,4.76,30.31
1.0,0.0,84.8
1.0,4.7,28.2
1.0,0.0,17.2
2.0,2.0,22.0
1.0,0.0,29.8
1.0,2.74,16.44
1.0,1.1,14.8
1.0,3.02,18.12
1.0,3.44,20.64
1.0,3.08,15.38
1.0,7.85,34.15
1.0,0.0,31.2
1.0,1.5,23.6
1.0,1.6,16.0
1.0,4.42,26.52
1.0,4.42,26.52
1.0,6.52,39.12
1.0,3.6,21.5
1.0,4.7,28.2
1.0,5.68,34.08
1.0,0.0,30.5
1.0,3.0,27.2
3.0,4.0,26.8
1.0,5.54,33.24
2.0,5.4,32.4
1.0,4.42,26.52
2.0,3.0,25.8
1.0,6.38,38.28
1.0,0.0,9.8
1.0,2.88,17.28
1.0,3.58,21.48
1.0,3.16,18.96
1.0,3.16,18.96
1.0,4.14,24.84
1.0,3.72,22.32
1.0,1.0,12.6
1.0,3.0,14.6
1.0,0.0,17.2
1.0,4.14,24.84
1.0,0.0,35.0
1.0,1.86,20.46
1.0,0.0,21.4
1.0,0.0,11.6
1.0,1.56,14.56
4.0,0.0,87.3
1.0,2.25,17.35
4.0,4.55,27.35
1.0,4.8,29.0
1.0,4.65,23.25
1.0,2.0,22.7
1.0,4.48,28.63
5.0,3.3,19.8
5.0,0.0,18.6
1.0,5.25,31.55
1.0,2.03,22.33
2.0,0.0,33.3
1.0,1.64,25.14
1.0,0.0,17.2
1.0,12.96,77.76
1.0,1.0,21.0
1.0,3.6,18.0
1.0,5.26,31.56
1.0,3.6,21.5
1.0,17.1,102.65
3.0,0.0,20.0
4.0,0.0,19.3
2.0,0.1,15.2
1.0,8.9,53.4
5.0,3.72,22.32
1.0,10.0,61.8
0.0,0.0,17.9
1.0,3.3,19.8
1.0,1.0,14.0
1.0,6.05,30.25
1.0,0.0,21.4
1.0,4.32,18.72
1.0,0.0,24.2
1.0,4.0,31.7
1.0,4.0,24.0
1.0,5.0,28.5
1.0,0.0,15.1
1.0,14.69,88.14
1.0,0.0,15.1
1.0,0.0,17.9
1.0,5.1,30.7
2.0,1.84,14.14
2.0,1.7,14.0
1.0,3.44,20.64
1.0,3.15,18.95
1.0,0.0,29.8
1.0,0.0,19.3
1.0,2.0,27.6
2.0,2.5,32.3
1.0,3.12,34.32
1.0,2.0,19.9
1.0,8.1,35.1
4.0,2.0,17.1
1.0,2.0,31.8
1.0,3.86,23.16
1.0,6.94,41.64
1.0,2.0,24.1
1.0,13.6,69.75
1.0,11.71,70.26
1.0,1.0,12.6
1.0,4.0,28.9
1.0,1.0,20.3
2.0,3.3,19.8
2.0,1.4,13.0
6.0,3.44,20.64
6.0,3.16,18.96
6.0,0.0,17.9
6.0,2.18,13.08
1.0,4.98,29.88
2.0,0.0,20.0
2.0,4.42,26.52
1.0,3.02,18.12
1.0,6.8,40.8
1.0,4.95,21.45
1.0,7.0,73.2
3.0,2.0,37.4
2.0,0.0,24.9
3.0,2.0,17.8
2.0,2.5,22.5
1.0,2.74,16.44
1.0,2.6,15.6
1.0,7.1,35.5
1.0,6.4,32.0
1.0,6.8,40.8
1.0,2.5,37.2
1.0,4.56,27.36
1.0,2.46,14.76
1.0,3.16,18.96
1.0,0.0,23.5
1.0,4.7,28.2
1.0,11.85,59.15
1.0,5.0,21.5
1.0,0.0,85.55
1.0,3.44,20.64
1.0,2.18,13.08
1.0,0.0,15.8
1.0,11.91,73.21
1.0,4.42,26.52
1.0,4.42,26.52
2.0,0.0,18.9
1.0,5.82,34.92
1.0,7.1,35.5
1.0,0.0,26.3
2.0,4.55,27.35
1.0,6.92,34.62
1.0,0.0,10.2
1.0,0.0,17.2
2.0,0.0,13.0
1.0,3.77,18.87
1.0,6.0,37.9
1.0,0.0,17.8
1.0,2.0,21.3
3.0,3.55,21.45
