passenger_count,tip_amount,total_amount
1.0,2.0,11.8
1.0,3.0,24.0
1.0,2.52,15.12
1.0,13.45,82.44
1.0,5.0,46.95
1.0,5.46,32.76
2.0,1.0,10.8
2.0,0.0,82.69
6.0,0.0,41.24
6.0,4.34,26.04
1.0,5.08,25.38
1.0,4.3,26.0
1.0,3.5,21.0
1.0,6.72,40.32
1.0,11.35,56.85
2.0,7.7,46.2
2.0,5.0,87.69
2.0,0.0,21.7
4.0,2.8,16.8
4.0,7.56,45.36
4.0,1.68,12.88
1.0,3.15,13.65
1.0,0.0,16.8
1.0,1.26,13.86
1.0,4.9,29.4
1.0,0.0,66.55
1.0,2.0,15.3
1.0,3.5,21.0
1.0,2.27,11.37
1.0,1.0,14.3
1.0,5.04,30.24
1.0,0.0,26.6
1.0,0.0,8.4
1.0,1.0,10.1
1.0,2.52,15.12
1.0,0.0,18.2
1.0,2.5,15.1
1.0,3.0,14.9
2.0,6.83,34.13
1.0,1.0,26.2
1.0,3.1,13.6
1.0,4.06,24.36
1.0,1.0,15.7
4.0,0.0,82.69
1.0,0.0,25.14
2.0,3.15,15.75
1.0,0.0,18.2
1.0,3.22,19.32
1.0,1.0,12.2
1.0,3.0,12.8
1.0,2.8,16.8
1.0,0.0,21.0
1.0,15.91,79.55
1.0,2.0,17.4
1.0,2.66,15.96
1.0,13.95,83.64
1.0,13.84,69.18
1.0,3.0,26.1
1.0,5.6,28.0
1.0,25.06,150.36
1.0,1.96,11.76
1.0,2.1,10.5
1.0,0.0,10.5
1.0,0.0,9.1
1.0,0.0,20.3
1.0,1.5,22.5
1.0,0.0,13.3
1.0,4.9,24.5
1.0,0.0,11.9
1.0,0.0,19.6
1.0,0.0,16.1
1.0,1.96,11.76
1.0,5.55,27.95
1.0,5.32,31.92
1.0,1.8,10.9
1.0,2.0,19.5
1.0,3.6,21.8
2.0,0.0,52.49
2.0,0.0,8.4
1.0,2.9,17.6
0.0,2.0,15.3
1.0,2.5,15.1
4.0,0.0,14.7
1.0,2.52,15.12
1.0,3.08,18.48
2.0,0.0,14.3
1.0,0.0,12.6
1.0,4.2,25.2
1.0,1.8,10.9
1.0,3.33,18.03
1.0,4.5,32.5
1.0,3.75,22.65
1.0,0.0,58.2
4.0,0.0,16.1
3.0,0.0,15.4
1.0,2.42,18.52
1.0,0.0,-12.6
1.0,0.0,12.6
1.0,4.38,21.88
1.0,2.0,57.24
1.0,1.5,12.0
1.0,3.36,20.16
1.0,16.5,99.19
2.0,0.0,9.8
1.0,3.92,23.52
1.0,0.0,11.2
1.0,4.34,26.04
1.0,2.94,17.64
1.0,2.35,14.25
1.0,16.2,97.14
1.0,5.57,42.67
1.0,0.0,16.8
1.0,2.24,13.44
1.0,12.0,90.29
1.0,0.0,71.45
2.0,3.0,23.3
2.0,1.0,17.8
2.0,0.0,12.6
1.0,4.06,24.36
1.0,4.2,25.2
1.0,3.22,19.32
1.0,3.0,16.3
2.0,6.15,36.95
4.0,6.3,37.8
1.0,6.86,41.16
1.0,12.4,74.38
1.0,2.25,13.45
1.0,3.8,22.7
1.0,1.6,10.0
1.0,0.0,14.0
1.0,3.0,12.8
1.0,1.5,14.8
1.0,4.0,32.7
2.0,3.08,18.48
1.0,2.0,20.2
5.0,10.0,90.94
1.0,2.2,16.9
1.0,1.5,16.2
2.0,0.0,10.5
1.0,0.0,27.95
1.0,5.87,35.22
1.0,0.0,40.94
1.0,3.22,19.32
1.0,0.0,13.3
3.0,0.0,20.3
1.0,0.0,15.4
1.0,3.9,23.5
1.0,0.0,28.7
1.0,10.0,92.69
1.0,7.14,42.84
1.0,2.35,14.25
1.0,3.5,17.5
1.0,2.6,13.1
2.0,0.0,9.1
3.0,5.04,30.24
3.0,16.5,99.19
1.0,2.1,16.1
1.0,2.94,17.64
1.0,1.0,12.4
1.0,13.8,82.79
1.0,2.9,15.5
2.0,5.18,31.08
2.0,24.28,106.97
3.0,1.5,17.6
1.0,0.0,14.0
1.0,4.9,29.4
1.0,2.8,16.8
1.0,2.1,12.6
1.0,0.0,9.8
1.0,25.0,100.75
1.0,0.0,12.6
1.0,0.0,14.7
1.0,1.0,21.3
6.0,3.78,22.68
1.0,0.0,11.9
1.0,0.0,20.3
2.0,1.0,14.3
1.0,0.0,28.7
2.0,5.0,36.5
1.0,11.0,48.1
1.0,5.32,31.92
1.0,0.0,13.3
2.0,13.17,79.01
1.0,0.0,9.1
0.0,0.0,18.9
1.0,19.68,100.13
1.0,0.0,71.5
1.0,0.0,14.0
1.0,25.99,129.94
1.0,0.0,21.7
1.0,3.05,18.45
1.0,2.38,14.28
1.0,2.52,19.32
1.0,0.0,57.79
1.0,2.0,17.4
1.0,0.0,16.8
1.0,0.0,-7.0
1.0,0.0,7.0
1.0,6.86,41.16
1.0,5.42,27.12
1.0,3.5,17.5
1.0,0.0,17.5
1.0,2.52,15.12
1.0,4.6,27.0
1.0,2.0,27.2
2.0,0.0,9.1
2.0,0.0,9.8
2.0,0.0,10.5
2.0,2.0,19.5
1.0,0.0,16.7
1.0,5.7,34.4
1.0,3.2,19.3
2.0,8.1,48.7
1.0,0.0,101.85
1.0,3.5,21.0
