passenger_count,tip_amount,total_amount
1.0,0.0,26.2
2.0,4.1,24.7
2.0,6.5,39.0
1.0,12.9,77.6
1.0,5.67,28.37
1.0,0.0,27.6
1.0,3.14,18.84
2.0,3.14,18.84
1.0,1.0,17.4
1.0,0.0,47.85
1.0,2.44,14.64
3.0,0.0,15.0
1.0,4.54,27.24
1.0,3.28,19.68
1.0,0.0,22.0
1.0,4.4,26.4
1.0,3.1,18.8
2.0,0.0,87.52
1.0,2.72,16.32
2.0,3.53,38.83
1.0,5.52,33.12
1.0,3.42,20.52
2.0,0.0,15.0
3.0,1.92,21.12
2.0,0.0,-49.95
2.0,0.0,49.95
2.0,11.54,69.23
2.0,16.19,98.88
2.0,0.0,13.6
1.0,4.0,19.7
1.0,3.0,18.0
1.0,11.32,69.67
3.0,16.19,98.88
1.0,1.5,24.2
1.0,5.94,35.64
1.0,7.9,47.4
1.0,3.14,18.84
1.0,2.78,16.68
2.0,0.0,22.0
1.0,0.0,22.0
1.0,4.0,30.9
1.0,0.0,30.35
1.0,15.69,95.88
1.0,0.0,8.0
1.0,4.25,25.55
2.0,2.86,17.16
1.0,3.24,14.04
2.0,2.72,16.32
1.0,0.0,22.0
1.0,6.64,39.84
1.0,2.0,11.4
1.0,0.0,-19.9
1.0,0.0,19.9
1.0,0.0,11.5
1.0,5.66,33.96
1.0,0.0,48.55
1.0,0.0,24.1
2.0,6.0,30.8
2.0,5.24,31.44
1.0,4.15,45.69
4.0,1.0,14.6
1.0,0.0,16.4
1.0,0.0,19.9
1.0,4.35,33.35
1.0,0.0,18.5
1.0,0.0,23.4
2.0,6.08,36.48
1.0,0.0,61.14
4.0,3.08,27.88
2.0,6.5,39.0
1.0,3.76,22.56
1.0,0.0,29.7
1.0,0.0,40.15
4.0,0.0,-12.2
4.0,0.0,12.2
2.0,3.42,20.52
1.0,0.0,12.9
1.0,5.92,45.42
2.0,2.0,27.5
1.0,7.88,83.63
2.0,3.48,17.38
2.0,3.84,23.04
3.0,4.18,25.08
2.0,0.01,89.96
1.0,0.0,26.9
1.0,2.86,17.16
1.0,3.42,17.12
1.0,5.68,34.08
1.0,0.0,12.3
0.0,4.4,26.5
0.0,0.0,27.0
0.0,0.0,24.2
1.0,3.16,18.96
1.0,2.0,26.2
2.0,3.58,21.48
2.0,1.5,18.0
2.0,3.58,21.48
2.0,11.5,69.24
2.0,0.0,20.7
5.0,6.24,37.44
2.0,5.7,28.5
1.0,3.1,22.0
1.0,0.0,14.4
1.0,0.0,9.5
1.0,0.0,11.6
1.0,3.58,21.48
1.0,12.48,74.87
1.0,0.0,19.3
3.0,13.67,82.01
1.0,2.32,13.92
1.0,15.0,100.94
1.0,5.25,31.55
1.0,2.45,14.75
1.0,5.1,30.7
1.0,3.02,18.12
1.0,2.6,15.6
1.0,5.0,39.0
1.0,4.7,28.2
2.0,3.0,24.4
2.0,0.0,18.6
2.0,2.74,16.44
2.0,9.04,54.23
1.0,1.0,25.2
1.0,1.95,14.95
2.0,0.0,13.7
1.0,0.0,15.1
1.0,4.2,25.2
2.0,10.58,63.47
1.0,2.1,12.6
4.0,0.0,29.4
3.0,4.0,20.1
1.0,0.0,9.1
1.0,0.0,13.3
1.0,0.0,9.8
1.0,0.0,14.7
4.0,16.5,99.19
1.0,1.0,19.9
1.0,0.0,18.2
1.0,0.0,23.1
1.0,2.0,12.5
1.0,1.12,12.32
1.0,1.96,11.76
1.0,2.38,14.28
1.0,10.93,67.32
1.0,0.0,18.2
1.0,3.08,18.48
1.0,2.42,18.52
1.0,2.38,14.28
1.0,4.34,26.04
1.0,10.16,62.71
1.0,5.42,27.12
1.0,5.0,30.2
2.0,0.0,18.2
1.0,3.0,34.5
1.0,4.48,26.88
1.0,1.4,15.4
1.0,6.3,37.8
1.0,5.18,31.08
1.0,0.0,67.94
1.0,16.04,96.23
1.0,0.0,80.94
3.0,2.52,15.12
