passenger_count,tip_amount,total_amount
2.0,0.0,18.2
1.0,1.0,21.3
1.0,2.2,13.4
1.0,12.1,72.65
1.0,3.08,18.48
1.0,12.98,50.08
1.0,2.66,15.96
1.0,0.5,16.6
1.0,2.8,16.8
2.0,0.0,-20.3
2.0,0.0,20.3
1.0,16.1,96.65
1.0,0.0,23.8
1.0,2.5,15.1
1.0,2.0,84.3
3.0,16.11,98.41
1.0,8.0,57.0
1.0,3.22,19.32
1.0,1.89,14.49
2.0,0.0,30.8
1.0,2.73,11.83
1.0,0.0,9.8
1.0,0.0,25.9
1.0,2.24,13.44
1.0,2.38,14.28
1.0,4.34,26.04
1.0,1.82,10.92
1.0,4.2,25.2
0.0,10.0,27.1
2.0,0.0,82.3
1.0,4.6,27.7
2.0,7.0,42.0
1.0,2.1,12.6
1.0,4.45,22.25
2.0,9.52,57.12
0.0,0.0,23.1
0.0,0.0,14.7
1.0,3.64,21.84
1.0,0.0,10.5
1.0,5.04,30.24
1.0,1.0,15.0
1.0,2.0,18.1
1.0,3.5,17.5
1.0,10.92,65.52
1.0,4.03,20.13
1.0,2.52,15.12
1.0,1.82,10.92
1.0,2.52,15.12
1.0,0.0,18.9
1.0,18.31,91.56
1.0,3.08,18.48
1.0,0.0,15.4
1.0,0.0,15.4
3.0,0.0,22.4
1.0,2.8,16.8
2.0,0.0,13.3
3.0,2.5,15.1
2.0,0.0,9.8
1.0,3.5,21.0
3.0,3.22,19.32
2.0,16.11,96.66
1.0,6.72,40.32
1.0,2.38,14.28
2.0,0.0,8.4
2.0,0.0,11.2
3.0,3.78,22.68
1.0,0.0,-21.0
1.0,0.0,21.0
3.0,3.25,24.95
1.0,4.2,25.2
1.0,0.0,23.8
1.0,3.22,19.32
2.0,4.62,27.72
2.0,2.98,14.88
2.0,1.96,11.76
2.0,0.0,9.1
2.0,0.0,10.5
1.0,11.48,68.88
1.0,3.15,13.65
1.0,1.58,33.08
1.0,2.38,14.28
1.0,1.89,14.49
1.0,3.92,23.52
3.0,5.95,29.75
4.0,5.74,34.44
1.0,2.66,15.96
2.0,3.5,21.0
3.0,2.0,14.6
3.0,2.24,13.44
1.0,0.0,42.0
1.0,1.0,20.6
1.0,2.1,12.6
1.0,1.5,9.9
1.0,2.8,14.0
1.0,3.9,23.5
1.0,1.96,11.76
2.0,0.0,80.55
1.0,10.0,42.9
1.0,2.24,13.44
1.0,0.0,54.6
1.0,4.2,21.0
1.0,2.0,27.2
1.0,5.0,21.8
1.0,4.55,22.75
1.0,0.0,14.0
1.0,2.52,10.92
1.0,5.32,31.92
1.0,24.69,106.99
2.0,4.03,20.13
1.0,5.88,25.48
1.0,3.99,17.29
2.0,0.0,14.0
1.0,0.0,31.5
4.0,0.0,20.3
1.0,3.15,13.65
1.0,4.55,22.75
1.0,2.1,12.6
1.0,2.65,15.95
1.0,3.0,12.8
1.0,0.0,16.1
1.0,3.0,56.9
2.0,10.0,134.95
1.0,3.64,21.84
1.0,3.5,21.0
1.0,1.0,12.2
1.0,0.0,25.9
1.0,2.24,13.44
1.0,7.84,47.04
1.0,0.0,16.1
1.0,16.11,98.41
6.0,5.08,25.38
6.0,3.64,21.84
6.0,0.0,17.5
2.0,2.1,12.6
