passenger_count,tip_amount,total_amount
1.0,4.76,28.56
4.0,5.32,31.92
1.0,3.08,18.48
1.0,0.0,21.0
1.0,0.0,18.0
1.0,7.58,83.33
1.0,2.2,16.9
1.0,2.8,16.8
1.0,4.41,19.11
1.0,3.64,21.84
1.0,3.08,18.48
1.0,0.0,29.4
1.0,1.12,12.32
2.0,4.0,20.1
1.0,2.0,11.1
1.0,0.0,12.6
1.0,0.0,13.3
2.0,5.46,32.76
2.0,1.0,11.5
1.0,11.97,71.82
2.0,0.0,21.7
2.0,0.0,23.8
4.0,8.0,-154.95
4.0,0.0,162.95
1.0,3.78,16.38
1.0,2.38,14.28
1.0,1.96,11.76
1.0,4.9,24.5
1.0,3.25,18.65
2.0,2.66,15.96
1.0,3.08,18.48
5.0,4.62,20.02
5.0,3.0,20.5
1.0,0.0,60.55
1.0,3.2,19.3
1.0,0.7,8.4
1.0,3.35,20.15
1.0,0.0,14.7
1.0,0.0,112.9
1.0,1.74,10.44
1.0,3.36,20.16
1.0,0.0,13.3
1.0,0.0,9.1
1.0,8.68,52.08
1.0,4.05,24.35
1.0,2.8,16.8
1.0,0.0,-20.3
1.0,0.0,20.3
1.0,4.3,26.0
1.0,0.0,22.4
1.0,1.0,22.0
1.0,9.02,54.12
4.0,0.0,43.5
1.0,3.64,21.84
1.0,3.64,21.84
1.0,5.0,36.5
2.0,2.66,15.96
1.0,7.42,44.52
1.0,0.0,31.5
1.0,9.8,49.0
1.0,0.0,38.45
2.0,0.0,69.65
1.0,0.0,46.2
1.0,2.8,16.8
1.0,0.0,11.9
1.0,0.0,64.35
1.0,3.78,22.68
1.0,3.36,20.16
1.0,4.62,27.72
1.0,3.78,22.68
1.0,2.73,11.83
1.0,2.24,13.44
1.0,2.24,13.44
1.0,4.34,26.04
1.0,8.97,53.82
1.0,4.0,28.8
2.0,3.36,20.16
1.0,1.0,11.5
1.0,2.66,15.96
1.0,0.0,9.1
1.0,3.0,21.2
1.0,11.25,67.65
2.0,0.0,26.6
1.0,0.0,75.75
1.0,0.0,71.0
2.0,15.47,94.57
1.0,0.0,41.35
1.0,14.01,84.06
1.0,15.55,93.25
1.0,12.0,94.3
1.0,2.8,14.0
4.0,0.0,80.55
1.0,0.0,44.0
1.0,1.0,8.0
1.0,2.94,17.64
1.0,1.2,13.8
1.0,3.46,26.56
6.0,0.0,10.5
1.0,13.0,128.05
1.0,2.0,27.2
1.0,0.0,43.45
3.0,1.0,20.6
1.0,2.52,15.12
1.0,7.35,31.85
1.0,0.0,17.5
1.0,2.8,16.8
1.0,3.64,21.84
1.0,7.0,42.0
