passenger_count,tip_amount,total_amount
1.0,1.0,26.5
1.0,3.7,22.2
1.0,0.0,24.1
1.0,9.0,45.0
1.0,2.55,15.45
2.0,0.0,66.0
1.0,0.0,-12.2
1.0,0.0,12.2
1.0,2.0,35.9
1.0,3.14,18.84
1.0,0.0,9.35
1.0,18.95,94.7
1.0,2.02,12.12
1.0,2.02,12.12
3.0,5.1,30.6
1.0,1.0,23.0
1.0,2.0,40.1
2.0,4.0,51.84
1.0,2.86,17.16
1.0,4.0,16.9
1.0,2.44,14.64
1.0,4.0,35.1
2.0,0.0,49.3
1.0,0.03,14.33
1.0,2.72,16.32
1.0,11.54,69.24
1.0,6.22,37.32
6.0,4.0,24.0
1.0,0.0,15.7
2.0,2.16,12.96
1.0,3.55,21.35
1.0,5.9,35.6
1.0,3.98,23.88
1.0,3.0,47.4
1.0,4.45,22.25
1.0,4.0,21.8
1.0,7.92,47.52
1.0,0.0,27.0
1.0,1.9,31.0
1.0,17.19,104.88
3.0,17.19,104.88
3.0,23.65,102.49
2.0,13.4,80.4
1.0,1.93,21.23
2.0,5.82,34.92
2.0,0.0,36.1
4.0,0.0,55.4
2.0,4.98,29.88
2.0,8.62,51.72
1.0,2.0,18.5
1.0,4.83,24.13
4.0,6.1,36.6
1.0,13.25,81.24
4.0,0.0,54.35
1.0,9.85,59.25
2.0,3.72,22.32
1.0,1.0,25.2
1.0,21.48,109.17
1.0,0.0,22.8
1.0,7.36,44.16
1.0,15.0,49.65
1.0,5.0,42.5
1.0,0.0,15.1
1.0,5.8,34.9
1.0,3.58,21.48
1.0,3.44,20.64
1.0,0.0,60.64
1.0,7.5,45.0
1.0,7.22,43.32
1.0,2.0,40.9
1.0,3.72,22.32
1.0,4.42,28.62
1.0,4.28,25.68
1.0,3.0,15.3
1.0,3.02,18.12
4.0,9.04,54.24
1.0,6.35,38.25
1.0,0.0,14.4
1.0,6.75,33.75
1.0,2.74,16.44
1.0,3.86,23.16
1.0,12.53,75.17
1.0,0.0,20.0
1.0,2.0,30.4
1.0,5.35,26.75
1.0,0.0,24.2
1.0,14.08,84.48
3.0,12.32,75.67
3.0,3.0,18.1
1.0,3.55,21.45
1.0,3.16,18.96
2.0,2.74,16.44
2.0,2.0,23.4
2.0,0.0,28.4
1.0,6.52,39.12
1.0,3.0,27.2
1.0,2.6,15.6
1.0,3.02,18.12
1.0,3.86,23.16
2.0,10.37,63.96
1.0,0.0,24.2
1.0,12.82,78.67
1.0,4.14,24.84
1.0,5.12,30.72
1.0,4.56,27.36
1.0,3.44,20.64
1.0,5.12,30.72
1.0,1.0,44.1
2.0,3.58,21.48
1.0,4.42,26.52
2.0,4.28,25.68
1.0,3.4,18.5
1.0,0.0,17.2
1.0,2.46,14.76
1.0,3.02,18.12
1.0,3.02,18.12
4.0,0.0,49.35
