passenger_count,tip_amount,total_amount
1.0,4.0,24.0
1.0,6.25,37.45
1.0,10.0,78.3
1.0,4.0,24.0
2.0,0.0,87.3
1.0,14.5,87.0
1.0,2.32,13.92
1.0,3.02,18.12
1.0,6.0,26.0
3.0,8.0,87.0
1.0,1.0,14.0
1.0,1.58,17.38
1.0,4.0,26.4
2.0,0.0,-87.3
2.0,0.0,87.3
1.0,0.0,87.3
1.0,4.8,24.1
2.0,5.4,32.4
1.0,14.52,64.67
1.0,2.74,16.44
1.0,0.0,16.5
2.0,3.78,22.68
3.0,5.0,36.2
1.0,0.0,24.9
1.0,3.4,20.6
3.0,12.49,74.94
1.0,1.93,21.23
2.0,2.72,16.32
2.0,3.84,23.04
6.0,4.48,22.38
6.0,4.0,24.0
3.0,3.44,20.64
2.0,3.55,21.45
1.0,10.0,95.55
1.0,3.0,14.9
1.0,15.14,75.69
1.0,2.5,20.0
1.0,1.0,10.1
1.0,0.0,12.2
1.0,3.92,23.52
1.0,1.0,12.2
1.0,4.0,22.2
1.0,3.22,19.32
1.0,3.36,20.16
1.0,2.38,14.28
4.0,5.88,35.28
1.0,1.82,10.92
3.0,2.8,16.8
1.0,2.0,34.9
1.0,0.0,20.3
1.0,2.38,14.28
1.0,4.34,26.04
2.0,0.0,11.2
5.0,5.18,31.08
5.0,0.0,9.8
1.0,16.11,96.66
1.0,5.46,32.76
2.0,2.52,15.12
0.0,5.0,13.4
0.0,0.0,7.7
1.0,0.0,13.3
1.0,0.0,26.6
1.0,2.49,35.69
1.0,2.66,15.96
2.0,4.9,29.4
1.0,0.0,28.7
4.0,2.94,17.64
1.0,0.0,11.2
2.0,2.1,12.6
1.0,3.08,18.48
1.0,7.1,40.0
1.0,0.0,7.3
1.0,0.0,14.7
1.0,0.0,27.3
1.0,2.38,14.28
3.0,0.0,31.5
1.0,0.0,45.1
1.0,0.0,18.2
1.0,3.5,21.0
3.0,2.8,16.8
1.0,0.0,31.5
1.0,3.0,34.5
1.0,3.5,21.0
1.0,2.8,16.8
1.0,0.0,13.3
1.0,2.25,21.85
2.0,0.0,17.5
1.0,16.11,96.66
1.0,9.75,58.4
1.0,2.42,18.52
4.0,1.0,18.5
5.0,1.78,13.68
4.0,0.0,10.5
5.0,0.0,17.8
5.0,0.0,14.7
1.0,0.0,17.5
1.0,0.0,14.0
1.0,3.36,20.16
2.0,2.0,12.5
1.0,3.64,21.84
1.0,1.68,10.08
1.0,4.48,26.88
2.0,0.0,12.6
2.0,2.38,14.28
2.0,3.92,23.52
2.0,2.52,15.12
1.0,2.94,17.64
1.0,2.5,15.1
1.0,6.85,41.15
1.0,9.2,40.0
1.0,1.36,10.46
1.0,1.33,14.63
1.0,3.22,19.32
1.0,0.0,9.1
3.0,5.0,32.3
1.0,0.0,18.7
1.0,2.9,17.6
1.0,3.35,20.15
1.0,4.83,20.93
2.0,2.38,14.28
3.0,2.8,16.8
5.0,2.66,15.96
1.0,0.0,11.2
1.0,0.0,12.6
1.0,0.0,12.6
2.0,1.2,11.0
2.0,4.62,20.02
1.0,2.94,12.74
1.0,0.0,-60.55
1.0,0.0,60.55
1.0,3.55,15.45
3.0,0.0,19.6
3.0,0.0,13.3
4.0,2.2,13.4
1.0,0.0,11.5
1.0,1.99,15.29
1.0,0.0,11.9
1.0,2.0,16.7
1.0,2.44,14.64
1.0,3.15,13.65
1.0,2.0,20.9
1.0,0.0,17.5
1.0,0.0,25.2
