passenger_count,tip_amount,total_amount
1.0,3.35,20.15
1.0,5.0,30.2
1.0,4.2,25.2
1.0,3.08,18.48
1.0,2.24,13.44
1.0,5.46,32.76
2.0,0.0,17.5
1.0,2.52,15.12
1.0,3.78,22.68
1.0,0.0,11.9
1.0,0.0,26.6
2.0,0.0,29.7
1.0,0.0,12.6
1.0,2.65,15.95
1.0,2.0,11.1
1.0,3.0,19.8
5.0,3.5,21.0
1.0,3.5,17.5
2.0,0.0,10.5
1.0,0.0,14.0
1.0,0.0,24.5
2.0,11.2,67.25
1.0,3.68,18.38
1.0,1.96,21.56
1.0,3.0,26.1
1.0,2.66,15.96
1.0,0.0,27.3
2.0,0.0,88.9
1.0,3.08,18.48
1.0,4.48,26.88
2.0,1.0,12.9
1.0,4.76,28.56
1.0,0.0,78.35
1.0,0.0,11.9
1.0,2.7,13.5
1.0,1.0,19.9
1.0,2.9,19.0
1.0,2.0,25.1
1.0,5.65,24.55
1.0,0.0,19.6
1.0,1.0,17.8
1.0,3.44,20.64
2.0,0.0,13.7
2.0,2.32,13.92
1.0,3.6,21.8
2.0,2.0,16.7
1.0,4.0,22.9
2.0,2.0,19.8
1.0,5.0,64.15
3.0,3.64,21.84
1.0,4.48,26.88
2.0,1.0,24.1
1.0,2.02,13.22
1.0,3.85,19.25
1.0,3.08,18.48
1.0,3.5,17.5
1.0,4.38,21.88
1.0,0.0,11.2
1.0,0.0,31.5
1.0,0.0,32.2
1.0,14.2,71.0
1.0,4.55,22.75
1.0,3.0,28.9
4.0,3.78,22.68
2.0,2.0,11.1
1.0,1.0,12.2
1.0,0.8,16.9
1.0,0.0,21.0
1.0,0.0,20.0
1.0,2.94,17.64
4.0,5.95,29.75
4.0,3.08,18.48
4.0,5.08,25.38
1.0,2.45,26.95
1.0,5.45,32.75
1.0,4.62,27.72
1.0,3.36,20.16
1.0,1.0,12.2
1.0,0.0,11.9
1.0,1.0,28.3
1.0,4.06,24.36
1.0,4.34,26.04
1.0,1.5,12.0
1.0,1.4,14.0
2.0,3.85,19.25
1.0,6.3,37.8
1.0,6.3,37.8
1.0,3.75,22.65
1.0,3.2,19.3
1.0,2.0,15.3
2.0,7.4,44.5
1.0,2.1,12.6
1.0,3.85,19.25
1.0,2.0,13.9
1.0,3.78,22.68
1.0,3.02,19.82
2.0,12.08,94.38
1.0,4.98,31.63
2.0,0.0,14.0
1.0,2.52,15.12
1.0,2.52,15.12
1.0,10.5,45.5
1.0,4.34,26.04
1.0,3.64,21.84
1.0,2.38,14.28
1.0,0.0,22.4
1.0,3.33,16.63
1.0,2.52,15.12
1.0,12.81,76.86
1.0,4.55,22.75
1.0,0.0,14.0
2.0,2.52,15.12
2.0,3.36,20.16
1.0,3.33,16.63
1.0,1.0,15.7
1.0,3.67,18.37
1.0,0.0,10.5
1.0,2.24,13.44
3.0,1.0,27.6
1.0,2.94,17.64
2.0,2.52,15.12
1.0,2.0,13.2
2.0,5.55,27.95
1.0,0.0,16.8
1.0,5.78,28.88
2.0,2.1,12.6
1.0,0.0,6.6
2.0,8.0,90.3
3.0,10.78,64.68
2.0,0.0,84.7
2.0,0.0,-30.8
2.0,0.0,30.8
1.0,1.4,21.0
1.0,3.92,23.52
1.0,5.0,33.7
4.0,0.0,24.5
2.0,3.6,33.0
1.0,1.0,24.1
1.0,1.68,12.88
1.0,0.0,18.9
1.0,1.82,10.92
1.0,3.22,19.32
1.0,0.0,16.1
1.0,2.8,16.8
1.0,4.0,37.6
2.0,2.95,14.85
1.0,0.0,74.0
2.0,6.86,41.16
1.0,1.0,12.9
1.0,5.46,32.76
1.0,3.92,23.52
1.0,4.06,24.36
1.0,0.0,12.6
1.0,1.5,21.1
1.0,2.38,14.28
2.0,0.0,12.6
1.0,0.0,15.0
2.0,16.46,98.76
2.0,0.0,85.8
1.0,6.3,37.8
1.0,2.42,18.52
1.0,3.7,18.4
1.0,1.0,10.8
1.0,2.8,16.8
4.0,6.12,30.62
1.0,2.0,22.3
1.0,2.84,21.74
1.0,5.0,87.3
1.0,2.94,17.64
1.0,0.0,28.7
6.0,0.0,14.7
3.0,3.78,22.68
1.0,4.05,20.15
1.0,2.1,12.6
1.0,0.0,19.6
2.0,3.08,18.48
2.0,2.0,21.6
2.0,-4.3,-25.8
2.0,4.3,25.8
1.0,2.0,18.1
1.0,2.94,17.64
2.0,0.0,91.2
1.0,1.0,11.5
1.0,2.52,10.92
1.0,0.0,13.3
1.0,0.0,-7.7
1.0,0.0,7.7
1.0,3.36,20.16
2.0,0.0,13.3
2.0,0.0,22.4
2.0,7.42,44.52
1.0,4.62,27.72
1.0,4.56,27.36
1.0,3.86,23.16
1.0,4.28,25.68
1.0,3.22,19.32
3.0,0.0,18.2
1.0,2.65,15.95
1.0,3.0,35.9
1.0,1.0,16.4
3.0,2.03,22.33
1.0,2.1,12.6
1.0,2.38,14.28
1.0,2.0,32.8
1.0,0.0,10.5
1.0,4.06,24.36
1.0,2.8,16.8
2.0,4.1,30.0
1.0,3.64,21.84
1.0,0.0,21.7
3.0,10.0,68.1
1.0,1.47,11.27
1.0,2.8,16.8
1.0,0.0,25.9
1.0,2.9,17.6
1.0,5.0,66.9
1.0,1.0,13.6
1.0,5.18,56.98
1.0,3.3,19.8
1.0,4.7,28.2
1.0,2.0,11.1
1.0,4.76,28.56
2.0,1.0,18.5
2.0,5.74,34.44
2.0,0.0,-82.3
2.0,0.0,82.3
1.0,6.13,30.63
1.0,0.0,47.9
1.0,0.0,38.5
1.0,6.3,37.8
2.0,1.95,11.75
1.0,5.0,80.75
1.0,6.2,47.5
4.0,0.0,17.5
2.0,6.12,30.62
1.0,5.0,16.2
1.0,2.1,12.6
1.0,4.34,26.04
1.0,0.0,12.6
1.0,5.25,26.25
1.0,5.6,33.6
2.0,1.0,24.8
1.0,0.0,79.8
1.0,3.5,21.0
1.0,0.0,28.7
1.0,3.2,19.3
2.0,8.0,29.7
1.0,16.11,98.41
1.0,2.65,15.95
1.0,3.36,20.16
1.0,0.0,8.4
1.0,0.0,9.8
1.0,0.0,7.7
2.0,1.0,35.3
3.0,8.0,58.4
1.0,2.0,25.8
2.0,1.82,10.92
1.0,4.2,25.2
1.0,2.38,14.28
2.0,7.95,47.85
2.0,4.2,25.2
1.0,0.0,116.21
1.0,0.0,19.6
1.0,3.6,21.8
1.0,2.8,16.8
2.0,3.22,19.32
1.0,1.26,9.66
2.0,15.0,97.3
1.0,2.52,15.12
2.0,15.79,96.49
1.0,5.0,92.0
1.0,15.15,90.9
3.0,4.9,29.4
1.0,6.44,38.64
1.0,4.2,25.2
1.0,2.24,13.44
1.0,5.32,31.92
4.0,0.0,11.2
2.0,2.02,13.22
2.0,2.0,19.5
2.0,2.24,13.44
2.0,2.94,17.64
2.0,2.0,18.8
1.0,6.85,41.15
2.0,3.0,26.8
1.0,2.5,15.1
1.0,4.2,21.0
1.0,4.41,19.11
1.0,1.78,13.68
1.0,7.0,49.7
1.0,2.38,26.18
1.0,0.0,80.55
1.0,0.0,74.0
1.0,3.22,19.32
2.0,16.11,96.66
1.0,4.48,26.88
1.0,0.0,18.9
4.0,18.81,114.61
1.0,3.5,21.0
1.0,3.08,18.48
1.0,9.25,46.3
1.0,2.1,12.6
1.0,4.55,22.75
1.0,31.98,193.63
1.0,0.0,46.15
1.0,0.0,14.3
1.0,2.24,13.44
1.0,2.98,14.88
1.0,0.0,-12.6
1.0,0.0,12.6
1.0,11.34,49.14
1.0,16.11,96.66
2.0,7.42,44.52
1.0,0.0,-7.3
1.0,0.0,7.3
1.0,3.72,28.52
1.0,2.65,15.95
1.0,5.3,31.9
1.0,13.6,81.75
1.0,0.0,4.5
1.0,0.0,23.8
1.0,2.24,13.44
1.0,0.0,9.8
2.0,1.0,15.0
4.0,0.05,25.95
2.0,7.7,46.2
1.0,3.78,22.68
1.0,4.06,24.36
2.0,0.0,75.75
1.0,0.0,80.55
3.0,0.0,18.2
1.0,5.04,21.84
2.0,3.22,19.32
3.0,3.36,20.16
2.0,0.0,26.6
1.0,1.0,31.1
1.0,3.08,18.48
1.0,0.0,65.35
1.0,3.25,24.95
1.0,2.65,15.95
1.0,2.94,17.64
1.0,3.36,20.16
1.0,2.94,17.64
1.0,0.0,21.0
1.0,0.0,11.9
1.0,2.1,12.6
1.0,2.94,17.64
2.0,2.0,18.8
2.0,24.15,104.7
1.0,7.53,37.63
1.0,7.7,46.2
1.0,0.0,10.5
1.0,3.5,21.0
1.0,16.11,96.66
1.0,0.0,8.4
2.0,0.02,22.42
1.0,2.38,14.28
1.0,2.0,25.1
1.0,0.0,15.4
1.0,3.0,26.1
1.0,3.33,16.63
1.0,0.0,37.8
1.0,16.11,96.66
1.0,16.11,96.66
2.0,16.11,98.41
1.0,3.7,22.2
1.0,3.5,21.0
1.0,2.4,14.3
1.0,4.5,26.9
1.0,2.0,19.5
5.0,3.5,21.0
4.0,2.38,14.28
0.0,1.82,10.92
0.0,2.65,15.95
1.0,2.0,20.9
1.0,0.0,18.9
1.0,1.0,19.2
6.0,1.89,12.39
6.0,5.18,31.08
1.0,8.0,90.3
1.0,2.52,15.12
2.0,0.0,19.6
1.0,5.0,24.6
1.0,0.0,12.6
