passenger_count,tip_amount,total_amount
1.0,0.0,15.0
2.0,3.0,18.0
1.0,2.9,20.0
1.0,8.12,40.62
1.0,20.14,102.44
1.0,2.3,13.8
1.0,1.0,26.5
2.0,2.5,18.9
2.0,2.44,14.64
2.0,2.3,13.8
2.0,12.15,60.75
1.0,0.0,82.3
1.0,2.0,26.8
2.0,8.07,34.97
1.0,7.2,43.2
1.0,15.95,95.75
2.0,31.47,206.32
1.0,14.8,88.8
1.0,3.0,18.0
1.0,0.0,-29.0
1.0,0.0,29.0
1.0,4.12,24.72
3.0,2.72,16.32
1.0,0.0,52.05
1.0,3.84,23.04
1.0,16.25,83.0
2.0,8.0,90.3
3.0,0.0,31.1
2.0,0.0,80.55
2.0,2.5,15.0
1.0,4.0,23.9
2.0,4.12,24.72
1.0,6.2,31.0
2.0,5.67,28.37
1.0,2.58,15.48
3.0,2.86,17.16
1.0,0.0,-27.65
1.0,0.0,27.65
1.0,1.0,23.0
2.0,9.0,54.15
1.0,0.0,17.1
2.0,3.7,22.2
1.0,0.0,14.3
1.0,0.0,19.2
1.0,3.42,20.52
1.0,4.5,20.2
1.0,0.0,-28.5
1.0,0.0,28.5
1.0,17.02,102.12
1.0,7.0,70.95
3.0,0.0,42.3
2.0,3.56,21.36
1.0,10.0,78.45
1.0,2.85,17.15
3.0,3.42,20.52
1.0,2.9,14.4
1.0,0.0,50.95
1.0,5.0,43.8
1.0,4.25,25.55
3.0,2.0,17.7
2.0,1.94,14.84
1.0,4.68,28.08
2.0,0.0,24.8
1.0,0.0,-16.4
1.0,0.0,16.4
5.0,0.0,18.5
2.0,3.84,23.04
1.0,7.06,42.36
4.0,0.0,63.75
1.0,3.14,18.84
1.0,20.55,102.85
1.0,0.0,29.0
1.0,0.0,79.8
3.0,10.21,63.01
2.0,11.01,47.71
1.0,1.74,10.44
1.0,3.4,17.0
1.0,0.0,19.9
1.0,12.01,72.06
1.0,16.11,98.41
1.0,4.4,26.4
2.0,4.4,26.4
2.0,6.5,39.0
2.0,2.5,16.1
2.0,0.0,10.1
2.0,0.0,43.25
1.0,5.66,33.96
2.0,2.58,15.48
1.0,4.5,27.2
1.0,3.75,18.75
1.0,0.0,21.3
2.0,2.58,15.48
2.0,2.86,17.16
2.0,3.84,23.04
1.0,3.0,18.0
4.0,0.0,28.3
1.0,0.0,18.5
1.0,3.4,26.1
1.0,0.0,16.4
2.0,5.57,33.42
1.0,5.04,31.99
1.0,2.02,12.12
1.0,2.16,12.96
1.0,3.0,34.8
1.0,3.55,21.35
1.0,2.0,26.8
1.0,5.5,33.1
2.0,0.0,25.5
2.0,2.72,16.32
2.0,2.3,13.8
1.0,1.0,14.6
1.0,3.55,21.35
2.0,2.0,25.4
3.0,2.36,14.16
2.0,0.0,12.5
2.0,2.0,13.1
2.0,4.82,28.92
2.0,1.0,16.7
1.0,7.44,32.24
1.0,5.13,22.23
2.0,1.0,40.5
2.0,1.5,20.0
2.0,0.0,19.5
2.0,3.06,18.36
1.0,1.99,21.89
3.0,5.38,32.28
1.0,2.0,19.8
1.0,4.8,24.0
2.0,0.0,27.6
1.0,5.0,45.9
1.0,0.0,7.25
1.0,11.55,69.2
1.0,10.3,62.0
1.0,3.92,19.62
1.0,3.7,22.2
2.0,5.34,23.14
2.0,5.67,28.37
3.0,0.0,19.2
1.0,14.8,64.05
1.0,1.5,20.7
1.0,0.0,17.8
1.0,0.0,10.8
1.0,3.98,23.88
1.0,5.66,33.96
1.0,2.0,14.9
1.0,7.82,48.67
3.0,0.0,38.75
1.0,7.0,88.45
1.0,14.26,87.31
1.0,18.4,92.15
1.0,2.0,19.8
2.0,3.7,22.2
1.0,0.0,50.95
1.0,3.84,23.04
1.0,6.36,38.16
3.0,0.0,13.6
2.0,3.0,18.0
2.0,2.72,16.32
3.0,3.28,19.68
4.0,2.0,28.2
1.0,5.52,33.12
1.0,10.27,63.37
1.0,0.0,93.0
1.0,0.0,13.6
1.0,0.0,14.3
1.0,4.8,24.0
3.0,8.91,38.61
1.0,2.86,17.16
1.0,7.48,44.88
1.0,10.55,52.9
1.0,3.28,19.68
1.0,1.0,13.9
1.0,0.0,14.3
1.0,4.0,33.7
1.0,2.86,17.16
1.0,4.96,29.76
1.0,3.0,65.55
1.0,0.0,73.05
1.0,5.38,32.28
2.0,0.0,31.1
1.0,0.01,12.91
1.0,3.28,19.68
1.0,7.6,24.0
4.0,0.0,94.0
2.0,0.0,14.3
2.0,5.5,42.2
1.0,3.14,18.84
1.0,0.0,23.4
2.0,0.0,22.7
2.0,0.0,26.5
2.0,3.84,23.04
2.0,0.0,15.7
2.0,8.18,49.08
0.0,2.7,16.3
2.0,5.0,30.5
1.0,0.0,25.5
1.0,3.03,13.13
2.0,0.0,99.35
1.0,10.0,88.05
2.0,0.0,45.1
1.0,2.44,14.64
2.0,13.59,58.89
2.0,0.0,-9.0
2.0,0.0,9.0
4.0,25.0,105.1
1.0,0.0,35.3
1.0,0.0,27.9
1.0,0.0,31.1
1.0,2.3,13.8
1.0,6.14,47.04
2.0,2.72,16.32
2.0,2.72,16.32
2.0,0.0,10.8
1.0,0.0,12.2
1.0,3.56,21.36
1.0,3.42,20.52
1.0,3.46,22.66
2.0,4.26,25.56
1.0,2.58,15.48
2.0,0.0,12.9
1.0,1.8,16.1
1.0,0.0,19.2
1.0,4.97,24.87
1.0,3.84,23.04
1.0,0.0,12.9
1.0,5.13,22.23
3.0,15.15,90.9
2.0,2.85,17.15
1.0,0.0,9.4
2.0,3.55,21.35
2.0,0.0,15.0
1.0,2.0,33.1
1.0,2.0,24.7
2.0,0.0,59.05
2.0,3.0,18.0
3.0,0.0,17.1
1.0,7.2,43.2
1.0,2.56,23.86
1.0,0.0,45.1
1.0,6.36,38.16
1.0,3.84,23.04
1.0,1.5,15.1
2.0,0.0,19.9
2.0,5.0,36.8
2.0,6.78,40.68
1.0,0.0,12.2
1.0,6.6,28.6
1.0,0.0,15.0
1.0,3.56,21.36
1.0,1.0,15.3
1.0,3.42,20.52
2.0,2.72,16.32
2.0,5.76,24.96
1.0,0.0,26.9
1.0,2.0,18.4
1.0,3.55,21.35
6.0,3.84,23.04
6.0,2.86,17.16
1.0,3.62,27.72
1.0,2.0,26.1
1.0,6.55,28.55
1.0,0.0,45.1
3.0,3.14,18.84
1.0,1.5,14.4
1.0,3.24,14.04
1.0,0.0,17.1
2.0,0.0,24.1
2.0,0.0,31.1
1.0,2.3,13.8
1.0,3.0,18.0
1.0,3.0,29.2
2.0,2.86,17.16
1.0,0.0,20.6
1.0,4.26,25.56
1.0,5.3,58.35
4.0,0.0,-82.3
4.0,0.0,82.3
1.0,0.0,17.8
1.0,19.95,99.75
2.0,16.11,98.41
1.0,2.85,17.15
1.0,6.2,31.0
1.0,0.0,21.3
1.0,5.0,29.05
1.0,1.99,21.89
1.0,8.12,40.62
3.0,3.0,18.0
1.0,2.3,14.5
2.0,3.95,23.85
1.0,0.0,46.8
5.0,2.86,17.16
5.0,3.05,15.25
5.0,8.07,34.97
1.0,12.0,94.3
2.0,6.05,36.45
1.0,24.45,105.95
5.0,0.0,38.1
1.0,3.42,20.52
1.0,0.0,9.4
1.0,0.0,15.0
1.0,0.0,74.0
1.0,1.72,13.22
1.0,0.0,24.1
1.0,3.0,18.0
5.0,0.0,61.5
1.0,9.86,59.16
2.0,1.5,16.5
1.0,2.3,13.8
1.0,0.0,37.4
1.0,1.71,18.81
1.0,3.98,23.88
1.0,2.85,17.15
1.0,2.0,16.3
0.0,0.0,33.9
2.0,13.64,83.59
2.0,3.84,23.04
1.0,4.54,27.24
2.0,2.72,16.32
2.0,0.0,18.5
2.0,5.34,23.14
2.0,0.0,19.9
1.0,16.11,98.41
1.0,0.0,27.6
2.0,4.0,33.0
1.0,3.0,18.0
2.0,0.0,35.3
1.0,2.7,16.3
2.0,0.0,60.05
5.0,1.0,28.6
6.0,0.0,12.9
1.0,6.07,36.42
2.0,3.0,30.6
1.0,4.96,29.76
1.0,6.64,39.84
1.0,9.5,41.3
2.0,0.0,45.8
1.0,0.0,13.6
1.0,5.0,34.0
1.0,6.36,38.16
3.0,4.4,26.4
2.0,5.24,31.44
2.0,0.0,15.0
1.0,3.84,23.04
3.0,3.14,18.84
3.0,7.12,24.92
1.0,14.4,86.6
1.0,2.0,14.2
1.0,0.0,12.9
4.0,0.0,49.35
1.0,0.0,16.4
1.0,2.36,14.16
2.0,4.96,29.76
2.0,4.1,20.5
1.0,3.28,19.68
1.0,0.0,16.7
1.0,0.0,25.7
1.0,3.58,17.88
1.0,3.14,18.84
1.0,6.64,39.84
3.0,3.0,18.0
4.0,0.0,14.3
2.0,4.8,28.9
2.0,4.4,26.4
1.0,0.0,19.9
1.0,4.68,28.08
1.0,2.3,13.8
2.0,4.4,26.4
1.0,4.55,27.25
2.0,3.95,19.65
1.0,0.0,13.6
1.0,0.0,11.5
1.0,0.0,15.7
1.0,0.0,13.2
2.0,3.28,19.68
1.0,1.43,15.73
0.0,2.85,17.15
0.0,0.0,19.9
1.0,1.5,20.0
0.0,3.75,18.75
2.0,0.0,21.25
1.0,5.6,61.65
1.0,18.9,94.65
1.0,3.14,18.84
1.0,4.28,21.38
2.0,2.0,15.6
1.0,0.0,13.2
1.0,2.0,14.2
2.0,2.7,16.3
1.0,2.4,14.6
3.0,2.7,16.3
1.0,10.0,67.0
1.0,2.0,12.4
1.0,2.0,14.9
1.0,3.56,21.36
2.0,2.72,16.32
2.0,2.12,13.92
1.0,1.5,14.4
1.0,0.0,-28.3
1.0,0.0,28.3
1.0,16.45,98.75
1.0,3.42,20.52
2.0,4.25,25.55
2.0,5.52,33.12
1.0,5.8,34.8
1.0,2.86,17.16
1.0,2.3,13.8
1.0,3.0,15.9
2.0,2.55,15.45
2.0,3.4,20.5
1.0,3.55,17.85
2.0,4.9,21.3
1.0,0.0,16.0
1.0,0.0,10.8
1.0,0.75,15.75
4.0,0.0,17.8
1.0,0.0,26.9
1.0,0.0,18.5
2.0,0.0,13.6
1.0,1.0,17.4
1.0,9.86,59.16
1.0,5.2,37.0
1.0,4.95,24.85
2.0,3.98,23.88
1.0,7.6,38.0
3.0,10.0,92.3
1.0,3.56,21.36
1.0,2.52,12.62
1.0,0.0,26.9
5.0,5.0,41.0
5.0,9.3,55.8
1.0,2.72,16.32
4.0,9.18,45.88
2.0,0.0,10.8
1.0,1.0,15.3
2.0,3.2,14.0
2.0,1.5,13.7
1.0,2.0,18.4
1.0,0.0,-16.7
1.0,0.0,16.7
2.0,0.0,11.5
1.0,3.92,19.62
2.0,2.7,13.5
1.0,1.83,14.03
1.0,3.0,33.4
1.0,16.46,98.76
1.0,4.4,26.4
1.0,4.62,23.12
1.0,2.78,16.68
1.0,1.0,22.3
2.0,5.5,27.5
1.0,5.85,27.1
1.0,0.0,24.75
1.0,5.0,23.5
1.0,0.0,12.9
2.0,3.4,20.5
1.0,3.98,23.88
1.0,1.08,11.88
2.0,3.42,20.52
2.0,2.48,27.28
