passenger_count,tip_amount,total_amount
1.0,1.29,14.19
4.0,0.0,12.2
1.0,1.0,11.1
4.0,0.0,18.5
1.0,0.0,12.2
1.0,6.23,37.38
1.0,0.0,15.7
1.0,3.7,22.2
1.0,0.0,101.05
1.0,0.0,11.1
1.0,6.08,36.48
3.0,4.26,25.56
2.0,2.16,12.96
2.0,0.0,14.3
1.0,3.28,19.68
3.0,3.22,16.12
4.0,9.88,49.38
2.0,0.0,15.7
1.0,2.8,14.0
1.0,3.14,18.84
5.0,0.0,12.9
2.0,3.7,22.2
1.0,5.66,33.96
1.0,1.8,14.0
1.0,2.16,12.96
1.0,2.22,13.32
1.0,0.0,26.5
1.0,0.0,17.8
1.0,0.0,16.5
1.0,2.0,17.7
1.0,6.08,36.48
1.0,3.0,29.2
1.0,2.0,24.0
1.0,4.45,22.25
1.0,0.0,12.9
1.0,3.28,19.68
1.0,1.0,14.6
1.0,5.8,34.8
3.0,5.0,41.0
1.0,10.98,65.88
2.0,3.28,19.68
1.0,1.0,15.3
1.0,0.0,21.3
1.0,2.0,19.8
1.0,0.0,24.8
1.0,3.03,13.13
2.0,3.23,16.13
3.0,4.68,28.08
1.0,3.3,19.7
1.0,6.2,31.0
1.0,0.0,19.9
0.0,3.8,23.0
0.0,0.0,17.1
3.0,10.0,80.25
1.0,2.0,38.65
2.0,2.55,15.45
1.0,1.0,12.5
3.0,0.0,82.15
6.0,1.5,17.2
6.0,2.58,15.48
6.0,3.56,21.36
3.0,0.0,14.95
1.0,12.34,94.64
1.0,9.6,73.6
1.0,3.14,18.84
1.0,4.71,20.41
1.0,1.71,18.81
1.0,2.45,14.65
1.0,4.4,26.4
1.0,0.0,17.1
2.0,6.5,39.0
0.0,2.0,15.6
1.0,2.0,15.6
1.0,0.0,10.1
1.0,2.0,15.6
1.0,2.0,15.6
1.0,0.0,14.3
2.0,0.0,21.3
1.0,5.0,28.4
2.0,0.0,33.15
2.0,6.81,29.51
2.0,4.26,25.56
1.0,0.0,12.2
1.0,8.15,49.1
2.0,2.0,24.7
2.0,5.8,34.8
2.0,0.0,67.5
2.0,1.5,15.1
1.0,4.26,25.56
2.0,2.58,15.48
1.0,0.0,26.9
4.0,4.0,19.7
1.0,6.78,40.68
1.0,0.0,15.7
4.0,0.0,52.75
4.0,0.0,15.0
1.0,11.69,70.14
1.0,4.96,29.76
1.0,1.5,17.3
1.0,3.0,18.0
1.0,4.45,22.25
3.0,0.0,15.7
1.0,1.72,16.02
2.0,4.28,21.38
1.0,0.0,12.5
1.0,0.0,15.7
1.0,15.0,101.2
1.0,0.0,18.5
