passenger_count,tip_amount,total_amount
3.0,3.7,22.2
2.0,2.15,12.95
6.0,8.46,50.76
1.0,16.45,98.75
1.0,3.98,23.88
1.0,0.0,15.7
1.0,3.14,18.84
1.0,0.0,16.4
1.0,3.0,18.7
1.0,0.0,10.1
1.0,2.04,15.64
6.0,3.98,23.88
6.0,2.44,14.64
6.0,2.0,42.2
1.0,1.07,22.37
1.0,4.82,28.92
1.0,1.0,10.4
1.0,3.0,18.0
2.0,0.0,31.1
1.0,0.3,16.0
1.0,3.0,18.0
1.0,1.0,28.6
1.0,11.33,69.73
2.0,4.7,20.4
2.0,1.0,16.7
2.0,1.5,16.5
1.0,2.0,23.3
2.0,0.0,10.1
1.0,0.0,16.4
1.0,0.0,27.6
1.0,4.4,26.4
1.0,2.86,17.16
1.0,5.09,38.99
1.0,4.25,21.35
1.0,10.0,108.15
3.0,5.0,26.3
2.0,2.3,13.8
1.0,0.0,75.75
1.0,0.0,16.4
1.0,2.7,16.3
2.0,6.22,37.32
1.0,3.0,32.7
5.0,2.3,13.8
5.0,3.0,25.0
5.0,2.86,17.16
1.0,2.44,14.64
2.0,2.86,17.16
1.0,2.3,13.8
2.0,0.0,12.9
2.0,6.5,39.0
1.0,3.0,18.0
1.0,3.98,23.88
2.0,0.0,15.7
1.0,4.1,24.7
1.0,0.0,12.9
1.0,1.0,18.1
5.0,1.0,17.4
5.0,2.16,12.96
5.0,0.0,22.0
5.0,2.0,16.3
1.0,3.28,19.68
1.0,6.36,38.16
1.0,3.2,16.1
1.0,2.41,26.51
2.0,3.84,42.19
2.0,2.0,24.0
4.0,0.0,16.4
2.0,1.0,22.3
2.0,0.0,13.6
4.0,0.03,15.73
3.0,0.0,33.2
5.0,7.05,42.3
2.0,4.12,24.72
2.0,3.45,14.95
1.0,1.01,11.11
1.0,13.79,68.94
2.0,8.65,43.25
1.0,2.86,17.16
2.0,2.88,14.38
1.0,2.0,15.6
1.0,3.0,18.0
1.0,0.0,13.6
1.0,2.86,17.16
1.0,4.4,26.4
2.0,16.11,96.66
1.0,4.8,28.9
1.0,2.5,21.0
1.0,2.55,15.45
1.0,6.2,37.3
1.0,2.86,17.16
4.0,0.0,9.4
3.0,4.26,25.56
4.0,4.12,24.72
2.0,3.56,21.36
1.0,2.16,12.96
1.0,4.54,27.24
1.0,5.1,30.6
1.0,4.95,29.75
1.0,2.0,11.4
1.0,3.7,22.2
1.0,2.16,12.96
2.0,3.58,17.88
2.0,3.25,19.65
1.0,2.85,17.15
1.0,8.7,52.4
1.0,6.36,38.16
1.0,2.3,13.8
1.0,5.8,34.8
1.0,0.0,15.0
1.0,0.0,25.5
1.0,3.23,16.13
1.0,2.0,21.2
1.0,4.45,22.25
1.0,9.16,54.96
4.0,0.0,12.9
1.0,3.95,23.85
1.0,0.0,17.1
2.0,2.3,13.8
1.0,3.7,22.2
1.0,20.0,141.5
1.0,0.0,45.1
1.0,3.84,23.04
1.0,1.0,12.5
2.0,1.88,11.28
2.0,0.0,12.2
1.0,9.16,54.96
1.0,5.0,53.55
2.0,2.0,12.8
2.0,3.2,24.5
2.0,7.65,33.15
1.0,2.72,16.32
1.0,2.44,14.64
1.0,3.56,21.36
1.0,2.3,13.8
1.0,0.0,82.3
0.0,10.55,45.85
2.0,4.12,24.72
2.0,4.4,26.4
1.0,5.52,33.12
1.0,1.0,14.6
1.0,10.0,60.0
2.0,3.28,19.68
2.0,2.0,17.7
1.0,3.28,19.68
1.0,2.16,12.96
1.0,0.0,19.2
1.0,2.0,16.3
2.0,3.62,27.72
1.0,1.0,18.8
2.0,16.46,98.76
3.0,15.0,116.75
1.0,0.0,8.7
2.0,1.0,12.5
1.0,4.05,20.45
4.0,0.0,13.6
2.0,2.55,15.45
2.0,3.14,18.84
2.0,2.02,12.12
1.0,0.0,13.6
1.0,4.82,28.92
2.0,0.0,17.8
1.0,3.1,18.8
1.0,2.7,16.3
2.0,2.7,16.3
4.0,2.0,12.1
1.0,5.55,45.05
1.0,3.0,18.0
1.0,4.12,24.72
1.0,3.0,25.0
1.0,0.0,22.7
3.0,0.0,15.7
1.0,0.0,17.1
1.0,0.0,9.4
1.0,0.0,11.5
1.0,3.42,20.52
1.0,0.92,19.42
1.0,3.14,18.84
1.0,5.38,32.28
1.0,2.0,17.0
1.0,3.05,15.25
1.0,1.0,18.1
3.0,0.0,65.45
2.0,4.96,29.76
1.0,2.0,13.5
1.0,1.0,14.6
2.0,3.0,13.8
1.0,2.72,16.32
1.0,6.08,36.48
1.0,1.5,11.2
1.0,21.44,128.64
1.0,7.84,47.04
1.0,3.22,19.32
1.0,0.0,31.5
1.0,2.94,17.64
1.0,1.96,11.76
1.0,2.52,15.12
1.0,6.0,36.1
1.0,5.0,35.8
1.0,2.94,17.64
1.0,1.68,12.88
1.0,4.2,18.2
1.0,2.52,15.12
1.0,0.09,13.39
1.0,3.36,20.16
1.0,0.0,-13.3
1.0,0.0,13.3
1.0,3.64,21.84
1.0,0.0,16.1
1.0,1.88,11.28
1.0,3.8,16.4
1.0,2.0,11.8
1.0,16.11,98.41
1.0,4.48,26.88
1.0,2.66,15.96
1.0,0.0,19.6
1.0,1.0,17.8
1.0,4.48,26.88
2.0,4.76,28.56
1.0,0.0,10.5
1.0,0.0,11.2
1.0,3.08,18.48
1.0,0.0,8.0
0.0,2.1,14.0
0.0,3.35,20.15
0.0,0.0,18.2
1.0,4.72,23.62
1.0,2.0,20.9
1.0,2.2,24.6
1.0,1.54,9.24
3.0,2.8,16.8
1.0,4.0,51.6
1.0,0.0,23.1
1.0,0.0,25.9
0.0,2.0,23.0
2.0,0.0,18.2
1.0,2.66,15.96
1.0,0.0,14.0
1.0,3.5,21.0
1.0,0.0,39.9
1.0,0.0,13.3
4.0,0.0,20.3
1.0,0.0,23.8
1.0,14.7,73.5
1.0,1.0,15.0
1.0,1.41,10.81
1.0,0.0,14.3
1.0,10.0,117.3
1.0,2.52,10.92
1.0,3.92,23.52
1.0,1.76,16.46
1.0,1.95,11.75
2.0,2.94,22.54
1.0,2.24,13.44
1.0,3.78,22.68
4.0,3.0,32.8
1.0,4.45,26.85
1.0,2.5,15.1
1.0,3.67,18.37
1.0,1.6,18.4
1.0,1.0,11.5
1.0,0.0,16.8
1.0,3.22,19.32
2.0,9.81,58.86
1.0,0.0,11.2
2.0,3.72,22.32
1.0,5.25,31.55
1.0,1.0,18.9
1.0,1.85,16.95
1.0,2.0,32.5
4.0,4.83,24.13
2.0,3.02,18.12
1.0,2.0,14.3
1.0,2.74,16.44
1.0,7.05,30.55
4.0,6.4,32.0
1.0,0.0,85.55
1.0,5.0,67.7
1.0,3.5,19.3
1.0,2.6,15.6
1.0,20.91,90.61
1.0,2.74,16.44
1.0,2.0,22.0
3.0,0.0,-24.2
3.0,0.0,24.2
1.0,6.66,39.96
2.0,0.0,28.4
1.0,4.14,24.84
1.0,1.44,15.84
1.0,4.28,25.68
1.0,6.84,29.64
1.0,4.84,29.04
1.0,5.35,26.75
1.0,18.39,93.69
2.0,2.5,19.3
1.0,10.0,67.55
1.0,4.28,25.68
1.0,1.95,14.95
1.0,2.46,14.76
