passenger_count,tip_amount,total_amount
0.0,0.0,10.5
0.0,2.5,15.1
1.0,0.0,82.3
1.0,0.0,9.8
2.0,2.0,14.6
1.0,2.0,14.6
1.0,3.75,22.65
4.0,1.0,12.2
2.0,8.54,51.24
1.0,0.0,17.0
3.0,0.0,69.25
1.0,2.88,14.38
1.0,5.25,22.75
1.0,2.38,14.28
1.0,1.82,10.92
1.0,2.0,23.0
2.0,0.0,16.1
1.0,3.03,48.18
1.0,16.62,83.12
1.0,2.24,13.44
1.0,3.22,19.32
1.0,0.0,0.0
1.0,2.41,18.51
1.0,2.65,15.95
1.0,0.0,4.5
1.0,0.0,10.1
1.0,0.0,6.6
1.0,0.0,4.5
1.0,0.0,4.5
1.0,0.0,71.5
1.0,0.0,5.2
1.0,0.0,4.5
1.0,0.0,4.5
1.0,0.01,4.51
2.0,0.0,10.5
1.0,0.0,26.6
1.0,0.0,6.6
1.0,4.06,24.36
1.0,3.78,22.68
1.0,1.0,23.4
1.0,2.5,21.4
1.0,3.22,19.32
1.0,0.0,13.3
0.0,0.0,80.55
1.0,2.94,17.64
2.0,1.96,11.76
1.0,2.0,17.4
1.0,0.0,7.0
1.0,2.0,11.8
2.0,0.0,20.3
0.0,2.1,12.6
3.0,12.75,63.85
4.0,7.0,73.45
1.0,10.9,65.5
1.0,9.0,54.05
0.0,5.0,44.9
1.0,2.62,13.12
1.0,3.33,16.63
1.0,0.0,6.6
3.0,0.0,11.2
1.0,2.52,15.12
1.0,0.0,20.3
1.0,0.0,25.9
1.0,2.8,14.0
1.0,0.0,9.8
1.0,2.94,17.64
1.0,1.96,11.76
2.0,4.2,25.2
1.0,0.0,15.4
1.0,19.0,95.0
2.0,0.0,22.4
1.0,2.0,19.5
1.0,5.88,25.48
1.0,4.9,29.4
1.0,6.3,37.8
1.0,0.0,25.9
1.0,5.0,31.6
1.0,2.62,13.12
2.0,0.0,14.7
2.0,0.0,21.7
1.0,0.0,37.8
3.0,4.2,25.2
2.0,6.72,40.32
1.0,0.0,49.3
1.0,9.64,48.19
3.0,4.06,24.36
2.0,4.34,26.04
2.0,3.33,16.63
1.0,3.0,24.0
1.0,3.36,20.16
2.0,5.26,31.56
1.0,2.1,23.1
1.0,10.0,92.85
1.0,2.52,15.12
1.0,1.82,20.02
1.0,2.66,15.96
1.0,4.48,26.88
1.0,3.5,21.0
2.0,3.08,18.48
1.0,3.46,26.56
1.0,0.0,11.9
1.0,4.34,26.04
2.0,4.5,19.5
1.0,3.0,24.7
2.0,0.0,37.8
2.0,2.8,16.8
1.0,6.47,32.37
1.0,0.0,11.2
1.0,3.0,24.0
1.0,0.0,23.8
2.0,4.62,27.72
1.0,2.0,13.9
3.0,5.0,18.3
2.0,3.08,18.48
1.0,3.22,19.32
1.0,9.24,55.44
3.0,2.0,20.9
1.0,2.0,15.3
1.0,3.65,18.35
1.0,2.35,14.25
1.0,3.2,19.3
1.0,3.36,20.16
1.0,0.0,28.7
1.0,2.0,22.3
2.0,1.0,17.8
2.0,2.31,17.71
1.0,0.0,23.1
1.0,3.0,17.0
1.0,5.46,32.76
2.0,3.64,21.84
1.0,3.0,18.0
1.0,5.24,31.44
1.0,8.6,51.6
4.0,0.0,20.6
5.0,1.25,19.05
5.0,3.56,21.36
5.0,1.0,21.6
1.0,2.7,16.3
1.0,2.3,13.8
1.0,3.58,17.88
2.0,3.28,19.68
3.0,2.0,17.7
2.0,0.0,35.3
1.0,0.0,91.3
1.0,1.0,12.5
2.0,5.0,20.7
1.0,6.64,39.84
2.0,4.26,25.56
1.0,3.84,23.04
1.0,1.55,14.45
1.0,7.25,36.25
1.0,3.0,19.4
1.0,10.0,81.7
1.0,2.0,16.3
1.0,1.0,22.3
1.0,3.56,21.36
1.0,3.42,20.52
2.0,3.28,19.68
2.0,3.14,18.84
1.0,0.0,10.8
1.0,0.0,9.4
1.0,3.0,18.0
1.0,1.0,12.5
1.0,4.54,27.24
1.0,2.5,23.1
1.0,2.02,12.12
1.0,4.26,25.56
1.0,6.36,38.16
2.0,2.72,16.32
1.0,1.5,17.2
2.0,0.0,38.8
2.0,3.4,26.1
4.0,4.4,26.4
1.0,2.0,14.2
1.0,4.5,27.2
2.0,2.55,15.45
2.0,1.0,41.9
1.0,2.58,26.68
1.0,4.68,28.08
1.0,2.98,22.88
1.0,7.25,36.25
2.0,3.92,19.62
2.0,6.78,40.68
2.0,7.0,27.9
1.0,5.24,31.44
1.0,3.7,22.2
2.0,0.0,10.8
1.0,0.0,11.5
1.0,0.0,12.9
1.0,0.0,89.55
4.0,5.66,33.96
1.0,4.12,24.72
1.0,2.72,16.32
1.0,0.0,21.3
2.0,2.15,12.95
4.0,0.0,15.7
3.0,0.0,12.9
1.0,0.0,14.3
1.0,0.0,-9.4
1.0,0.0,9.4
2.0,2.86,17.16
1.0,0.0,38.8
1.0,6.18,26.78
1.0,2.0,31.0
2.0,4.26,25.56
1.0,3.42,20.52
1.0,1.0,16.0
1.0,0.0,14.3
2.0,3.56,21.36
1.0,1.0,16.7
1.0,0.0,16.4
1.0,1.5,20.7
1.0,3.0,18.0
2.0,2.0,17.7
1.0,4.68,28.08
1.0,5.38,32.28
4.0,5.5,35.9
1.0,18.52,80.27
1.0,2.0,18.4
3.0,0.0,16.4
1.0,3.0,18.0
1.0,2.44,14.64
1.0,3.56,21.36
1.0,3.55,21.35
1.0,2.44,14.64
1.0,0.0,51.0
1.0,0.0,51.0
1.0,20.55,102.85
1.0,3.55,21.35
1.0,2.57,19.67
2.0,3.42,20.52
1.0,2.86,17.16
1.0,4.68,28.08
2.0,5.0,35.4
1.0,3.56,21.36
3.0,4.96,29.76
3.0,2.72,16.32
2.0,2.3,13.8
1.0,0.0,16.4
1.0,5.5,27.5
6.0,5.0,43.1
1.0,5.0,44.5
4.0,3.28,19.68
1.0,2.36,18.06
1.0,2.72,16.32
1.0,3.42,20.52
1.0,5.33,26.63
1.0,4.26,25.56
1.0,3.56,21.36
1.0,1.0,20.9
1.0,3.56,21.36
1.0,3.95,19.65
1.0,0.0,12.2
1.0,4.96,29.76
1.0,4.54,27.24
1.0,3.25,35.75
1.0,0.0,17.1
1.0,0.0,12.9
1.0,0.1,13.7
1.0,3.0,18.0
1.0,3.28,19.68
1.0,1.0,16.0
3.0,4.34,28.44
1.0,2.86,17.16
1.0,0.0,10.8
1.0,0.0,12.9
3.0,3.1,18.8
2.0,2.7,16.3
1.0,4.12,24.72
1.0,10.22,51.12
1.0,2.3,13.8
1.0,3.84,42.19
1.0,0.0,23.4
2.0,3.0,22.2
1.0,5.38,32.28
1.0,0.0,47.85
1.0,5.94,35.64
3.0,2.86,17.16
1.0,2.3,13.8
1.0,2.3,13.8
1.0,2.0,19.1
1.0,0.0,14.9
1.0,2.7,16.3
1.0,2.0,12.1
1.0,1.0,16.7
1.0,4.26,25.56
1.0,1.0,17.4
1.0,4.75,23.95
1.0,4.54,27.24
1.0,0.0,30.4
1.0,6.64,39.84
1.0,3.7,22.2
1.0,4.26,25.56
1.0,9.72,58.32
2.0,0.0,57.05
1.0,3.98,23.88
3.0,10.0,115.95
1.0,9.16,54.96
1.0,3.84,23.04
1.0,3.0,26.4
1.0,7.45,44.85
2.0,2.0,13.5
1.0,0.0,12.2
1.0,4.26,25.56
1.0,3.98,23.88
1.0,0.0,10.1
2.0,3.06,18.36
3.0,2.72,16.32
2.0,3.56,21.36
2.0,2.88,14.38
2.0,4.54,27.24
1.0,0.0,16.4
2.0,2.15,12.95
2.0,3.0,20.8
1.0,2.0,42.9
1.0,2.0,18.4
1.0,1.5,20.0
2.0,2.58,15.48
1.0,1.55,13.75
1.0,2.86,17.16
1.0,0.0,15.0
1.0,0.0,12.9
1.0,6.78,40.68
1.0,0.0,10.8
3.0,2.72,16.32
1.0,5.8,34.8
1.0,2.16,12.96
1.0,2.56,19.66
1.0,0.0,8.0
1.0,0.0,13.6
1.0,3.0,18.0
1.0,2.0,16.3
1.0,3.0,18.0
1.0,1.7,30.0
2.0,3.14,18.84
0.0,2.0,19.1
0.0,0.0,12.2
0.0,3.55,21.35
1.0,0.0,25.5
1.0,5.66,33.96
1.0,3.98,23.88
1.0,3.98,23.88
2.0,3.42,20.52
2.0,2.0,17.7
2.0,2.0,24.7
1.0,6.92,41.52
1.0,0.72,15.02
3.0,0.0,15.7
1.0,1.94,14.84
4.0,3.0,19.4
4.0,2.16,12.96
2.0,0.0,12.9
1.0,2.86,17.16
1.0,2.86,17.16
1.0,3.84,23.04
2.0,0.0,40.2
4.0,3.33,21.83
2.0,4.4,26.4
1.0,1.0,22.3
4.0,3.28,19.68
1.0,2.0,35.2
1.0,1.0,19.5
2.0,1.0,13.9
4.0,2.0,19.1
2.0,3.0,18.0
1.0,0.0,12.2
1.0,6.03,30.13
3.0,2.58,15.48
1.0,5.0,27.0
1.0,3.84,23.04
1.0,1.0,16.0
1.0,0.0,20.6
1.0,37.06,224.11
1.0,3.55,21.35
2.0,0.0,8.3
1.0,3.0,16.9
1.0,0.0,51.4
1.0,3.0,17.3
1.0,2.86,17.16
1.0,4.12,24.72
1.0,1.74,10.44
1.0,3.84,23.04
1.0,2.0,23.3
2.0,1.71,18.81
1.0,4.0,24.6
2.0,2.44,14.64
3.0,0.0,18.5
3.0,3.28,19.68
2.0,1.0,20.2
1.0,4.0,34.4
1.0,2.3,13.8
1.0,2.6,15.5
1.0,4.24,32.54
1.0,3.0,18.0
1.0,0.0,13.6
1.0,2.72,16.32
1.0,2.58,15.48
1.0,3.0,22.9
1.0,2.5,20.3
1.0,2.86,17.16
3.0,1.06,22.36
1.0,3.14,18.84
1.0,2.0,19.1
1.0,6.22,37.32
1.0,0.0,19.9
1.0,0.0,10.1
1.0,3.0,18.0
1.0,2.4,14.6
1.0,10.75,46.75
1.0,2.02,12.12
1.0,3.0,18.0
3.0,1.38,12.88
3.0,2.16,12.96
2.0,0.0,23.4
1.0,2.0,15.6
2.0,2.86,17.16
3.0,4.26,25.56
1.0,3.14,18.84
1.0,0.0,18.5
1.0,3.3,16.5
2.0,2.16,12.96
2.0,0.0,13.6
2.0,2.0,17.0
1.0,0.0,10.8
1.0,2.86,17.16
2.0,2.0,14.9
1.0,0.0,21.3
2.0,0.0,30.4
1.0,5.38,-21.52
1.0,0.0,26.9
2.0,2.2,20.0
1.0,0.0,12.9
2.0,3.28,19.68
1.0,0.0,17.1
1.0,0.0,20.6
1.0,2.86,17.16
1.0,0.0,15.0
1.0,2.5,22.4
1.0,0.0,13.6
1.0,10.61,63.66
1.0,3.0,36.9
1.0,0.0,71.5
1.0,1.5,20.0
2.0,3.4,20.5
1.0,4.0,25.3
1.0,2.15,16.45
1.0,1.7,10.4
1.0,1.0,16.7
1.0,4.4,26.4
1.0,3.98,23.88
1.0,2.98,22.88
1.0,2.08,17.08
1.0,0.0,14.3
1.0,7.2,43.2
1.0,2.0,12.1
2.0,2.0,21.9
6.0,1.0,23.7
6.0,0.0,31.8
0.0,0.0,12.9
0.0,0.0,26.9
1.0,0.0,16.4
2.0,2.44,14.64
2.0,3.7,22.2
2.0,3.56,21.36
1.0,2.0,17.0
1.0,4.0,30.2
2.0,5.65,33.95
4.0,2.44,14.64
1.0,4.68,28.08
1.0,6.6,28.6
1.0,4.26,25.56
4.0,0.0,17.1
1.0,0.0,19.6
2.0,4.34,26.04
2.0,5.88,35.28
2.0,0.0,14.7
1.0,0.0,87.0
1.0,3.2,19.3
1.0,2.1,12.6
2.0,1.82,10.92
2.0,0.0,12.6
2.0,2.44,14.64
1.0,5.0,37.2
1.0,3.08,18.48
4.0,0.0,82.3
1.0,0.0,11.2
2.0,2.65,15.95
3.0,3.05,18.45
