passenger_count,tip_amount,total_amount
1.0,2.72,16.32
3.0,5.38,32.28
1.0,0.0,44.4
2.0,2.5,32.2
1.0,2.0,18.4
1.0,0.01,19.21
1.0,0.0,12.9
2.0,0.0,17.1
2.0,3.28,19.68
1.0,3.0,18.0
1.0,3.28,19.68
2.0,4.4,26.4
1.0,3.28,19.68
1.0,0.0,31.8
1.0,5.33,26.63
1.0,5.38,32.28
2.0,0.0,42.24
1.0,2.58,15.48
1.0,3.42,20.52
1.0,1.0,16.0
1.0,8.8,54.55
1.0,3.14,18.84
1.0,2.86,17.16
1.0,3.0,18.0
1.0,0.0,17.8
2.0,3.3,26.0
2.0,2.72,16.32
4.0,1.43,15.73
1.0,0.0,9.7
1.0,0.0,11.5
1.0,0.0,12.9
3.0,2.58,15.48
2.0,0.0,-21.3
2.0,0.0,21.3
2.0,6.08,36.48
2.0,3.0,15.2
1.0,3.98,23.88
1.0,3.8,23.0
1.0,3.25,19.65
1.0,3.0,28.5
1.0,4.46,26.76
1.0,3.14,18.84
1.0,5.0,31.5
1.0,0.0,15.0
1.0,1.0,42.6
2.0,4.0,19.0
1.0,0.0,-74.0
1.0,0.0,74.0
1.0,5.1,30.6
1.0,2.0,14.2
1.0,8.6,51.6
0.0,1.0,14.6
1.0,1.0,10.4
1.0,4.25,25.55
1.0,11.8,59.0
1.0,3.28,19.68
1.0,2.0,35.2
4.0,3.28,19.68
2.0,4.4,26.4
2.0,3.4,26.1
1.0,0.0,12.9
1.0,2.0,12.8
4.0,0.0,18.5
1.0,0.0,16.4
3.0,3.7,22.2
2.0,1.78,19.58
1.0,0.0,28.3
1.0,3.0,18.0
1.0,5.38,32.28
1.0,2.72,16.32
1.0,3.7,22.2
1.0,0.0,13.6
1.0,1.0,13.9
1.0,4.4,26.4
1.0,2.0,20.5
1.0,2.0,21.2
1.0,6.6,39.8
3.0,3.25,19.65
1.0,1.0,16.7
1.0,1.0,12.5
1.0,2.16,12.96
4.0,0.0,15.7
4.0,0.0,-16.5
4.0,0.0,16.5
4.0,0.0,14.5
1.0,1.0,28.6
1.0,3.58,17.88
1.0,3.0,22.9
1.0,17.93,89.63
1.0,3.23,16.13
3.0,0.0,9.4
3.0,2.0,16.3
1.0,2.58,15.48
1.0,2.4,20.9
1.0,0.0,36.0
1.0,4.68,28.08
1.0,25.71,111.41
1.0,5.5,33.1
1.0,2.44,14.64
1.0,0.0,29.7
1.0,4.12,24.72
2.0,3.0,18.0
1.0,3.0,18.0
1.0,0.0,15.7
1.0,3.7,22.2
2.0,0.0,15.7
1.0,4.54,27.24
1.0,2.02,12.12
2.0,4.26,25.56
1.0,2.4,14.6
1.0,1.5,15.8
1.0,1.85,11.25
1.0,0.0,26.2
1.0,2.0,21.2
1.0,0.0,10.1
1.0,8.12,40.62
1.0,0.0,8.7
1.0,2.85,17.15
1.0,4.1,24.7
4.0,4.26,25.56
4.0,0.0,12.2
1.0,3.5,26.9
1.0,2.72,16.32
1.0,1.0,13.2
1.0,2.16,12.96
1.0,3.14,18.84
1.0,0.0,11.5
1.0,1.0,11.8
1.0,2.0,17.0
1.0,3.7,22.2
3.0,1.88,11.28
2.0,4.54,27.24
1.0,1.0,17.4
1.0,0.9,14.5
1.0,6.08,36.48
0.0,0.0,14.3
0.0,0.0,15.0
1.0,3.7,22.2
1.0,3.98,23.88
5.0,1.0,22.3
1.0,3.14,18.84
1.0,3.7,22.2
1.0,2.86,17.16
2.0,3.14,18.84
2.0,3.0,18.0
2.0,4.46,34.16
1.0,6.38,31.88
1.0,1.0,18.8
1.0,2.44,14.64
1.0,3.56,21.36
1.0,1.0,25.8
4.0,14.2,85.2
1.0,5.66,33.96
1.0,3.0,25.0
1.0,2.0,16.3
2.0,2.0,11.4
1.0,5.15,25.75
2.0,3.4,17.0
4.0,7.2,43.2
1.0,11.36,87.11
1.0,2.0,17.0
1.0,2.3,13.8
1.0,3.0,26.4
1.0,0.0,22.7
1.0,0.0,18.5
1.0,2.02,12.12
1.0,1.0,17.4
1.0,1.88,14.78
1.0,4.1,20.5
1.0,8.18,49.08
6.0,0.0,12.9
6.0,1.0,25.8
1.0,3.98,23.88
1.0,2.58,15.48
1.0,3.7,22.2
2.0,0.0,15.7
0.0,0.0,15.7
0.0,0.0,8.0
1.0,0.0,15.0
1.0,4.0,38.6
2.0,1.5,23.5
1.0,10.37,62.21
1.0,16.5,99.19
3.0,4.2,25.2
2.0,16.54,99.23
1.0,12.66,77.71
4.0,0.0,53.15
1.0,3.3,16.6
1.0,0.0,28.0
6.0,13.1,70.54
1.0,1.47,11.27
1.0,0.0,17.5
1.0,0.0,9.1
1.0,3.5,17.5
3.0,0.0,29.4
1.0,0.0,15.4
1.0,0.0,29.4
0.0,0.0,5.9
0.0,0.0,36.0
1.0,0.0,51.85
1.0,2.25,13.45
2.0,0.0,80.94
2.0,0.0,36.4
1.0,1.82,10.92
2.0,15.15,90.9
1.0,16.46,98.76
1.0,1.0,13.6
2.0,3.5,21.0
2.0,8.27,90.96
1.0,2.66,15.96
1.0,3.0,25.4
1.0,0.0,10.5
3.0,0.0,74.0
2.0,3.36,14.56
1.0,5.0,50.45
3.0,0.0,11.9
1.0,16.46,98.76
3.0,5.68,34.08
1.0,7.55,45.3
1.0,1.0,11.5
1.0,0.0,9.1
1.0,2.72,16.32
2.0,0.0,18.9
1.0,18.0,107.95
1.0,0.0,-16.8
1.0,0.0,16.8
1.0,2.2,13.4
1.0,8.46,50.76
1.0,8.4,36.4
2.0,16.19,97.13
1.0,5.44,34.39
1.0,0.0,27.95
1.0,2.35,14.25
1.0,0.0,59.54
2.0,2.52,15.12
2.0,1.96,11.76
1.0,0.0,24.45
1.0,2.66,15.96
2.0,14.7,88.24
1.0,0.0,-9.8
1.0,0.0,9.8
1.0,0.0,13.3
3.0,8.0,88.94
2.0,0.0,14.7
1.0,10.0,90.1
1.0,0.0,20.25
1.0,0.0,55.34
4.0,0.0,14.0
1.0,3.35,20.15
1.0,0.0,11.2
1.0,0.0,56.35
1.0,0.0,75.64
1.0,0.0,11.2
1.0,0.0,74.0
1.0,0.0,14.0
1.0,5.0,51.85
1.0,0.0,11.9
1.0,0.0,8.4
1.0,4.62,27.72
1.0,0.0,23.0
2.0,3.7,22.15
1.0,10.45,62.6
1.0,0.0,10.5
1.0,3.84,24.79
1.0,0.0,74.0
1.0,18.5,92.5
1.0,0.0,25.25
2.0,0.0,112.6
1.0,12.45,74.7
1.0,2.0,18.1
1.0,3.5,21.0
1.0,0.0,27.3
2.0,0.0,26.55
3.0,5.0,57.75
1.0,0.5,20.1
1.0,0.0,8.4
1.0,0.0,-9.1
1.0,0.0,9.1
3.0,5.02,57.52
2.0,0.0,43.4
3.0,2.94,17.64
2.0,5.0,85.94
3.0,10.91,65.46
1.0,0.0,12.6
5.0,18.55,111.3
2.0,1.88,11.28
2.0,10.58,63.48
1.0,0.0,25.15
1.0,2.25,16.25
1.0,0.0,11.2
1.0,5.75,28.85
1.0,4.2,25.2
1.0,8.09,89.03
3.0,0.0,24.1
1.0,0.0,21.0
1.0,7.15,42.85
1.0,3.0,78.55
1.0,0.0,25.2
1.0,2.1,22.0
1.0,2.0,16.0
1.0,0.0,16.5
1.0,0.0,16.8
1.0,2.24,13.44
2.0,5.0,18.3
1.0,7.9,49.15
2.0,1.5,21.1
6.0,22.34,134.04
1.0,0.0,18.9
2.0,2.66,15.96
2.0,16.19,97.13
1.0,0.0,12.6
1.0,2.1,12.6
1.0,4.48,26.88
0.0,2.8,16.8
0.0,3.2,19.3
0.0,2.2,13.4
1.0,0.0,9.8
1.0,0.0,22.0
1.0,1.0,18.5
1.0,0.0,13.3
1.0,0.0,16.1
1.0,3.23,16.13
1.0,3.64,21.84
1.0,2.0,18.8
1.0,7.57,58.01
4.0,16.11,96.66
1.0,2.52,15.12
1.0,3.36,14.56
1.0,4.76,28.56
2.0,12.0,94.69
1.0,9.12,54.72
1.0,0.0,10.5
2.0,11.27,67.62
1.0,0.0,13.3
1.0,0.0,9.8
1.0,0.0,21.7
1.0,13.98,91.63
1.0,13.08,80.23
3.0,0.0,24.45
1.0,2.94,17.64
1.0,0.0,35.7
1.0,0.0,9.1
1.0,0.0,56.35
1.0,0.0,20.3
1.0,9.1,45.5
1.0,3.08,18.48
0.0,0.0,82.69
2.0,0.0,82.3
2.0,1.0,14.3
1.0,0.0,34.25
1.0,11.3,67.95
1.0,0.0,9.4
2.0,0.0,52.15
1.0,24.28,105.22
2.0,0.02,108.33
5.0,0.0,16.8
1.0,2.94,17.64
1.0,1.0,17.1
1.0,2.1,12.6
1.0,14.57,95.51
3.0,0.0,80.94
4.0,0.0,100.45
1.0,2.1,12.6
1.0,0.0,9.8
2.0,0.0,30.8
1.0,11.96,73.51
1.0,3.0,19.1
3.0,16.19,97.13
1.0,0.0,16.1
1.0,11.97,91.77
1.0,4.06,24.36
2.0,12.48,74.88
1.0,0.0,74.0
1.0,10.3,61.7
1.0,0.0,52.6
1.0,22.5,135.0
1.0,0.0,27.3
1.0,10.65,63.95
3.0,11.92,74.02
0.0,2.35,14.25
2.0,0.0,-26.6
2.0,0.0,26.6
1.0,2.94,17.64
1.0,3.78,22.68
1.0,3.5,17.5
1.0,20.57,102.87
1.0,2.8,16.8
1.0,0.0,82.69
1.0,16.19,97.13
1.0,0.0,-14.0
1.0,0.0,14.0
1.0,0.0,16.1
1.0,0.0,38.45
1.0,0.0,-21.0
1.0,0.0,21.0
1.0,0.0,12.6
2.0,11.0,85.0
1.0,4.62,20.02
1.0,1.0,10.8
3.0,1.4,8.4
3.0,0.0,128.05
2.0,0.0,80.94
1.0,8.95,53.85
3.0,5.0,64.15
1.0,0.0,59.15
1.0,2.8,14.0
1.0,1.0,21.3
1.0,2.1,12.6
1.0,3.7,22.2
1.0,2.55,22.15
2.0,1.0,15.7
2.0,0.0,11.2
1.0,2.0,28.6
1.0,3.57,15.47
1.0,3.22,19.32
1.0,12.4,95.09
1.0,0.0,10.5
2.0,10.84,66.79
1.0,3.35,20.15
2.0,2.94,17.64
1.0,4.06,24.36
1.0,0.0,12.6
1.0,3.64,21.84
1.0,19.04,96.93
2.0,5.15,25.75
1.0,1.12,12.32
1.0,0.92,13.25
1.0,3.78,22.68
1.0,4.2,25.2
1.0,4.06,24.36
1.0,0.0,-15.4
1.0,0.0,15.4
2.0,0.0,17.8
1.0,0.0,26.9
1.0,2.0,22.3
1.0,0.0,16.4
1.0,9.45,56.7
1.0,0.0,9.4
1.0,0.0,88.9
6.0,11.97,71.82
2.0,21.49,128.94
1.0,0.0,82.3
1.0,0.0,7.7
1.0,0.0,23.75
4.0,0.0,112.55
1.0,3.0,16.6
1.0,3.3,16.6
1.0,0.0,10.5
1.0,0.0,13.3
1.0,0.0,12.6
2.0,14.8,90.55
1.0,2.6,13.1
1.0,0.0,17.45
1.0,8.66,66.41
1.0,3.0,23.3
1.0,0.0,49.0
5.0,10.0,85.75
2.0,0.0,17.5
0.0,1.0,14.3
1.0,0.0,16.8
1.0,3.0,18.0
2.0,10.0,85.75
3.0,9.02,55.87
1.0,18.5,94.25
1.0,0.0,30.8
1.0,4.83,20.93
1.0,4.06,24.36
1.0,6.0,42.4
1.0,0.0,28.0
1.0,0.0,44.05
1.0,0.0,32.15
1.0,2.2,12.0
1.0,13.01,78.06
2.0,0.0,-35.3
2.0,0.0,35.3
1.0,0.0,19.6
1.0,2.5,15.1
1.0,5.0,85.94
1.0,0.0,15.7
1.0,11.21,67.25
1.0,3.5,21.0
1.0,7.94,39.69
1.0,0.0,9.8
1.0,0.0,82.3
2.0,0.0,80.94
1.0,2.1,12.6
1.0,2.45,12.25
1.0,2.52,15.12
1.0,6.09,26.39
1.0,0.0,-13.3
1.0,0.0,13.3
1.0,0.0,10.1
2.0,10.0,163.25
3.0,2.0,27.9
4.0,1.68,18.48
3.0,9.01,59.06
1.0,15.96,95.76
1.0,0.0,80.94
1.0,1.6,9.6
1.0,4.06,24.36
1.0,9.23,55.38
3.0,2.0,26.45
1.0,2.1,12.6
1.0,8.28,49.68
3.0,0.0,38.45
1.0,8.4,36.4
1.0,2.0,15.3
1.0,0.0,12.6
1.0,21.53,130.93
1.0,7.4,81.4
1.0,3.42,20.52
2.0,2.94,17.64
1.0,4.4,26.4
1.0,0.0,13.3
1.0,0.0,59.45
2.0,0.0,29.4
1.0,2.0,11.1
1.0,2.52,15.12
1.0,3.22,19.32
1.0,1.54,9.24
1.0,3.22,19.32
2.0,0.0,79.8
2.0,15.69,95.88
5.0,6.5,39.0
2.0,5.38,32.28
2.0,2.86,17.16
1.0,2.3,13.8
1.0,3.56,21.36
2.0,2.9,31.9
1.0,4.88,31.03
1.0,2.7,16.3
1.0,2.5,19.6
1.0,4.4,26.4
2.0,1.0,17.4
2.0,2.78,21.28
1.0,1.0,19.5
2.0,2.5,32.2
1.0,3.0,18.0
1.0,0.0,22.0
4.0,0.0,17.1
4.0,0.0,11.5
1.0,0.0,10.8
1.0,3.08,20.18
2.0,10.0,110.35
1.0,1.0,18.1
1.0,3.58,23.48
2.0,3.0,19.4
2.0,2.0,12.1
2.0,2.15,12.95
1.0,3.0,18.0
2.0,3.0,18.0
3.0,3.95,23.85
1.0,0.0,12.9
1.0,7.0,47.2
1.0,1.5,15.8
2.0,3.7,22.2
1.0,2.3,13.8
1.0,2.3,13.8
5.0,0.0,19.9
1.0,2.4,14.6
1.0,0.0,94.05
2.0,4.68,28.08
2.0,0.0,20.6
1.0,3.14,18.84
1.0,3.14,18.84
1.0,2.16,12.96
1.0,3.0,24.3
2.0,0.0,15.7
1.0,3.7,22.2
2.0,3.7,22.2
2.0,1.0,20.9
1.0,3.0,18.0
1.0,3.42,20.52
1.0,5.0,39.2
1.0,4.1,24.7
1.0,10.25,51.15
1.0,5.38,32.28
1.0,2.08,21.28
1.0,2.67,20.47
2.0,0.0,23.4
4.0,2.02,12.12
3.0,1.0,11.8
1.0,2.58,15.48
2.0,0.0,14.3
1.0,0.0,15.0
1.0,3.28,19.68
1.0,3.42,20.52
1.0,4.82,28.92
2.0,2.0,23.3
3.0,8.88,53.28
5.0,3.0,18.0
1.0,3.28,19.68
1.0,8.74,52.44
1.0,3.7,22.2
1.0,4.28,21.38
1.0,4.45,22.25
1.0,2.9,14.4
1.0,3.3,19.7
3.0,3.4,20.5
1.0,3.28,19.68
1.0,7.9,47.4
2.0,3.84,23.04
1.0,3.14,18.84
1.0,0.0,-15.7
1.0,0.0,15.7
1.0,3.42,20.52
3.0,5.0,26.25
2.0,1.0,18.8
1.0,4.26,25.56
1.0,3.84,23.04
1.0,4.5,27.2
1.0,15.96,95.76
1.0,2.3,13.8
1.0,3.14,18.84
1.0,2.86,17.16
1.0,4.26,25.56
4.0,2.8,78.55
1.0,3.0,18.0
2.0,3.95,23.85
2.0,7.2,43.2
1.0,3.98,23.88
1.0,0.0,13.6
1.0,7.3,44.0
2.0,2.0,16.3
2.0,2.3,13.8
1.0,6.0,30.1
1.0,4.1,20.5
1.0,0.0,11.5
1.0,2.97,32.67
1.0,6.2,37.3
1.0,7.34,44.04
1.0,3.2,24.5
1.0,3.0,29.2
1.0,3.42,20.52
4.0,0.0,12.2
4.0,6.22,37.32
1.0,11.4,68.4
1.0,1.0,16.0
1.0,3.0,18.0
2.0,0.0,26.2
1.0,6.55,32.75
1.0,3.0,18.0
1.0,15.61,95.41
1.0,4.54,27.24
1.0,0.0,180.45
1.0,0.0,19.9
1.0,1.0,20.2
2.0,0.0,-39.5
2.0,0.0,39.5
2.0,5.38,32.28
1.0,5.52,33.12
3.0,0.0,33.2
3.0,2.0,13.1
2.0,3.95,23.85
1.0,3.8,23.0
3.0,3.0,18.0
1.0,1.5,16.5
2.0,5.1,30.6
1.0,12.3,75.55
1.0,2.55,15.45
1.0,3.2,16.1
0.0,3.0,18.0
1.0,0.0,17.8
1.0,0.0,22.0
1.0,4.5,27.2
1.0,4.1,24.7
2.0,0.0,16.4
3.0,3.7,22.2
1.0,1.74,10.44
1.0,0.0,19.2
1.0,2.0,21.9
3.0,3.4,17.0
1.0,2.44,14.64
1.0,3.14,18.84
3.0,2.0,21.9
1.0,2.16,12.96
2.0,0.0,17.1
1.0,1.62,12.42
1.0,20.55,102.85
3.0,1.0,11.8
4.0,3.84,23.04
1.0,4.98,36.08
1.0,2.85,17.15
1.0,0.02,10.82
1.0,2.5,31.5
