passenger_count,tip_amount,total_amount
1.0,2.0,18.8
1.0,0.0,14.7
1.0,0.0,11.9
1.0,1.9,12.0
1.0,2.8,16.8
1.0,2.38,14.28
1.0,4.34,26.04
1.0,2.0,23.0
2.0,0.0,18.2
2.0,0.0,17.5
1.0,4.2,25.2
2.0,3.92,23.52
1.0,16.11,96.66
1.0,2.38,14.28
2.0,6.0,36.1
2.0,2.35,14.25
2.0,0.0,18.9
1.0,2.8,16.8
1.0,7.7,38.5
2.0,0.0,11.2
1.0,4.76,28.56
1.0,7.77,59.57
1.0,9.51,58.81
1.0,3.0,29.6
1.0,1.0,15.0
1.0,2.5,15.1
1.0,7.22,45.07
1.0,0.0,24.5
1.0,0.0,9.1
1.0,2.35,14.25
2.0,0.0,21.0
2.0,2.65,15.95
4.0,0.0,11.2
1.0,2.66,15.96
1.0,2.1,12.6
1.0,0.0,10.5
1.0,3.32,16.62
1.0,2.62,20.12
1.0,6.3,37.8
2.0,7.0,81.0
1.0,4.62,35.42
2.0,7.0,42.0
2.0,0.0,18.2
2.0,5.88,35.28
2.0,4.05,24.35
2.0,2.0,18.8
1.0,2.38,14.28
1.0,0.0,16.8
4.0,0.0,82.3
2.0,1.0,15.7
2.0,0.0,71.5
2.0,0.0,53.15
1.0,3.78,22.68
1.0,3.5,21.0
1.0,31.05,188.05
1.0,4.75,28.55
1.0,10.92,65.52
1.0,0.0,21.7
1.0,0.0,14.0
2.0,3.99,17.29
5.0,0.0,-9.1
5.0,0.0,9.1
4.0,2.52,15.12
3.0,1.89,14.49
1.0,2.94,17.64
1.0,2.1,12.6
1.0,2.52,15.12
1.0,1.5,16.2
3.0,3.75,22.65
2.0,3.35,20.15
1.0,0.0,19.6
1.0,0.7,14.0
2.0,0.0,82.3
1.0,7.0,42.0
1.0,4.06,24.36
1.0,0.0,9.1
3.0,4.76,28.56
2.0,1.5,18.3
1.0,2.24,13.44
2.0,1.0,11.5
1.0,1.96,11.76
1.0,2.0,29.3
1.0,3.36,20.16
1.0,0.0,18.2
1.0,3.5,17.5
1.0,4.03,20.13
1.0,6.3,27.3
