passenger_count,tip_amount,total_amount
1.0,4.0,15.9
1.0,4.06,24.36
1.0,1.96,11.76
1.0,1.0,17.8
1.0,0.0,22.4
1.0,2.66,15.96
1.0,5.0,85.7
1.0,3.15,15.75
1.0,7.18,35.88
1.0,0.0,23.1
1.0,1.5,19.0
1.0,4.2,21.0
1.0,1.5,21.8
1.0,3.0,26.8
1.0,2.8,16.8
1.0,0.0,9.1
1.0,2.0,13.9
1.0,0.0,10.5
1.0,2.52,15.12
1.0,1.0,14.3
2.0,4.2,25.2
1.0,0.0,18.9
1.0,2.66,15.96
1.0,2.8,16.8
1.0,3.68,18.38
1.0,3.64,21.84
1.0,1.96,11.76
1.0,0.0,19.7
0.0,8.4,50.4
1.0,2.52,15.12
1.0,1.4,15.4
1.0,4.2,25.2
1.0,3.7,18.4
1.0,1.0,21.3
1.0,5.42,27.12
1.0,2.62,20.12
1.0,3.36,20.16
1.0,7.77,33.67
1.0,0.0,24.5
1.0,1.5,15.5
1.0,4.38,21.88
1.0,1.85,24.95
3.0,0.0,46.15
1.0,0.0,21.7
1.0,0.0,22.4
1.0,3.15,20.65
1.0,3.08,18.48
1.0,2.28,11.38
1.0,1.58,12.08
1.0,1.96,11.76
1.0,2.1,10.5
1.0,3.36,20.16
1.0,1.0,21.3
1.0,4.2,25.2
1.0,2.8,16.8
1.0,1.96,11.76
5.0,1.5,19.0
5.0,2.38,14.28
5.0,1.96,11.76
1.0,2.9,17.6
1.0,2.0,20.2
0.0,2.2,13.4
4.0,0.0,64.75
1.0,5.6,28.0
1.0,3.36,20.16
1.0,2.52,15.12
1.0,1.82,10.92
1.0,1.82,10.92
1.0,2.0,16.7
1.0,1.89,14.49
1.0,3.35,20.15
4.0,1.0,17.8
4.0,2.4,15.0
1.0,0.0,10.5
1.0,2.0,13.2
1.0,5.04,30.24
2.0,0.0,14.7
1.0,3.5,21.0
1.0,2.0,23.7
1.0,1.37,11.17
1.0,3.5,21.0
1.0,0.98,14.98
1.0,2.94,17.64
1.0,16.11,96.66
1.0,4.06,24.36
1.0,0.9,10.0
1.0,3.57,15.47
1.0,0.0,11.9
2.0,3.64,21.84
2.0,6.58,39.48
1.0,3.32,16.62
1.0,3.5,21.0
1.0,4.06,24.36
1.0,2.94,17.64
1.0,2.8,16.8
1.0,0.0,10.5
1.0,2.35,14.25
1.0,3.25,21.45
1.0,3.36,20.16
1.0,2.66,15.96
5.0,1.74,10.44
5.0,3.0,27.5
1.0,20.14,102.44
1.0,0.0,16.8
1.0,2.2,13.4
1.0,1.19,13.09
1.0,2.38,14.28
1.0,4.2,25.2
1.0,0.0,14.0
2.0,2.8,16.8
2.0,6.72,40.32
2.0,0.0,9.4
1.0,2.0,19.5
2.0,1.0,13.6
2.0,0.0,19.6
1.0,2.65,17.35
1.0,3.78,22.68
1.0,2.8,16.8
1.0,2.0,17.4
1.0,2.0,16.7
1.0,1.96,11.76
1.0,1.5,17.6
1.0,0.0,11.9
3.0,1.96,11.76
3.0,1.05,11.55
1.0,3.35,20.15
1.0,5.85,35.25
2.0,2.0,16.0
1.0,7.98,47.88
1.0,2.62,20.12
1.0,4.2,25.2
1.0,2.0,18.8
1.0,2.0,17.4
1.0,2.0,9.0
1.0,2.4,14.3
1.0,2.45,12.25
1.0,5.0,42.8
1.0,0.0,14.0
1.0,1.5,21.1
1.0,3.2,19.3
1.0,3.5,17.5
0.0,1.8,10.9
1.0,5.05,25.35
1.0,3.2,19.3
1.0,2.35,14.25
1.0,4.0,24.3
1.0,4.03,20.13
1.0,5.74,34.44
1.0,2.2,22.5
1.0,14.89,64.54
1.0,2.94,17.64
1.0,0.0,18.9
1.0,2.0,11.8
1.0,2.52,15.12
1.0,1.89,14.49
1.0,5.65,24.55
1.0,3.36,20.16
1.0,0.0,28.7
1.0,3.08,18.48
1.0,2.0,27.2
1.0,3.5,21.0
1.0,1.78,13.68
2.0,5.25,26.25
1.0,2.0,25.8
1.0,4.3,26.0
1.0,0.0,9.8
1.0,0.0,9.8
1.0,3.22,19.32
1.0,2.1,12.6
1.0,1.78,13.68
1.0,2.24,13.44
1.0,7.95,64.75
1.0,4.05,24.35
1.0,2.0,23.0
2.0,4.2,25.2
1.0,2.52,19.32
1.0,5.32,31.92
1.0,1.5,14.1
1.0,3.36,20.16
1.0,0.0,10.5
1.0,3.4,22.3
1.0,6.72,40.32
1.0,15.73,68.18
1.0,1.82,10.92
1.0,1.0,14.3
2.0,0.0,11.9
2.0,0.91,10.01
2.0,4.34,26.04
1.0,1.0,9.7
2.0,16.46,98.76
1.0,0.0,20.3
6.0,15.0,82.3
1.0,3.08,18.48
1.0,1.4,15.4
1.0,0.0,16.1
1.0,3.5,17.5
1.0,4.2,21.0
1.0,2.8,16.8
6.0,1.0,10.1
6.0,3.85,19.25
1.0,2.0,50.95
1.0,2.1,12.6
1.0,2.0,13.9
1.0,2.52,15.12
1.0,0.0,11.2
1.0,1.3,16.0
2.0,0.0,9.4
1.0,2.1,12.6
1.0,2.0,20.9
1.0,2.38,14.28
6.0,3.64,21.84
6.0,2.8,16.8
1.0,3.08,18.48
1.0,2.27,11.37
1.0,2.1,16.1
1.0,2.66,15.96
1.0,3.64,21.84
1.0,2.38,14.28
1.0,2.2,13.4
1.0,2.8,16.8
1.0,3.0,28.2
1.0,0.0,80.55
5.0,16.46,98.76
1.0,3.92,23.52
1.0,3.33,34.13
1.0,2.5,18.2
1.0,1.46,8.76
1.0,0.0,14.3
1.0,0.0,14.3
1.0,4.34,26.04
1.0,9.73,58.38
1.0,2.73,20.93
1.0,0.0,11.2
1.0,4.45,26.85
1.0,0.0,58.05
1.0,0.0,10.5
1.0,5.04,30.24
6.0,1.0,15.0
6.0,3.08,18.48
6.0,0.0,17.5
2.0,0.0,34.3
1.0,4.03,20.13
1.0,5.32,31.92
1.0,3.5,21.0
1.0,2.94,17.64
1.0,0.0,11.9
1.0,2.52,15.12
1.0,3.92,23.52
1.0,1.0,15.0
2.0,0.0,9.8
2.0,2.0,19.5
2.0,3.22,19.32
2.0,2.24,13.44
1.0,2.0,20.2
1.0,3.15,24.15
1.0,3.22,19.32
1.0,16.11,98.41
1.0,0.0,65.55
1.0,3.5,21.0
1.0,0.0,11.9
1.0,3.6,21.8
1.0,5.04,30.24
1.0,5.0,31.6
1.0,2.8,16.8
1.0,2.38,14.28
1.0,2.1,12.6
1.0,2.2,22.5
1.0,6.3,37.8
1.0,1.96,11.76
2.0,0.0,23.8
1.0,5.0,31.6
1.0,2.66,15.96
1.0,2.8,16.8
1.0,4.48,26.88
1.0,0.0,23.1
1.0,0.0,-24.5
1.0,0.0,24.5
1.0,3.15,13.65
1.0,1.0,12.9
1.0,3.22,19.32
1.0,2.5,25.6
1.0,1.82,10.92
1.0,2.73,20.93
1.0,3.08,18.48
1.0,2.94,17.64
2.0,16.11,96.66
1.0,0.0,12.6
1.0,0.0,14.0
1.0,0.0,13.3
1.0,3.08,18.48
1.0,0.0,28.0
1.0,1.0,14.6
2.0,0.0,20.3
1.0,1.47,16.17
1.0,3.92,23.52
1.0,0.0,11.9
1.0,16.11,98.41
1.0,1.5,21.8
1.0,0.0,12.6
1.0,2.65,15.95
1.0,3.64,21.84
1.0,1.0,15.0
1.0,2.0,17.4
1.0,1.8,10.9
1.0,2.7,11.8
1.0,4.45,22.25
1.0,0.0,79.8
1.0,0.0,14.0
1.0,3.85,19.25
1.0,4.62,27.72
1.0,13.3,66.5
1.0,0.0,11.2
1.0,1.89,14.49
1.0,0.0,26.6
1.0,3.0,22.6
1.0,3.15,13.65
1.0,0.0,11.2
1.0,2.0,13.9
1.0,1.0,17.8
1.0,2.0,19.5
1.0,12.0,72.2
1.0,0.0,82.3
1.0,0.0,12.6
2.0,3.08,18.48
1.0,2.0,22.3
1.0,9.4,47.2
1.0,0.0,21.7
1.0,0.0,30.1
1.0,1.4,14.0
1.0,0.0,16.1
1.0,0.0,126.45
1.0,2.44,14.64
1.0,2.8,16.8
2.0,4.62,27.72
0.0,12.0,92.55
1.0,0.0,20.3
1.0,6.0,38.2
1.0,0.0,16.1
1.0,5.9,35.3
1.0,2.65,15.95
1.0,0.0,14.0
1.0,7.3,43.7
1.0,4.2,21.0
2.0,5.0,19.7
1.0,0.0,50.0
3.0,0.0,21.0
1.0,3.36,20.16
1.0,2.5,15.1
2.0,2.5,20.0
4.0,0.0,10.5
2.0,0.0,27.3
1.0,2.0,17.4
1.0,2.35,14.25
1.0,1.6,10.0
1.0,2.8,16.8
1.0,0.0,40.85
1.0,13.16,78.96
1.0,0.0,40.0
1.0,2.1,12.6
1.0,3.0,14.2
1.0,5.18,31.08
1.0,11.69,71.89
2.0,6.02,36.12
1.0,2.65,15.95
1.0,2.95,17.65
1.0,3.9,23.5
1.0,0.0,15.4
1.0,6.65,33.25
1.0,3.05,18.45
1.0,2.0,14.6
1.0,0.0,13.3
1.0,3.22,19.32
1.0,2.0,13.9
1.0,1.0,10.1
1.0,4.0,23.6
1.0,11.95,71.8
1.0,0.0,7.7
4.0,10.35,51.65
1.0,1.0,17.8
1.0,2.1,12.6
2.0,0.0,75.75
4.0,16.11,98.41
1.0,0.0,33.55
1.0,2.58,15.48
1.0,10.2,61.35
1.0,0.0,8.4
1.0,4.48,15.68
1.0,5.42,27.12
1.0,0.0,21.0
2.0,2.0,23.0
2.0,0.0,14.7
3.0,4.06,24.36
1.0,4.34,26.04
1.0,0.0,17.5
1.0,2.5,34.0
1.0,5.25,40.25
1.0,5.32,31.92
3.0,0.0,14.0
1.0,2.2,13.4
1.0,3.6,21.8
1.0,3.6,21.8
1.0,0.0,20.3
1.0,4.2,25.2
4.0,6.93,30.03
1.0,15.15,90.9
1.0,0.0,16.1
1.0,3.8,16.4
1.0,0.0,11.9
1.0,0.0,80.05
2.0,6.51,28.21
1.0,2.0,20.9
1.0,0.0,-21.7
1.0,0.0,21.7
1.0,2.0,27.2
1.0,1.5,18.3
2.0,2.8,16.8
1.0,0.0,18.2
1.0,2.0,16.7
1.0,2.5,18.6
1.0,18.5,92.5
1.0,16.11,98.41
1.0,0.0,14.7
1.0,6.41,49.11
3.0,0.0,71.5
1.0,0.0,24.5
6.0,1.5,12.0
6.0,11.34,49.14
3.0,2.0,19.5
1.0,2.52,15.12
1.0,0.0,28.7
1.0,6.86,41.16
1.0,3.36,20.16
5.0,2.0,22.3
1.0,1.0,9.4
2.0,8.4,36.4
1.0,5.32,31.92
1.0,2.1,16.1
1.0,3.35,20.15
1.0,13.52,82.87
1.0,7.14,30.94
1.0,0.5,18.0
1.0,0.0,25.9
1.0,1.0,9.0
1.0,1.68,10.08
0.0,2.0,12.5
1.0,3.2,19.3
1.0,0.0,18.2
1.0,1.0,18.5
2.0,5.04,30.24
1.0,6.3,31.5
1.0,1.0,13.6
1.0,2.82,30.87
2.0,0.0,19.6
2.0,1.82,20.02
1.0,4.0,29.9
1.0,2.66,15.96
1.0,3.92,23.52
1.0,5.88,25.48
2.0,5.04,30.24
1.0,4.76,28.56
1.0,0.0,-11.9
1.0,0.0,11.9
2.0,0.0,17.5
2.0,2.35,14.25
4.0,0.0,16.8
3.0,3.0,17.7
1.0,0.0,10.5
2.0,0.0,30.8
2.0,3.78,22.68
3.0,5.78,28.88
1.0,0.0,-8.4
1.0,0.0,8.4
1.0,0.0,25.9
1.0,1.96,11.76
2.0,2.94,17.64
2.0,2.1,12.6
2.0,7.28,43.68
1.0,25.8,111.8
3.0,2.66,15.96
3.0,5.74,34.44
1.0,4.06,24.36
1.0,2.52,19.32
2.0,0.0,14.0
1.0,0.0,15.4
1.0,0.0,13.3
4.0,0.0,20.3
1.0,8.4,36.4
1.0,0.0,10.5
1.0,0.0,23.1
2.0,16.11,96.66
1.0,5.78,28.88
1.0,2.0,23.0
1.0,0.0,18.2
1.0,2.94,12.74
1.0,3.0,21.2
1.0,1.18,17.98
1.0,0.0,9.8
1.0,3.92,23.52
1.0,6.51,28.21
1.0,6.3,31.5
1.0,3.5,21.0
1.0,7.78,48.43
2.0,0.0,12.6
1.0,1.0,17.8
1.0,3.5,21.0
1.0,2.31,17.71
1.0,3.08,18.48
1.0,0.0,24.5
1.0,3.08,18.48
1.0,1.82,10.92
2.0,2.98,35.18
1.0,1.82,10.92
2.0,2.8,16.8
2.0,0.0,30.8
2.0,0.0,24.5
2.0,0.0,82.3
1.0,1.8,13.0
1.0,2.52,15.12
1.0,10.0,107.05
1.0,12.0,75.0
4.0,0.0,13.3
6.0,4.2,21.0
5.0,6.12,30.62
