passenger_count,tip_amount,total_amount
2.0,11.4,68.4
2.0,3.25,35.75
2.0,0.92,19.42
1.0,2.44,14.64
2.0,4.0,28.1
1.0,3.42,20.52
1.0,2.0,18.4
1.0,5.38,32.28
1.0,5.52,33.12
1.0,4.4,26.4
1.0,3.28,19.68
1.0,0.0,18.5
1.0,3.42,20.52
1.0,1.0,13.2
4.0,1.0,13.2
1.0,2.02,12.12
2.0,0.01,17.81
1.0,5.0,43.1
1.0,3.55,21.35
1.0,0.0,10.1
1.0,12.27,53.17
2.0,0.0,24.1
1.0,3.84,23.04
1.0,4.45,22.25
1.0,0.0,37.35
1.0,15.15,90.9
2.0,0.0,19.9
1.0,4.12,24.72
1.0,2.2,20.0
2.0,3.1,18.8
1.0,2.2,20.0
1.0,2.44,14.64
1.0,4.0,18.3
1.0,2.7,16.3
1.0,0.0,16.4
1.0,5.24,31.44
1.0,3.56,21.36
1.0,0.0,15.0
3.0,5.65,33.95
1.0,3.0,18.0
1.0,3.0,18.0
4.0,4.3,25.9
1.0,0.0,37.4
2.0,6.8,29.5
1.0,2.0,20.5
1.0,2.0,24.7
1.0,3.0,18.0
1.0,0.0,14.3
4.0,0.0,10.1
1.0,1.0,12.5
1.0,3.0,18.0
1.0,1.88,11.28
1.0,4.26,25.56
3.0,1.0,16.0
2.0,3.56,21.36
1.0,9.0,44.95
1.0,0.0,58.7
4.0,5.55,33.4
2.0,0.0,24.8
1.0,4.0,26.0
1.0,0.0,26.2
1.0,2.55,15.45
1.0,0.0,21.3
1.0,1.0,13.2
2.0,2.86,17.16
2.0,1.5,17.2
1.0,4.8,28.9
1.0,1.0,13.9
1.0,0.0,10.8
1.0,0.0,13.6
1.0,4.4,26.4
1.0,2.0,22.6
2.0,6.05,36.45
6.0,0.0,12.2
5.0,2.88,14.38
2.0,3.84,23.04
1.0,0.0,27.6
4.0,2.16,12.96
5.0,0.0,21.3
5.0,1.99,21.89
1.0,1.0,21.6
4.0,3.98,23.88
1.0,3.0,17.3
1.0,3.42,20.52
2.0,2.3,13.8
1.0,2.46,18.86
1.0,0.0,11.5
1.0,6.5,39.0
1.0,0.0,17.8
3.0,3.98,23.88
1.0,3.28,19.68
2.0,2.0,18.4
1.0,2.46,18.86
1.0,3.03,13.13
2.0,2.5,23.1
1.0,7.34,44.04
1.0,3.0,18.0
1.0,3.3,19.7
1.0,2.0,17.0
1.0,4.92,21.32
1.0,6.22,37.32
1.0,4.25,18.55
1.0,0.0,18.5
1.0,2.7,16.3
1.0,7.6,45.7
1.0,2.58,15.48
1.0,2.16,12.96
2.0,2.0,19.1
2.0,20.0,30.8
