passenger_count,tip_amount,total_amount
1.0,5.25,31.55
1.0,4.42,26.52
1.0,3.44,20.64
1.0,8.89,53.33
4.0,3.58,21.48
4.0,5.54,33.24
1.0,3.58,21.48
2.0,6.05,30.25
2.0,5.96,35.76
3.0,2.6,15.6
1.0,2.32,13.92
1.0,3.0,31.4
1.0,2.6,15.6
1.0,3.72,22.32
3.0,0.0,87.69
1.0,0.0,58.1
1.0,9.61,57.66
1.0,3.64,23.59
1.0,0.0,12.3
1.0,12.06,72.35
1.0,16.3,97.89
1.0,0.0,60.25
1.0,3.0,59.0
1.0,2.0,28.6
1.0,1.75,19.25
1.0,4.06,24.36
1.0,0.0,8.0
0.0,12.0,94.69
1.0,0.0,51.15
1.0,3.92,23.52
1.0,6.44,38.64
2.0,13.8,84.55
5.0,0.0,17.5
1.0,0.0,42.75
2.0,0.0,64.09
2.0,2.73,11.83
3.0,0.0,82.69
1.0,5.6,28.0
1.0,0.0,63.04
1.0,0.0,11.9
1.0,0.0,11.9
1.0,0.0,36.4
1.0,0.0,82.69
2.0,2.28,11.38
2.0,0.0,9.8
1.0,0.0,18.2
1.0,3.65,23.95
2.0,15.0,89.0
1.0,2.9,12.7
1.0,2.0,11.1
1.0,0.0,14.0
1.0,5.3,31.9
1.0,0.0,14.7
1.0,2.8,14.0
1.0,3.5,21.0
1.0,6.02,36.12
1.0,2.0,18.1
1.0,2.1,12.6
1.0,1.82,10.92
1.0,7.35,36.75
2.0,3.35,20.15
1.0,2.0,17.4
1.0,3.65,18.35
3.0,2.52,15.12
1.0,2.0,46.74
1.0,0.0,21.7
1.0,1.0,26.2
1.0,2.0,30.7
1.0,3.5,21.0
0.0,2.8,16.8
1.0,9.81,58.86
1.0,3.0,19.8
2.0,3.0,26.8
1.0,5.3,31.9
1.0,10.0,92.55
1.0,12.95,77.74
1.0,4.87,53.56
4.0,2.8,16.8
2.0,2.5,15.1
2.0,2.0,11.8
2.0,2.0,29.3
2.0,2.1,12.6
2.0,2.0,14.6
3.0,4.62,27.72
1.0,2.27,11.37
2.0,1.96,11.76
1.0,1.0,15.0
1.0,2.0,17.4
1.0,3.1,15.7
1.0,0.0,17.5
1.0,0.0,58.8
2.0,4.0,22.9
1.0,0.0,49.0
1.0,6.72,40.32
1.0,0.0,79.14
1.0,16.54,99.23
1.0,2.0,18.8
2.0,0.0,14.7
3.0,3.64,21.84
2.0,3.92,23.52
1.0,1.96,11.76
1.0,20.0,144.45
1.0,5.2,31.1
2.0,6.8,34.1
1.0,2.0,19.5
1.0,2.52,15.12
1.0,3.22,19.32
1.0,3.33,18.03
1.0,2.94,12.74
1.0,0.0,14.0
1.0,16.54,99.23
1.0,3.08,18.48
1.0,2.24,13.44
1.0,0.0,12.6
1.0,1.68,10.08
1.0,15.3,66.45
2.0,7.99,47.94
3.0,2.8,16.8
4.0,2.75,13.95
2.0,0.0,15.4
2.0,0.0,17.5
2.0,11.49,70.68
1.0,1.0,12.9
2.0,0.0,82.69
3.0,8.61,37.31
1.0,0.0,40.6
5.0,3.0,35.9
1.0,4.9,29.4
1.0,0.8,15.5
1.0,1.0,12.9
1.0,6.15,36.89
2.0,0.0,16.8
1.0,15.0,95.94
1.0,1.8,10.9
1.0,2.65,15.95
1.0,3.2,20.0
5.0,2.5,18.6
5.0,3.92,23.52
2.0,25.76,154.56
2.0,0.0,9.1
4.0,3.0,41.5
3.0,0.0,34.3
0.0,0.0,26.6
2.0,0.0,13.3
4.0,3.5,21.0
2.0,4.77,28.62
1.0,2.9,17.6
3.0,4.6,27.7
1.0,0.0,15.4
1.0,3.78,22.68
1.0,4.2,25.2
1.0,0.0,35.7
1.0,2.42,18.52
2.0,0.0,8.0
1.0,0.0,-15.0
1.0,0.0,15.0
1.0,0.0,-4.5
1.0,0.0,4.5
1.0,0.0,9.1
1.0,21.48,130.63
2.0,16.19,98.88
3.0,20.23,102.92
1.0,1.8,10.9
1.0,0.0,9.8
1.0,8.0,26.9
1.0,2.0,16.0
1.0,3.22,19.32
