passenger_count,tip_amount,total_amount
1.0,3.14,18.84
1.0,2.0,21.2
2.0,5.0,178.55
1.0,12.74,76.44
1.0,2.5,26.3
1.0,4.0,28.5
1.0,2.0,44.0
4.0,2.0,53.1
1.0,9.83,64.43
1.0,3.92,23.52
1.0,2.8,30.8
1.0,0.0,16.1
1.0,0.0,20.3
1.0,5.18,31.08
1.0,3.36,20.16
1.0,0.0,28.0
1.0,3.22,19.32
1.0,3.78,22.68
0.0,4.2,18.2
0.0,4.76,28.56
1.0,1.26,13.86
1.0,2.66,15.96
1.0,4.2,18.2
1.0,0.0,-72.35
1.0,0.0,72.35
2.0,3.65,18.35
2.0,2.38,26.18
1.0,2.0,23.0
1.0,6.58,39.48
1.0,0.0,20.3
1.0,3.36,20.16
1.0,4.06,24.36
1.0,2.8,16.8
1.0,4.3,26.0
1.0,0.0,66.5
1.0,0.0,28.0
1.0,0.0,19.0
4.0,2.94,17.64
1.0,4.41,19.11
1.0,13.09,78.54
6.0,3.64,21.84
6.0,0.0,14.7
6.0,2.0,15.3
2.0,0.0,7.0
2.0,0.0,80.55
1.0,0.0,-18.2
1.0,0.0,18.2
4.0,4.34,26.04
1.0,3.64,21.84
1.0,4.2,25.2
2.0,0.0,-6.25
2.0,0.0,6.25
2.0,0.0,79.8
1.0,1.0,9.0
2.0,6.3,37.8
2.0,5.74,34.44
1.0,0.0,53.55
1.0,4.76,28.56
1.0,0.0,18.0
1.0,3.36,20.16
1.0,12.06,72.36
1.0,2.38,14.28
1.0,4.2,25.2
1.0,2.0,18.1
1.0,2.66,15.96
4.0,0.0,16.8
2.0,13.37,81.97
1.0,10.0,92.6
1.0,5.5,95.25
1.0,2.94,17.64
1.0,0.0,23.1
1.0,7.0,42.0
2.0,0.0,18.2
1.0,15.15,90.9
4.0,14.4,86.4
1.0,0.0,38.0
1.0,2.45,26.95
1.0,0.01,33.66
1.0,20.0,312.45
1.0,5.0,83.05
1.0,3.36,20.16
1.0,2.45,12.25
1.0,2.0,23.7
1.0,4.0,33.4
1.0,2.0,21.6
1.0,7.0,35.0
1.0,6.72,29.12
1.0,0.0,42.0
1.0,2.38,14.28
1.0,3.0,28.2
5.0,3.36,20.16
2.0,4.48,26.88
2.0,3.08,18.48
2.0,7.84,47.04
1.0,3.08,18.48
1.0,1.47,16.17
1.0,3.22,19.32
3.0,0.0,-15.4
3.0,0.0,15.4
1.0,9.85,59.2
1.0,2.66,15.96
1.0,2.52,15.12
1.0,0.0,45.0
1.0,7.84,47.04
2.0,0.0,18.9
1.0,4.9,29.4
1.0,2.5,25.6
1.0,11.95,71.7
1.0,2.98,14.88
1.0,3.22,19.32
1.0,2.94,17.64
2.0,3.08,18.48
2.0,2.0,36.3
1.0,0.0,28.7
1.0,0.0,-82.3
1.0,0.0,82.3
1.0,0.0,10.5
1.0,3.68,18.38
2.0,16.11,98.41
1.0,10.29,44.59
1.0,5.78,28.88
1.0,18.24,109.44
1.0,2.1,23.1
1.0,2.1,12.6
1.0,0.0,14.0
1.0,0.0,17.5
1.0,5.42,27.12
1.0,3.71,40.81
2.0,3.2,19.3
2.0,1.0,14.3
2.0,2.0,14.6
2.0,1.0,9.0
1.0,6.02,36.12
1.0,5.0,25.3
4.0,0.0,35.65
1.0,4.12,86.42
1.0,0.0,14.0
2.0,3.05,18.45
1.0,0.0,18.9
1.0,13.58,81.48
1.0,12.52,75.12
2.0,0.0,63.0
1.0,4.0,33.4
1.0,2.8,16.8
1.0,5.2,31.1
1.0,0.0,21.0
1.0,0.0,18.0
1.0,0.0,75.75
1.0,17.42,106.27
1.0,2.45,12.25
1.0,0.0,18.2
1.0,0.0,78.0
1.0,0.0,63.55
2.0,7.84,47.04
1.0,4.9,29.4
1.0,0.0,14.7
1.0,1.5,19.0
1.0,4.9,29.4
1.0,2.0,18.1
1.0,3.5,21.0
1.0,1.89,14.49
1.0,1.0,23.4
1.0,2.8,16.8
2.0,2.24,13.44
1.0,4.48,26.88
1.0,0.01,71.51
2.0,2.94,17.64
1.0,1.0,17.1
1.0,0.0,18.9
1.0,0.0,28.65
1.0,3.85,19.25
1.0,2.58,17.23
1.0,5.7,34.4
0.0,2.0,24.4
1.0,10.0,80.0
1.0,2.5,20.0
1.0,2.1,12.6
1.0,2.0,29.3
1.0,4.34,26.04
1.0,1.0,15.7
1.0,2.0,23.7
1.0,4.06,24.36
1.0,1.41,10.81
1.0,2.0,17.4
4.0,15.0,108.25
2.0,1.5,15.5
4.0,6.58,39.48
1.0,3.78,22.68
1.0,3.78,22.68
1.0,2.87,31.57
2.0,3.4,20.6
2.0,5.0,18.0
1.0,7.14,42.84
1.0,4.06,24.36
1.0,2.62,18.02
1.0,0.0,8.4
1.0,0.0,9.1
1.0,3.0,19.8
1.0,3.85,42.35
3.0,5.32,31.92
4.0,0.0,62.75
1.0,6.72,29.12
2.0,0.0,82.3
0.0,0.0,28.05
1.0,2.0,11.1
1.0,0.0,17.0
1.0,0.0,49.0
1.0,3.57,27.37
1.0,5.18,31.08
1.0,0.0,14.0
2.0,2.0,16.7
1.0,2.5,17.9
1.0,2.0,17.4
1.0,4.06,24.36
1.0,2.8,16.8
1.0,6.3,37.8
2.0,10.08,60.48
1.0,2.8,16.8
2.0,2.0,23.0
1.0,8.0,79.65
1.0,0.0,13.3
1.0,2.66,15.96
1.0,3.0,19.8
5.0,9.45,47.25
2.0,4.62,20.02
1.0,0.0,14.7
3.0,0.0,38.5
1.0,4.2,46.2
1.0,15.76,68.31
1.0,14.61,73.06
1.0,14.16,86.71
1.0,0.0,55.55
1.0,1.0,12.2
2.0,3.92,23.52
1.0,4.48,26.88
1.0,3.5,21.0
1.0,10.19,61.14
1.0,0.0,20.0
4.0,0.0,29.4
1.0,3.0,21.2
1.0,11.69,71.89
1.0,0.0,9.1
1.0,9.24,40.04
1.0,1.0,15.0
1.0,4.9,29.4
1.0,3.92,23.52
1.0,2.65,15.95
1.0,14.96,76.56
1.0,2.24,24.64
1.0,0.0,18.9
1.0,5.88,35.28
1.0,4.2,25.2
1.0,3.0,38.7
1.0,3.0,20.5
1.0,2.0,13.9
1.0,6.02,36.12
1.0,2.66,15.96
1.0,4.9,24.5
2.0,0.0,18.2
1.0,4.34,26.04
1.0,1.0,28.3
1.0,2.5,20.7
1.0,6.72,40.32
1.0,2.24,13.44
1.0,3.36,20.16
1.0,11.75,70.55
2.0,0.0,7.7
2.0,2.0,17.0
1.0,10.0,84.0
1.0,22.21,111.06
1.0,0.4,13.7
1.0,0.0,22.4
6.0,2.24,13.44
6.0,4.76,28.56
6.0,1.7,15.0
1.0,0.0,24.5
1.0,4.0,29.9
1.0,0.0,8.0
5.0,6.0,52.95
1.0,3.22,19.32
1.0,3.92,23.52
1.0,3.85,42.35
1.0,0.0,37.85
1.0,3.5,21.0
1.0,10.36,62.16
1.0,7.7,46.2
1.0,3.22,19.32
1.0,5.18,31.08
1.0,14.7,63.7
1.0,2.52,15.12
1.0,0.0,25.9
1.0,2.24,13.44
1.0,3.0,14.9
1.0,2.1,16.1
0.0,4.34,26.04
0.0,2.35,14.25
1.0,3.0,18.0
1.0,0.0,165.1
1.0,2.24,13.44
1.0,0.0,77.7
1.0,0.0,17.5
1.0,2.1,16.1
3.0,5.32,31.92
1.0,4.45,26.85
1.0,0.0,18.9
1.0,0.0,21.7
1.0,5.65,24.55
2.0,0.0,21.0
1.0,2.45,12.25
2.0,3.64,21.84
1.0,0.0,74.15
1.0,5.04,30.24
1.0,0.0,11.2
1.0,5.04,30.24
1.0,8.18,49.08
1.0,0.0,-6.25
1.0,0.0,6.25
1.0,0.0,27.95
1.0,5.18,31.08
1.0,2.0,19.5
4.0,6.44,38.64
2.0,6.58,39.48
3.0,2.94,17.64
1.0,4.06,24.36
1.0,2.0,18.8
1.0,1.96,11.76
1.0,3.05,18.45
1.0,4.9,24.5
1.0,14.44,73.94
1.0,16.11,98.41
1.0,2.0,36.0
1.0,4.1,24.8
1.0,4.06,24.36
1.0,7.98,47.88
1.0,2.66,15.96
1.0,8.62,37.37
1.0,12.95,79.45
1.0,1.25,11.05
1.0,1.0,11.5
1.0,0.0,40.55
1.0,10.9,65.5
1.0,10.0,90.55
1.0,2.9,17.6
1.0,2.5,23.5
1.0,2.0,26.1
1.0,0.0,90.3
1.0,4.25,25.55
1.0,2.0,19.8
1.0,6.5,39.0
1.0,0.0,45.15
1.0,0.0,12.9
1.0,3.22,16.12
1.0,5.0,29.8
1.0,0.0,17.8
1.0,3.84,23.04
1.0,20.68,124.08
1.0,4.5,19.5
1.0,0.0,9.4
1.0,0.0,-17.1
1.0,0.0,17.1
1.0,2.58,15.48
1.0,1.85,20.35
1.0,16.11,98.41
1.0,3.0,54.65
2.0,0.0,22.0
1.0,1.7,10.4
1.0,2.51,35.91
2.0,7.6,38.0
2.0,5.1,30.6
2.0,2.16,12.96
2.0,2.58,15.48
2.0,4.0,26.0
1.0,8.0,64.6
1.0,17.0,73.65
2.0,0.0,18.8
1.0,1.0,28.55
1.0,15.52,94.87
1.0,4.82,28.92
1.0,5.24,31.44
4.0,0.0,94.15
1.0,0.0,11.5
1.0,4.96,29.76
1.0,12.0,94.3
2.0,3.0,18.0
1.0,6.2,26.85
1.0,0.0,40.5
1.0,1.0,26.5
1.0,16.11,98.41
1.0,4.4,26.4
1.0,7.05,35.35
2.0,1.0,18.1
1.0,4.82,28.92
1.0,1.36,14.96
1.0,2.72,16.32
2.0,1.0,14.6
2.0,0.0,10.8
2.0,3.56,21.36
3.0,5.0,20.7
1.0,0.0,60.5
1.0,0.0,21.3
1.0,7.23,31.33
1.0,3.0,18.0
1.0,3.0,18.0
2.0,0.0,-13.0
2.0,0.0,13.0
1.0,5.8,34.8
1.0,2.6,15.5
2.0,3.84,23.04
3.0,2.86,17.16
1.0,9.85,60.85
2.0,0.0,82.3
1.0,0.0,16.4
1.0,13.97,83.82
1.0,2.0,14.9
2.0,3.14,18.84
2.0,0.01,23.41
3.0,0.0,13.6
3.0,5.0,22.8
3.0,3.55,21.35
2.0,1.78,19.58
1.0,6.55,32.75
1.0,3.28,19.68
1.0,8.0,90.3
1.0,6.75,40.65
2.0,0.0,13.7
1.0,7.2,43.2
1.0,3.15,18.85
1.0,2.85,17.15
1.0,3.0,12.4
1.0,0.0,22.3
1.0,5.0,25.6
1.0,2.3,13.8
1.0,2.0,15.6
1.0,3.42,20.52
1.0,6.0,52.5
1.0,5.24,31.44
1.0,1.0,12.6
1.0,0.0,18.5
1.0,2.58,15.48
1.0,2.7,16.3
1.0,0.0,16.4
2.0,16.46,98.76
1.0,0.0,73.25
1.0,12.24,73.44
2.0,2.0,22.6
3.0,5.0,23.5
1.0,0.0,-52.75
1.0,0.0,52.75
3.0,3.42,20.52
4.0,3.0,18.0
1.0,4.54,27.24
5.0,1.0,12.5
1.0,3.1,18.8
1.0,0.0,53.55
1.0,2.7,24.0
1.0,3.0,29.2
1.0,2.44,14.64
1.0,4.0,28.8
1.0,3.05,15.25
1.0,2.44,14.64
1.0,2.62,28.82
2.0,3.2,21.0
2.0,2.6,15.6
1.0,4.0,26.7
2.0,2.5,24.5
3.0,2.3,13.8
2.0,0.0,17.1
1.0,0.0,100.6
1.0,11.89,73.09
1.0,3.14,18.84
1.0,0.0,19.9
1.0,3.75,18.75
1.0,15.95,95.75
1.0,15.15,90.9
2.0,4.5,27.2
1.0,11.1,66.7
2.0,0.0,47.2
1.0,1.0,16.7
1.0,3.56,21.36
1.0,0.0,-8.7
1.0,0.0,8.7
1.0,14.8,90.55
1.0,5.24,31.44
1.0,7.0,89.3
1.0,3.14,18.84
2.0,3.84,23.04
1.0,3.0,15.2
1.0,6.75,40.65
1.0,3.4,20.5
0.0,2.85,17.15
0.0,2.15,16.45
0.0,0.0,15.0
1.0,0.0,16.8
1.0,3.95,17.25
1.0,1.8,10.9
1.0,0.0,9.4
0.0,0.0,68.95
1.0,2.5,15.1
3.0,0.0,82.3
1.0,0.0,16.1
1.0,3.2,19.3
2.0,4.2,25.2
1.0,1.61,17.71
1.0,2.1,12.6
1.0,0.0,7.0
1.0,0.0,11.9
1.0,0.0,20.3
1.0,0.0,28.4
1.0,18.8,94.05
1.0,6.85,34.15
1.0,0.0,16.1
1.0,0.0,35.0
1.0,2.0,22.3
2.0,0.0,10.5
2.0,2.66,15.96
2.0,5.32,31.92
1.0,0.0,25.9
1.0,3.71,77.91
1.0,0.0,23.8
3.0,0.0,21.0
3.0,1.3,12.9
1.0,2.52,15.12
1.0,3.0,18.4
1.0,1.0,9.4
1.0,2.0,39.8
1.0,16.1,96.65
2.0,0.0,113.19
1.0,16.1,96.65
1.0,2.65,15.95
1.0,0.0,11.2
1.0,4.06,44.66
1.0,0.0,13.3
1.0,2.0,19.5
1.0,2.8,14.0
6.0,16.46,98.76
4.0,4.48,26.88
1.0,2.38,14.28
1.0,4.48,26.88
1.0,0.0,30.1
2.0,1.89,14.49
1.0,0.0,41.95
1.0,2.75,13.95
2.0,24.0,75.85
1.0,16.46,98.76
1.0,2.35,14.25
1.0,2.6,13.1
1.0,4.0,42.5
1.0,1.2,14.5
1.0,6.3,37.8
3.0,0.0,181.45
1.0,3.36,25.76
1.0,0.0,23.8
1.0,7.77,33.67
1.0,6.02,36.12
1.0,10.0,90.5
1.0,5.88,35.28
1.0,2.8,16.8
1.0,5.0,83.4
1.0,22.7,98.45
4.0,4.48,26.88
1.0,5.18,31.08
1.0,2.0,23.0
1.0,7.56,32.76
1.0,6.5,28.2
1.0,2.8,14.0
1.0,6.16,36.96
4.0,0.0,9.8
4.0,0.0,34.3
1.0,6.58,39.48
1.0,0.0,82.3
1.0,2.4,14.3
1.0,1.6,9.6
1.0,6.44,38.64
1.0,4.45,26.85
1.0,3.36,20.16
2.0,1.96,11.76
1.0,1.0,13.6
1.0,0.0,24.5
1.0,5.5,31.4
2.0,2.27,14.87
1.0,2.24,13.44
1.0,3.08,18.48
1.0,4.62,27.72
1.0,2.59,28.49
2.0,2.8,16.8
1.0,4.48,26.88
1.0,0.0,10.1
1.0,1.26,9.66
1.0,3.36,20.16
1.0,2.1,12.6
2.0,0.0,30.8
1.0,0.0,22.4
1.0,3.05,18.45
2.0,3.9,23.5
1.0,2.0,15.3
2.0,0.0,17.2
1.0,5.85,35.25
1.0,3.0,18.1
0.0,10.0,90.55
1.0,13.2,66.05
1.0,12.25,75.25
1.0,4.34,26.04
1.0,0.0,85.65
1.0,8.12,48.72
6.0,17.56,105.36
1.0,2.2,13.4
1.0,2.9,17.6
1.0,2.3,13.9
3.0,0.0,14.0
1.0,7.0,42.0
1.0,3.78,22.68
1.0,0.0,12.3
1.0,3.0,14.2
1.0,1.68,10.08
1.0,3.57,15.47
1.0,2.84,21.74
1.0,3.5,21.0
1.0,2.0,11.8
1.0,4.2,21.0
1.0,2.65,15.95
1.0,3.6,21.8
3.0,0.0,18.9
1.0,1.0,26.2
1.0,1.43,13.33
2.0,0.0,18.2
1.0,2.62,13.12
1.0,5.88,35.28
2.0,0.0,73.5
0.0,1.8,10.9
0.0,0.0,7.0
0.0,2.0,28.6
1.0,3.6,21.8
1.0,0.0,41.3
3.0,3.36,36.96
1.0,3.78,22.68
1.0,0.0,24.5
4.0,0.0,21.0
3.0,3.64,21.84
3.0,4.06,24.36
1.0,0.0,11.9
1.0,0.0,24.5
1.0,0.0,11.2
1.0,0.0,25.2
1.0,2.5,15.1
1.0,1.4,14.0
1.0,2.0,18.1
1.0,0.0,39.9
1.0,11.42,70.27
1.0,8.81,52.86
1.0,5.0,30.2
1.0,7.0,58.8
1.0,4.2,25.2
1.0,2.0,11.8
1.0,0.0,15.4
1.0,0.0,12.6
1.0,4.3,26.0
1.0,1.0,12.2
1.0,2.0,18.8
1.0,3.78,22.68
1.0,2.52,15.12
1.0,8.0,76.15
2.0,5.04,30.24
1.0,5.32,31.92
2.0,5.6,33.6
1.0,3.92,23.52
1.0,4.76,28.56
1.0,3.9,23.5
1.0,0.0,11.2
1.0,4.6,27.7
1.0,2.24,13.44
1.0,2.4,15.0
1.0,16.11,98.41
1.0,3.35,20.15
1.0,0.0,16.8
1.0,3.9,23.5
1.0,5.46,32.76
1.0,3.26,24.96
1.0,1.43,13.33
1.0,3.75,22.65
1.0,3.5,17.5
0.0,0.0,7.7
5.0,3.08,18.48
4.0,2.03,22.33
5.0,0.0,15.4
1.0,5.7,34.4
1.0,4.45,26.85
1.0,0.0,52.45
1.0,6.3,31.5
1.0,4.5,31.8
2.0,0.0,58.05
2.0,3.36,25.76
1.0,4.72,23.62
1.0,2.24,13.44
4.0,3.67,18.37
1.0,0.0,11.2
3.0,5.46,32.76
1.0,2.0,27.2
1.0,5.0,40.0
1.0,2.52,15.12
1.0,3.5,17.5
1.0,0.0,9.8
1.0,0.0,68.6
1.0,4.06,24.36
1.0,2.8,16.8
1.0,5.0,36.5
1.0,0.0,75.75
1.0,3.08,18.48
1.0,3.64,21.84
1.0,0.0,20.3
1.0,2.31,25.41
1.0,1.61,17.71
1.0,2.8,16.8
4.0,0.0,58.15
2.0,0.0,17.5
2.0,4.9,24.5
1.0,2.0,21.6
2.0,2.65,15.95
1.0,0.0,28.0
1.0,4.0,71.85
1.0,2.2,13.4
1.0,2.35,14.25
1.0,3.9,23.5
1.0,2.94,17.64
1.0,0.0,23.8
1.0,1.0,17.1
1.0,2.1,12.6
1.0,4.48,26.88
1.0,5.88,35.28
1.0,1.0,33.9
1.0,3.35,20.15
1.0,4.5,26.9
0.0,0.0,23.1
2.0,0.0,-62.25
2.0,0.0,62.25
1.0,0.0,10.5
1.0,0.0,15.4
1.0,2.0,18.1
1.0,1.0,28.3
4.0,3.5,21.0
1.0,2.8,16.8
1.0,2.66,15.96
2.0,0.0,14.7
1.0,14.95,89.8
1.0,3.35,14.55
1.0,0.0,25.9
1.0,4.34,26.04
1.0,2.94,17.64
1.0,0.0,35.0
1.0,4.3,26.0
1.0,14.15,84.9
1.0,3.32,16.62
1.0,0.0,16.8
1.0,2.8,14.0
1.0,0.0,10.5
1.0,3.36,20.16
1.0,1.58,12.08
1.0,7.0,42.0
1.0,0.0,35.0
1.0,0.0,23.1
1.0,1.5,23.9
1.0,0.0,74.0
1.0,3.22,19.32
1.0,4.2,25.2
1.0,3.92,23.52
1.0,10.0,59.0
1.0,6.48,32.38
1.0,0.0,11.9
1.0,2.0,13.9
0.0,1.0,16.4
0.0,4.6,27.7
2.0,2.1,12.6
1.0,1.47,11.27
1.0,4.62,27.72
1.0,6.12,30.62
1.0,0.0,27.0
1.0,4.83,37.03
1.0,5.46,32.76
3.0,3.05,18.45
1.0,3.08,18.48
1.0,0.0,18.2
2.0,6.72,29.12
1.0,2.24,13.44
1.0,0.0,11.9
1.0,2.8,20.0
1.0,0.0,80.55
1.0,2.0,26.5
2.0,3.22,19.32
2.0,0.0,16.8
2.0,0.0,16.8
1.0,3.0,13.5
1.0,2.31,10.01
1.0,0.0,28.0
2.0,8.9,44.6
1.0,0.0,9.8
1.0,3.0,35.2
1.0,0.0,41.05
2.0,3.3,21.55
1.0,3.05,18.45
1.0,0.0,22.65
1.0,2.5,13.7
1.0,0.0,11.9
2.0,2.0,20.2
1.0,0.0,37.8
1.0,2.1,12.6
1.0,3.5,21.0
1.0,3.0,24.0
1.0,0.0,13.3
1.0,0.0,14.0
1.0,0.0,32.9
1.0,3.92,23.52
1.0,0.0,13.3
1.0,2.8,16.8
1.0,11.13,48.23
1.0,3.0,85.3
2.0,4.05,24.35
2.0,0.0,14.0
1.0,0.0,9.1
1.0,2.0,21.6
1.0,0.0,23.8
4.0,50.0,57.7
1.0,0.0,15.4
0.0,1.0,13.6
1.0,6.15,36.95
1.0,1.0,12.9
1.0,2.66,15.96
1.0,3.22,19.32
1.0,2.52,15.12
1.0,19.75,118.5
1.0,1.12,15.12
1.0,0.0,27.3
1.0,5.67,24.57
1.0,0.0,22.4
2.0,0.0,13.3
1.0,3.36,25.76
2.0,5.0,20.0
1.0,12.31,75.61
1.0,5.38,32.28
2.0,3.42,20.52
1.0,16.34,81.69
2.0,1.0,11.8
1.0,3.42,20.52
1.0,0.0,58.35
1.0,16.11,98.41
2.0,0.0,33.2
1.0,0.0,25.0
1.0,0.0,26.2
2.0,5.67,28.37
1.0,3.0,18.0
1.0,2.25,55.0
5.0,2.86,17.16
1.0,2.56,19.66
1.0,4.26,25.56
1.0,2.0,15.6
1.0,3.84,23.04
1.0,2.44,14.64
1.0,2.58,15.48
1.0,6.92,41.52
1.0,10.05,60.4
1.0,13.81,70.81
4.0,15.88,97.03
1.0,5.0,80.2
1.0,9.0,45.0
2.0,5.52,33.12
1.0,0.0,27.6
1.0,4.4,26.4
2.0,3.2,24.5
1.0,4.0,16.9
1.0,1.5,16.5
3.0,0.0,13.6
1.0,2.58,15.48
2.0,3.87,16.77
1.0,4.0,28.1
1.0,2.0,14.9
1.0,13.1,78.6
1.0,3.84,23.04
1.0,1.88,11.28
1.0,0.0,17.9
1.0,2.16,12.96
1.0,3.7,22.2
1.0,3.6,21.7
1.0,7.0,90.45
1.0,29.8,180.55
1.0,11.44,49.59
1.0,2.74,16.44
1.0,3.28,19.68
1.0,2.45,14.65
1.0,0.0,10.1
1.0,3.0,18.0
1.0,10.0,90.55
1.0,2.58,15.48
3.0,8.0,32.8
1.0,3.0,15.9
1.0,1.0,13.3
1.0,1.0,16.0
1.0,3.42,20.52
1.0,13.22,79.32
1.0,3.1,18.8
1.0,1.83,14.03
1.0,3.0,18.0
1.0,3.0,18.0
1.0,5.34,23.14
1.0,2.72,16.32
1.0,2.86,17.16
1.0,0.0,21.3
4.0,0.0,18.5
1.0,2.55,15.45
1.0,4.25,25.55
1.0,0.0,22.0
1.0,6.16,36.96
1.0,0.0,9.8
1.0,2.1,16.1
1.0,4.41,33.81
2.0,6.16,36.96
3.0,12.95,77.7
1.0,2.5,16.5
2.0,0.0,191.75
2.0,0.0,47.55
1.0,6.65,33.25
1.0,1.32,7.92
1.0,1.89,14.49
1.0,1.0,11.5
1.0,5.04,30.24
1.0,3.5,21.0
1.0,3.08,18.48
1.0,6.58,39.48
1.0,10.0,92.3
1.0,0.0,15.4
1.0,4.48,26.88
1.0,2.38,14.28
1.0,2.0,11.8
1.0,2.94,12.74
2.0,0.0,10.5
2.0,3.08,18.48
1.0,1.0,14.3
1.0,3.5,21.0
2.0,3.78,22.68
1.0,2.24,13.44
1.0,1.4,15.4
1.0,4.62,35.42
1.0,10.75,64.65
1.0,11.99,71.94
1.0,5.32,31.92
1.0,4.9,29.4
4.0,16.11,98.41
1.0,2.1,12.6
1.0,2.52,15.12
1.0,2.0,33.5
1.0,0.0,24.5
1.0,2.5,26.3
1.0,4.9,29.4
1.0,5.45,32.75
1.0,1.61,17.71
1.0,4.45,26.85
1.0,0.0,16.1
1.0,0.0,46.85
1.0,2.0,15.3
1.0,3.36,20.16
4.0,0.0,-16.1
4.0,0.0,16.1
5.0,5.6,33.6
1.0,7.7,38.5
1.0,0.0,9.4
1.0,4.34,26.04
1.0,2.66,15.96
1.0,1.0,10.8
1.0,0.0,28.0
1.0,0.0,11.2
1.0,0.0,54.25
1.0,3.5,21.0
1.0,1.0,16.4
1.0,7.2,44.95
1.0,8.9,55.15
2.0,4.12,24.72
2.0,0.0,5.2
6.0,0.0,57.85
1.0,0.0,27.3
1.0,5.46,32.76
2.0,0.0,74.0
2.0,2.24,13.44
1.0,2.38,14.28
1.0,0.0,50.0
